id,name__fr,name__en,name,wikipedia__fr,gender,birth_date,given_name,original_wikiname,name__it,image,name__de,name__nl,wikipedia__en,identifier__VIAF,identifier__SUDOC,death_date,identifier__FAST,wikipedia__commons,identifier__ISNI,identifier__LCAuth,identifier__BNF,name__ru,name__es,name__hu,wikipedia__ru,wikipedia__eo,name__eo,occupation,name__pt,name__sv,name__pl,name__nb,name__ar,wikipedia__ar,wikipedia__pl,name__sl,identifier__OLID,identifier__snac,identifier__NTA,wikipedia__hy,wikipedia__it,name__hy
Q24175625,Adidja Alim,Adidja Alim,Adidja Alim,Adidja Alim,female,1956,,Adidja Alim,,,,Adidja Alim,,,,,,,,,,,,,,,,politician,,,,,,,,Adidja Alim,,,,,,
Q25929703,Gibering Bol Alima,Gibering Bol Alima,Gibering Bol Alima,Gibering Bol Alima,female,1942-02-20,,Gibering Bol Alima,,,,Gibering Bol Alima,,,,1999-07-30,,,,,,,,,,,,agricultural engineer,,,,,,,,Gibering Bol Alima,,,,,,
Q26270030,Marcel Bebey Eyidi,Marcel Bebey Eyidi,Marcel Bebey Eyidi,Marcel Bebey Eyidi,male,1914-11-21,Marcel,Marcel Bebey Eyidi,,,,Marcel Bebey Eyidi,,,,1966-06-29,,,,,,,,,,,,physician,,,,,,,,Marcel Bebey Eyidi,,,,,,
Q27778301,Isabelle Ebanda,Isabelle Ebanda,Isabelle Ebanda,Isabelle Ebanda,female,1936-02-23,Isabelle,Isabelle Ebanda,Isabelle Ebanda,https://upload.wikimedia.org/wikipedia/commons/5/56/IsabelleEbanda33.jpg,,Isabelle Ebanda,Isabelle Ebanda,,,,,Category:Isabelle Ebanda,,,,,,,,,,politician,,,,,إيزابيل أباندا,إيزابيل أباندا,,Isabelle Ebanda,,,,Իզաբել Էբանդա,Isabelle Ebanda,Իզաբել Էբանդա
Q28497635,Abba Boukar,Abba Boukar,Abba Boukar,Abba Boukar,male,,,Abba Boukar,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,Abba Boukar,,,,,,
Q28497636,Mahamat Abdoulkarim,Mahamat Abdoulkarim,Mahamat Abdoulkarim,Mahamat Abdoulkarim,male,1949,,Mahamat Abdoulkarim,,,,Mahamat Abdoulkarim,,,,,,,,,,,,,,,,politician,,,,,,,,Mahamat Abdoulkarim,,,,,,
Q28655053,Charles Salé,Charles Salé,Charles Salé,Charles Salé,male,1952-04-15,Charles,Charles Salé,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Charles_Salé.jpg,Charles Salé,Charles Salé,,,,,,,0000 0000 5523 3371,,,,Charles Salé,,,,,politician,Charles Salé,Charles Salé,,,,,,Charles Salé,,,,,,
Q28967171,Joseph Mboui,Joseph Mboui,Joseph Mboui,Joseph Mboui,male,1938-04-21,Joseph,Joseph Mboui,,,,Joseph Mboui,,35869093,079010261,2017-02-28,,,0000 0000 2476 0275,n84223875,162308005,,,,,,,politician,,,,,,,,Joseph Mboui,,,,,,
Q2905795,Blaise Manga Bilé,Blaise Manga Bilé,Blaise Manga Bilé,Blaise Manga Bilé,male,"",Blaise,Blaise Manga Bilé,,https://upload.wikimedia.org/wikipedia/commons/d/de/MANGA_BILE_Blaise.jpg,,Blaise Manga Bilé,,,,1980-03,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q30546273,Lucien Wantou Siantou,Lucien Wantou Siantou,Lucien Wantou Siantou,Lucien Wantou Siantou,male,,Lucien,Lucien Wantou Siantou,,,,Lucien Wantou Siantou,,,,,,,,,,,,,,,,politician,,,,,,,,Lucien Wantou Siantou,,,,,,
Q30547714,Pierre Henri Boum Nack,Pierre Henri Boum Nack,Pierre Henri Boum Nack,Pierre Henri Boum Nack,male,1919-09-30,Pierre,Pierre Henri Boum Nack,,,,Pierre Henri Boum Nack,,,,,,,,,,,,,,,,politician,,,,,,,,Pierre Henri Boum Nack,,,,,,
Q30582124,Placide Nguefack,Placide Nguefack,Placide Nguefack,Placide Nguefack,male,,Placide,Placide Nguefack,,,,Placide Nguefack,,,,,,,,,,,,,,,,politician,,,,,,,,Placide Nguefack,,,,,,
Q38459914,Joshua Osih,Joshua Osih,Joshua Osih,Joshua Osih,male,1968-12-09,Joshua,Joshua Osih,,"https://upload.wikimedia.org/wikipedia/commons/1/1f/Hon,_Joshua_Osih.jpg",,,Joshua Osih,,,,,,,,,,,,,,,member of parliament,,,,,,,,,,,,,,
Q39145253,Geneviève Tjoues,Geneviève Tjoues,Geneviève Tjoues,Geneviève Tjoues,female,1944-01-31,Geneviève,Geneviève Tjoues,,https://upload.wikimedia.org/wikipedia/commons/8/88/ChantalBiya52.jpg,Geneviève Tjoues,Geneviève Tjoues,Geneviève Tjoues,,,,,Category:Genevieve Tjoues,,,,,,,,,,politician,,,,,,,,Geneviève Tjoues,,,,Ժենևիև Տեժու,,Ժենևիև Տեժու
Q39156537,Hermine Patricia Tomaïno Ndam Njoya,Hermine Patricia Tomaïno Ndam Njoya,Hermine Patricia Tomaïno Ndam Njoya,Hermine Patricia Tomaïno Ndam Njoya,female,1969-01-26,Hermine,Hermine Patricia Tomaïno Ndam Njoya,,,,Hermine Patricia Tomaïno Ndam Njoya,,61798512,084162775,,,,0000 0000 5491 1556,n2009209437,14605423q,,,,,,,politician,,,,,,,,Hermine Patricia Tomaïno Ndam Njoya,,,,,,
Q4160254,Cavaye Yeguié Djibril,Cavayé Yéguié Djibril,Cavaye Yeguié Djibril,Cavayé Yeguié Djibril,male,1940,,Cavayé Yeguié Djibril,,,Cavayé Yéguié Djibril,Cavayé Yéguié Djibril,Cavayé Yéguié Djibril,,,,,,,,,"Джибрил, Кавайе Йегие",Cavayé Yéguié Djibril,Cavayé Yéguié Djibril,"Джибрил, Кавайе Йегие",,,politician,,,,,,,,Cavayé Yéguié Djibril,,,,,,
Q41672851,Nicole Okala Bilaï,Nicole Okala Bilaï,Nicole Okala Bilaï,Nicole Okala Bilaï,female,1949-05-26,Nicole,Nicole Okala Bilaï,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,Nicole Okala Bilaï,,,,,,
Q4821104,Augustin Frédéric Kodock,Augustin Frédéric Kodock,Augustin Frédéric Kodock,Augustin Frédéric Kodock,male,1933-03-01,Augustin,Augustin Frédéric Kodock,,,Augustin Frédéric Kodock,Augustin Frédéric Kodock,Augustin Frédéric Kodock,36240510,17696956X,2011-10-24,431892,,0000 0000 3328 387X,n98901734,,,,,,,,politician,,,,,,,,,,,,,,
Q4893137,Bernard Fonlon,Bernard Fonlon,Bernard Fonlon,Bernard Fonlon,male,1924-11-24,Bernard,Bernard Fonlon,Bernard Fonlon,https://upload.wikimedia.org/wikipedia/commons/f/f6/Bernard-Fonlon.png,Bernard Fonlon,Bernard Fonlon,Bernard Fonlon,29096780,145607518,1986-08-26,291472,,0000 0000 6686 6465,no91021271,12336080h,,Bernard Fonlon,,,,,politician,,,,,,,,Bernard Fonlon,OL77424A,w6g48h6g,33778860X,,,
Q50825405,Pierre Mila Assouté,Pierre Mila Assouté,Pierre Mila Assouté,Pierre Mila Assouté,male,1957-05-30,Pierre,Pierre Mila Assouté,,,,Pierre Mila Assouté,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q5209975,Dakolé Daïssala,Dakolé Daïssala,Dakolé Daïssala,Dakolé Daïssala,male,1943-04-15,,Dakolé Daïssala,,,Dakolé Daïssala,Dakolé Daïssala,Dakolé Daïssala,,,,,,0000 0000 4253 6154,,,,,,,,,politician,,,,,,,,,,,,,,
Q55876925,Jean Claude Feutheu,Jean Claude Feutheu,Jean Claude Feutheu,Jean Claude Feutheu,male,,Jean-Claude,Jean Claude Feutheu,,,,Jean Claude Feutheu,,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,,,
Q5612774,,Grégoire Owona,Grégoire Owona,Grégoire Owona,male,1950,Grégoire,Grégoire Owona,,,Grégoire Owona,Grégoire Owona,Grégoire Owona,69218287,,,,,0000 0000 3673 3370,,15062989n,,,,,,,politician,,,,,,,,Grégoire Owona,,,154357618,,,
Q5643981,Hamadou Moustapha,Hamadou Moustapha,Hamadou Moustapha,Hamadou Moustapha,male,1945-05-11,,Hamadou Moustapha,Hamadou Moustapha,,Hamadou Moustapha,Hamadou Moustapha,Hamadou Moustapha,,,,,,,,,,,,,,,politician,,,,,,,,Hamadou Moustapha,,,,,,
Q7071352,Nzo Ekangaki,Nzo Ekangaki,Nzo Ekangaki,Nzo Ekangaki,male,1934-03-22,,Nzo Ekangaki,,,Nzo Ekangaki,Nzo Ekangaki,Nzo Ekangaki,,,2005-06-03,,,,,,,Nzo Ekangaki,Nzo Ekangaki,,,,politician,,,Nzo Ekangaki,Nzo Ekangaki,انزو ايكانجاكي,انزو ايكانجاكي,Nzo Ekangaki,Nzo Ekangaki,,,,,,
Q7192268,Pierre Hélé,Pierre Hélé,Pierre Hélé,Pierre Hélé,male,1946,Pierre,Pierre Hélé,,,Pierre Hélé,,Pierre Hélé,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
