id,name__az,name,name__en,gender,birth_date,given_name,identifier__PACE,identifier__VIAF,image,identifier__freebase,website,identifier__LCAuth,death_date,wikipedia__az,wikipedia__en,name__ru,name__hy,name__pl,wikipedia__commons,wikipedia__ru,name__fr,name__it,name__de,name__tr,name__es,name__nl,wikipedia__azwikiquote,wikipedia__tr,name__cs,name__fa,name__id,name__ka,name__ms,name__sv,name__zh,name__be,wikipedia__be,wikipedia__cs,wikipedia__fa,wikipedia__fr,wikipedia__hy,wikipedia__id,wikipedia__it,wikipedia__ka,wikipedia__ms,wikipedia__pl,wikipedia__sv,wikipedia__zh,name__ro,wikipedia__de,wikipedia__ro,name__ca,name__oc,name__en_gb,wikipedia__azwikibooks,wikipedia__es,name__uk,wikipedia__uk,wikipedia__gag,name__gag,original_wikiname,identifier__BNF,identifier__SUDOC,identifier__ISNI,identifier__NUKAT,identifier__LNB,identifier__FAST,name__hu,last_seen,name__da,name__fo,name__is,name__kl,name__nb,name__nn,name__ja,name__eu,name__tg,identifier__google_knowledge,name__ko,wikipedia__ko,occupation,facebook,name__el,name__he,wikipedia__ruwikinews,wikipedia__tg,wikipedia__pt,wikipedia__vi,name__pt,wikipedia__he,name__sk,name__vi,wikipedia__sk,wikipedia__uz,name__en_ca,wikipedia__el,name__uz,name__ar,wikipedia__ar,wikipedia__bg,name__bg,family_name,identifier__GND,identifier__SELIBR,name__ba,name__lb,wikipedia__ba,wikipedia__mk,wikipedia__myv,identifier__NTA,name__mk,name__myv
Q16365769,Bəxtiyar Sadıqov,Bəxtiyar Sadıqov,,male,,,,,,,,,,Bəxtiyar Sadıqov,,Бахтияр Садыков,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bəxtiyar Sadıqov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16365787,Bəxtiyar Əliyev,Bəxtiyar Əliyev,,male,1961-03-20,,,,,,,,,Bəxtiyar Əliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bəxtiyar Əliyev,,,,,,,,,,,,,,,,,,,,,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16366024,Cavanşir Paşazadə,Cavanşir Paşazadə,,male,1953,,,,,,,,,Cavanşir Paşazadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cavanşir Paşazadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16366053,Cavid Qurbanov,Cavid Qurbanov,,male,1958-09-19,,,,,,,,,Cavid Qurbanov,,,,,Category:Javid Gurbanov,,,Cavid Qurbanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cavid Qurbanov,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16366652,Eldar Quliyev,Eldar Quliyev,Eldar Guliyev,male,1951-07-26,Eldar,,,https://upload.wikimedia.org/wikipedia/commons/7/7c/Eldar_Quliyev_professor.jpg,,,,,Eldar Quliyev (siyasətçi),Eldar Guliyev,Эльдар Аллахяр оглы Гулиев,,,Category:Eldar Quliyev (siyasətçi),"Гулиев, Эльдар Аллахяр оглы",,,,Eldar Kuliyev,,Eldar Guliyev,,Eldar Kuliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eldar Quliyev (millət vəkili),,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,Guliyev,,,,,,,,,,
Q16367846,Fərhad Qəribov,Fərhad Qəribov,,male,1952,,,,,,,,,Fərhad Qəribov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fərhad Qəribov,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16367961,Fəttah Heydərov,Fəttah Heydərov,,male,1938-02-23,,,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Fəttah_Heydərov.jpg,,,,,Fəttah Heydərov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fəttah Heydərov,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16368693,Hikmət Atayev,Hikmət Atayev,,male,1953-02-04,,,,,,,,2013-03-07,Hikmət Atayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hikmət Atayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16368696,Hikmət Babaoğlu,Hikmət Babaoğlu,Hikmət Babaoğlu,male,1966,,,,https://upload.wikimedia.org/wikipedia/commons/b/b9/Babaoglu.jpg,,,,,Hikmət Babaoğlu,,,,,Category:Hikmət Babaoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hikmət Babaoğlu/Biblioqrafiya,,,,,,Hikmət Babaoğlu,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16370420,Mixail Zabelin,Mixail Zabelin,,male,1946,,,,,,,,,Mixail Zabelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixail Zabelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16370502,Musa Urud,Musa Urud,,male,1961-11-25,,,24014998,https://upload.wikimedia.org/wikipedia/commons/6/60/Musa_Urud.jpg,,,n2005092218,,Musa Urud,,,,,Category:Musa Urud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musa Urud,,,0000 0000 4041 4137,,,,,,,,,,,,,,,,,,poet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16371462,Naqif Həmzəyev,Naqif Həmzəyev,,male,1983-05-24,,,,,,,,,Naqif Həmzəyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naqif Həmzəyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16371578,Nazim Fərəcov,Nazim Fərəcov,Nazim Faracov,male,1960,Nazim,,,,,,,,Nazim Fərəcov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nazim Fərəcov,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
