name,wikiname,party,area,area_wikiname,notes,term,sort_name,party_wikiname,start_date
Lynne Pillay,Lynne Pillay,Labour,Waitakere,Waitakere (New Zealand electorate),,48,"Pillay, Lynne",New Zealand Labour Party,
Mahara Okeroa,Mahara Okeroa,Labour,X-06 Te Tai Tonga,Te Tai Tonga (New Zealand electorate),,48,"Okeroa, Mahara",New Zealand Labour Party,
Margaret Wilson,Margaret Wilson,Labour,List,"",,48,"Wilson, Margaret",New Zealand Labour Party,
Marian Hobbs,Marian Hobbs,Labour,Wellington Central,Wellington Central (New Zealand electorate),,48,"Hobbs, Marian",New Zealand Labour Party,
Mark Blumsky,Mark Blumsky,National,List,"",,48,"Blumsky, Mark",New Zealand National Party,
Mark Burton,Mark Burton,Labour,Taupo,Taupō (New Zealand electorate),,48,"Burton, Mark",New Zealand Labour Party,
Mark Gosche,Mark Gosche,Labour,Maungakiekie,Maungakiekie (New Zealand electorate),,48,"Gosche, Mark",New Zealand Labour Party,
Martin Gallagher,Martin Gallagher,Labour,Hamilton West,Hamilton West (New Zealand electorate),,48,"Gallagher, Martin",New Zealand Labour Party,
Maryan Street,Maryan Street,Labour,List,"",,48,"Street, Maryan",New Zealand Labour Party,
Maurice Williamson,Maurice Williamson,National,Pakuranga,Pakuranga (New Zealand electorate),,48,"Williamson, Maurice",New Zealand National Party,
Metiria Turei,Metiria Turei,Green,List,"",,48,"Turei, Metiria",Green Party of Aotearoa New Zealand,
Michael Cullen,Michael Cullen (politician),Labour,List,"",,48,"Cullen, Michael",New Zealand Labour Party,
Mita Ririnui,Mita Ririnui,Labour,List,"",,48,"Ririnui, Mita",New Zealand Labour Party,
Moana Mackey,Moana Mackey,Labour,List,"",,48,"Mackey, Moana",New Zealand Labour Party,
Murray McCully,Murray McCully,National,East Coast Bays,East Coast Bays (New Zealand electorate),,48,"McCully, Murray",New Zealand National Party,
Nanaia Mahuta,Nanaia Mahuta,Labour,X-02 Tainui,Tainui (New Zealand electorate),,48,"Mahuta, Nanaia",New Zealand Labour Party,
Nathan Guy,Nathan Guy,National,List,"",,48,"Guy, Nathan",New Zealand National Party,
Nick Smith,Nick Smith (New Zealand politician),National,Nelson,Nelson (New Zealand electorate),,48,"Smith, Nick",New Zealand National Party,
Nicky Wagner,Nicky Wagner,National,List,"",,48,"Wagner, Nicky",New Zealand National Party,
Nándor Tánczos,Nándor Tánczos,Green,List,"",,48,,Green Party of Aotearoa New Zealand,2005-11-06
Pansy Wong,Pansy Wong,National,List,"",,48,"Wong, Pansy",New Zealand National Party,
Parekura Horomia,Parekura Horomia,Labour,X-01 Ikaroa-Rāwhiti,Ikaroa-Rāwhiti (New Zealand electorate),,48,"Horomia, Parekura",New Zealand Labour Party,
Paul Hutchison,Paul Hutchison,National,Port Waikato,Port Waikato (New Zealand electorate),,48,"Hutchison, Paul",New Zealand National Party,
Paul Swain,Paul Swain,Labour,Rimutaka,Rimutaka (New Zealand electorate),,48,"Swain, Paul",New Zealand Labour Party,
Paula Bennett,Paula Bennett,National,List,"",,48,"Bennett, Paula",New Zealand National Party,
Pete Hodgson,Pete Hodgson,Labour,Dunedin North,Dunedin North (New Zealand electorate),,48,"Hodgson, Pete",New Zealand Labour Party,
Peter Brown,Peter Brown (New Zealand politician),NZ First,List,"",,48,"Brown, Peter",New Zealand First,
Peter Dunne,Peter Dunne,United Future,Ohariu-Belmont,Ohariu-Belmont (New Zealand electorate),,48,"Dunne, Peter",United Future New Zealand,
Phil Goff,Phil Goff,Labour,Mount Roskill,Mount Roskill (New Zealand electorate),,48,"Goff, Phil",New Zealand Labour Party,
Phil Heatley,Phil Heatley,National,Whangarei,Whangarei (New Zealand electorate),,48,"Heatley, Phil",New Zealand National Party,
Pita Paraone,Pita Paraone,NZ First,List,"",,48,"Paraone, Pita",New Zealand First,
Pita Sharples,Pita Sharples,Māori,X-03Tāmaki Makaurau,Tāmaki Makaurau,,48,"Sharples, Pita",Māori Party,
Richard Worth,Richard Worth,National,List,"",,48,"Worth, Richard",New Zealand National Party,
Rick Barker,Rick Barker,Labour,List,"",,48,"Barker, Rick",New Zealand Labour Party,
Rod Donald,Rod Donald,Green,List,"",,48,"Donald, Rod",Green Party of Aotearoa New Zealand,
Rodney Hide,Rodney Hide,ACT,Epsom,Epsom (New Zealand electorate),,48,"Hide, Rodney",ACT New Zealand,
Ron Mark,Ron Mark,NZ First,List,"",,48,"Mark, Ron",New Zealand First,
Ross Robertson,Ross Robertson,Labour,Manukau East,Manukau East (New Zealand electorate),,48,"Robertson, Ross",New Zealand Labour Party,
Russel Norman,Russel Norman,Green,List,"",,48,,Green Party of Aotearoa New Zealand,2008-06-26
Russell Fairbrother,Russell Fairbrother,Labour,List,"",,48,"Fairbrother, Russell",New Zealand Labour Party,
Ruth Dyson,Ruth Dyson,Labour,Banks Peninsula,Banks Peninsula (New Zealand electorate),,48,"Dyson, Ruth",New Zealand Labour Party,
Sandra Goudie,Sandra Goudie,National,Coromandel,Coromandel (New Zealand electorate),,48,"Goudie, Sandra",New Zealand National Party,
Shane Ardern,Shane Ardern,National,Taranaki-King Country,Taranaki-King Country (New Zealand electorate),,48,"Ardern, Shane",New Zealand National Party,
Shane Jones,Shane Jones,Labour,List,"",,48,"Jones, Shane",New Zealand Labour Party,
Simon Power,Simon Power,National,Rangitikei,Rangitīkei (New Zealand electorate),,48,"Power, Simon",New Zealand National Party,
Steve Chadwick,Steve Chadwick,Labour,Rotorua,Rotorua (New Zealand electorate),,48,"Chadwick, Steve",New Zealand Labour Party,
Steve Maharey,Steve Maharey,Labour,Palmerston North,Palmerston North (New Zealand electorate),,48,"Maharey, Steve",New Zealand Labour Party,
Sue Bradford,Sue Bradford,Green,List,"",,48,"Bradford, Sue",Green Party of Aotearoa New Zealand,
Sue Kedgley,Sue Kedgley,Green,List,"",,48,"Kedgley, Sue",Green Party of Aotearoa New Zealand,
Sue Moroney,Sue Moroney,Labour,List,"",,48,"Moroney, Sue",New Zealand Labour Party,
Taito Phillip Field,Taito Phillip Field,Labour,Mangere,Mangere (New Zealand electorate),,48,"Field, Taito Phillip",New Zealand Labour Party,
Tariana Turia,Tariana Turia,Māori,X-04Te Tai Hauāuru,Te Tai Hauāuru,,48,"Turia, Tariana",Māori Party,
Tau Henare,Tau Henare,National,List,"",,48,"Henare, Tau",New Zealand National Party,
Te Ururoa Flavell,Te Ururoa Flavell,Māori,X-07Waiariki,Waiariki (New Zealand electorate),,48,"Flavell, Te Ururoa",Māori Party,
Tim Barnett,Tim Barnett (politician),Labour,Christchurch Central,Christchurch Central,,48,"Barnett, Tim",New Zealand Labour Party,
Tim Groser,Tim Groser,National,List,"",,48,"Groser, Tim",New Zealand National Party,
Tony Ryall,Tony Ryall,National,Bay of Plenty,Bay of Plenty (New Zealand electorate),,48,"Ryall, Tony",New Zealand National Party,
Trevor Mallard,Trevor Mallard,Labour,Hutt South,Hutt South (New Zealand electorate),,48,"Mallard, Trevor",New Zealand Labour Party,
Wayne Mapp,Wayne Mapp,National,North Shore,North Shore (New Zealand electorate),,48,"Mapp, Wayne",New Zealand National Party,
William Sio,William Sio,Labour,List,"",,48,,New Zealand Labour Party,2008-03-29
Winnie Laban,Luamanuvao Winnie Laban,Labour,Mana,Mana (New Zealand electorate),,48,"Laban, Winnie",New Zealand Labour Party,
Winston Peters,Winston Peters,NZ First,List,"",,48,"Peters, Winston",New Zealand First,
Aaron Gilmore,Aaron Gilmore,New Zealand National Party,List,"","",49,,,
Allan Peachey,Allan Peachey,New Zealand National Party,Tāmaki,Tāmaki (New Zealand electorate),Chair of the Education and Science select committee,49,,,
Amy Adams,Amy Adams (politician),New Zealand National Party,Selwyn,Selwyn (New Zealand electorate),"Chairperson, Electoral Legislation Committee Chair of the Finance and Expenditure Select Committee",49,,,
Anne Tolley,Anne Tolley,New Zealand National Party,East Coast,East Coast (New Zealand electorate),Minister of Education Minister Responsible for the Education Review Office,49,,,
Annette King,Annette King,New Zealand Labour Party,Rongotai,Rongotai (New Zealand electorate),Deputy Leader of the Opposition Deputy Leader of the Labour Party,49,,,
Ashraf Choudhary,Ashraf Choudhary,New Zealand Labour Party,List,"",Shadow Minister for Food Safety Shadow Minister for Agricultural Science Associate Shadow Minister for Ethnic Affairs,49,,,
Bill English,Bill English,New Zealand National Party,Clutha-Southland,Clutha-Southland,Deputy Prime Minister Minister of Finance Minister for Infrastructure Deputy Leader of the National Party,49,,,
Brendon Burns,Brendon Burns (politician),New Zealand Labour Party,Christchurch Central,Christchurch Central,Shadow Minister of Broadcasting Associate Shadow Minister for the Environment,49,,,
Cam Calder,Cam Calder,New Zealand National Party,List,"","",49,,,
Carmel Sepuloni,Carmel Sepuloni,New Zealand Labour Party,List,"",Shadow Minister of Civil Defence Associate Shadow Minister for Tertiary Education Associate Shadow Minister for Social Development and Employment,49,,,
Carol Beaumont,Carol Beaumont,New Zealand Labour Party,List,"",Shadow Minister for Consumer Affairs Associate Shadow Minister of Labour,49,,,
Catherine Delahunty,Catherine Delahunty,Green Party of Aotearoa New Zealand,List,"","",49,,,
Charles Chauvel,Charles Chauvel (politician),New Zealand Labour Party,List,"",Shadow Minister for Climate Change Shadow Minister of Energy Associate Shadow Minister of Commerce Chair of the Regulations Review select committee Chair of the Privileges Committee,49,,,
Chester Borrows,Chester Borrows,New Zealand National Party,Whanganui,Whanganui (New Zealand electorate),Chair of the Justice and Electoral select committee,49,,,
Chris Auchinvole,Chris Auchinvole,New Zealand National Party,West Coast-Tasman,West Coast-Tasman (New Zealand electorate),Chair of the Local Government and Environment select committee,49,,,
Chris Carter,Chris Carter (politician),New Zealand Labour Party,Te Atatu,Te Atatu (New Zealand electorate),Shadow Minister for Education Shadow Minister of Ethnic Affairs,49,,,
Chris Carter,Chris Carter (politician),Independent,Te Atatū,Te Atatū (New Zealand electorate),Former Deputy chair of the Education and Science select committee Permanently Expelled from Labour Party Caucus and Party membership Note: did not retain membership of any select committee positions during expulsion,49,,,
Chris Finlayson,Chris Finlayson,New Zealand National Party,List,"","Attorney-General Minister for Treaty of Waitangi Negotiations Minister for Arts, Culture and Heritage",49,,,
Chris Hipkins,Chris Hipkins,New Zealand Labour Party,Rimutaka,Rimutaka (New Zealand electorate),Shadow Minister of Internal Affairs Associate Shadow Minister of Energy,49,,,
Chris Tremain,Chris Tremain,New Zealand National Party,Napier,Napier (New Zealand electorate),Senior Government Whip Deputy Chair of the Finance and Expenditure select committee,49,,,
Clare Curran,Clare Curran,New Zealand Labour Party,Dunedin South,Dunedin South,Shadow Minister for Communication and IT,49,,,
Clayton Cosgrove,Clayton Cosgrove,New Zealand Labour Party,Waimakariri,Waimakariri (New Zealand electorate),Shadow Minister of Police Shadow Minister of Corrections Shadow Minister for State-Owned Enterprises Associate Shadow Minister of Finance Deputy chair of the Law and Order select committee,49,,,
Colin King,Colin King,New Zealand National Party,Kaikōura,Kaikoura (New Zealand electorate),Deputy Chair of the Primary Production select committee,49,,,
Craig Foss,Craig Foss,New Zealand National Party,Tukituki,Tukituki (New Zealand electorate),Minister of Civil Defence Minister of Senior Citizens Minister of Racing Associate Minister for Local Government Associate Minister of Commerce,49,,,
Damien O'Connor,Damien O'Connor,New Zealand Labour Party,List,"",Shadow Minister of Agriculture Shadow Minister of Rural Affairs Shadow Minister of Biosecurity,49,,,
Darien Fenton,Darien Fenton,New Zealand Labour Party,List,"",Shadow Minister for Transport Safety Associate Shadow Minister of Labour,49,,,
Darren Hughes,Darren Hughes,New Zealand Labour Party,List,"",replaced by Louisa Wall,49,,,
David Bennett,David Bennett (New Zealand politician),New Zealand National Party,Hamilton East,Hamilton East (New Zealand electorate),Chair of the Transport and Industrial Relations select committee,49,,,
David Carter,David Carter (politician),New Zealand National Party,List,"",Minister of Agriculture Minister for Biosecurity Minister of Forestry,49,,,
David Clendon,David Clendon,Green Party of Aotearoa New Zealand,List,"","",49,,,
David Cunliffe,David Cunliffe,New Zealand Labour Party,New Lynn,New Lynn (New Zealand electorate),Shadow Minister of Finance,49,,,
David Garrett,David Garrett (politician),ACT New Zealand,List,"","",49,,,
David Parker,David Parker (New Zealand politician),New Zealand Labour Party,List,"",Shadow Attorney-General Shadow Minister for Electoral Reform Shadow Minister of ACC Associate Shadow Minister of Finance Chair of the Government Administration select committee,49,,,
David Shearer,David Shearer,New Zealand Labour Party,Mount Albert,Mount Albert (New Zealand electorate),"",49,,,
Eric Roy,Eric Roy,New Zealand National Party,Invercargill,Invercargill (New Zealand electorate),Assistant Speaker,49,,,
Gareth Hughes,Gareth Hughes (politician),Green Party of Aotearoa New Zealand,List,"","",49,,,
George Hawkins,George Warren Hawkins,New Zealand Labour Party,Manurewa,Manurewa (New Zealand electorate),Shadow Minister of Housing,49,,,
Georgina Te Heuheu,Georgina Te Heuheu,New Zealand National Party,List,"",Minister for Courts Minister of Pacific Island Affairs Minister for Disarmament and Arms Control Associate Minister of Maori Affairs,49,,,
Georgina te Heuheu,Georgina te Heuheu,New Zealand National Party,List,"",Minister for Courts Minister of Pacific Island Affairs Minister for Disarmament and Arms Control Associate Minister of Maori Affairs,49,,,
Gerry Brownlee,Gerry Brownlee,New Zealand National Party,Ilam,Ilam (New Zealand electorate),Leader of the House Minister for Economic Development Minister of Energy and Resources Minister of Earthquake Recovery Associate Minister for the Rugby World Cup Deputy Chair of the Privileges Committee,49,,,
Grant Robertson,Grant Robertson,New Zealand Labour Party,Wellington Central,Wellington Central (New Zealand electorate),"Shadow Minister of State Services Associate Shadow Minister for Arts, Culture, and Heritage Associate Shadow Minister of Foreign Affairs",49,,,
Heather Roy,Heather Roy,ACT New Zealand,List,"","",49,,,
Hekia Parata,Hekia Parata,New Zealand National Party,List,"",Minister of Ethnic Affairs Minister of Women's Affairs Associate Minister of Energy Associate Minister of Community and Voluntary Sector Associate Minister of ACC,49,,,
Helen Clark,Helen Clark,New Zealand Labour Party,Mount Albert,Mount Albert (New Zealand electorate),resigned to become head of the United Nations Development Program; replaced by David Shearer,49,,,
Hilary Calvert,Hilary Calvert,ACT New Zealand,List,"",Party Whip,49,,,
Hone Harawira,Hone Harawira,Māori Party,Te Tai Tokerau,Te Tai Tokerau,"",49,,,
Hone Harawira,Hone Harawira,Mana Party,Te Tai Tokerau,Te Tai Tokerau,"*Note: Previously sat until 20 May 2011, resumed his seat on 2 August 2011",49,,,
Iain Lees-Galloway,Iain Lees-Galloway,New Zealand Labour Party,Palmerston North,Palmerston North (New Zealand electorate),Shadow Minister for Land Information Associate Shadow Minister of Defence Associate Shadow Minister of Health,49,,,
Jacinda Ardern,Jacinda Ardern,New Zealand Labour Party,List,"",Shadow Minister for Youth Affairs Associate Shadow Minister of Justice,49,,,
Jackie Blue,Jackie Blue,New Zealand National Party,List,"",Deputy chair of the Transport and Industrial Relations select committee,49,,,
Jacqui Dean,Jacqui Dean,New Zealand National Party,Waitaki,Waitaki (New Zealand electorate),"Deputy Chair of the Government Administration select committee Deputy Chair of the Foreign Affairs, Defence and Trade select committee",49,,,
Jami-Lee Ross,Jami-Lee Ross,New Zealand National Party,Botany,Botany (New Zealand electorate),"",49,,,
Jeanette Fitzsimons,Jeanette Fitzsimons,Green Party of Aotearoa New Zealand,List,"",Co-leader of the Green Party (1995–2009),49,,,
Jim Anderton,Jim Anderton,Jim Anderton's Progressive Party,Wigram,Wigram (New Zealand electorate),Parliamentary Leader of Progressive Party Father of the House Former Shadow Minister of Agriculture,49,,,
Jo Goodhew,Jo Goodhew,New Zealand National Party,Rangitata,Rangitata (New Zealand electorate),Junior Government Whip Former Chair of the Social Services select committee,49,,,
John Boscawen,John Boscawen,ACT New Zealand,List,"",Parliamentary Leader of the ACT Party,49,,,
John Carter,John Carter (New Zealand politician),New Zealand National Party,Northland,"",Became High Commissioner to Cook Islands,49,,,
John Hayes,John Hayes (New Zealand politician),New Zealand National Party,Wairarapa,Wairarapa (New Zealand electorate),"Chair of the Foreign Affairs, Defence and Trade select committee",49,,,
John Key,John Key,New Zealand National Party,Helensville,Helensville (New Zealand electorate),Prime Minister Minister of Tourism Minister in Charge of Ministerial Services Minister in Charge of the NZ Security Intelligence Service Minister Responsible for the Government Communications Security Bureau (GCSB) Leader of the National Party,49,,,
Jonathan Coleman,Jonathan Coleman (politician),New Zealand National Party,Northcote,Northcote (New Zealand electorate),Minister of Immigration Minister of Broadcasting Associate Minister of Tourism Associate Minister of Health,49,,,
Jonathan Young,Jonathan Young (politician),New Zealand National Party,New Plymouth,New Plymouth (New Zealand electorate),"",49,,,
Judith Collins,Judith Collins,New Zealand National Party,Papakura,Papakura (New Zealand electorate),Minister of Police Minister of Corrections Minister of Veterans’ Affairs,49,,,
Kanwal Singh Bakshi,Kanwal Singh Bakshi,New Zealand National Party,List,"","",49,,,
Kate Wilkinson,Kate Wilkinson (politician),New Zealand National Party,List,"",Minister of Conservation Minister of Labour Minister for Food Safety Associate Minister of Immigration,49,,,
Katrina Shanks,Katrina Shanks,New Zealand National Party,List,"",Chair of the Social Services select committee,49,,,
Keith Locke,Keith Locke,Green Party of Aotearoa New Zealand,List,"","",49,,,
Kelvin Davis,Kelvin Davis (politician),New Zealand Labour Party,List,"",Shadow Minister for Biosecurity Associate Shadow Minister of Education,49,,,
Kennedy Graham,Kennedy Graham,Green Party of Aotearoa New Zealand,List,"",'Musterer' (party whip),49,,,
Kevin Hague,Kevin Hague,Green Party of Aotearoa New Zealand,List,"","",49,,,
Kris Faafoi,Kris Faafoi,New Zealand Labour Party,Mana,Mana (New Zealand electorate),"",49,,,
Lianne Dalziel,Lianne Dalziel,New Zealand Labour Party,Christchurch East,Christchurch East (New Zealand electorate),Shadow Minister of Justice Shadow Minister of Commerce Chair of the Commerce select committee,49,,,
Lindsay Tisch,Lindsay Tisch,New Zealand National Party,Waikato,Waikato (New Zealand electorate),Deputy Speaker Deputy chair of the Officers of Parliament select committee,49,,,
Lockwood Smith,Lockwood Smith,New Zealand National Party,Rodney,Rodney (New Zealand electorate),Speaker of the House Chair of the Business select committee Chair of the Officers of Parliament select committee Chair of the Standing Orders select committee,49,,,
Louisa Wall,Louisa Wall,New Zealand Labour Party,List,"","",49,,,
Louise Upston,Louise Upston,New Zealand National Party,Taupō,Taupō (New Zealand electorate),"",49,,,
Lynne Pillay,Lynne Pillay,New Zealand Labour Party,List,"",Shadow Minister for Disability Issues Associate Shadow Minister of Justice,49,,,
Maryan Street,Maryan Street,New Zealand Labour Party,List,"",Shadow Minister of Trade Shadow Minister for Tertiary Education,49,,,
Maurice Williamson,Maurice Williamson,New Zealand National Party,Pakuranga,Pakuranga (New Zealand electorate),Minister for Building and Construction Minister of Customs Minister of Statistics Minister for Small Business Minister for Land Information,49,,,
Melissa Lee,Melissa Lee,New Zealand National Party,List,"","",49,,,
Metiria Turei,Metiria Turei,Green Party of Aotearoa New Zealand,List,"",Co-leader of the Green Party (May 2009–),49,,,
Michael Cullen,Michael Cullen (politician),New Zealand Labour Party,List,"",replaced by Damien O'Connor,49,,,
Michael Woodhouse,Michael Woodhouse,New Zealand National Party,List,"","",49,,,
Mita Ririnui,Mita Ririnui,New Zealand Labour Party,List,"",Shadow Minister of Forestry Associate Shadow Minister of Treaty Negotiations Associate Shadow Minister of Agriculture,49,,,
Moana Mackey,Moana Mackey,New Zealand Labour Party,List,"",Shadow Minister for Rural Affairs Shadow Minister for Research and Development Shadow Minister for Science and Technology,49,,,
Murray McCully,Murray McCully,New Zealand National Party,East Coast Bays,East Coast Bays (New Zealand electorate),Minister of Foreign Affairs Minister for Sport and Recreation Minister for the Rugby World Cup,49,,,
Nanaia Mahuta,Nanaia Mahuta,New Zealand Labour Party,Hauraki-Waikato,Hauraki-Waikato (New Zealand electorate),Shadow Minister for the Environment Shadow Minister of Tourism Associate Shadow Minister of Maori Affairs,49,,,
Nathan Guy,Nathan Guy,New Zealand National Party,Ōtaki,Ōtaki (New Zealand electorate),Minister of Internal Affairs Minister Responsible for Archives New Zealand Minister Responsible for the National Library Associate Minister of Justice Associate Minister of Transport,49,,,
Nick Smith,Nick Smith (New Zealand politician),New Zealand National Party,Nelson,Nelson (New Zealand electorate),Minister for the Environment Minister for Climate Change Issues Minister for ACC,49,,,
