id,name,sort_name,photo,email,facebook,twitter,source,honorific_prefix,start_date,end_date,area,party,term
andersen-ginny,Ginny Andersen,"Andersen, Ginny",https://www.parliament.nz/media/4438/andersen-virginia.DpjJ8Q.jpg,virginia.andersen@parliament.govt.nz,https://www.facebook.com/GinnyAndersenForHuttSouth/,https://twitter.com/ginnyandersen,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/andersen-ginny/,,2017-10-12,,List,Labour,52
ardern-jacinda,Jacinda Ardern,"Ardern, Jacinda",https://www.parliament.nz/media/1234/arden-jacinda.DqeRFQ.jpg,jacinda.ardern@parliament.govt.nz,https://www.facebook.com/jacindaardern,https://twitter.com/jacindaardern,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/ardern-jacinda/,,2017-10-12,,Mt Albert,Labour Party,52
collins-judith,Judith Collins,"Collins, Judith",https://www.parliament.nz/media/1276/collins-judith3.DmxK5g.jpg,judith.collins@parliament.govt.nz,https://www.facebook.com/judithcollinsmp,https://twitter.com/judithcollinsmp,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/collins-judith/,,2017-10-12,,Papakura,National Party,52
bakshi-kanwaljit-singh,Kanwaljit Singh Bakshi,"Bakshi, Kanwaljit Singh",https://www.parliament.nz/media/1259/bakshi-kanwaljit-singh.DmxK4w.jpg,KanwaljitSingh.Bakshi@parliament.govt.nz,https://www.facebook.com/Bakshiks,https://twitter.com/Bakshiks,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/bakshi-kanwaljit-singh/,,2017-10-12,,List,National Party,52
davis-kelvin,Kelvin Davis,"Davis, Kelvin",https://www.parliament.nz/media/2032/davis-kelvin.DmxLkA.jpg,Kelvin.Davis@parliament.govt.nz,https://www.facebook.com/KelvinDavisLabour,https://twitter.com/NgatiBird,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/davis-kelvin/,,2017-10-12,,Te Tai Tokerau,Labour Party,52
allan-kiritapu,Kiritapu Allan,"Allan, Kiritapu",https://www.parliament.nz/media/4439/allan-kiritapu.DpkZPA.jpg,kiritapu.allan@parliament.govt.nz,https://www.facebook.com/KiriAllanLabourMP/?fref=ts,https://twitter.com/KiriAllan,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/allan-kiritapu/,,2017-10-12,,List,Labour Party,52
craig-liz,Liz Craig,"Craig, Liz",https://www.parliament.nz/media/4457/craig-liz.Dp5fuA.jpg,liz.craig@parliament.govt.nz,https://www.facebook.com/LizCraigInvercargill,"",https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/craig-liz/,Dr,2017-10-12,,List,Labour Party,52
barry-maggie,Maggie Barry,"Barry, Maggie",https://www.parliament.nz/media/2005/barry-maggie.DmxLiQ.jpg,Maggie.Barry@parliament.govt.nz,https://www.facebook.com/maggiebarrynz,https://twitter.com/maggiebarrynz,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/barry-maggie/,,2017-10-12,,North Shore,National Party,52
davidson-marama,Marama Davidson,"Davidson, Marama",https://www.parliament.nz/media/1280/davidson-marama.DmxK5w.jpg,Marama.Davidson@parliament.govt.nz,https://www.facebook.com/maramadavidsonmp/,https://twitter.com/MaramaDavidson,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/davidson-marama/,,2017-10-12,,List,Green Party,52
bennett-paula,Paula Bennett,"Bennett, Paula",https://www.parliament.nz/media/1263/bennett-paula.DmxK5A.jpg,paula.bennett@parliament.govt.nz,https://www.facebook.com/paulabennettmp,https://twitter.com/paulabennettmp,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/bennett-paula/,,2017-10-12,,Upper Harbour,National Party,52
brown-simeon,Simeon Brown,"Brown, Simeon",https://www.parliament.nz/media/4396/simeon-brown.Do-IAQ.jpg,simeon.brown@parliament.govt.nz,https://www.facebook.com/simeonbrownforpakuranga/,"",https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/brown-simeon/,,2017-10-12,,Pakuranga,National Party,52
bridges-simon,Simon Bridges,"Bridges, Simon",https://www.parliament.nz/media/2058/bridgess.DmxLlg.jpg,simon.bridges@parliament.govt.nz,https://www.facebook.com/Simon.Bridges.MP,https://twitter.com/simonjbridges,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/bridges-simon/,,2017-10-12,,Tauranga,National Party,52
coffey-tamati,Tamati Coffey,"Coffey, Tamati",https://www.parliament.nz/media/4444/coffey-tamati.DpoK6g.jpg,tamati.coffey@parliament.govt.nz,https://www.facebook.com/tamaticoffey2017/?fref=ts,https://twitter.com/tamaticoffey,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/coffey-tamati/,,2017-10-12,,Waiariki,Labour,52
