id,name,name__en,name__de,name__fr,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__es,name__nl,name__ja,wikipedia__de,occupation,name__lb,name__zh,name__tum,name__pl,name__ko,name__he,name__oc,name__yo,name__ms,name__et,name__id,name__ny,name__ml,name__br,name__vi,name__el,name__ar,name__sv,name__pt,name__eo,name__ru,name__sr,name__tr,name__ca,name__fi,name__la,name__os,name__io,name__mr,name__ka,name__nb,name__uk,name__fa,name__nn,name__da,name__be,name__it,name__sco,name__cs,name__kk,name__hu,wikipedia__ar,wikipedia__ast,wikipedia__be,wikipedia__br,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__ny,wikipedia__oc,wikipedia__os,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sco,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__tum,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,identifier__freebase,family_name,identifier__VIAF,identifier__ISNI,identifier__LCAuth,identifier__Britannica,name__ast,twitter,death_date,wikipedia__zh_yue,name__yue,instagram,facebook,identifier__IMDB,wikipedia__commons,name__bar,name__sl,name__zh_hant,name__zh_hans,name__pt_br
Q45779603,Alex Major,Alex Major,,,,male,,Alex,,Alex Major,Alex Major,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Major,,,,,,,,,,Alex Major,,,
Q45779624,Alexander Dzonzi,Alexander Dzonzi,,,,male,,Alexander,,Alexander Dzonzi,Alexander Dzonzi,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Dzonzi,,,,,,,,,,Alexander Dzonzi,,,
Q45779646,Alice Ngoma,Alice Ngoma,,,,female,,Alice,,Alice Ngoma,Alice Ngoma,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngoma,,,,,Alice Ngoma,,,,,,,,,,Alice Ngoma,,,
Q45779667,Allan Ngumuya,Allan Ngumuya,,,,male,,Allan,,Allan Ngumuya,Allan Ngumuya,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allan Ngumuya,,,,,,,,,,Allan Ngumuya,,,
Q45779688,Amon Nkhata,Amon Nkhata,,,,male,,Amon,,Amon Nkhata,Amon Nkhata,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amon Nkhata,,,,,,,,,,Amon Nkhata,,,
Q45779701,Amos Mailosi,Amos Mailosi,,,,male,,Amos,,Amos Mailosi,Amos Mailosi,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amos Mailosi,,,,,,,,,,Amos Mailosi,,,
Q45779717,Angie Kaliati,Angie Kaliati,,,,male,,,,Angie Kaliati,Angie Kaliati,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angie Kaliati,,,,,,,,,,Angie Kaliati,,,
Q45779733,Assan Lipande,Assan Lipande,,,,male,,Assan,,Assan Lipande,Assan Lipande,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assan Lipande,,,,,,,,,,Assan Lipande,,,
Q45779759,Baudeni Mtonga,Baudeni Mtonga,,,,male,,,,Baudeni Mtonga,Baudeni Mtonga,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baudeni Mtonga,,,,,,,,,,Baudeni Mtonga,,,
Q45779780,Beatrice Mwale,Beatrice Mwale,,,,female,,Beatrice,,Beatrice Mwale,Beatrice Mwale,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beatrice Mwale,,,,,,,,,,Beatrice Mwale,,,
Q45779804,Benedicto Chambo,Benedicto Chambo,,,,male,,Benedicto,,Benedicto Chambo,Benedicto Chambo,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benedicto Chambo,,,,,,,,,,Benedicto Chambo,,,
Q45779828,Bon Kalindo,Bon Kalindo,,,,male,,,,Bon Kalindo,Bon Kalindo,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bon Kalindo,,,,,,,,,,Bon Kalindo,,,
Q45779853,Bonex Malunga,Bonex Malunga,,,,male,,,,Bonex Malunga,Bonex Malunga,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonex Malunga,,,,,,,,,,Bonex Malunga,,,
Q45779875,Boniface Kadzamira,Boniface Kadzamira,,,,male,,Boniface,,Boniface Kadzamira,Boniface Kadzamira,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boniface Kadzamira,,,,,,,,,,Boniface Kadzamira,,,
Q45779894,Canaan Kaphamtengo,Canaan Kaphamtengo,,,,male,,,,Canaan Kaphamtengo,Canaan Kaphamtengo,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canaan Kaphamtengo,,,,,,,,,,Canaan Kaphamtengo,,,
Q45779916,Cecilia Chazama,Cecilia Chazama,,,Cecilia Chazama,female,1968-11-22,Cecilia,,Cecilia Chazama,Cecilia Chazama,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cecilia Chazama,,,,,,,,,,Cecilia Chazama,,,
Q45779939,Charles Tikhiwa,Charles Tikhiwa,,,,male,,Charles,,Charles Tikhiwa,Charles Tikhiwa,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Tikhiwa,,,,,,,,,,Charles Tikhiwa,,,
Q45779958,Charles Mchacha,Charles Mchacha,,,,male,,Charles,,Charles Mchacha,Charles Mchacha,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Mchacha,,,,,,,,,,Charles Mchacha,,,
Q45779982,Chizamsoka Mulwafu,Chizamsoka Mulwafu,,,,male,,,,Chizamsoka Mulwafu,Chizamsoka Mulwafu,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chizamsoka Mulwafu,,,,,,,,,,Chizamsoka Mulwafu,,,
Q45780004,Chrissy Tembo,Chrissy Tembo,,,,female,,,,Chrissy Tembo,Chrissy Tembo,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrissy Tembo,,,,,,,,,,Chrissy Tembo,,,
Q45780029,Christopher Mnyenyembe,Christopher Mnyenyembe,,,,male,,Christopher,,Christopher Mnyenyembe,Christopher Mnyenyembe,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christopher Mnyenyembe,,,,,,,,,,Christopher Mnyenyembe,,,
Q45780053,Clarke Lowe,Clarke Lowe,,,,male,,,,Clarke Lowe,Clarke Lowe,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowe,,,,,Clarke Lowe,,,,,,,,,,Clarke Lowe,,,
Q45780072,Clement Mukumbwa,Clement Mukumbwa,,,,male,,Clement,,Clement Mukumbwa,Clement Mukumbwa,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clement Mukumbwa,,,,,,,,,,Clement Mukumbwa,,,
Q45780095,Clement Mlombwa,Clement Mlombwa,,,,male,,Clement,,Clement Mlombwa,Clement Mlombwa,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clement Mlombwa,,,,,,,,,,Clement Mlombwa,,,
Q45780116,Collings Kajawa,Collings Kajawa,,,,male,,,,Collings Kajawa,Collings Kajawa,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collings Kajawa,,,,,,,,,,Collings Kajawa,,,
Q45780134,Commodius Nyirenda,Commodius Nyirenda,,,,male,,,,Commodius Nyirenda,Commodius Nyirenda,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commodius Nyirenda,,,,,,,,,,Commodius Nyirenda,,,
Q45780157,Damson Chimalira,Damson Chimalira,,,,male,,,,Damson Chimalira,Damson Chimalira,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damson Chimalira,,,,,,,,,,Damson Chimalira,,,
Q45780179,Daniel Chiwere,Daniel Chiwere,,,,male,,Daniel,,Daniel Chiwere,Daniel Chiwere,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Chiwere,,,,,,,,,,Daniel Chiwere,,,
Q45780202,Daudi Chida,Daudi Chida,,,,male,,,,Daudi Chida,Daudi Chida,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daudi Chida,,,,,,,,,,Daudi Chida,,,
Q45780220,David Bisnowaty,David Bisnowaty,,,,male,,David,,David Bisnowaty,David Bisnowaty,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Bisnowaty,,,,,,,,,,David Bisnowaty,,,
Q45780239,David Lally,David Lally,,,,male,,David,,David Lally,David Lally,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Lally,,,,,,,,,,David Lally,,,
Q45780254,Davies Kadzinja,Davies Kadzinja,,,,male,,Davies,,Davies Kadzinja,Davies Kadzinja,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davies Kadzinja,,,,,,,,,,Davies Kadzinja,,,
Q45780268,Dennis Namachekecha,Dennis Namachekecha,,,,male,,Dennis,,Dennis Namachekecha,Dennis Namachekecha,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dennis Namachekecha,,,,,,,,,,Dennis Namachekecha,,,
Q45780291,Deus Banda,Deus Banda,,,,male,,,,Deus Banda,Deus Banda,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deus Banda,,,,,,,,,,Deus Banda,,,
Q45780313,Divelias Zaipa,Divelias Zaipa,,,,male,,,,Divelias Zaipa,Divelias Zaipa,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Divelias Zaipa,,,,,,,,,,Divelias Zaipa,,,
Q45780336,Allan Chiyembekeza,Allan Chiyembekeza,,,,male,,Allan,,Allan Chiyembekeza,Allan Chiyembekeza,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allan Chiyembekeza,,,,,,,,,,Allan Chiyembekeza,,,
Q45780352,Clement Chiwaya,Clement Chiwaya,,,,male,,Clement,,Clement Chiwaya,Clement Chiwaya,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clement Chiwaya,,,,,,,,,,Clement Chiwaya,,,
Q45780367,Elias Chakwera,Elias Chakwera,,,,male,,Elias,,Elias Chakwera,Elias Chakwera,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elias Chakwera,,,,,,,,,,Elias Chakwera,,,
Q45780387,Emmanuel Fabiano,Emmanuel Fabiano,Emmanuel Fabiano,Emmanuel Fabiano,,male,,Emmanuel,,Emmanuel Fabiano,Emmanuel Fabiano,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Ministerial_Roundtable_LDCs_and_Business_Executive_(30597140897).jpg,,Fabiano,,,,,Emmanuel Fabiano,,,,,,,,Category:Emmanuel Fabiano,,Emmanuel Fabiano,,,
Q45780403,Francis Mkungula,Francis Mkungula,,,,male,,Francis,,Francis Mkungula,Francis Mkungula,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francis Mkungula,,,,,,,,,,Francis Mkungula,,,
Q45780422,Jessie Kabwila,Jessie Kabwila,,,,female,,Jessie,,Jessie Kabwila,Jessie Kabwila,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessie Kabwila,,,,,,,,,,Jessie Kabwila,,,
Q45780444,Joseph Malunga,Joseph Malunga,,,,male,,Joseph,,Joseph Malunga,Joseph Malunga,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Malunga,,,,,,,,,,Joseph Malunga,,,
Q45780462,Lazarus Chakwera,Lazarus Chakwera,,,,male,,Lazarus,,Lazarus Chakwera,Lazarus Chakwera,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lazarus Chakwera,,,,,,,,,,Lazarus Chakwera,,,
Q45780487,Patrick Makina,Patrick Makina,,,,male,,Patrick,,Patrick Makina,Patrick Makina,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick Makina,,,,,,,,,,Patrick Makina,,,
Q45780507,Peter Kumpalume,Peter Kumpalume,,,,male,,Peter,,Peter Kumpalume,Peter Kumpalume,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Kumpalume,,,,,,,,,,Peter Kumpalume,,,
Q45780531,Uladi Mussa,Uladi Mussa,,,,male,,,,Uladi Mussa,Uladi Mussa,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uladi Mussa,,,,,,,,,,Uladi Mussa,,,
Q45780554,Edmans Kaduya,Edmans Kaduya,,,,male,,,,Edmans Kaduya,Edmans Kaduya,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edmans Kaduya,,,,,,,,,,Edmans Kaduya,,,
Q45780575,Elias Kamanga,Elias Kamanga,,,,male,,Elias,,Elias Kamanga,Elias Kamanga,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elias Kamanga,,,,,,,,,,Elias Kamanga,,,
Q45780599,Emily Phiri,Emily Phiri,,,,female,,Emily,,Emily Phiri,Emily Phiri,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emily Phiri,,,,,,,,,,Emily Phiri,,,
Q45780622,Emmanuel Lozo,Emmanuel Lozo,,,,male,,Emmanuel,,Emmanuel Lozo,Emmanuel Lozo,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emmanuel Lozo,,,,,,,,,,Emmanuel Lozo,,,
