id,name__fr,name__en,name__es,name__de,name__ru,name__tr,name__pl,name__zh,name__ar,name__it,name__nl,name__id,name__da,name__hu,name__ja,name,wikipedia__ar,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__fr,wikipedia__id,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__tr,wikipedia__zh,image,gender,identifier__VIAF,identifier__GND,identifier__SUDOC,birth_date,given_name,original_wikiname,identifier__ISNI,identifier__LCAuth,name__vi,name__ca,name__sv,name__cs,wikipedia__ca,wikipedia__cs,wikipedia__nl,wikipedia__plwikiquote,wikipedia__sv,wikipedia__vi,identifier__freebase,name__yo,name__uk,wikipedia__uk,wikipedia__yo,death_date,wikipedia__it,name__fa,wikipedia__fa,identifier__BNF,identifier__MusicBrainz,name__br,wikipedia__br,identifier__FAST,identifier__SFDb,name__nb,name__nn,identifier__sycomore,name__kab,wikipedia__kab,name__pt,name__fi,wikipedia__fi,wikipedia__eo,name__oc,name__eo,identifier__elonet,identifier__kinopoisk,identifier__NLI,name__zh_hant,name__zh_cn,identifier__IMDB,identifier__AlloCine,identifier__allmovie,identifier__CSFD,wikipedia__no,occupation,wikipedia__pt,name__cy,name__he,wikipedia__he,identifier__NTA,identifier__EGAXA,identifier__NLP,name__nds,name__lt,name__li,name__lb,name__gsw,name__el,wikipedia__el,wikipedia__frwikiquote,identifier__NDL,identifier__BIBSYS,wikipedia__lad,name__lad,wikipedia__eu,name__eu,name__sl,wikipedia__ast,name__bar,identifier__GTAA,name__ast,identifier__CONOR,twitter,wikipedia__so,name__so,name__arq,family_name
Q18214561,Djelloul Djoudi,Djelloul Djoudi,Djelloul Djoudi,,,,,,,,Djelloul Djoudi,,,,,Djelloul Djoudi,,,,,,,Djelloul Djoudi,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/03/DJELLOUL_DJOUDI.jpg,male,,,,,,Djelloul Djoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Djelloul Djoudi,,,,Djelloul Djoudi,,,,,,
Q20666275,Abdelhalim Abdelouahab,Abdelhalim Abdelouahab,Abdelhalim Abdelouahab,,,,,,,,Abdelhalim Abdelouahab,,,,,Abdelhalim Abdelouahab,,,,,,,Abdelhalim Abdelouahab,,,,,,,,male,,,,,,Abdelhalim Abdelouahab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Abdelhalim Abdelouahab,,,,Abdelhalim Abdelouahab,,,,,,
Q20666283,Ahmed Cherifi,Ahmed Cherifi,Ahmed Cherifi,,,,,,,,Ahmed Cherifi,,,,,Ahmed Cherifi,,,,,,,Ahmed Cherifi,,,,,,,,male,,,,,Ahmed,Ahmed Cherifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Ahmed Cherifi,,,,Ahmed Cherifi,,,,,,
Q20666415,Chahrazade Kirouani,Chahrazade Kirouani,Chahrazade Kirouani,,,,,,,,Chahrazade Kirouani,,,,,Chahrazade Kirouani,,,,,,,Chahrazade Kirouani,,,,,,,,female,,,,,,Chahrazade Kirouani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Chahrazade Kirouani,,,,Chahrazade Kirouani,,,,,,
Q20666560,Fatima Boudjemline,Fatima Boudjemline,Fatima Boudjemline,,,,,,,,Fatima Boudjemline,,,,,Fatima Boudjemline,,,,,,,Fatima Boudjemline,,,,,,,,female,,,,,Fatima,Fatima Boudjemline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Fatima Boudjemline,,,,Fatima Boudjemline,,,,,,
Q20666616,Ghani Boudebouz,Ghani Boudebouz,Ghani Boudebouz,,,,,,,,Ghani Boudebouz,,,,,Ghani Boudebouz,,,,,,,Ghani Boudebouz,,,,,,,,male,,,,,,Ghani Boudebouz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Ghani Boudebouz,,,,Ghani Boudebouz,,,,,,
Q20666740,Karima Admane,Karima Admane,Karima Admane,,,,,,,,Karima Admane,,,,,Karima Admane,,,,,,,Karima Admane,,,,,,,,female,,,,,Karima,Karima Admane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Karima Admane,,,,Karima Admane,,,,,,
Q20751684,Houda-Imane Faraoun,Houda-Imane Faraoun boutfli9a,Houda-Imane Faraoun,,,,,,هدى إيمان فرعون,,Houda-Imane Faraoun,,,,,Houda-Imane Faraoun boutfli9a,هدى إيمان فرعون,Category:Houda-Imane Faraoun,,,Houda-Imane Faraoun,Houda-Imane Faraoun,Houda-Imane Faraoun,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/12/Houda-Imane_Faraoun_-_May_2016.jpg,female,201059144,,,1979-06-16,,هدى إيمان فرعون,,,,Houda-Imane Faraoun,,,Houda-Imane Faraoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physicist,,,,,,,,,,,,,,,,,,,,,,Houda-Imane Faraoun,Houda-Imane Faraoun,,,Houda-Imane Faraoun,,,,,,
Q20961754,Abdelkrim Bouderghouma,Abdelkrim Bouderghouma,Abdelkrim Bouderghouma,,,,,,,,Abdelkrim Bouderghouma,,,,,Abdelkrim Bouderghouma,,,,,,,Abdelkrim Bouderghouma,,,,,,,,male,,,,1940-09,Abdelkrim,Abdelkrim Bouderghouma,,,,,,,,,,,,,,,,,,2013-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Abdelkrim Bouderghouma,,,,,,,,,,,,,,,,,,,,Abdelkrim Bouderghouma,,,,Abdelkrim Bouderghouma,,,,,,
Q20995417,Sid Ahmed Ferroukhi,Sid Ahmed Ferroukhi,Sid Ahmed Ferroukhi,,,,,,,,Sid Ahmed Ferroukhi,,,,,Sid Ahmed Ferroukhi,,,,,,,Sid Ahmed Ferroukhi,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Ferroukhi.jpg,male,,,,1967-07-11,Sid,Sid Ahmed Ferroukhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Sid Ahmed Ferroukhi,,,,Sid Ahmed Ferroukhi,,,,,,
Q20995461,Mustapha Laliam,Mustapha Laliam,Mustapha Laliam,,,,,,,,Mustapha Laliam,,,,,Mustapha Laliam,,,,,,,Mustapha Laliam,,,,,,,,male,,,,1928,Mustapha,Mustapha Laliam,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Mustapha Laliam,,,,Mustapha Laliam,,,,,,
Q21093131,Houari Souiah,Houari Souiah,Houari Souiah,,,,,,,,Houari Souiah,,,,,Houari Souiah,,,,,,,Houari Souiah,,,,,,,,male,,,,1915-09-21,,Houari Souiah,,,,,,,,,,,,,,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Houari Souiah,,,,Houari Souiah,,,,,,
Q24590204,Chafia Mentalecheta,Chafia Mentalecheta,Chafia Mentalecheta,,,,,,,Chafia Mentalecheta,Chafia Mentalecheta,,,,,Chafia Mentalecheta,,,,,,,Chafia Mentalecheta,,,,,,,,female,,,,,,Chafia Mentalecheta,,,,Chafia Mentalecheta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chafia Mentalecheta,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Chafia Mentalecheta,,,,Chafia Mentalecheta,,,,,,
Q25383110,Khalfa Mameri,Khalfa Mameri,Khalfa Mameri,,,,,,,,,,,,,Khalfa Mameri,,,,,,,Khalfa Mameri,,,,,,,,male,4939408,105576349X,,1936-08-12,,Khalfa Mameri,0000 0000 2215 7536,n82012337,,,,,,,,,,,,,,,,,,,,,,,,1451417,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,074934880,,A18602113,,,,,,,,,,,,,,,Khalfa Mameri,,,,Khalfa Mameri,,,,,,
Q2636619,Lalla Fatma N'Soumer,Lalla Fatma N'Soumer,Lalla Fatma N'Soumer,Lalla Fatma N'Soumer,Лалла Фатма Н'Сумер,,,,فاطمة نسومر,Lalla Fadhma n'Soumer,Lalla Fatma N'Soumer,Lalla Fatma N'Soumer,,Lalla Fatma N'Soumer,,Lalla Fatma N'Soumer,فاطمة نسومر,Category:Lalla Fatma N'Soumer,,,Lalla Fatma N'Soumer,Lalla Fadhma N'Soumer,Lalla Fatma N'Soumer,Lalla Fatma N'Soumer,,Лалла Фатма Н’Сумер,,,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Portrait-Fatma_N'Soumer.jpg,female,,,,1830-07-10,Lalla,فاطمة نسومر,,,,Lalla Fatma N'Soumer,Lalla Fatma N'Soumer,,Lalla Fatma N'Soumer,,,,Lalla Fatma N'Soumer,,/m/055jpr,,,,,1863,Lalla Fadhma n'Soumer,لاله فاطمه نسومر,لاله فاطمه نسومر,,,Lalla Fatma N'Soumer,Lalla Fatma N'Soumer,,,,,,Faḍma n Sumer,Faḍma n Sumer,,,,,,,,,,,,,,,,,activist,,,,,,,,,,,,,,,,,,,,,,Lalla Fatma N'Soumer,,,,,,,Lalla Fatma N'Soumer,Lalla Fatma N'Soumer,,
Q269903,Louisa Hanoune,Louisa Hanoune,Louisa Hanoune,Louisa Hanoune,"Ханун, Луиза",,Louisa Hanoune,,لويزة حنون,Louisa Hanoune,Louisa Hanoune,,,Louisa Hanoune,,Louisa Hanoune,لويزة حنون,Category:Luisa Hanoune,,Louisa Hanoune,Louisa Hanoune,Louisa Hanoune,Louisa Hanoune,,Louisa Hanoune,"Ханун, Луиза",,,,https://upload.wikimedia.org/wikipedia/commons/5/51/Luisa_Hanoune_en_2014.jpg,female,18033849,119527618,,1954-04-07,Louisa,Louisa Hanoune,0000 0000 5533 6178,n96111669,,Louisa Hanoune,,,Louisa Hanoune,,,,,Louisa Hanoune,/m/02rfbd,,Луїза Ханун,Луїза Ханун,,,,,,,,,,383641,,,,,Lwiza Ḥennun,,Louisa Hanoune,Louisa Hanoune,Louisa Hanoune,,,,,,,,,,,,,,politician,,,לואיזה חאנון,לואיזה חאנון,,,,,,,,,,,,,98052933,Louisa Hanoune,Louisa Hanoune,,,Louisa Hanoune,,,,Louisa Hanoune,,,,,,
Q2821005,Abdelaziz Ziari,Abdelaziz Ziari,Abdelaziz Ziari,,,Abdülaziz Ziari,,,عبد العزيز زياري,Abdelaziz Ziari,Abdelaziz Ziari,,,,,Abdelaziz Ziari,عبد العزيز زياري,,,,,,Abdelaziz Ziari,,,,,Abdülaziz Ziari,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Abdelaziz_Ziari.jpg,male,168161682,,,1945-08-28,Abdelaziz,Abdelaziz Ziari,0000 0001 1528 1819,no2011022286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Abdelaziz Ziari,,,,Abdelaziz Ziari,,,,,,
Q2836171,Ali Brahimi,Ali Brahimi,Ali Brahimi,,,,,,,Ali Brahimi,Ali Brahimi,,,,,Ali Brahimi,,,,,,,Ali Brahimi,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/83/Ali_BRAHIMI.jpg,male,,,,1957,Ali,Ali Brahimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Ali Brahimi,,,,Ali Brahimi,,,,,,
Q2836221,Ali Fawzi Rebaine,Ali Fawzi Rebaine,Ali Fawzi Rebaine,Ali Fawzi Rebaine,,,,,علي فوزي رباعين,Ali Fawzi Rebaine,Ali Fawzi Rebaine,,Ali Fawzi Rebaine,Ali Fawzi Rebaine,,Ali Fawzi Rebaine,علي فوزي رباعين,,Ali Fawzi Rebaine,,Ali Fawzi Rebaine,,Ali Fawzi Rebaine,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Bulletin_de_vote_de_Ali_Faouzi_Rebaïne_2014_(cropped).jpg,male,6444270,,,1955-01-24,Ali,Ali Fawzi Rebaine,0000 0000 3984 4412,n87128982,,,,,,,,,,,,,,,,,,,,,,,,208187,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Ali Fawzi Rebaine,,,,Ali Fawzi Rebaine,,,,,,
Q2836366,Ali Yahia Abdennour,Ali Yahia Abdennour,Ali Yahia Abdennour,Ali Yahia Abdennour,,,,,علي يحيى عبد النور,Ali Yahia Abdennour,,,,,,Ali Yahia Abdennour,علي يحيى عبد النور,,,,,,Ali Yahia Abdennour,,,,,,,,male,,120792540,,1921-01-18,Ali,Ali Yahia Abdennour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,Ali Yahia Abdennour,,,,Ali Yahia Abdennour,,,,,,
Q2841145,Amar Ghoul,Amar Ghoul,Amar Ghoul,Amar Ghoul,,,,,عمار غول,Amar Ghoul,Amar Ghoul,,,,,Amar Ghoul,عمار غول,,,,Amar Ghoul,,Amar Ghoul,,,,,,,,male,,,,1961-02-21,Amar,Amar Ghoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agriculture,,,,,,,,,,,,,,,,,,,,,,Amar Ghoul,,,,Amar Ghoul,,,,,,
Q2841164,Amar Ouzegane,Amar Ouzegane,Amar Ouzegane,Amar Ouzegane,,,Amar Ouzegane,,,Amar Ouzegane,Amar Ouzegane,,Amar Ouzegane,Amar Ouzegane,,Amar Ouzegane,,,,,Amar Ouzegane,,Amar Ouzegane,,,,,,,,male,160959245,,,1910-03-07,Amar,Amar Ouzegane,0000 0001 0845 8436,no2015062798,,Amar Ouzegane,Amar Ouzegane,,,,,,,,,,,,,1981-03-05,,,,,,,,,,Amar Ouzegane,Amar Ouzegane,5639,,,,,,,,,,,,,,,,,,,politician,,,,,,,,Amar Ouzegane,Amar Ouzegane,Amar Ouzegane,Amar Ouzegane,Amar Ouzegane,,,,,,,,,,Amar Ouzegane,,,,Amar Ouzegane,,,,,,
Q2869519,Atmane Mazouz,Atmane Mazouz,Atmane Mazouz,,,,,,,Atmane Mazouz,,,,,,Atmane Mazouz,,,,,,,Atmane Mazouz,,,,,,,,male,,,,1970-09-24,,Atmane Mazouz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Atmane Mazouz,,,,Atmane Mazouz,,MazouzAtmane,,,,
Q2987655,Fatiha Boudiaf,Fatiha Boudiaf,Fatiha Boudiaf,Fatiha Boudiaf,"Будиаф, Фатиха",,,,فتيحة بوضياف,,Fatiha Boudiaf,,,,ファーティハ・ブーディアフ,Fatiha Boudiaf,فتيحة بوضياف,,,,Fatiha Boudiaf,Fatiha Boudiaf,Fatiha Boudiaf,,,"Будиаф, Фатиха",,,,https://upload.wikimedia.org/wikipedia/commons/f/f8/Fatiha-boudiaf.jpg,female,,,,1944-11-28,Fatiha,فتيحة بوضياف,,,Fatiha Boudiaf,Fatiha Boudiaf,,,Fatiha Boudiaf,,,,,Fatiha Boudiaf,/m/064jnj,,Фатіха Будіаф,Фатіха Будіаф,,,,,,,,,,,,Fatiha Boudiaf,,,,,,,,,,,,,,,,,,,,Fatiha Boudiaf,activist,,,,,,,,,,,,,,,,,,,,,,Fatiha Boudiaf,,,,Fatiha Boudiaf,,,,,,
Q30028627,Saïd Bouhadja,Saïd Bouhadja,,,,,,,السعيد بوحجة,,Saïd Bouhadja,,,,,Saïd Bouhadja,السعيد بوحجة,,,,,,Saïd Bouhadja,,,,,,,,male,,,,1938-04-22,,Saïd Bouhadja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الكلب الخراي,
Q3066915,Farida Haddouche,Farida Haddouche,Farida Haddouche,Farida Haddouche,,,,,فريدة حدوش,Farida Haddouche,Farida Haddouche,,,,,Farida Haddouche,فريدة حدوش,,,,Farida Haddouche,,Farida Haddouche,,,,,,,,female,,,,1959,Farida,فريدة حدوش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Farida Haddouche,,,,Farida Haddouche,,,,,,
Q3193218,Karim Tabbou,Karim Tabbou,Karim Tabbou,,,,,,,Karim Tabbou,Karim Tabbou,,,,,Karim Tabbou,,,,,,,Karim Tabbou,,,,,,,,male,,,,1973-06-02,Karim,Karim Tabbou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Karim Tabbou,,,,Karim Tabbou,,,,,,
Q3335200,Naima Farhi,Naima Farhi,Naima Farhi,Naima Farhi,,,,,نعيمة فرحي,Naima Farhi,Naima Farhi,,,,,Naima Farhi,نعيمة فرحي,,,,Naima Farhi,,Naima Farhi,,,,,,,,female,,,,1976,Naima,نعيمة فرحي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Naima Farhi,,,,Naima Farhi,,,,,,
Q3486917,Smaïl Mira,Smaïl Mira,,Smaïl Mira,,,,,إسماعيل ميرة,Smaïl Mira,Smaïl Mira,,,,,Smaïl Mira,إسماعيل ميرة,,,,,,Smaïl Mira,,,,,,,,male,59042516,,,1947-04-17,Smaïl,Smaïl Mira,,nr2006004085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Smaïl Mira,,,,Smaïl Mira,,,,,,
Q3572799,Youcef Yousfi,Youcef Yousfi,Youcef Yousfi,Youcef Yousfi,"Юсфи, Юсеф",Youcef Yousfi,Jusuf al-Jusufi,尤素福·尤素菲,يوسف يوسفي,Youcef Yousfi,Youcef Yousfi,Youcef Yousfi,Youcef Yousfi,Youcef Yousfi,ユーセフ・ユーセフィ,Youcef Yousfi,يوسف يوسفي,Category:Youcef Yousfi,Youcef Yousfi,Youcef Yousfi,Youcef Yousfi,Youcef Yousfi,Youcef Yousfi,Youcef Yousfi,Jusuf al-Jusufi,"Юсфи, Юсеф",Youcef Yousfi,Yusuf Yusufi,尤素福·尤素菲,https://upload.wikimedia.org/wikipedia/commons/a/a3/Youcef_Yousfi.jpg,male,218374987,170667685,,1941-10-02,Jusuf,Youcef Yousfi,0000 0003 5954 8161,,,,,,,,,,,,,,,,,,,یوسف یوسفی,یوسف یوسفی,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,יוסף יוספי,יוסף יוספי,,,,,,,,,,,,,,,,,,Youcef Yousfi,Youcef Yousfi,,,Youcef Yousfi,,,,,,
Q3575695,Zohra Drif,Zohra Drif,Zohra Drif,Zohra Drif Batat,Зохра Дриф,,,,زهرة ظريف,Zohra Drif,Zohra Drif,,,Zohra Drif,,Zohra Drif,زهرة ظريف,Category:Zohra Drif,,Zohra Drif Bitat,Zohra Drif,,Zohra Drif,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b5/L'arrestation_de_Zohra_Drif_en_1957.jpg,female,7093767,,,1934-12-28,Zohra,زهرة ظريف,0000 0000 5411 1153,,,,,,,,,,,Zohra Drif,,,Зохра Дріф,Зохра Дріф,,,Zohra Drif,زهره ظریف,زهره ظریف,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,Zohra Drif,,,,Zohra Drif,,,,,,
