id,name__en,name__es,name__it,name__nl,name__fr,name__de,name__hu,name,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__nb,name__da,name__nn,name__sv,name__id,wikipedia__fr,wikipedia__id,name__mg,wikipedia__mg,name__rw,wikipedia__rw,wikipedia__de,identifier__VIAF,name__ru,name__et,name__tr,name__pl,name__el,name__pt,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__hu,wikipedia__it,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__tr,image,death_date,wikipedia__sv,name__nds,wikipedia__nds,name__ku,name__yo,name__lt,name__ca,name__oc,wikipedia__ku,wikipedia__lt,wikipedia__yo,identifier__freebase,name__cs,name__sk,name__sr,wikipedia__sr,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,name__en_ca,name__en_gb,name__fi,name__fo,name__is,name__kl,wikipedia__commons,wikipedia__ar,name__ar,name__ja,name__zh_hant,name__zh_cn,name__zh,name__eu,wikipedia__zh,wikipedia__vi,name__vi,wikipedia__plwikiquote,occupation,name__la,wikipedia__la,identifier__SELIBR,identifier__NTA,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cy,name__de_at,name__de_ch,name__eo,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__simple,name__he,wikipedia__he,identifier__GND,wikipedia__ga,family_name,wikipedia__ml,wikipedia__ca,wikipedia__fi,twitter,name__ml,facebook,wikipedia__azb,wikipedia__hy,name__hy,name__azb,name__lg,wikipedia__lg,identifier__NLP,wikipedia__no,name__sl
Q16203636,Abraham Byandaala,,,Abraham Byandaala,Abraham Byandaala,Abraham Byandaala,,Abraham Byandaala,Abraham Byandala,male,1950-01-14,Abraham,Abraham Byandala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abraham Byandaala
Q16203647,Henry Musasizi,,,Henry Musasizi,Henry Musasizi,Henry Musasizi,,Henry Musasizi,Henry Musasizi,male,1981-02-25,Henry,Henry Musasizi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Musasizi_Dec_2015.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henry Musasizi
Q16751154,Wafula Oguttu,,,Wafula Oguttu,Wafula Oguttu,Wafula Oguttu,,Wafula Oguttu,Wafula Oguttu,male,1952-12-21,,Wafula Oguttu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wafula Oguttu
Q16875907,Chris Baryomunsi,,,Chris Baryomunsi,Chris Baryomunsi,Chris Baryomunsi,,Chris Baryomunsi,Chris Baryomunsi,male,1969-09-12,Chris,Chris Baryomunsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Baryomunsi
Q17308883,Tete Chelangat,,Tete Chelangat,Tete Chelangat,Tete Chelangat,Tete Chelangat,,Tete Chelangat,Tete Chelangat,female,1960-08-06,,Tete Chelangat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tete Chelangat
Q1740843,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,male,1947-11-07,,Ruhakana Rugunda,,Ruhakana Rugunda,,,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,,,,,Ruhakana Rugunda,6807153063250219320005,Рухакана Ругунда,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,Ρουχακάνα Ρουγκούντα,Ruhakana Rugunda,Ρουχακάνα Ρουγκούντα,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,Ruhakana Rugunda,"Ругунда, Рухакана",Ruhakana Rugunda,https://upload.wikimedia.org/wikipedia/commons/8/8b/Ruhakana_Rugunda.jpg,,,,,,,,,,,,,/m/0fh9qw,,,,,,,,,,,,,,,,,,ルハカナ・ルグンダ,魯哈卡納·魯貢達,鲁哈卡纳·鲁贡达,魯哈卡納·魯貢達,,,,,,physician,Ruhakana Rugunda,Ruhakana Rugunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruhakana Rugunda,רוהאקנה רוגונדה,רוהאקנה רוגונדה,1161673539,,,,,,RuhakanaR,,,,,,,,,,,Ruhakana Rugunda
Q19276819,Cecilia Ogwal,,,Cecilia Ogwal,Cecilia Ogwal,,,Cecilia Ogwal,Cecilia Ogwal,female,1946-06-12,Cecilia,Cecilia Ogwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cecilia Ogwal
Q19364579,Sam Otada,,Sam Otada,Sam Otada,Sam Otada,,,Sam Otada,Sam Otada,male,1971,Sam,Sam Otada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Otada
Q1949128,Moses Ali,Moses Ali,,Moses Ali,Moses Ali,Moses Ali,Moses Ali,Moses Ali,Moses Ali,male,1939-04-05,Moses,Moses Ali,,,,,,,,,,,,Moses Ali,,,,,,,,,,,,,,,,,,,,Moses Ali,Moses Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,موزس علی,,,موزس علی,,,,,Moses Ali
Q19609598,Evelyn Anite,,,Evelyn Anite,Evelyn Anite,,,Evelyn Anite,Evelyn Anite,female,1984-11-11,Evelyn,Evelyn Anite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cd/M6fbqWAs_400x400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evelyn Anite
Q19609616,Gabriel Ajedra Aridru,,,Gabriel Ajedra Aridru,Gabriel Ajedra Aridru,,,Gabriel Ajedra Aridru,Gabriel Ajedra Aridru,male,1962-08-30,Gabriel,Gabriel Ajedra Aridru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel Ajedra Aridru
Q19666374,Vincent Ssempijja,,,Vincent Ssempijja,Vincent Ssempijja,Vincent Ssempijja,,Vincent Ssempijja,Vincent Ssempijja,male,1956-11-28,Vincent,Vincent Ssempijja,,,,,,,,,,,,Vincent Ssempijja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincent Ssempijja
Q19667631,Elioda Tumwesigye,,,Elioda Tumwesigye,Elioda Tumwesigye,,,Elioda Tumwesigye,Elioda Tumwesigye,male,1964-04-05,,Elioda Tumwesigye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/26/Elioda.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elioda Tumwesigye
Q19667761,Innocent Oula,,,Innocent Oula,,,,Innocent Oula,Innocent Oula,male,1961,,Innocent Oula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Innocent Oula
Q19668441,Ibrahim Ssemujju Nganda,,,Ibrahim Ssemujju Nganda,Ibrahim Ssemujju Nganda,,,Ibrahim Ssemujju Nganda,Ibrahim Ssemujju Nganda,male,1973-09-23,Ibrahim,Ibrahim Ssemujju Nganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibrahim Ssemujju Nganda
Q19668599,Beti Kamya-Turwomwe,,,Beti Kamya-Turwomwe,Beti Kamya-Turwomwe,,,Beti Kamya-Turwomwe,Beti Kamya-Turwomwe,female,1955-11-30,,Beti Kamya-Turwomwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Բեթի Քամիա,Բեթի Քամիա,,,,,,Beti Kamya-Turwomwe
Q19892030,Shem Bageine,,,Shem Bageine,,,,Shem Bageine,Shem Bageine,male,,Shem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shem Bageine
Q19893521,Mike Mukula,,,Mike Mukula,Mike Mukula,,,Mike Mukula,Mike Mukula,male,1956-08-27,Mike,Mike Mukula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike Mukula
Q20684666,Nandala Mafabi,,,Nandala Mafabi,Nandala Mafabi,,,Nandala Mafabi,Nandala Mafabi,male,1966-01-17,,Nandala Mafabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandala Mafabi
Q24565103,Dennis Galabuzi Ssozi,,,Dennis Galabuzi Ssozi,,,,Dennis Galabuzi Ssozi,Dennis Galabuzi Ssozi,male,1975,,Dennis Galabuzi Ssozi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dennis Galabuzi Ssozi
Q24565843,Sam Cheptoris,,,Sam Cheptoris,,,,Sam Cheptoris,Sam Cheptoris,male,1949-12-12,,Sam Cheptoris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Cheptoris
Q24565855,Monica Azuba Ntege,Monica Azuba Ntege,,Monica Azuba Ntege,Monica Azuba Ntege,Monica Azuba Ntege,,Monica Azuba Ntege,Monica Azuba Ntege,female,1956,Monica,Monica Azuba Ntege,,,,,,,,,,,,Monica Azuba Ntege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monica Azuba Ntege,Monica Azuba Ntege,,,,,,,,,,,,,,,,,engineer,,,,,,,,,,,,,,Monica Azuba Ntege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monica Azuba Ntege
Q24572616,Jane Aceng,Jane Aceng,,Jane Aceng,Jane Aceng,Jane Aceng,,Jane Aceng,Jane Aceng,female,1968-05-11,Jane,Jane Aceng,,,,,,,,,,,,Jane Aceng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jane Aceng
Q24572619,Betty Amongi,Betty Amongi,,Betty Amongi,Betty Amongi,Betty Amongi,,Betty Amongi,Betty Amongi,female,1975-11-15,,Betty Amongi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ബെറ്റി അമോംഗി,,,,ബെറ്റി അമോംഗി,,,Բեթի Ամոնգի,Բեթի Ամոնգի,,,,,,Betty Amongi
Q24572620,Florence Nakiwala Kiyingi,Florence Nakiwala Kiyingi,,Florence Nakiwala Kiyingi,Florence Nakiwala Kiyingi,Florence Nakiwala Kiyingi,,Florence Nakiwala Kiyingi,Florence Nakiwala Kiyingi,female,1972,Florence,Florence Nakiwala Kiyingi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florence Nakiwala Kiyingi
Q24572629,Abdul Nadduli,,,Abdul Nadduli,,,,Abdul Nadduli,Abdul Nadduli,male,,,Abdul Nadduli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Nadduli
Q24572632,William Byaruhanga,,,William Byaruhanga,,,,William Byaruhanga,William Byaruhanga,male,,William,William Byaruhanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Byaruhanga
Q24572633,Esther Mbulakubuza Mbayo,,,Esther Mbulakubuza Mbayo,,,,Esther Mbulakubuza Mbayo,Esther Mbulakubuza Mbayo,female,1971-04-27,,Esther Mbulakubuza Mbayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esther Mbulakubuza Mbayo
Q24572652,Grace Kwiyucwiny,Grace Kwiyucwiny,,Grace Kwiyucwiny,Grace Kwiyucwiny,Grace Kwiyucwiny,,Grace Kwiyucwiny,Grace Kwiyucwiny,female,,Grace,Grace Kwiyucwiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grace Kwiyucwiny
Q24572655,Joyce Moriku,Joyce Moriku,,Joyce Moriku,Joyce Moriku,Joyce Moriku,,Joyce Moriku,Joyce Moriku,female,1969-04-21,Joyce,Joyce Moriku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joyce Moriku
Q24572657,Julius Wandera Maganda,,,Julius Wandera Maganda,,,,Julius Wandera Maganda,Julius Wandera Maganda,male,1971-08-13,,Julius Wandera Maganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julius Wandera Maganda
Q24572683,Moses Kizige,,,Moses Kizige,,,,Moses Kizige,Moses Kizige,male,,,Moses Kizige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moses Kizige
Q24572701,David Karubanga,,,David Karubanga,,,,David Karubanga,David Karubanga,male,,David,David Karubanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Karubanga
Q24572708,Joy Kabatsi,Joy Kabatsi,,Joy Kabatsi,Joy Kabatsi,Joy Kabatsi,,Joy Kabatsi,Joy Kabatsi,female,1954-02-01,,Joy Kabatsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joy Kabatsi
