first_name,last_name,name,party,birth_date,residence,title,nationality,region,email,website,image,source,id,term
Dušan,Čaplovič,Dušan Čaplovič,SMER – sociálna demokracia,1946-09-18,Bratislava,"doc. PhDr., DrSc.",slovenská,Bratislavský,dusan_caplovic@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=244&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=244&CisObdobia=7,244,7
Miroslav,Číž,Miroslav Číž,SMER – sociálna demokracia,1954-02-11,Štiavnické Bane,JUDr.,slovenská,Banskobystrický,miroslav_ciz@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=246&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=246&CisObdobia=7,246,7
Gábor,Gál,Gábor Gál,MOST-HÍD,1974-11-22,Veľká Mača,Mgr.,maďarská,Trnavský,gabor_gal@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=258&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=258&CisObdobia=7,258,7
Maroš,Kondrót,Maroš Kondrót,SMER – sociálna demokracia,1960-11-06,Bratislava,Ing.,slovenská,Bratislavský,maros_kondrot@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=275&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=275&CisObdobia=7,275,7
Jana,Laššáková,Jana Laššáková,SMER – sociálna demokracia,1952-05-22,Vlkanová,JUDr.,slovenská,Banskobystrický,jana_lassakova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=278&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=278&CisObdobia=7,278,7
Ľubomír,Vážny,Ľubomír Vážny,SMER – sociálna demokracia,1957-07-15,Banská Bystrica,Ing.,slovenská,Banskobystrický,lubomir_vazny@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=293&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=293&CisObdobia=7,293,7
Róbert,Madej,Róbert Madej,SMER – sociálna demokracia,1981-01-03,Bratislava,"JUDr., PhD.",slovenská,Bratislavský,robert_madej@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=310&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=310&CisObdobia=7,310,7
Dušan,Muňko,Dušan Muňko,SMER – sociálna demokracia,1944-09-24,Bratislava,Ing.,slovenská,Bratislavský,dusan_munko@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=322&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=322&CisObdobia=7,322,7
Vladimír,Faič,Vladimír Faič,SMER – sociálna demokracia,1948-07-15,Prašice,RSDr.,slovenská,Nitriansky,vladimir_faic@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=36&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=36&CisObdobia=7,36,7
Anton,Hrnko,Anton Hrnko,Slovenská národná strana,1955-01-31,Stupava,"PhDr., CSc.",slovenská,Bratislavský,anton_hrnko@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=382&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=382&CisObdobia=7,382,7
Dušan,Jarjabek,Dušan Jarjabek,SMER – sociálna demokracia,1953-03-04,Bratislava,Mgr.,slovenská,Bratislavský,dusan_jarjabek@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=61&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=61&CisObdobia=7,61,7
Martin,Fedor,Martin Fedor,#SIEŤ,1974-03-04,Trenčianske Teplice,"Mgr., MEconSc.",slovenská,Trenčiansky,martin_fedor@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=653&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=653&CisObdobia=7,653,7
Dušan,Galis,Dušan Galis,SMER – sociálna demokracia,1949-11-24,Bratislava,Mgr.,slovenská,Bratislavský,dusan_galis@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=656&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=656&CisObdobia=7,656,7
Tibor,Glenda,Tibor Glenda,SMER – sociálna demokracia,1955-07-22,Alekšince,Ing.,slovenská,Nitriansky,tibor_glenda@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=658&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=658&CisObdobia=7,658,7
Martin,Glváč,Martin Glváč,SMER – sociálna demokracia,1967-11-20,Bratislava,JUDr.,slovenská,Bratislavský,martin_glvac@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=659&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=659&CisObdobia=7,659,7
Stanislav,Kubánek,Stanislav Kubánek,SMER – sociálna demokracia,1951-09-13,Prešov,Ing.,slovenská,Prešovský,stanislav_kubanek@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=668&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=668&CisObdobia=7,668,7
Ján,Kvorka,Ján Kvorka,SMER – sociálna demokracia,1955-01-28,Blatnica,"",slovenská,Žilinský,jan_kvorka@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=671&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=671&CisObdobia=7,671,7
Vladimír,Matejička,Vladimír Matejička,SMER – sociálna demokracia,1956-01-14,Komárno,Mgr.,slovenská,Nitriansky,vladimir_matejicka@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=676&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=676&CisObdobia=7,676,7
Milan,Mojš,Milan Mojš,SMER – sociálna demokracia,1956-11-11,Likavka,Ing.,slovenská,Žilinský,milan_mojs@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=678&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=678&CisObdobia=7,678,7
Oľga,Nachtmannová,Oľga Nachtmannová,SMER – sociálna demokracia,1963-07-14,Bratislava,"Mgr., PhD.",slovenská,Bratislavský,olga_nachtmannova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=679&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=679&CisObdobia=7,679,7
Ľubomír,Petrák,Ľubomír Petrák,SMER – sociálna demokracia,1961-08-06,Hurbanova Ves,"Ing., CSc.",slovenská,Bratislavský,lubomir_petrak@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=683&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=683&CisObdobia=7,683,7
Ján,Podmanický,Ján Podmanický,SMER – sociálna demokracia,1977-05-17,Stará Bystrica,"JUDr. PhDr., PhD.",slovenská,Žilinský,jan_podmanicky@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=685&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=685&CisObdobia=7,685,7
Ján,Senko,Ján Senko,SMER – sociálna demokracia,1958-07-11,Očová,PhDr.,slovenská,Banskobystrický,jan_senko@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=696&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=696&CisObdobia=7,696,7
Zsolt,Simon,Zsolt Simon,MOST-HÍD,1970-08-26,Padarovce,Ing.,maďarská,Banskobystrický,zsolt_simon@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=697&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=697&CisObdobia=7,697,7
Jozef,Valocký,Jozef Valocký,SMER – sociálna demokracia,1956-11-26,Galanta,MUDr.,slovenská,Trnavský,jozef_valocky@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=705&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=705&CisObdobia=7,705,7
Elemér,Jakab,Elemér Jakab,MOST-HÍD,1967-07-05,Veľké Raškovce,Mgr.,maďarská,Košický,elemer_jakab@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=710&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=710&CisObdobia=7,710,7
Mikuláš,Krajkovič,Mikuláš Krajkovič,SMER – sociálna demokracia,1968-04-13,Vápeník,Mgr.,rusínska,Prešovský,mikulas_krajkovic@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=726&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=726&CisObdobia=7,726,7
Jana,Vaľová,Jana Vaľová,SMER – sociálna demokracia,1965-07-08,Humenné,PhDr.,slovenská,Prešovský,jana_valova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=732&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=732&CisObdobia=7,732,7
Pavol,Goga,Pavol Goga,SMER – sociálna demokracia,1963-06-24,Topoľčany,PaedDr.,slovenská,Nitriansky,pavol_goga@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=738&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=738&CisObdobia=7,738,7
Miroslav,Beblavý,Miroslav Beblavý,#SIEŤ,1977-01-06,Bratislava,"doc. Ing., PhD.",slovenská,Bratislavský,miroslav_beblavy@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=758&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=758&CisObdobia=7,758,7
Martin,Poliačik,Martin Poliačik,Sloboda a Solidarita,1980-06-27,Bratislava,Mgr.,slovenská,Bratislavský,martin_poliacik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=759&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=759&CisObdobia=7,759,7
Radoslav,Procházka,Radoslav Procházka,#SIEŤ,1972-03-31,Bratislava,"doc. JUDr., PhD. J.S.D.",slovenská,Bratislavský,radoslav_prochazka@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=760&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=760&CisObdobia=7,760,7
Richard,Raši,Richard Raši,SMER – sociálna demokracia,1971-04-02,Košice,"MUDr., PhD. MPH",slovenská,Košický,richard_rasi@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=761&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=761&CisObdobia=7,761,7
Peter,Šuca,Peter Šuca,SMER – sociálna demokracia,1968-09-08,Nová Lesná,PaedDr.,slovenská,Prešovský,peter_suca@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=769&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=769&CisObdobia=7,769,7
Peter,Kresák,Peter Kresák,MOST-HÍD,1954-04-24,Bratislava,"doc. JUDr., CSc.",slovenská,Bratislavský,peter_kresak@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=77&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=77&CisObdobia=7,77,7
Jozef,Viskupič,Jozef Viskupič,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1976-02-08,Trnava,Mgr.,slovenská,Trnavský,jozef_viskupic@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=773&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=773&CisObdobia=7,773,7
Ľubomír,Želiezka,Ľubomír Želiezka,SMER – sociálna demokracia,1950-07-22,Bánovce nad Bebravou,"",slovenská,Trenčiansky,lubomir_zeliezka@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=775&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=775&CisObdobia=7,775,7
Natália,Blahová,Natália Blahová,Sloboda a Solidarita,1974-02-19,Zavar,Mgr.,slovenská,Trnavský,natalia_blahova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=777&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=777&CisObdobia=7,777,7
Dušan,Bublavý,Dušan Bublavý,SMER – sociálna demokracia,1964-04-04,Častkovce,Mgr.,slovenská,Trenčiansky,dusan_bublavy@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=778&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=778&CisObdobia=7,778,7
Ondrej,Dostál,Ondrej Dostál,Sloboda a Solidarita,1971-04-05,Bratislava,Mgr.,rómska,Bratislavský,ondrej_dostal@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=779&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=779&CisObdobia=7,779,7
Juraj,Droba,Juraj Droba,Sloboda a Solidarita,1971-05-25,Bratislava,"Mgr., MBA M.A.",slovenská,Bratislavský,juraj_droba@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=780&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=780&CisObdobia=7,780,7
Martin,Fecko,Martin Fecko,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1962-10-08,Prešov,Ing.,slovenská,Prešovský,martin_fecko@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=783&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=783&CisObdobia=7,783,7
Ľubomír,Galko,Ľubomír Galko,Sloboda a Solidarita,1968-02-14,Stupava,Mgr.,slovenská,Bratislavský,lubomir_galko@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=785&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=785&CisObdobia=7,785,7
Igor,Choma,Igor Choma,SMER – sociálna demokracia,1964-01-28,Žilina,Ing.,slovenská,Žilinský,igor_choma@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=790&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=790&CisObdobia=7,790,7
Ľubomír,Jahnátek,Ľubomír Jahnátek,SMER – sociálna demokracia,1954-09-16,Nitrianske Hrnčiarovce,"prof. Ing., CSc.",slovenská,Nitriansky,lubomir_jahnatek@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=792&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=792&CisObdobia=7,792,7
Erika,Jurinová,Erika Jurinová,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1971-08-31,Nižná,Ing.,slovenská,Žilinský,erika_jurinova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=795&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=795&CisObdobia=7,795,7
Eugen,Jurzyca,Eugen Jurzyca,Sloboda a Solidarita,1958-02-08,Bratislava,Ing.,slovenská,Bratislavský,eugen_jurzyca@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=796&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=796&CisObdobia=7,796,7
Jana,Kiššová,Jana Kiššová,Sloboda a Solidarita,1974-11-23,Bratislava,Ing.,slovenská,Bratislavský,jana_kissova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=799&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=799&CisObdobia=7,799,7
Igor,Matovič,Igor Matovič,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1973-05-11,Trnava,Mgr.,slovenská,Trnavský,igor_matovic@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=808&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=808&CisObdobia=7,808,7
Jozef,Mihál,Jozef Mihál,Sloboda a Solidarita,1965-03-18,Slovenský Grob,RNDr.,slovenská,Bratislavský,jozef_mihal@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=809&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=809&CisObdobia=7,809,7
Lucia,Ďuriš Nicholsonová,Lucia Ďuriš Nicholsonová,Sloboda a Solidarita,1976-11-28,Bratislava,"",slovenská,Bratislavský,lucia_nicholsonova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=812&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=812&CisObdobia=7,812,7
Mária,Janíková,Mária Janíková,SMER – sociálna demokracia,1970-11-18,Partizánske,PhDr.,slovenská,Trenčiansky,maria_janikova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=818&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=818&CisObdobia=7,818,7
Péter,Vörös,Péter Vörös,MOST-HÍD,1966-04-03,Komárno,Mgr.,maďarská,Nitriansky,peter_voros@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=841&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=841&CisObdobia=7,841,7
Edita,Pfundtner,Edita Pfundtner,MOST-HÍD,1973-01-30,Bratislava,Mgr.,maďarská,Bratislavský,edita_pfundtner@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=843&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=843&CisObdobia=7,843,7
Milan,Laurenčík,Milan Laurenčík,Sloboda a Solidarita,1958-09-23,Terchová,Ing.,slovenská,Žilinský,milan_laurencik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=847&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=847&CisObdobia=7,847,7
Richard,Vašečka,Richard Vašečka,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1973-11-03,Svederník,Mgr.,slovenská,Žilinský,richard_vasecka@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=861&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=861&CisObdobia=7,861,7
Milan,Panáček,Milan Panáček,SMER – sociálna demokracia,1977-07-23,Dohňany,Ing.,slovenská,Trenčiansky kraj,milan_panacek@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=870&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=870&CisObdobia=7,870,7
Vladimír,Baláž,Vladimír Baláž,SMER – sociálna demokracia,1958-08-14,Banská Bystrica,"MUDr., PhD.",slovenská,Banskobystrický kraj,vladimir_balaz@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=871&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=871&CisObdobia=7,871,7
Ladislav,Andreánsky,Ladislav Andreánsky,SMER – sociálna demokracia,1963-10-31,Liptovský Hrádok,MUDr.,slovenská,Žilinský kraj,ladislav_andreansky@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=872&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=872&CisObdobia=7,872,7
