id,name__fr,name__gl,name__en,name,wikipedia__en,wikipedia__fr,wikipedia__gl,gender,birth_date,death_date,given_name,original_wikiname,name__de,name__it,name__nl,name__ja,name__pl,name__el,name__ru,name__tr,name__lt,name__es,name__pt,name__vi,wikipedia__de,wikipedia__el,wikipedia__ja,wikipedia__lt,wikipedia__pl,wikipedia__ru,wikipedia__tr,wikipedia__vi,image,identifier__freebase,name__ms,name__fi,name__id,name__sv,name__da,name__nb,wikipedia__da,wikipedia__es,wikipedia__fi,wikipedia__id,wikipedia__it,wikipedia__ms,wikipedia__no,wikipedia__pt,wikipedia__sv,family_name,name__cy,wikipedia__cy,name__nn,name__hu
Q3335628,Nandi Glassie,Nandi Glassie,Nandi Glassie,Nandi Glassie,Nandi Glassie,Nandi Glassie,Nandi Glassie,male,1951-05-21,,Nandi,Nandi Glassie,Nandi Glassie,,Nandi Glassie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3284786,Mama Ngai Tupa,Ngai Tupa,Ngai Tupa,Ngai Tupa,Ngai Tupa,Mama Ngai Tupa,Ngai Tupa,female,1936-04-24,,,Ngai Tupa,Ngai Tupa,,Ngai Tupa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3339268,Ngamau Mere Munokoa,Ngamau Munokoa,Ngamau Munokoa,Ngamau Munokoa,Ngamau Munokoa,Ngamau Mere Munokoa,Ngamau Munokoa,female,1944-08-13,,,Ngamau Munokoa,Ngamau Munokoa,,Ngamau Munokoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3343780,Norman George,Norman George,Norman George,Norman George,Norman George,Norman George,Norman George,male,1946-07-02,,Norman,Norman George,Norman George,,Norman George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3388338,Piho Rua,Piho Rua,Piho Rua,Piho Rua,Piho Rua,Piho Rua,Piho Rua,male,1954-11-15,,,Piho Rua,Piho Rua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7259108,Pukeiti Pukeiti,,Pukeiti Pukeiti,Pukeiti Pukeiti,Pukeiti Pukeiti,,,male,,2012-10-18,,Pukeiti Pukeiti,Pukeiti Pukeiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3324531,Robert George Wigmore,Robert Wigmore,Robert Wigmore,Robert Wigmore,Robert Wigmore,Robert George Wigmore,Robert Wigmore,male,1949-09-08,2012-04-13,Robert,Robert Wigmore,Robert Wigmore,,Robert Wigmore,,Robert Wigmore,,,,,,,,,,,,Robert Wigmore,,,,,/m/09rt9f9,,,,,,,,,,,,,,,,,,,,
Q7675846,Tai Tura,,Tai Tura,Tai Tura,Tai Tura,,,male,1949,,,Tai Tura,Tai Tura,Tai Tura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3391011,Tangata Mouauri Vavia,Tangata Vavia,Tangata Vavia,Tangata Vavia,Tangata Vavia,Tangata Mouauri Vavia,Tangata Vavia,male,1949-09-08,,,Tangata Vavia,Tangata Vavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7688729,,,Taunga Toka,Taunga Toka,Taunga Toka,,,male,,,,Taunga Toka,Taunga Toka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3391017,Teariki William Heather,Teariki Heather,Teariki Heather,Teariki Heather,Teariki Heather,Teariki William Heather,Teariki Heather,male,1959-07-30,,,Teariki Heather,Teariki Heather,,Teariki Heather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3391383,Teinakore Tom Bishop,Teina Bishop,Teina Bishop,Teina Bishop,Teina Bishop,Teinakore Tom Bishop,Teina Bishop,male,1959-04-11,,,Teina Bishop,Teina Bishop,,Teina Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7695346,,,Tekii Lazaro,Tekii Lazaro,Tekii Lazaro,,,male,,,,Tekii Lazaro,Tekii Lazaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2989309,Terepai Maoate,Terepai Maoate,Terepai Maoate,Terepai Maoate,Terepai Maoate,Terepai Maoate,Terepai Maoate,male,1934-09-01,2012-07-09,,Terepai Maoate,Terepai Maoate,,Terepai Maoate,,,,"Маоате, Терепаи",,,Terepai Maoate,,,,,,,,"Маоате, Терепаи",,,,/m/05q86yk,,,,,,,,Terepai Maoate,,,,,,,,,Terepai Maoate,Terepai Maoate,,Terepai Maoate
Q3391036,Terepai (Junior) Maoate,Terepai Maoate,Terepai Maoate Jnr,Terepai Maoate Jnr,Terepai Maoate Jnr,Terepai (Junior) Maoate,Terepai Maoate (fillo),male,1961-12-05,,,Terepai Maoate Jnr,Terepai Maoate Jnr,,Terepai Maoate Jnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7811397,,,Toanui Isamaela,Toanui Isamaela,Toanui Isamaela,,,male,,,,Toanui Isamaela,Toanui Isamaela,Toanui Isamaela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3391025,Tom John Marsters,Tom Marsters,Tom Marsters,Tom Marsters,Tom Marsters,Tom John Marsters,Tom Marsters,male,1945-08-04,,Tom,Tom Marsters,Tom Marsters,,Tom Marsters,,Tom Marsters,,,,,,,,,,,,Tom Marsters,,,,,,,,,,,,,,,,,,,,,,,,,
Q3391992,Tamaiti Vai Peua,Vai Peua,Vai Peua,Vai Peua,Vai Peua,Tamaiti Vai Peua,Vai Peua,male,1950-12-10,,,Vai Peua,Vai Peua,,Vai Peua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3391007,Wilkie Rasmussen,Wilkie Rasmussen,Wilkie Rasmussen,Wilkie Rasmussen,Wilkie Rasmussen,Wilkie Rasmussen,Wilkie Rasmussen,male,1958-03-21,,,Wilkie Rasmussen,Wilkie Rasmussen,,Wilkie Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3391029,"William ""Smiley"" Heather","William ""Smiley"" Heather",William Heather,William Heather,William (Smiley) Heather,"William ""Smiley"" Heather","William ""Smiley"" Heather",male,1958-07-07,,William,William (Smiley) Heather,William Heather,,William Heather,,,,,,,,,,,,,,,,,,,,,,,William Heather,William Heather,William Heather,,,,,,,,,,,,,William Heather,
Q3390985,Winton Brian Pickering,Winton Pickering,Winton Pickering,Winton Pickering,Winton Pickering,Winton Brian Pickering,Winton Pickering,male,1962-12-08,,,Winton Pickering,Winton Pickering,,Winton Pickering,,,,,,,Winton Pickering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winton Pickering
Q6238703,,,John Henry,John Henry,John Henry (Cook Islands politician),,,male,,,John,John Henry (Cook Islands),John Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
