honorific_suffix,honorific_prefix,end_date,name,start_date,role,id,term,side,wikipedia_name,wikipedia,group,family_name,given_name,sort_name,death_date,name__en,wikipedia__en,gender,birth_date,identifier__freebase,image,identifier__viaf,identifier__lcauth,identifier__bnf,identifier__gnc,identifier__isni,identifier__gnd,identifier__nla,identifier__nta,identifier__oxforddnb
CBE,,"",C J Gomez,"",Financial & Development Secretary (Acting),21,2,Government,,,,,,,,,,,,,,,,,,,,,,
"",Major,"",R J Peliza,"",Leader of the Opposition,1,2,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",M Xiberras,"",,2,2,Opposition,,,,,,,,,,,,,,,,,,,,,,
OBE,,"",P J Isola,"",,10,2,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",W M Isola,"",,5,2,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",J Caruana,"",,4,2,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",L Devincenzi,"",,7,2,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Bossano,"",,22,2,Opposition,,,,,,,,,,,,,,,,,,,,,,
CBE MVO QC JP,Sir,"",Joshua Hassan,"",Chief Minister,11,3,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",A J Canepa,"",Minister for Labour and Social Security,18,3,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",H J Zammitt,"",Minister for Housing and Sport,19,3,Government,,,,,,,,,,,,,,,,,,,,,,
OBE,,"",A P Montegriffo,"",Minister for Medical & Health Services,13,3,Government,,,,,,,,,,,,,,,,,,,,,,
ED,Major,"",F J Dellipiani,"",Minister for Municipal Services,23,3,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",I Abecasis,"",Minister for Postal Services,16,3,Government,,,,,,,,,,,,,,,,,,,,,,
OBE JP,,"",A W Serfaty,"","Minister for Tourism, Trade & Economic Development",12,3,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",M K Featherstone,"",Minister for Education and Public Works,15,3,Government,,,,,,,,,,,,,,,,,,,,,,
OBE QC,,"",J K Havers,"",Attorney General,24,3,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",A Collings,"",Financial & Development Secretary,25,3,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Bossano,"",Leader of the Opposition,22,3,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",Dr.,"",R G Valarino,"",,26,3,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",J B Perez,"",,27,3,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",G T Restano,"",,28,3,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",M Xiberras,"",,2,3,Opposition,,,,,,,,,,,,,,,,,,,,,,
OBE,,"",P J Isola,"",,10,3,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",Major,"",R J Peliza,"",,1,3,Opposition,,,,,,,,,,,,,,,,,,,,,,
CBE MVO QC JP,Sir,"",Joshua Hassan,"",Chief Minister,11,4,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",A J Canepa,"","Minister for Economic Development, Trade & Labour and Social Security",18,4,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",M K Featherstone,"",Minister for Public Works,15,4,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",I Abecasis,"",Minister for Tourism and Postal Services,16,4,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",H J Zammitt,"",Minister for Housing and Sport,19,4,Government,,,,,,,,,,,,,,,,,,,,,,
ED,Major,"",F J Dellipiani,"",Minister for Education,23,4,Government,,,,,,,,,,,,,,,,,,,,,,
"",Dr,"",R G Valarino,"",Minister for Municipal Services,26,4,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J B Perez,"",Minister for Medical and Health Services,27,4,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",D Hull,"",Attorney General,29,4,Government,,,,,,,,,,,,,,,,,,,,,,
CMG OBE,,"",R J Wallace,"",Financial & Development Secretary,30,4,Government,,,,,,,,,,,,,,,,,,,,,,
OBE,,"",P J Isola,"",Leader of the Opposition,10,4,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",G T Restano,"",,28,4,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",Major,"",R J Peliza,"",,1,4,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",W T Scott,"",,31,4,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",A T Loddo,"",,32,4,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",A J Haynes,"",,33,4,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Bossano,"",,22,4,Opposition,,,,,,,,,,,,,,,,,,,,,,
CBE MVO QC JP,Sir,"",Joshua Hassan,"",Chief Minister,11,5,Government,Joshua Hassan,https://en.wikipedia.org/wiki/Joshua_Hassan,Association for the Advancement of Civil Rights,,Joshua,,1997-07-01,Joshua Hassan,Joshua Hassan,male,1915-08-21,/m/053q78,https://upload.wikimedia.org/wikipedia/commons/9/99/Joshua_Hassan.jpg,14684917,nr98030930,,,0000 0001 1438 2298,119516713,35817581,160905621,101067299
"",,"",A J Canepa,"",Minister for Economic Development and Trade,18,5,Government,Adolfo Canepa,https://en.wikipedia.org/wiki/Adolfo_Canepa,Association for the Advancement of Civil Rights,,Adolfo,,,Adolfo Canepa,Adolfo Canepa,male,1940-12-17,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Adolfo_Canepa.jpg,,,,,,,,,
"",,"",M K Featherstone,"",Minister for Public Works,15,5,Government,,,Association for the Advancement of Civil Rights,,,,,,,,,,,,,,,,,,,
"",,"",H J Zammitt,"",Minister for Tourism,19,5,Government,,,Association for the Advancement of Civil Rights,,,,,,,,,,,,,,,,,,,
ED,Major,"",F J Dellipiani,"","Minister for Housing, Labour & Social Security",23,5,Government,,,Association for the Advancement of Civil Rights,,,,,,,,,,,,,,,,,,,
"",Dr.,"",R G Valarino,"",Minister for Municipal Services,26,5,Government,Reggie Valarino,https://en.wikipedia.org/wiki/Reggie_Valarino,Association for the Advancement of Civil Rights,,Reggie,,2009-03-13,Reggie Valarino,Reggie Valarino,male,1941-06-09,,,,,,,,,,,
"",,"",J B Perez,"",Minister for Education and Health,27,5,Government,,,Association for the Advancement of Civil Rights,,,,,,,,,,,,,,,,,,,
"",,"",G Mascarenhas,"",Minister for Sport and Postal Services,34,5,Government,,,Association for the Advancement of Civil Rights,,,,,,,,,,,,,,,,,,,
"",,"",E Thistlethwaite,"",Acting Attorney General,35,5,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",B Traynor,"",Financial & Development Secretary,36,5,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Bossano,"",Leader of the Opposition,22,5,Opposition,Joe Bossano,https://en.wikipedia.org/wiki/Joe_Bossano,Gibraltar Socialist Labour Party,,Joe,,,Joe Bossano,Joe Bossano,male,1939-06-10,/m/02szlq,https://upload.wikimedia.org/wikipedia/commons/2/2b/Joe_Bossano_on_National_Day_2011.jpg,,,,,,,,,
"",,"",J E Pilcher,"",,37,5,Opposition,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",,"",M A Feetham,"",,38,5,Opposition,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",Miss,"",M I Montegriffo,"",,39,5,Opposition,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",,"",J C Perez,"",,40,5,Opposition,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",,"",J L Baldachino,"",,41,5,Opposition,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",,"",R Mor,"",,42,5,Opposition,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",,"",J J Bossano,"",Chief Minister,22,6,Government,Joe Bossano,https://en.wikipedia.org/wiki/Joe_Bossano,Gibraltar Socialist Labour Party,,Joe,,,Joe Bossano,Joe Bossano,male,1939-06-10,/m/02szlq,https://upload.wikimedia.org/wikipedia/commons/2/2b/Joe_Bossano_on_National_Day_2011.jpg,,,,,,,,,
"",,"",J E Pilcher,"",Minister for GSL and Tourism,37,6,Government,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",,"",J L Baldachino,"",Minister for Housing,41,6,Government,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",,"",M A Feetham,"",Minister for Trade & Industry,38,6,Government,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",,"",J C Perez,"",Minister for Government Services,40,6,Government,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",Miss,"",M I Montegriffo,"",Minister for Medical Services and Sport,39,6,Government,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",,"",R Mor,"",Minister for Labour and Social Security,42,6,Government,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
"",,"",J L Moss,"","Minister for Education, Culture & Youth Affairs",43,6,Government,,,Gibraltar Socialist Labour Party,,,,,,,,,,,,,,,,,,,
QC,,"",E Thistlethwaite,"",Attorney General,35,6,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",B Traynor,"",Financial & Development Secretary,36,6,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",A J Canepa,"",Leader of the Opposition,18,6,Opposition,Adolfo Canepa,https://en.wikipedia.org/wiki/Adolfo_Canepa,Association for the Advancement of Civil Rights,,Adolfo,,,Adolfo Canepa,Adolfo Canepa,male,1940-12-17,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Adolfo_Canepa.jpg,,,,,,,,,
"",,"",P C Montegriffo,"",,44,6,Opposition,,,Association for the Advancement of Civil Rights,,,,,,,,,,,,,,,,,,,
OBE,,"",M K Featherstone,"",,15,6,Opposition,,,Association for the Advancement of Civil Rights,,,,,,,,,,,,,,,,,,,
"",Dr.,"",R G Valarino,"",,26,6,Opposition,Reggie Valarino,https://en.wikipedia.org/wiki/Reggie_Valarino,Association for the Advancement of Civil Rights,,Reggie,,2009-03-13,Reggie Valarino,Reggie Valarino,male,1941-06-09,,,,,,,,,,,
"",,"",G Mascarenhas,"",,34,6,Opposition,,,Association for the Advancement of Civil Rights,,,,,,,,,,,,,,,,,,,
OBE ED,Lt. Col.,"",E M Britto,"",,45,6,Opposition,,,Association for the Advancement of Civil Rights,,,,,,,,,,,,,,,,,,,
"",,"",K B Anthony,"",,46,6,Opposition,,,Association for the Advancement of Civil Rights,,,,,,,,,,,,,,,,,,,
"",,"",J J Bossano,"",Chief Minister,22,7,Government,Joe Bossano,https://en.wikipedia.org/wiki/Joe_Bossano,Gibraltar Socialist Labour Party,Bossano,Joseph John,"Bossano, Joseph John",,Joe Bossano,Joe Bossano,male,1939-06-10,/m/02szlq,https://upload.wikimedia.org/wikipedia/commons/2/2b/Joe_Bossano_on_National_Day_2011.jpg,,,,,,,,,
"",,"",J E Pilcher,"",Minister for Tourism,37,7,Government,,,Gibraltar Socialist Labour Party,Pilcher,Joseph Ernest,"Pilcher, Joseph Ernest",,,,,,,,,,,,,,,,
"",,"",J L Baldachino,"",Minister for Housing,41,7,Government,,,Gibraltar Socialist Labour Party,Baldachino,Joseph Louis,"Baldachino, Joseph Louis",,,,,,,,,,,,,,,,
"",,"",M A Feetham,"",Minister for Trade & Industry,38,7,Government,,,Gibraltar Socialist Labour Party,Feetham,Michael Alfred,"Feetham, Michael Alfred",,,,,,,,,,,,,,,,
"",,"",J C Perez,"",Minister for Government Services,40,7,Government,,,Gibraltar Socialist Labour Party,Perez,Juan Carlos,"Perez, Juan Carlos",,,,,,,,,,,,,,,,
"",Miss,"",M I Montegriffo,"",Minister for Medical Services and Sport,39,7,Government,,,Gibraltar Socialist Labour Party,Montegriffo,Maria Isabel,"Montegriffo, Maria Isabel",,,,,,,,,,,,,,,,
"",,"",R Mor,"",Minister for Labour and Social Security,42,7,Government,,,Gibraltar Socialist Labour Party,Mor,Robert,"Mor, Robert",,,,,,,,,,,,,,,,
"",,"",J L Moss,"","Minister for Education, Culture and Youth Affairs",43,7,Government,,,Gibraltar Socialist Labour Party,Moss,Joseph Louis,"Moss, Joseph Louis",,,,,,,,,,,,,,,,
QC,,"",K W Harris,"",Attorney General,47,7,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",P J Brooke,"",Financial & Development Secretary,48,7,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",P R Caruana,"",Leader of the Opposition,49,7,Opposition,Peter Caruana,https://en.wikipedia.org/wiki/Peter_Caruana,Gibraltar Social Democrats,Caruana,Peter Richard,"Caruana, Peter Richard",,Peter Caruana,Peter Caruana,male,1956-10-15,/m/0218pw,https://upload.wikimedia.org/wikipedia/commons/f/f5/Peter_Caruana_elected.jpg,,,,0242619,,,,,
OBE ED,Lt. Col,"",E M Britto,"",,45,7,Opposition,,,Gibraltar Social Democrats,Britto,Ernest Michael,"Britto, Ernest Michael",,,,,,,,,,,,,,,,
"",,"",F Vasquez,"",,50,7,Opposition,,,Gibraltar Social Democrats,Vasquez,Freddie,"Vasquez, Freddie",,,,,,,,,,,,,,,,
"",,"",H A Corby,"",,51,7,Opposition,,,Gibraltar Social Democrats,Corby,Hubert Alfred,"Corby, Hubert Alfred",,,,,,,,,,,,,,,,
"",,"",P Cumming,"",,52,7,Opposition,,,Gibraltar Social Democrats,Cumming,Peter,"Cumming, Peter",,,,,,,,,,,,,,,,
"",,"",L H Francis,"",,53,7,Opposition,,,Gibraltar Social Democrats,Francis,Lewis Henry,"Francis, Lewis Henry",,,,,,,,,,,,,,,,
"",,"",M Ramagge,"",,54,7,Opposition,,,Gibraltar Social Democrats,Ramagge,Maurice,"Ramagge, Maurice",,,,,,,,,,,,,,,,
"",,"",P R Caruana,"",Chief Minister,49,8,Government,Peter Caruana,https://en.wikipedia.org/wiki/Peter_Caruana,Gibraltar Social Democrats,Caruana,Peter Richard,"Caruana, Peter Richard",,Peter Caruana,Peter Caruana,male,1956-10-15,/m/0218pw,https://upload.wikimedia.org/wikipedia/commons/f/f5/Peter_Caruana_elected.jpg,,,,0242619,,,,,
"",,"",P C Montegriffo,"",Minister for Trade & Industry,44,8,Government,,,Gibraltar Social Democrats,Montegriffo,Peter Cecil,"Montegriffo, Peter Cecil",,,,,,,,,,,,,,,,
"",Dr,"",B A Linares,"","Minister for Education, the Disabled, Youth & Consumer Affairs",55,8,Government,,,Gibraltar Social Democrats,Linares,Bernard Anthony,"Linares, Bernard Anthony",,,,,,,,,,,,,,,,
OBE ED,Lt. Col.,"",E M Britto,"",Minister for Government Services and Sport,45,8,Government,,,Gibraltar Social Democrats,Britto,Ernest Michael,"Britto, Ernest Michael",,,,,,,,,,,,,,,,
"",,"",J J Holliday,"","Minister for Tourism, Commercial Affairs and the Port",56,8,Government,Joe Holliday,https://en.wikipedia.org/wiki/Joe_Holliday,Gibraltar Social Democrats,Holliday,Joseph John,"Holliday, Joseph John",,Joe Holliday,Joe Holliday,male,,,,,,,,,,,,
"",,"",H A Corby,"",Minister for Social Affairs,51,8,Government,,,Gibraltar Social Democrats,Corby,Hubert Alfred,"Corby, Hubert Alfred",,,,,,,,,,,,,,,,
"",,"",J J Netto,"",Minister for Employment & Training and Buildings & Works,57,8,Government,,,Gibraltar Social Democrats,Netto,James Joseph,"Netto, James Joseph",,,,,,,,,,,,,,,,
"",,"",K Azopardi,"",Minister for the Environment and Health,58,8,Government,Keith Azopardi,https://en.wikipedia.org/wiki/Keith_Azopardi,Gibraltar Social Democrats,Azopardi,Keith,"Azopardi, Keith",,Keith Azopardi,Keith Azopardi,male,1967-06-06,,,101455753,,,,0000 0000 7193 5357,,,,
"",Miss,"",K Dawson,"",Attorney General,59,8,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",B Traynor,"",Financial & Development Secretary,36,8,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Bossano,"",Leader of the Opposition,22,8,Opposition,Joe Bossano,https://en.wikipedia.org/wiki/Joe_Bossano,Gibraltar Socialist Labour Party,Bossano,Joseph John,"Bossano, Joseph John",,Joe Bossano,Joe Bossano,male,1939-06-10,/m/02szlq,https://upload.wikimedia.org/wikipedia/commons/2/2b/Joe_Bossano_on_National_Day_2011.jpg,,,,,,,,,
"",,"",J L Baldachino,"",,41,8,Opposition,,,Gibraltar Socialist Labour Party,Baldachino,Joseph Louis,"Baldachino, Joseph Louis",,,,,,,,,,,,,,,,
"",Miss,"",M I Montegriffo,"",,39,8,Opposition,,,Gibraltar Socialist Labour Party,Montegriffo,Maria Isabel,"Montegriffo, Maria Isabel",,,,,,,,,,,,,,,,
"",,"",A Isola,"",,60,8,Opposition,Albert Isola,https://en.wikipedia.org/wiki/Albert_Isola,Gibraltar Socialist Labour Party,Isola,Albert,"Isola, Albert",,Albert Isola,Albert Isola,male,,,,,,,,,,,,
"",,"",J Gabay,"",,61,8,Opposition,,,Gibraltar Socialist Labour Party,Gabay,Joshua,"Gabay, Joshua",,,,,,,,,,,,,,,,
"",,"",R Mor,"",,42,8,Opposition,,,Gibraltar Socialist Labour Party,Mor,Robert,"Mor, Robert",,,,,,,,,,,,,,,,
"",,"",J C Perez,"",,40,8,Opposition,,,Gibraltar Socialist Labour Party,Perez,Juan Carlos,"Perez, Juan Carlos",,,,,,,,,,,,,,,,
"",Dr,"",J J Garcia,"",,62,8,Opposition,,,,,,,,,,,,,,,,,,,,,,
QC,,"",P R Caruana,"",Chief Minister,49,9,Government,Peter Caruana,https://en.wikipedia.org/wiki/Peter_Caruana,Gibraltar Social Democrats,Caruana,Peter Richard,"Caruana, Peter Richard",,Peter Caruana,Peter Caruana,male,1956-10-15,/m/0218pw,https://upload.wikimedia.org/wikipedia/commons/f/f5/Peter_Caruana_elected.jpg,,,,0242619,,,,,
"",,"",K Azopardi,"","Minister for Trade, Industry and Telecommunications",58,9,Government,Keith Azopardi,https://en.wikipedia.org/wiki/Keith_Azopardi,Gibraltar Social Democrats,Azopardi,Keith,"Azopardi, Keith",,Keith Azopardi,Keith Azopardi,male,1967-06-06,,,101455753,,,,0000 0000 7193 5357,,,,
"",Dr,"",B A Linares,"","Minister for Education, Training, Culture and Health",55,9,Government,,,Gibraltar Social Democrats,Linares,Bernard Anthony,"Linares, Bernard Anthony",,,,,,,,,,,,,,,,
"",,"",J J Holliday,"",Minister for Tourism and Transport,56,9,Government,Joe Holliday,https://en.wikipedia.org/wiki/Joe_Holliday,Gibraltar Social Democrats,Holliday,Joseph John,"Holliday, Joseph John",,Joe Holliday,Joe Holliday,male,,,,,,,,,,,,
OBE ED,Lt-Col,"",E M Britto,"","Minister for Public Services, the Environment, Sports and Leisure",45,9,Government,,,Gibraltar Social Democrats,Britto,Ernest Michael,"Britto, Ernest Michael",,,,,,,,,,,,,,,,
"",,"",J J Netto,"",Minister for Housing,57,9,Government,,,Gibraltar Social Democrats,Netto,James Joseph,"Netto, James Joseph",,,,,,,,,,,,,,,,
"",,"",H A Corby,"",Minister for Employment and Consumer Affairs,51,9,Government,,,Gibraltar Social Democrats,Corby,Hubert Alfred,"Corby, Hubert Alfred",,,,,,,,,,,,,,,,
"",Mrs,"",Y Del Agua,"",Minister for Social Affairs,63,9,Government,Yvette Del Agua,https://en.wikipedia.org/wiki/Yvette_Del_Agua,Gibraltar Social Democrats,Del Agua,Yvette,"Del Agua, Yvette",,Yvette Del Agua,Yvette Del Agua,female,1957-10-21,,,,,,,,,,,
QC,,"",R R Rhoda,"",Attorney General,64,9,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",T J Bristow,"",Financial and Development Secretary,65,9,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Bossano,"",Leader of the Opposition,22,9,Opposition,Joe Bossano,https://en.wikipedia.org/wiki/Joe_Bossano,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Bossano,Joseph John,"Bossano, Joseph John",,Joe Bossano,Joe Bossano,male,1939-06-10,/m/02szlq,https://upload.wikimedia.org/wikipedia/commons/2/2b/Joe_Bossano_on_National_Day_2011.jpg,,,,,,,,,
"",Dr,"",J J Garcia,"",,62,9,Opposition,Joseph Garcia (Gibraltarian politician),https://en.wikipedia.org/wiki/Joseph_Garcia_(Gibraltarian_politician),Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Garcia,Joseph John,"Garcia, Joseph John",,Joseph Garcia,Joseph Garcia (Gibraltarian politician),male,1967-01-01,,,87450345,,,,,,,,
"",,"",J L Baldachino,"",,41,9,Opposition,,,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Baldachino,Joseph Louis,"Baldachino, Joseph Louis",,,,,,,,,,,,,,,,
"",Miss,"",M I Montegriffo,"",,39,9,Opposition,,,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Montegriffo,Maria Isabel,"Montegriffo, Maria Isabel",,,,,,,,,,,,,,,,
"",Dr,"",R G Valarino,"",,26,9,Opposition,Reggie Valarino,https://en.wikipedia.org/wiki/Reggie_Valarino,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Valarino,Reginald G,"Valarino, Reginald G",2009-03-13,Reggie Valarino,Reggie Valarino,male,1941-06-09,,,,,,,,,,,
"",,"",J C Perez,"",,40,9,Opposition,,,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Perez,Juan Carlos,"Perez, Juan Carlos",,,,,,,,,,,,,,,,
"",,"",S E Linares,"",,66,9,Opposition,Steven Linares,https://en.wikipedia.org/wiki/Steven_Linares,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Linares,Steven Ernest,"Linares, Steven Ernest",,Steven Linares,Steven Linares,male,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Steven_Linares.jpg,,,,,,,,,
QC,,"",P R Caruana,"",Chief Minister,49,10,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Holliday,"","Minister for Trade, Industry, and Communications",56,10,Government,,,,,,,,,,,,,,,,,,,,,,
"",Dr,"",B A Linares,"","Minister for Education, Employment and Training",55,10,Government,,,,,,,,,,,,,,,,,,,,,,
OBE ED,Lt-Col,"",E M Britto,"",Minister for Health,45,10,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Netto,"",Minister for Housing,57,10,Government,,,,,,,,,,,,,,,,,,,,,,
"",Mrs,"",Y Del Agua,"",Minister for Social and Civic Affairs,63,10,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",C G Beltran,"","Minister for Heritage, Culture, Youth and Sport",67,10,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",F J Vinet,"","Minister for the Environment, Roads and Utilities",68,10,Government,,,,,,,,,,,,,,,,,,,,,,
QC,,"",R R Rhoda,"",Attorney General,64,10,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",T J Bristow,"",Financial and Development Secretary,65,10,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Bossano,"",Leader of the Opposition,22,10,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",Dr,"",J J Garcia,"",,62,10,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",F R Picardo,"",,69,10,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",C A Bruzon,"",,70,10,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",S E Linares,"",,66,10,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",Miss,"",M I Montegriffo,"",,39,10,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",L A Randall,"",,71,10,Opposition,,,,,,,,,,,,,,,,,,,,,,
QC,,"",P R Caruana,"",Chief Minister,49,11,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Holiday,"","Minister for Enterprise, Development and Technology and Deputy Chief Minister",72,11,Government,,,,,,,,,,,,,,,,,,,,,,
OBE ED,Lt-Col,"",E M Britto,"","Minister for the Environment, Traffic and Transport",45,11,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",F J Vinet,"",Minister for Housing,68,11,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J J Netto,"","Minister for Family, Youth and Community Affairs",57,11,Government,,,,,,,,,,,,,,,,,,,,,,
"",Mrs,"",Y Del Agua,"",Minister for Health and Civil Protection,63,11,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",D A Feetham,"",Minister for Justice,73,11,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",L Montiel,"","Minister for Employment, Labour and Industrial Relations",74,11,Government,,,,,,,,,,,,,,,,,,,,,,
