name,image,party,email,term
Uusaqqak Qujaukitsoq,http://en.inatsisartut.gl/media/2316160/INAT-dukke-lys.jpg,Siumut,"",1991-03-05
Lars-Emil Johansen,http://en.inatsisartut.gl/media/753863/Lars-Emil%20Johansen%20-%2007533.jpg,Siumut,larsemil@inatsisartut.gl,1995-03-04
Jonathan Motzfeldt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,jomo@gh.gl,1995-03-04
Agnethe Davidsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1995-03-04
Anders Nilsson,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1995-03-04
Anders Andreassen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1995-03-04
Anthon Frederiksen,http://en.inatsisartut.gl/media/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,Kandidatforbund,antuut@inatsisartut.gl,1995-03-04
Bjarne Kreutzmann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Akulliit_Partiiat,"",1995-03-04
Daniel Skifte,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1995-03-04
Finn Karlsen,http://en.inatsisartut.gl/media/234423/2010.09.17%20Start%20EM%202010%2000928.jpg,Atassut,fika@nanoq.gl,1995-03-04
Hans Enoksen,http://en.inatsisartut.gl/media/298458/untitled-6.jpg,Siumut,hans@inatsisartut.gl,1995-03-04
Jakob Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1995-03-04
Jens Napaattooq,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1995-03-04
"Johan Lund Olsen, Inuit Ataqatigiit",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,johan@gh.gl,1995-03-04
Josef Motzfeldt,http://en.inatsisartut.gl/media/234511/2010.09.17%20Start%20EM%202010%2000881.jpg,Inuit_Ataqatigiit,tuusi@inatsisartut.gl,1995-03-04
Karl Lyberth,http://en.inatsisartut.gl/media/762432/Karl_Lyberth.jpg,Akulliit_Partiiat,karll@inatsisartut.gl,1995-03-04
Knud Sørensen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1995-03-04
Konrad Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1995-03-04
Kristine Raahauge,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1995-03-04
Kuupik Vandersee Kleist,http://en.inatsisartut.gl/media/234472/2010.09.17%20Start%20EM%202010%2000948.jpg,Inuit_Ataqatigiit,kuupik@inatsisartut.gl,1995-03-04
Lars Sørensen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1995-03-04
Lars Karl Jensen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1995-03-04
Malînànguak´M. Mølgaard,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1995-03-04
Marianne Jensen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1995-03-04
Mikael Petersen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1995-03-04
Naimanngitsoq Petersen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1995-03-04
Niels Màtâk´,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1995-03-04
Otto Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1995-03-04
Peter Ostermann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1995-03-04
Peter G. Samuelsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1995-03-04
Ruth Heilmann,http://en.inatsisartut.gl/media/234528/2010.09.17%20Start%20EM%202010%2000940.jpg,Siumut,ruth@inatsisartut.gl,1995-03-04
Siverth Karl Heilmann,http://en.inatsisartut.gl/media/234533/2010.09.17%20Start%20EM%202010%2000891.jpg,Atassut,skhe@inatsisartut.gl,1995-03-04
Anders Andreassen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1999-02-16
Hans Enoksen,http://en.inatsisartut.gl/media/298458/untitled-6.jpg,Siumut,hans@inatsisartut.gl,1999-02-16
Anders Nilsson,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1999-02-16
Anthon Frederiksen,http://en.inatsisartut.gl/media/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,Kattusseqatigiit,antuut@inatsisartut.gl,1999-02-16
Asii Chemnitz Narup,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1999-02-16
"Augusta Salling, Atassut",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,aus@gh.gl,1999-02-16
Daniel Skifte,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1999-02-16
Finn Karlsen,http://en.inatsisartut.gl/media/234423/2010.09.17%20Start%20EM%202010%2000928.jpg,Atassut,fika@nanoq.gl,1999-02-16
Godmand Rasmussen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1999-02-16
Jørgen W. Johansen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1999-02-16
Jakob Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1999-02-16
"Johan Lund Olsen, Inuit Ataqatigiit",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,johan@gh.gl,1999-02-16
Jonathan Motzfeldt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,jomo@gh.gl,1999-02-16
Josef Motzfeldt,http://en.inatsisartut.gl/media/234511/2010.09.17%20Start%20EM%202010%2000881.jpg,Inuit_Ataqatigiit,tuusi@inatsisartut.gl,1999-02-16
Lars Sørensen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1999-02-16
Lars Karl Jensen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1999-02-16
Loritha Henriksen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Kattusseqatigiit,loritha@inatsisartut.gl,1999-02-16
Mads Peter Grønvold,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Kattusseqatigiit,"",1999-02-16
Malînànguak´M. Mølgaard,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1999-02-16
Mikael Petersen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1999-02-16
Mogens Kleist,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Kattusseqatigiit,"",1999-02-16
Ole Lynge,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1999-02-16
Olga P. Berthelsen,http://en.inatsisartut.gl/media/302742/untitled.jpg,Inuit_Ataqatigiit,olpe@inatsisartut.gl,1999-02-16
Otto Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1999-02-16
Per Berthelsen,http://en.inatsisartut.gl/media/234529/2010.09.17%20Start%20EM%202010%2000930.jpg,Siumut,pebe@inatsisartut.gl,1999-02-16
Per Rosing-Petersen,http://en.inatsisartut.gl/media/2461609/Per%20Rosing%20Petersen%202014.12%20-%2015506.jpg,Enkeltkandidat,perrp@inatsisartut.gl,1999-02-16
Ruth Heilmann,http://en.inatsisartut.gl/media/234528/2010.09.17%20Start%20EM%202010%2000940.jpg,Siumut,ruth@inatsisartut.gl,1999-02-16
Simon Olsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1999-02-16
Siverth Karl Heilmann,http://en.inatsisartut.gl/media/234533/2010.09.17%20Start%20EM%202010%2000891.jpg,Atassut,skhe@inatsisartut.gl,1999-02-16
"Tommy Marø, Siumut",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,toma@gh.gl,1999-02-16
"Vittus Mikaelsen, Siumut",http://en.inatsisartut.gl/media/2316209/INAT-dukke-lys.jpg,Siumut,"",1999-02-16
Hans Enoksen,http://en.inatsisartut.gl/media/298458/untitled-6.jpg,Siumut,hans@inatsisartut.gl,2002-12-03
Jonathan Motzfeldt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,jomo@gh.gl,2002-12-03
Agathe Fontain,http://en.inatsisartut.gl/media/234537/2010.09.17%20Start%20EM%202010%2000896.jpg,Inuit_Ataqatigiit,agathe@inatsisartut.gl,2002-12-03
Ane Hansen,http://en.inatsisartut.gl/media/234538/2010.09.17%20Start%20EM%202010%2000903.jpg,Inuit_Ataqatigiit,aneh@inatsisartut.gl,2002-12-03
Anthon Frederiksen,http://en.inatsisartut.gl/media/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,Kattusseqatigiit,antuut@inatsisartut.gl,2002-12-03
Aqqaluk Lynge,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",2002-12-03
Asii Chemnitz Narup,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",2002-12-03
Astrid Fleischer Rex,http://en.inatsisartut.gl/media/234413/2010.09.17%20Start%20EM%202010%2000912.jpg,Demokraatit,asfl@inatsisartut.gl,2002-12-03
"Augusta Salling, Atassut",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,aus@gh.gl,2002-12-03
Doris Jakobsen,http://en.inatsisartut.gl/media/293877/untitled-5.jpg,Siumut,doja@nanoq.gl,2002-12-03
"Ellen Christoffersen, Atassut",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,ekri@gh.gl,2002-12-03
Enos Lyberth,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",2002-12-03
Finn Karlsen,http://en.inatsisartut.gl/media/234423/2010.09.17%20Start%20EM%202010%2000928.jpg,Atassut,fika@nanoq.gl,2002-12-03
Henriette Rasmussen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",2002-12-03
Isak Davidsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,isda@gh.gl,2002-12-03
Jørgen W. Johansen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",2002-12-03
Jakob Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",2002-12-03
Jens Napaattooq,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",2002-12-03
Jensine Berthelsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",2002-12-03
"Johan Lund Olsen, Inuit Ataqatigiit",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,johan@gh.gl,2002-12-03
Josef Motzfeldt,http://en.inatsisartut.gl/media/234511/2010.09.17%20Start%20EM%202010%2000881.jpg,Inuit_Ataqatigiit,tuusi@inatsisartut.gl,2002-12-03
Kuupik Vandersee Kleist,http://en.inatsisartut.gl/media/234472/2010.09.17%20Start%20EM%202010%2000948.jpg,Inuit_Ataqatigiit,kuupik@inatsisartut.gl,2002-12-03
"Marie Fleischer, Inuit Ataqatigiit",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Demokraatit,mafl@gh.gl,2002-12-03
Mikael Petersen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",2002-12-03
Ole Dorph,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",2002-12-03
Otto Jeremiassen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,otje@gh.gl,2002-12-03
Palle Christiansen,http://en.inatsisartut.gl/media/234434/2010.09.17%20Start%20EM%202010%2000913.jpg,Demokraatit,palle@inatsisartut.gl,2002-12-03
Per Berthelsen,http://en.inatsisartut.gl/media/234529/2010.09.17%20Start%20EM%202010%2000930.jpg,Demokraatit,pebe@inatsisartut.gl,2002-12-03
Per Skaaning,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Demokraatit,"",2002-12-03
Ruth Heilmann,http://en.inatsisartut.gl/media/234528/2010.09.17%20Start%20EM%202010%2000940.jpg,Siumut,ruth@inatsisartut.gl,2002-12-03
Simon Olsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",2002-12-03
Hans Enoksen,http://en.inatsisartut.gl/media/298458/untitled-6.jpg,Siumut,hans@inatsisartut.gl,2005-11-15
Doris Jakobsen,http://en.inatsisartut.gl/media/293877/untitled-5.jpg,Siumut,doja@nanoq.gl,2005-11-15
