id,name__en,name__nl,name__de,name,wikipedia__en,gender,original_wikiname,given_name,name__it,name__fr,birth_date,wikipedia__fr,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__es,name__et,name__eu,name__fi,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__nrm,name__oc,name__pap,name__pcd,name__pl,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sv,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ru,name__el,name__zh,name__ka,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__gl,wikipedia__id,wikipedia__it,wikipedia__ka,wikipedia__mg,wikipedia__nl,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__zh,death_date,identifier__freebase,last_seen,occupation,family_name,name__sl
Q468825,Jacques Sylla,Jacques Sylla,Jacques Sylla,Jacques Sylla,Jacques Sylla,male,Jacques Hughes Sylla,Jacques,Jacques Sylla,Jacques Sylla,1946-07-22,Jacques Sylla,,,,,,,,,,Jacques Sylla,Jacques Sylla,,,,,,Jacques Sylla,,,Jacques Sylla,,,,,,Jacques Sylla,,,Jacques Sylla,,Jacques Sylla,,,,,,,,,,,Jacques Sylla,,,,Jacques Sylla,,,Jacques Sylla,,,,,Jacques Sylla,,,Jacques Sylla,Jacques Sylla,,,,,,,,,Jacques Sylla,,,,,,,,,,,雅克·西拉,雅克·西拉,雅克·西拉,雅克·西拉,雅克·西拉,雅克·西拉,"Силла, Жак Юг",Ζακ Σιλά,雅克·西拉,ჟაკ იუგ სილა,Jacques Sylla,Ζακ Σιλά,Jacques Sylla,Jacques Sylla,Jacques Sylla,Jacques Sylla,Jacques Sylla,ჟაკ იუგ სილა,Jacques Sylla,Jacques Sylla,Jacques Sylla,Jacques Sylla,"Силла, Жак Юг",Jacques Sylla,雅克·西拉,2009-12-26,/m/0235kw,,politician,Sylla,Jacques Sylla
Q4697197,Aimé Rakotondrajaona,Aimé Rakotondrajaona,Aimé Rakotondrajaona,Aimé Rakotondrajaona,Aimé Rakotondrajaona,male,Aimé Rakotondrajaona,Aimé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Aimé Rakotondrajaona
Q4759288,Andrianantoandro Raharinaivo,Andrianantoandro Raharinaivo,Andrianantoandro Raharinaivo,Andrianantoandro Raharinaivo,Andrianantoandro Raharinaivo,male,Andrianantoandro Raharinaivo,,Andrianantoandro Raharinaivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Andrianantoandro Raharinaivo
Q4759289,Andrianavalona Fanomezanjaka Pierrot Ranaivoson,Andrianavalona Fanomezanjaka Pierrot Ranaivoson,Andrianavalona Fanomezanjaka Pierrot Ranaivoson,Andrianavalona Fanomezanjaka Pierrot Ranaivoson,Andrianavalona Fanomezanjaka Pierrot Ranaivoson,male,Andrianavalona Fanomezanjaka Pierrot Ranaivoson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Andrianavalona Fanomezanjaka Pierrot Ranaivoson
Q4759291,Andrianirina Marie Bruno Rakotoarisoa,Andrianirina Marie Bruno Rakotoarisoa,Andrianirina Marie Bruno Rakotoarisoa,Andrianirina Marie Bruno Rakotoarisoa,Andrianirina Marie Bruno Rakotoarisoa,male,Andrianirina Marie Bruno Rakotoarisoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Andrianirina Marie Bruno Rakotoarisoa
Q4759297,Andriantsilavo Frédéric Rakotomalala,Andriantsilavo Frédéric Rakotomalala,Andriantsilavo Frédéric Rakotomalala,Andriantsilavo Frédéric Rakotomalala,Andriantsilavo Frédéric Rakotomalala,male,Andriantsilavo Frédéric Rakotomalala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Andriantsilavo Frédéric Rakotomalala
Q4759815,André Avison Tsitohery,André Avison Tsitohery,André Avison Tsitohery,André Avison Tsitohery,André Avison Tsitohery,male,Avison André Tsitohery,André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,André Avison Tsitohery
Q4759820,André Baozandrivelo,André Baozandrivelo,André Baozandrivelo,André Baozandrivelo,André Baozandrivelo,male,André Baozandrivelo,André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,André Baozandrivelo
Q4760054,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,male,André Rostand,André,André Rostand,André Rostand,,,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,André Rostand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,André Rostand
Q4765254,Anique Chantal Kembazanany,Anique Chantal Kembazanany,Anique Chantal Kembazanany,Anique Chantal Kembazanany,Anique Chantal Kembazanany,female,Anique Chantal Kembazanany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Anique Chantal Kembazanany
Q4790730,Arinosy Jacques Razafimbelo,Arinosy Jacques Razafimbelo,Arinosy Jacques Razafimbelo,Arinosy Jacques Razafimbelo,Arinosy Jacques Razafimbelo,male,Arinosy Jacques Razafimbelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Arinosy Jacques Razafimbelo
Q4792679,Armand Mahatafa,Armand Mahatafa,Armand Mahatafa,Armand Mahatafa,Armand Mahatafa,male,Armand Mahatafa,Armand,Armand Mahatafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Armand Mahatafa
Q4792690,Armand Randrianarison,Armand Randrianarison,Armand Randrianarison,Armand Randrianarison,Armand Randrianarison,male,Armand Randrianarison,Armand,Armand Randrianarison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Armand Randrianarison
Q4822684,Aurélie Marie Augustine Razafinjato,Aurélie Marie Augustine Razafinjato,Aurélie Marie Augustine Razafinjato,Aurélie Marie Augustine Razafinjato,Aurélie Marie Augustine Razafinjato,female,Aurélie Marie Augustine Razafinjato,Aurélie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Aurélie Marie Augustine Razafinjato
Q4860720,Barijaona Andriambelosoa,Barijaona Andriambelosoa,Barijaona Andriambelosoa,Barijaona Andriambelosoa,Barijaona Andriambelosoa,male,Barijaona Andriambelosoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Barijaona Andriambelosoa
Q4860810,Barison Claude Andriambololona,Barison Claude Andriambololona,Barison Claude Andriambololona,Barison Claude Andriambololona,Barison Claude Andriambololona,male,Barison Claude Andriambololona,,Barison Claude Andriambololona,Barison Claude Andriambololona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Barison Claude Andriambololona
Q4865990,Bary Jacobson Hoyme Ratsimbazafy,Bary Jacobson Hoyme Ratsimbazafy,Bary Jacobson Hoyme Ratsimbazafy,Bary Jacobson Hoyme Ratsimbazafy,Bary Jacobson Hoyme Ratsimbazafy,male,Bary Jacobson Hoyme Ratsimbazafy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Bary Jacobson Hoyme Ratsimbazafy
Q4884990,Bemamy Beriziky,Bemamy Beriziky,,Bemamy Beriziky,Bemamy Beriziky,male,Bemamy Beriziky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Bemamy Beriziky
Q4889158,Benjamin Ramamonjisoa,Benjamin Ramamonjisoa,Benjamin Ramamonjisoa,Benjamin Ramamonjisoa,Benjamin Ramamonjisoa,male,Benjamin Ramamonjisoa,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Benjamin Ramamonjisoa
Q4893332,Bernard Koto,Bernard Koto,Bernard Koto,Bernard Koto,Bernard Koto,male,Bernard Koto,Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Bernard Koto
Q4893573,Bernard Ravelonjato,Bernard Ravelonjato,Bernard Ravelonjato,Bernard Ravelonjato,Bernard Ravelonjato,male,Bernard Ravelonjato,Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Bernard Ravelonjato
Q4893706,Bernard Tolia,Bernard Tolia,Bernard Tolia,Bernard Tolia,Bernard Tolia,male,Bernard Tolia,Bernard,Bernard Tolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Bernard Tolia
Q4925030,Blandine Rasoanamary Voizy,Blandine Rasoanamary Voizy,Blandine Rasoanamary Voizy,Blandine Rasoanamary Voizy,Blandine Rasoanamary Voizy,female,Blandine Rasoanamary Voizy,Blandine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Blandine Rasoanamary Voizy
Q4941984,Boniface Berthin Zakahely,Boniface Berthin Zakahely,Boniface Berthin Zakahely,Boniface Berthin Zakahely,Boniface Berthin Zakahely,male,Boniface Berthin Zakahely,Boniface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Boniface Berthin Zakahely
Q4948767,Botomananatsara,Botomananatsara,,Botomananatsara,Botomananatsara,male,Botomananatsara,,Botomananatsara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Botomananatsara
Q4967900,Brigitte Lalanirina,Brigitte Lalanirina,Brigitte Lalanirina,Brigitte Lalanirina,Brigitte Lalanirina,female,Brigitte Lalanirina,Brigitte,Brigitte Lalanirina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Brigitte Lalanirina
Q4979264,Bruno Josvah Randrianantenaina,Bruno Josvah Randrianantenaina,Bruno Josvah Randrianantenaina,Bruno Josvah Randrianantenaina,Bruno Josvah Randrianantenaina,male,Bruno Josvah Randrianantenaina,Bruno,,Bruno Josvah Randrianantenaina,1957-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Bruno Josvah Randrianantenaina
Q4979370,Bruno Rajaonson,Bruno Rajaonson,Bruno Rajaonson,Bruno Rajaonson,Bruno Rajaonson,male,Bruno Rajaonson,Bruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Bruno Rajaonson
Q5005054,Bénoît Mamy,Bénoît Mamy,Bénoît Mamy,Bénoît Mamy,Bénoît Mamy,male,Bénoît Mamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Bénoît Mamy
Q5081908,Charles Ralazasoa,Charles Ralazasoa,Charles Ralazasoa,Charles Ralazasoa,Charles Ralazasoa,male,Charles Ralazasoa,Charles,Charles Ralazasoa,Charles Ralazasoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Charles Ralazasoa
Q5109964,Christian Nestor Velo,Christian Nestor Velo,Christian Nestor Velo,Christian Nestor Velo,Christian Nestor Velo,male,Christian Nestor Velo,Christian,Christian Nestor Velo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Christian Nestor Velo
Q5131923,Clermont Gervais Mahazaka,Clermont Gervais Mahazaka,Clermont Gervais Mahazaka,Clermont Gervais Mahazaka,Clermont Gervais Mahazaka,male,Clermont Gervais Mahazaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Clermont Gervais Mahazaka
Q5200607,Cyriaque Alexandre Rambolazafy,Cyriaque Alexandre Rambolazafy,Cyriaque Alexandre Rambolazafy,Cyriaque Alexandre Rambolazafy,Cyriaque Alexandre Rambolazafy,male,Cyriaque Alexandre Rambolazafy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Cyriaque Alexandre Rambolazafy
Q5202470,Célestin Manasoa,Célestin Manasoa,Célestin Manasoa,Célestin Manasoa,Célestin Manasoa,male,Célestin Manasoa,Célestin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Célestin Manasoa
Q5274178,Didier Léandre Tsiajotso,Didier Léandre Tsiajotso,Didier Léandre Tsiajotso,Didier Léandre Tsiajotso,Didier Léandre Tsiajotso,male,Didier Léandre Tsiajotso,Didier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Didier Léandre Tsiajotso
Q5320264,Désiré Remahita,Désiré Remahita,Désiré Remahita,Désiré Remahita,Désiré Remahita,male,Désiré Remahita,Désiré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Désiré Remahita
Q5338910,Edmond Rodin Georges Rakotomanjato,Edmond Rodin Georges Rakotomanjato,Edmond Rodin Georges Rakotomanjato,Edmond Rodin Georges Rakotomanjato,Edmond Rodin Georges Rakotomanjato,male,Edmond Rodin Georges Rakotomanjato,Edmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Edmond Rodin Georges Rakotomanjato
Q5360718,Elie Odon Fidèle Rasoanaivo,Elie Odon Fidèle Rasoanaivo,Elie Odon Fidèle Rasoanaivo,Elie Odon Fidèle Rasoanaivo,Elie Odon Fidèle Rasoanaivo,male,Elie Odon Fidèle Rasoanaivo,Elie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Elie Odon Fidèle Rasoanaivo
Q5386463,Eric Fadola Razafimandimby,Eric Fadola Razafimandimby,Eric Fadola Razafimandimby,Eric Fadola Razafimandimby,Eric Fadola Razafimandimby,male,Eric Fadola Razafimandimby,Eric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Eric Fadola Razafimandimby
Q5427620,Fabergé Gabriel Mamitiana,Fabergé Gabriel Mamitiana,Fabergé Gabriel Mamitiana,Fabergé Gabriel Mamitiana,Fabergé Gabriel Mamitiana,male,Fabergé Gabriel Mamitiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Fabergé Gabriel Mamitiana
Q5446759,Fidelis Justin Rasolonomenjanahary,Fidelis Justin Rasolonomenjanahary,Fidelis Justin Rasolonomenjanahary,Fidelis Justin Rasolonomenjanahary,Fidelis Justin Rasolonomenjanahary,male,Fidelis Justin Rasolonomenjanahary,Fidelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Fidelis Justin Rasolonomenjanahary
Q5446823,Fidson Mananjara,Fidson Mananjara,Fidson Mananjara,Fidson Mananjara,Fidson Mananjara,male,Fidson Mananjara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Fidson Mananjara
