id,name__en,name__km,name__es,name__nl,name__de,name__fr,name,wikipedia__en,wikipedia__km,gender,birth_date,original_wikiname,name__it,given_name,name__zh,name__th,name__vi,name__fi,name__ja,wikipedia__de,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__simple,wikipedia__th,wikipedia__vi,wikipedia__zh,image,identifier__VIAF,identifier__LCAuth,death_date,identifier__freebase,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__he,name__ru,name__ko,name__sv,name__nb,name__fa,name__be,name__tr,wikipedia__be,wikipedia__es,wikipedia__fa,wikipedia__he,wikipedia__ko,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__tr,name__ca,name__oc,name__qu,name__yo,name__ms,name__gl,name__id,name__br,name__el,name__sh,name__is,name__sr,name__sco,name__da,name__eu,name__et,name__ar,name__la,wikipedia__ar,wikipedia__br,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__eu,wikipedia__gl,wikipedia__id,wikipedia__is,wikipedia__la,wikipedia__ms,wikipedia__nl,wikipedia__oc,wikipedia__qu,wikipedia__sco,wikipedia__sh,wikipedia__sr,wikipedia__yo,identifier__ISNI,identifier__GND,identifier__SUDOC,identifier__NNDB,identifier__Munzinger,wikipedia__commons,wikipedia__bn,wikipedia__tl,name__bn,name__tl,name__cy,website,identifier__FAST,name__hu,last_seen,wikipedia__plwikiquote,wikipedia__cs,name__cs,facebook,identifier__Britannica,family_name,occupation,name__bar,identifier__snac,identifier__quora,name__uk,wikipedia__uk,wikipedia__mn,name__mn,identifier__bigenc_ru,name__ka,wikipedia__ka,wikipedia__war,identifier__NTA,name__pt_br,name__war,identifier__GTAA,wikipedia__wuu,name__hi,wikipedia__hi,wikipedia__mzn,identifier__BNF,name__fo,name__kl,name__nn,wikipedia__ca,name__mzn,name__wuu,wikipedia__ast,wikipedia__ceb,name__ast,name__ceb,name__en_ca,name__en_gb,name__ur,wikipedia__ur,name__sl,identifier__NKC
Q16190921,Nguon Nhel,,,Nguon Nhel,Nguon Nhel,Nguon Nhel,Nguon Nhel,Nguon Nhel,,male,1942-12-22,Nguon Nhel,Nguon Nhel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16191229,Suy Sem,,,Suy Sem,Suy Sem,Suy Sem,Suy Sem,Suy Sem,,male,1947-08-25,Suy Sem,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/d/d6/Suy_Sem,_Minister_of_Mines_and_Energy.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16191271,Sim Ka,,,Sim Ka,Sim Ka,Sim Ka,Sim Ka,Sim Ka,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1646066,Chan Sy,ចាន់ ស៊ី,Chan Sy,Chan Sy,Chan Sy,Chan Sy,Chan Sy,Chan Sy,ចាន់ ស៊ី,male,1932,,Chan Sy,,姜西,จัน ซี,Chan Sy,,チャン・シ,Chan Sy,,Chan Sy,Chan Sy,チャン・シ,,จัน ซี,Chan Sy,姜西,,,,1984-12-26,/m/0fqkw6,,,,,,,,,,Чан Сы,,,,,,,,Chan Sy,,,,,,,"Сы, Чан",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chan Sy,,,,,,,,politician,,,,Чан Си,Чан Си (прем'єр-міністр Камбоджі),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16729974,Hun Mani,,,Hun Mani,Hun Mani,Hun Mani,Hun Mani,Hun Many,,male,1982-11-27,Hun Many,,,洪马尼,,,,フン・マニ,,,,,,,,,洪马尼,https://upload.wikimedia.org/wikipedia/commons/2/2c/Hun_Many.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16730825,Khuon Sodary,ឃួន សុដារី,,Khuon Sodary,Khuon Sodary,Khuon Sodary,Khuon Sodary,Khuon Sodary,ឃួន សុដារី,female,1952-11-08,Khuon Sodary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731110,Kuoch Ky,,,Kuoch Ky,Kuoch Ky,Kuoch Ky,Kuoch Ky,Kuoch Ky,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731714,Ly Thuch,,,Ly Thuch,Ly Thuch,Ly Thuch,Ly Thuch,Ly Thuch,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16733230,Mam Bun Neang,,,Mam Bun Neang,Mam Bun Neang,Mam Bun Neang,Mam Bun Neang,Mam Bun Neang,,male,,,Mam Bun Neang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16733324,Ngor Sovann,,,Ngor Sovann,,Ngor Sovann,Ngor Sovann,Ngor Sovann,,male,1970,,Ngor Sovann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16751397,Yim Sovann,,,Yim Sovann,,Yim Sovann,Yim Sovann,Yim Sovann,,male,1964-09-28,Yim Sovann,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Yim_Sovann.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yimsovann,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16864093,Hang Chuon Naron,,,Hang Chuon Naron,Hang Chuon Naron,Hang Chuon Naron,Hang Chuon Naron,Hang Chuon Naron,,male,1962-01-02,Hang Chuon Naron,Hang Chuon Naron,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Dr._Hang_Chuon_Naron.jpg,310508248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052916686,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16979822,Aun Porn Moniroth,អូន ព័ន្ធមុនីរ័ត្ន,,Aun Porn Moniroth,Aun Porn Moniroth,Aun Porn Moniroth,Aun Porn Moniroth,Aun Pornmoniroth,អូន ព័ន្ធមុនីរ័ត្ន,male,1965-10-01,Aun Pornmoniroth,,,,,Aun Pornmoniroth,,,,,Aun Pornmoniroth,,,,,Aun Pornmoniroth,,https://upload.wikimedia.org/wikipedia/commons/8/89/Dr._Aun_Pornmoniroth.jpg,,,,,,,,,,,,,,Аун Порн Монитрос,,,,,,,,,,,,,,,Аун Порн Монитрос,,,,,,,,,,,,,,,,,,,أون بورنمونيروث,,أون بورنمونيروث,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17523926,Phoeung Sakona,,,Phoeung Sakona,Phoeung Sakona,Phoeung Sakona,Phoeung Sakona,Phoeurng Sackona,,female,1959-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Фурнг Сакона,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17708806,Pol Hom,,,Pol Hom,Pol Hom,Pol Hom,Pol Hom,Pol Hom,,male,1946-02-03,Pol Hom,Pol Hom,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Pol_Hom.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18204622,Ou Chanrith,,,Ou Chanrith,Ou Chanrith,Ou Chanrith,Ou Chanrith,Ou Chanrith,,male,1969,Ou Chanrith,Ou Chanrith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18208486,Yem Ponhearith,,,Yem Ponhearith,Yem Ponhearith,Yem Ponhearith,Yem Ponhearith,Yem Ponhearith,,male,1960-07-07,Yem Ponhearith,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Yem_Ponhearith.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1935910,Pen Sovan,pen sovan,Pen Sovan,Pen Sovan,Pen Sovan,Pen Sovan,Pen Sovan,Pen Sovan,ប៉ែន សុវណ្ណ,male,1936-04-15,Pen Sovan,Pen Sovan,,宾索万,แปน โสวัณ,Pen Sovann,,ペン・ソバン,Pen Sovann,,Pen Sovan,Pen Sovan,ペン・ソバン,,แปน โสวัณ,Pen Sovann,宾索万,,189674850,,2016-10-29,/m/02q6zg_,Pen Sovan,,,,,,,,,Пен Сован,,,,,,Pen Sovan,,Pen Sovan,,,,,,Pen Sovan,"Сован, Пен",,Pen Sovan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pen Sovan,,,,,,,,politician,Pen Sovan,,,Пен Сован,Пен Сован,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19665914,Tep Sothy,,,Tep Sothy,,,Tep Sothy,Tep Sothy,,female,1973-02-13,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Tep_Sothy_Photo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23711016,Ang Vong Vathana,,,Ang Vong Vathana,,Ang Vong Vathana,Ang Vong Vathana,Ang Vong Vathana,,male,,Ang Vong Vathana,,,昂翁瓦塔納,,,,,,,Ang Vong Vathana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ανγκ Βονγκ Βατάνα,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23771428,Prak Sokhon,,,Prak Sokhon,,,Prak Sokhon,Prak Sokhonn,,male,1954-05-03,Prak Sokhonn,,,,,,,プラック・ソコン,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b2/Prak_Sokhon_2016.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28542578,Ek Sereywath,,,Ek Sereywath,,,Ek Sereywath,Ek Sereywath,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28969538,Bin Chhin,,,Bin Chhin,,,Bin Chhin,Bin Chhin,,male,1949-08-17,Bin Chhin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3194577,Keb Chutema,,,Keb Chutema,Keb Chutema,Keb Chutema,Keb Chutema,Kep Chuktema,,male,1951-02-07,Kep Chuktema,,,高竹德玛,,,,,,,Keb Chutema,,,,,,高竹德玛,,,,,,,,,,,,,,קפ צ'וק טמה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3194965,Kem Sokha,កឹម សុខា,Kem Sokha,Kem Sokha,Kem Sokha,Kem Sokha,Kem Sokha,Kem Sokha,កឹម សុខា,male,1953-06-27,Kem Sokha,,,庚速卡,,Kem Sokha,,ケム・ソカー,Kem Sokha,,Kem Sokha,,ケム・ソカー,,,Kem Sokha,金速卡,https://upload.wikimedia.org/wikipedia/commons/a/ab/Kem_Sokha_(cropped).jpg,2916148947856554950006,,,/m/0b10q3,,,,,,,,,,Кем Сокха,,,,,,,,Kem Sokha,,,,,,,Кем Сокха,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198612745,,,Category:Kem Sokha,,,,,,http://kemsokha.info/,,Kem Sokha,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q379197,Heng Samrin,ហេង សំរិន,Heng Samrin,Heng Samrin,Heng Samrin,Heng Samrin,Heng Samrin,Heng Samrin,ហេង សំរិន,male,1934-05-25,Heng Samrin,Heng Samrin,,韓桑林,สมเด็จอัครมหาพญาจักรี เฮง สัมริน,Heng Samrin,Heng Samrin,ヘン・サムリン,Heng Samrin,Heng Samrin,Heng Samrin,Heng Samrin,ヘン・サムリン,,สมเด็จอัครมหาพญาจักรี เฮง สัมริน,Heng Samrin,韓桑林,https://upload.wikimedia.org/wikipedia/commons/0/01/Heng_Samrin_cropped.jpg,73694632,nr00030256,,/m/045tkx,Heng Samrin,韩桑林,韓桑林,韓桑林,韩桑林,韩桑林,韓桑林,Heng Samrin,הנג סמרין,Хенг Самрин,헹 삼린,Heng Samrin,Heng Samrin,هنگ سامرین,Хенг Самрын,Heng Samrin,Хенг Самрын,Heng Samrin,هنگ سامرین,הנג סמרין,헹 삼린,Heng Samrin,Heng Samrin,Heng Samrin,Хенг Самрин,Heng Samrin,Heng Samrin,,,,,,,Heng Samrin,,,,,,,,,,,,,,,,,,,Heng Samrin,,,,,,,,,,,,,,,,Category:Heng Samrin,,,,,,,453832,Heng Samrin,,,,,,,,politician,,,,Генг Самрін,Генг Самрін,,,4664302,,,,,,,150199,,,,,,,,,,,,,,,,,,,,,
Q4740599,Amath Yashya,,,Amath Yashya,Amath Yashya,Amath Yashya,Amath Yashya,Amath Yashya,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أماث ياشيا,,أماث ياشيا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4830741,Ay Khorn,,,Ay Khorn,Ay Khorn,Ay Khorn,Ay Khorn,Ay Khorn,,male,,Ay Khorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4922569,Tea Banh,ទៀបាញ់,Tea Banh,Tea Banh,Tea Banh,Tea Banh,Tea Banh,Tea Banh,,male,1945-11-05,Tea Banh,,Tea,狄班,เตีย บัญ,Tea Banh,,,,,,,,,สมเด็จพิชัยเสนา เตีย บัญ,Tea Banh,狄班,https://upload.wikimedia.org/wikipedia/commons/f/f1/General_Tea_Banh.jpg,298028889,,,,,,,,,,,,,Теа Бан,,,,,,,,,,,,,,,Теа Бан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0004 0255 2407,,,,,Category:Tea Banh,,,,,,,,Tea Banh,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4922790,Khieu Kanharith,,Khieu Kanharith,Khieu Kanharith,Khieu Kanharith,Khieu Kanharith,Khieu Kanharith,Khieu Kanharith,,male,1951-09-13,Khieu Kanharith,,,,เขียว กัญญาฤทธิ์,Khieu Kanharith,,,,,,,,,เขียว กัญญาฤทธิ์,Khieu Kanharith,,https://upload.wikimedia.org/wikipedia/commons/b/b7/H.E_Khieu_Kanharith_at_Blogfest.Asia_2012.jpg,,,,/m/04lg_w_,,,喬幹那烈,,喬干那烈,,,,,Кхиеу Каньярит,,,,,,,,,,,,,,,Кхиеу Каньярит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Khieu Kanharith,,,,,,,,Khieu Kanharith,,,,,,,Khieu,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4949211,Bou Thang,,,Bou Thang,Bou Thang,Bou Thang,Bou Thang,Bou Thang,,male,,,Bou Thang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
