id,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ko,name__ru,name__fr,name__es,name__en,name__tr,name__fi,name__hu,name__it,name__et,name__id,name__de,name__ja,name__lt,name__nl,name__ar,name__sv,name__nb,name__fa,name__zh,name__hif,name__da,name__nn,name__mg,name,wikipedia__ar,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hu,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__lt,wikipedia__mg,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__zh,image,gender,birth_date,identifier__freebase,given_name,website,identifier__FIFA,original_wikiname,family_name,name__ka,wikipedia__ka,name__ca,name__vi,name__ro,wikipedia__ca,wikipedia__ro,wikipedia__vi,name__bg,name__az,wikipedia__az,wikipedia__bg,name__be,name__hy,second_surname,name__eu,wikipedia__he,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__cy,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__he,wikipedia__commons,twitter,facebook,occupation,wikipedia__uk,name__uk,identifier__google_knowledge,instagram,wikipedia__tg,name__tg,wikipedia__oc,name__sl,wikipedia__el,name__el,name__qu,identifier__ISNI,wikipedia__ast,weblog
Q16601305,,,,,,,,,,,,María Cristina Kronfle,María Cristina Kronfle,,,,,,,,,,,,,,,,,,,,María Cristina Kronfle,,,,María Cristina Kronfle,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/97/María_Cristina_Kronfle_asambleísta.jpg,female,1985-11-22,,María,,,María Cristina Kronfle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:María Cristina Kronfle,mckronfle,,lawyer,,,,,,,,María Cristina Kronfle,,,,,,
Q16635434,,,,,,,,,,,Soledad Buendía,Soledad Buendía,Soledad Buendía,,,Soledad Buendía,,,,,,,Soledad Buendía,,,,,,,,,,Soledad Buendía,,,Soledad Buendía,Soledad Buendía,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bb/María_Soledad_Buendia.jpg,female,1968-11-08,,Soledad,,,Soledad Buendía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Soledad Buendía,solbuendia,,politician,,,,,,,,Soledad Buendía,,,,,,
Q17632842,,,,,,,,,,,Gastón Gagliardo,Gastón Gagliardo,Gastón Gagliardo,,,Gastón Gagliardo,,,,,,,Gastón Gagliardo,,,,,,,,,,Gastón Gagliardo,,,,Gastón Gagliardo,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Asambleísta_Gastón_Gagliardo_en_la_Sesión_Inaugural_de_la_Asamblea_Nacional_período_2013-2017_(8741872384).jpg,male,1967-04-28,,Gastón,,,Gastón Gagliardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Gastón Gagliardo,,,politician,,,,,,,,Gastón Gagliardo,,,,,,
Q19973679,,,,,,,,,,,,Esperanza Galván,Esperanza Galván,,,,,,,,,,Esperanza Galván,,,,,,,,,,Esperanza Galván,,,,Esperanza Galván,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/87/Asambleísta_Esperanza_Galván_en_la_Sesión_Inaugural_de_la_Asamblea_Nacional_2013-2017_(8740510017).jpg,female,"",,Esperanza,,,Esperanza Galván,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sociologist,,,,,,,,Esperanza Galván,,,,,,
Q20656121,Denisse Robles,,,,,,,Denisse Robles,,,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,,Denisse Robles,Denisse Robles,,Denisse Robles,Denisse Robles,,,,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,,,Denisse Robles,Denisse Robles,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a2/Sesión_Inaugural_Asamblea_Nacional_2013-2017_(8741778828).jpg,female,1987-07-11,,Denisse,,,Denisse Robles,Robles,,,Denisse Robles,Denisse Robles,Denisse Robles,,,,,,,,,,,Denisse Robles,,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,Denisse Robles,,Category:Denisse Robles,denisse_robles,,politician,,,,,,,,Denisse Robles,,,,,,
Q20899865,,,,,,,,,,,Andrés Páez,Andrés Páez Benalcazar,Andrés Páez,,,,,,,,,,Andrés Páez,,,,,,,,,,Andrés Páez Benalcazar,,,,Andrés Páez,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Asambleísta_Andrés_Páez_(3858474407).jpg,male,1966-05-28,,Andrés,https://www.andrespaez.com.ec/,,Andrés Páez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Andrés Páez,andrespaezec,andrespaezec,politician,,,,,,,,Andrés Páez Benalcazar,,,,0000 0000 2061 4975,,
Q20909649,,,,,,,,,,,,Henry Cucalón,Henry Cucalón,,,Henry Cucalón,,,,,,,Henry Cucalón,,,,,,,,,,Henry Cucalón,,,,Henry Cucalón,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b2/Sesión_Inaugural_Asamblea_Nacional_2013-2017_(8740668923).jpg,male,1973,,Henry,,,Henry Cucalón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Henry Cucalón,,,politician,,,,,,,,Henry Cucalón,,,,,,
Q20994955,,,,,,,,,,,,Paola Pabón,Paola Pabón,,,,,,,,,,Paola Pabón,,,,,,,,,,Paola Pabón,,,Paola Pabón,Paola Pabón,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/56/Paola_Pabon_(detalle).jpg,female,1978-01-28,,Paola,,,Paola Pabón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Paola Pabón,paolapabonc,,lawyer,,,,,,,,Paola Pabón,,,,,,
Q22812974,,,,,,,,,,,Fernando Bustamante Ponce,Fernando Bustamante Ponce,Fernando Bustamante Ponce,,,,,,,,,,Fernando Bustamante Ponce,,,,,,,,,,Fernando Bustamante Ponce,,,,Fernando Bustamante Ponce,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Asambleísta_Fernando_Bustamate_en_la_Sesión_Inaugural_de_la_Asamblea_Nacional_período_2013-2017_(8741815388).jpg,male,1950-12-25,,Fernando,,,Fernando Bustamante Ponce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Fernando Bustamante Ponce,bustamantefx,,politician,,,,,,,,Fernando Bustamante Ponce,,,,,,
Q22923955,,,,,,,,,,,,Miguel Carvajal,Miguel Carvajal,,,,,,,,,,Miguel Carvajal,,,,,,,,,,Miguel Carvajal,,,,Miguel Carvajal,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Miguel_Carvajal_en_2017.jpg,male,1960-02-23,,Miguel,,,Miguel Carvajal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Miguel Carvajal,MCarvajal_A,,politician,,,,,,,,Miguel Carvajal,,,,,,
Q23685495,,,,,,,,Alexandra Arce,,,,Alexandra Arce,Alexandra Arce,,,,,,,,,,Alexandra Arce,,,,,,,,,,Alexandra Arce,,,Alexandra Arce,Alexandra Arce,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Alexandra_Arce_(detalle).jpg,female,1977-07-31,,Alexandra,,,Alexandra Arce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Alexandra Arce,Alexandra_Arce,,politician,,,,,,,,Alexandra Arce,,,,,,
Q23685853,,,,,,,,,,,,Nicolás Issa Wagner,Nicolás Issa Wagner,,,,,,,,,,Nicolás Issa Wagner,,,,,,,,,,Nicolás Issa Wagner,,,,Nicolás Issa Wagner,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/61/Nicolas_Issa_Wagner_(detalle).jpg,male,1979-09-25,,Nicolás,,,Nicolás Issa Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Nicolas Issa Wagner,nicoissa,,lawyer,,,,,,,,Nicolás Issa Wagner,,,,,,
Q23691657,,,,,,,,,,,,Virgilio Hernández Enríquez,Virgilio Hernández Enríquez,,,,,,,,,,Virgilio Hernández Enríquez,,,,,,,,,,Virgilio Hernández Enríquez,,,,Virgilio Hernández Enríquez,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/93/Virgilio_Hernandez_en_la_presentación_de_Misión_Casa_Para_Todos_(cropped).jpg,male,1965-08-05,,Virgilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Virgilio Hernández,virgiliohernand,,lawyer,,,,,,,,Virgilio Hernández Enríquez,,,,,,
Q23745828,,,,,,,,,,,,Raúl Auquilla,Raúl Auquilla,,,,,,,,,,Raúl Auquilla,,,,,,,,,,Raúl Auquilla,,,,Raúl Auquilla,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/61/Raul_Auquilla_(detalle).jpg,male,1952,,Raúl,,,Raúl Auquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Raul Auquilla,,,politician,,,,,,,,Raúl Auquilla,,,,,,
Q24044675,,,,,,,,,,,,René Yandún,René Yandún,,,,,,,,,,René Yandún,,,,,,,,,,René Yandún,,,,René Yandún,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Rene_Yandun_(detalle).png,male,1946-11-29,,René,,,René Yandún,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Rene Yandun,,,politician,,,,,,,,René Yandún,,,,,,
Q24054671,,,,,,,,,,,,Rocío Valarezo,Rocío Valarezo,,,,,,,,,,Rocío Valarezo,,,,,,,,,,Rocío Valarezo,,,,Rocío Valarezo,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Rocio_Valarezo_(detalle).png,female,1959,,Rocío,,,Rocío Valarezo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Rocío Valarezo,,,politician,,,,,,,,Rocío Valarezo,,,,,,
Q24488506,,,,,,,,,,,,María José Carrión,María José Carrión,,,,,,,,,,María José Carrión,,,,,,,,,,María José Carrión,,,,María José Carrión,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3f/María_José_Carrión_en_2017.jpg,female,1977-09-29,,María,,,María José Carrión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:María José Carrión,,,member of parliament,,,,,,,,María José Carrión,,,,,,
Q27097101,,,,,,,,,,,,Silvia Salgado Andrade,Silvia Salgado Andrade,,,,,,,,,,Silvia Salgado Andrade,,,,,,,,,,Silvia Salgado Andrade,,,,Silvia Salgado Andrade,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3e/34_Asamblea_del_Parlamento_Latinoamericano_(24745171238)_(cropped).jpg,female,1960-07-01,,Silvia,,,Silvia Salgado Andrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Silvia Salgado,,,politician,,,,,,,,Silvia Salgado Andrade,,,,,,
Q27119235,,,,,,,,,,,,Patricio Zambrano,Patricio Zambrano,,,,,,,,,,Patricio Zambrano,,,,,,,,,,Patricio Zambrano,,,,Patricio Zambrano,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/46/PatricioZambrano.jpg,male,1969-08-25,,,,,Patricio Zambrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PatoZambranoR,,politician,,,,,,,,Patricio Zambrano,,,Patricio Zambrano,,,
Q27506674,,,,,,,,,,,,Johnny Terán,Johnny Terán,,,,,,,,,,Johnny Terán,,,,,,,,,,Johnny Terán,,,,Johnny Terán,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cd/Johnny_Teran_(cropped).jpg,male,1960-11-27,,Johnny,,,Johnny Terán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Johnny Terán,,,politician,,,,,,,,Johnny Terán,,,,,,
Q27978227,,,,,,,,,,,,Antonio Posso,Antonio Posso,,,,,,,,,,Antonio Posso,,,,,,,,,,Antonio Posso,,,,Antonio Posso,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b9/Antonio_Posso_(cropped).png,male,1949-08-05,,Antonio,,,Antonio Posso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Antonio Posso,,,politician,,,,,,,,Antonio Posso,,,,,,
Q27982086,,,,,,,,,,,,Fanny Uribe,Fanny Uribe,,,,,,,,,,Fanny Uribe,,,,,,,,,,Fanny Uribe,,,,Fanny Uribe,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Fanny_Uribe_2016.jpg,female,"",,Fanny,,,Fanny Uribe,Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Fanny Uribe,,,politician,,,,,,,,Fanny Uribe,,,,,,
Q27983050,,,,,,,,,,,,César Umajinga,César Umajinga,,,,,,,,,,César Umajinga,,,,,,,,,,César Umajinga,,,,César Umajinga,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c9/Cesar_Umajinga_(cropped).png,male,1969,,César,,,César Umajinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:César Umaginga,,,politician,,,,,,,,César Umajinga,,,,,,
Q28024113,,,,,,,,,,,,Oswaldo Larriva,Oswaldo Larriva,,,,,,,,,,,,,,,,,,,,Oswaldo Larriva,,,,Oswaldo Larriva,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/30/Oswaldo_Larriva_(cropped).png,male,1946,,Oswaldo,,,Oswaldo Larriva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Oswaldo Larriva,,,,,,,,,,,Oswaldo Larriva,,,,,,
Q28449676,,,,,,,,Lenin Lara,,,,Lenin Lara,Lenin Lara,,,,,,,,,,Lenin Lara,,,,,,,,,,Lenin Lara,,,,Lenin Lara,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/40/Sesión_Inaugural_Asamblea_Nacional_2013-2017_(8741802534)_(cropped).jpg,male,1979-03-09,,,,,Lenin Lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,Lenin Lara,,,,0000 0000 3953 5062,,
