id,name__en,name__fr,name__ru,name__de,name__cy,name__nl,name,wikipedia__en,wikipedia__fr,wikipedia__ru,gender,birth_date,death_date,given_name,original_wikiname,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__bi,name__pl,name__es,name__yo,name__fi,name__it,name__et,name__id,name__cs,name__vi,name__el,name__sh,name__da,name__zh,name__uk,name__nb,name__io,name__nn,name__sv,name__ko,name__hu,wikipedia__bi,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ko,wikipedia__no,wikipedia__pl,wikipedia__sh,wikipedia__simple,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,identifier__freebase,name__pt,wikipedia__pt,name__ka,wikipedia__ka,name__eo,wikipedia__eo,wikipedia__sv,identifier__Britannica,name__tr,name__hr,name__lt,wikipedia__hr,wikipedia__lt,wikipedia__tr,identifier__VIAF,identifier__LCAuth,name__sr_el,name__sr_ec,name__gl,name__tpi,name__sr,wikipedia__gl,wikipedia__sr,wikipedia__tpi,name__ca,name__oc,name__de_ch,name__en_ca,name__en_gb,name__na,wikipedia__na,wikipedia__oc,wikipedia__ar,name__ar,name__ja,name__eu,occupation
Q22963618,Havo Molisale,,,,,Havo Molisale,Havo Molisale,Havo Molisale,,,male,1962-06-09,2016-02-23,,Havo Molisale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Havo Molisale,Havo Molisale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3186031,Joshua Kalsakau,Joshua Kalsakau,,Joshua Kalsakau,,Joshua Kalsakau,Joshua Kalsakau,Joshua Kalsakau,Joshua Kalsakau,,male,,,Joshua,Joshua Kalsakau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3317554,Moana Carcasses Kalosil,Moana Carcasses Kalosil,Моана Каркассес Калосил,Moana Carcasses Kalosil,,Moana Carcasses Kalosil,Moana Carcasses Kalosil,Moana Carcasses Kalosil,Moana Carcasses Kalosil,"Калосил, Моана Каркассес",male,1963-01-28,,Moana,Moana Carcasses Kalosil,,,,,,,,Moana Carcasses Kalosil,Moana Carcasses Kalosil,,,,Moana Carcasses Kalosil,,,,Μοάνα Καρκάσις Καλόζιλ,,Moana Carcasses Kalosil,莫阿纳·卡凯塞斯,Моана Каркассес Калосіль,Moana Carcasses Kalosil,,Moana Carcasses Kalosil,Moana Carcasses Kalosil,,,,,,,Moana Carcasses Kalosil,Μοάνα Καρκάσις Καλόζιλ,Moana Carcasses Kalosil,Moana Carcasses Kalosil,,,,,,,Moana Carcasses Kalosil,,,Моана Каркассес Калосіль,,,莫阿纳·卡凯塞斯,https://upload.wikimedia.org/wikipedia/commons/7/7b/Moana_Carcasses_Kalosil_2013_(cropped).jpg,/m/03kgb8,,,,,,,,,Moana Carcasses Kalosil,,,,,Moana Carcasses Kalosil,,,,,,,,,,,,Moana Carcassés Kalosil,Moana Carcasses Kalosil,Moana Carcasses Kalosil,Moana Carcasses Kalosil,,,Moana Carcassés Kalosil,,,モアナ・カルカセス・カロシル,,diplomat
Q339580,Jean-Marie Léyé,Jean Marie Leye Lenelgau,"Лейе, Жан-Мари",Jean-Marie Manatawai,Jean-Marie Léyé,Jean Marie Leye Lenelgau,Jean-Marie Léyé,Jean-Marie Léyé,Jean-Marie Léyé,"Лейе, Жан-Мари",male,1932,2014-12-09,Jean-Marie,Jean-Marie Léyé,,,,,,,,Jean Marie Leye Lenelgau,Jean Marie Leye Lenelgau,,,,,,,,Ζαν Μαρί Λεγιέ Λενελγκάου,Jean Marie Leye Lenelgau,,,Жан Марі Лейє Ленелго,,,,,,Jean Marie Leye Lenelgau,,,,,Jean-Marie Manatawai,Ζαν Μαρί Λεγιέ Λενελγκάου,,,,,,,,,Jean Marie Leye Lenelgau,Jean Marie Leye Lenelgau,,Жан Марі Лейє Ленелго,,,,,/m/063y__b,,,ჟან-მარი ლეიე ლენელგო,ჟან-მარი ლეიე ლენელგო,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャンマリー・レイエ,,politician
Q379550,Edward Natapei,Edward Natapei,"Натапеи, Эдвард",Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,"Натапеи, Эдвард",male,1954-07-17,2015-07-28,Edward,Edward Natapei,爱德华·纳塔佩,愛德華·納塔佩,愛德華·納塔佩,爱德华·纳塔佩,爱德华·纳塔佩,愛德華·納塔佩,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Έντουαρντ Ναταπέι,Edward Natapei,Edward Natapei,爱德华·纳塔佩,Едуард Натапеї,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,에드워드 나타페이,Edward Natapei,Edward Natapei,Category:Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Έντουαρντ Ναταπέι,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,에드워드 나타페이,Edward Natapei,Edward Natapei,Edward Natapei,Edward Natapei,Едуард Натапеї,Edward Natapei,Edward Natapei,爱德华·纳塔佩,https://upload.wikimedia.org/wikipedia/commons/f/fe/Edward_Natapei_2009.jpg,/m/02306n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ادوارد ناتابى,ادوارد ناتابى,エドワード・ナタペイ,,diplomat
Q469823,Sato Kilman,Sato Kilman,"Килман, Сато",Sato Kilman,,Sato Kilman,Sato Kilman,Sato Kilman,Sato Kilman,"Килман, Сато",male,1957-12-30,,,Sato Kilman,,,,,,,Sato Kilman,Sato Kilman,Sato Kilman,,,,Sato Kilman,,,Sato Kilman,Σάτο Κίλμαν,,Sato Kilman,萨托·基尔曼,Сато Кілман,Sato Kilman,,Sato Kilman,Sato Kilman,,,Sato Kilman,,,Sato Kilman,Sato Kilman,Σάτο Κίλμαν,Sato Kilman,Sato Kilman,,,,,,Sato Kilman,Sato Kilman,,,Сато Кілман,Sato Kilman,,萨托·基尔曼,https://upload.wikimedia.org/wikipedia/commons/5/5b/Sato_Kilman_(cropped).jpg,/m/04pn9w,,,,,,,,,Sato Kilman,Sato Kilman,Sato Kilman,Sato Kilman,Sato Kilman,Sato Kilman,310715182,n2014063164,,,,,,,,,,,,,,,,,,,サトー・キルマン,Sato Kilman,diplomat
Q469851,Ham Lini,Ham Lini,"Лини, Хам",Ham Lini,,Ham Lini,Ham Lini,Ham Lini,Ham Lini,"Лини, Хам",male,1951-12-08,,,Ham Lini,汉姆·利尼,漢姆·利尼,漢姆·利尼,汉姆·利尼,汉姆·利尼,漢姆·利尼,Ham Lini,Ham Lini,Ham Lini,,Ham Lini,,,Ham Lini,,,Χαμ Λίνι,Ham Lini,Ham Lini,汉姆·利尼,Гам Ліні,Ham Lini,,Ham Lini,Ham Lini,,Ham Lini,Ham Lini,,,,Ham Lini,Χαμ Λίνι,,,Ham Lini,Ham Lini,,,,,Ham Lini,Ham Lini,,Гам Ліні,,,汉姆·利尼,https://upload.wikimedia.org/wikipedia/commons/7/7d/Ham_Lini.jpg,/m/03plc8,,,,,,,Ham Lini,,,,,,,,,,Ham Lini,Хам Лини,Ham Lini,Ham Lini,Хам Лини,Ham Lini,Хам Лини,Ham Lini,,,,,,,,,,,ハム・リニ,,politician
Q5382288,Ephraim Kalsakau,,,Ephraim Kalsakau,,Ephraim Kalsakau,Ephraim Kalsakau,Ephraim Kalsakau,,,male,,,Ephraim,Ephraim Kalsakau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q5398549,Esmon Saimon,,,Esmon Saimon,,Esmon Saimon,Esmon Saimon,Esmon Saimon,,,male,1955-10-28,,,Esmon Saimon,,,,,,,,,,,,Esmon Saimon,,,,,,,,,,,,,,,,,,,,Esmon Saimon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q5669925,Harry Iauko,Harry Iauko,,Harry Iauko,Harry Iauko,Harry Iauko,Harry Iauko,Harry Iauko,,,male,,2012-12-10,Harry,Harry Iauko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q578951,Ralph Regenvanu,Ralph Regenvanu,,Ralph Regenvanu,,Ralph Regenvanu,Ralph Regenvanu,Ralph Regenvanu,Ralph Regenvanu,,male,1970-09-20,,Ralph,Ralph Regenvanu,,,,,,,,,Ralph Regenvanu,,,,,,,,,,Ralph Regenvanu,,,Ralph Regenvanu,,Ralph Regenvanu,Ralph Regenvanu,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3d/Ralph_Regenvanu.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anthropologist
Q58222,Joe Natuman,Joe Natuman,"Натуман, Джо",Joe Natuman,,Joe Natuman,Joe Natuman,Joe Natuman,Joe Natuman,"Натуман, Джо",male,1952-11-24,,Joe,Joe Natuman,,喬·納圖曼,,乔·纳图曼,,,,Joe Natuman,Joe Natuman,,,,Joe Natuman,,,Joe Natuman,Τζο Νάτουμαν,,Joe Natuman,喬·納圖曼,,Joe Natuman,,Joe Natuman,Joe Natuman,,,,,,,Joe Natuman,Τζο Νάτουμαν,Joe Natuman,Joe Natuman,,,,,,,Joe Natuman,,,,Joe Natuman,,,https://upload.wikimedia.org/wikipedia/commons/9/95/Joe_Natuman_2014_(cropped).jpg,,,,,,,,,,Joe Natuman,,,,,Joe Natuman,,,,,,,,,,,Joe Natuman,Joe Natuman,Joe Natuman,Joe Natuman,Joe Natuman,Joe Natuman,Joe Natuman,,,,ジョー・ナトウマン,,diplomat
Q7126017,Pakoa Kaltonga,,,Pakoa Kaltonga,,,Pakoa Kaltonga,Pakoa Kaltonga,,,male,,,,Pakoa Kaltonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat
Q7153951,Paul Telukluk,Paul Telukluk,,Paul Telukluk,,,Paul Telukluk,Paul Telukluk,,,male,,,Paul,Paul Telukluk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q736823,Serge Vohor,Serge Vohor,Серж Вохор,Serge Vohor,,Serge Vohor,Serge Vohor,Serge Vohor,Serge Vohor,"Вохор, Серж",male,1955,,Serge,Serge Vohor,,瑟奇·沃霍爾,,瑟奇·沃霍尔,,,Serge Vohor,Serge Vohor,Serge Vohor,,Serge Vohor,,,,,,Σερζ Βοχόρ,Serge Vohor,Serge Vohor,渥荷,Серж Вохор,Serge Vohor,,Serge Vohor,Rialuth Serge Vohor,,,Serge Vohor,,,,Serge Vohor,Σερζ Βοχόρ,,,Serge Vohor,,,,,Serge Vohor,Serge Vohor,Serge Vohor,,Серж Вохор,,,,https://upload.wikimedia.org/wikipedia/commons/1/14/Rialuth_Serge_Vohor_(Imagicity_1307)_(cropped).jpg,/m/03jtm1,,,,,Serge Vohor,Serge Vohor,Rialuth Serge Vohor,biography/Serge-Vohor,,,,,,,,,,,,,,,,,,,,,,,,,,,サージ・ボオール,,diplomat
Q7854825,Ture Cailo,,,Ture Cailo,,,Ture Cailo,Ture Cailo,,,male,,2009-10-23,Ture,Ture Cailo,,,,,,,,,,,,Ture Cailo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q807232,Barak Sopé,Barak Sopé,"Сопе, Барак",Barak Sopé,,Barak Sopé,Barak Sopé,Barak Sopé,Barak Sopé,"Сопе, Барак",male,1955,,Barak,Barak Sopé,,,,,,,,Barak Sope,Barak Sopé,,,,,,,,Μπαράκ Σοπέ,Barak Sopé,,巴拉克·索佩,Барак Сопе,,,,,,Barak Sopé,,,,,Barak Sopé,Μπαράκ Σοπέ,,,,,,,,,Barak Sope,Barak Sopé,,Барак Сопе,,,,,/m/03kgbm,,,,,,,,,,,,,,,63322773,n98049024,,,,,,,,,,,,,,,,,,,バラク・ソペ,,politician
Q888262,Josias Moli,Josias Moli,"Моли, Жозиас",Josias Moli,,Josias Moli,Josias Moli,Josias Moli,Josias Moli,"Моли, Жозиас",male,"",,Josias,Josias Moli,,,,,,,Josias Moli,Josias Moli,Josias Moli,,,,,,,,Τζόσιας Μόλι,Josias Moli,,,Жозіас Молі,,,,,,Josias Moli,Josias Moli,,,,Josias Moli,Τζόσιας Μόλι,,,,,,,,,Josias Moli,Josias Moli,,Жозіас Молі,,,,,/m/03jtnm,Josias Moli,Josias Moli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジョシアス・モリ,,politician
