id,name__fr,name,wikipedia__fr,name__en,wikipedia__en,gender,birth_date,given_name,identifier__VIAF,identifier__SUDOC,identifier__freebase,image,name__nb,name__da,name__nn,name__sv,name__de,name__et,name__gl,name__ja,name__pl,name__nl,name__es,name__it,wikipedia__de,wikipedia__et,wikipedia__gl,wikipedia__it,wikipedia__ja,wikipedia__pl,identifier__BNF,family_name,original_wikiname,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__oc,name__br,name__am,name__ar,name__pt,name__eo,name__ru,name__sr_el,name__sr_ec,name__tr,name__mk,name__fi,name__uk,name__be_tarask,name__io,name__hr,name__vec,name__arz,name__ko,name__be,name__he,name__yo,name__id,name__wo,name__hi,name__ht,name__sk,name__ro,name__ca,name__la,name__sl,name__war,name__cs,name__bg,name__km,name__ka,name__lt,name__fa,name__cy,name__en_ca,name__en_gb,name__pt_br,name__sr,name__zh,name__de_ch,name__el,name__qu,name__pa,name__mg,name__mr,name__az,name__kk,name__sh,name__lv,name__ne,name__vi,name__sco,name__ast,wikipedia__am,wikipedia__ar,wikipedia__arz,wikipedia__ast,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__dewikiquote,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__eswikiquote,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__glwikiquote,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__ht,wikipedia__id,wikipedia__io,wikipedia__itwikiquote,wikipedia__ka,wikipedia__kk,wikipedia__km,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mg,wikipedia__mk,wikipedia__mr,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pa,wikipedia__plwikiquote,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__sk,wikipedia__sl,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__vec,wikipedia__vi,wikipedia__war,wikipedia__wo,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__NDL,identifier__MusicBrainz,death_date,identifier__OLID,identifier__NKC,identifier__SELIBR,identifier__BNE,identifier__NTA,identifier__sycomore,identifier__CANTIC,identifier__Britannica,identifier__senatDOTfr,identifier__FAST,identifier__Munzinger,identifier__NLA,name__pms,wikipedia__pms,identifier__GNC,name__nds,name__hu,identifier__KLfG,identifier__CTHS,last_seen,wikipedia__ln,identifier__PACE,name__ln,identifier__NNDB,occupation,identifier__nlg,wikipedia__sw,name__sw,identifier__snac,identifier__persee,identifier__GTAA,name__li,name__gsw,wikipedia__hrwikiquote,wikipedia__mwl,wikipedia__simple,name__mwl,wikipedia__kbp,wikipedia__hu,name__kbp,identifier__dialnet,identifier__BIBSYS,identifier__discogs,identifier__PTBNP,identifier__bigenc_ru,identifier__CONOR,identifier__IMDB,identifier__AlloCine,identifier__allmovie,identifier__CSFD,identifier__kinopoisk,name__hy,identifier__ne_se,identifier__NLAtrove,wikipedia__th,name__th
Q2821404,Abdourahmane Sy,Abdourahmane Sy,Abdourahmane Sy,Abdourahmane Sy,,male,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdourahmane Sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-06-14,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2828782,Aissa Mama Kane,Aissa Mama Kane,Aissa Mama Kane,Aissa Mama Kane,Aissa Mama Kane,female,,,,,,,,,,,,,,,,Aissa Mama Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aissa Mama Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2837084,Aliou Dembo Sow,Aliou Dembo Sow,Aliou Sow,Aliou Dembo Sow,,male,1975-05-08,,310683546,,,https://upload.wikimedia.org/wikipedia/commons/b/b2/Aliou_sow.jpg,Aliou Dembo Sow,Aliou Dembo Sow,Aliou Dembo Sow,Aliou Dembo Sow,,,,,,,,,,,,,,,,,Aliou Dembo Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliou Dembo Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2840844,Amadou Assane Ndoye,Amadou Assane Ndoye,Amadou Assane Ndoye,Amadou Assane Ndoye,,male,1890-07-26,Amadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amadou Assane Ndoye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974-07-04,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2840858,Amadou Cissé Dia,Amadou Cissé Dia,Amadou Cissé Dia,Amadou Cissé Dia,Amadou Cissé Dia,male,1915-06-02,Amadou,228652414,,,,Amadou Cissé Dia,Amadou Cissé Dia,Amadou Cissé Dia,Amadou Cissé Dia,Amadou Cissé Dia,,,,,Amadou Cissé Dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amadou Cissé Dia,,,,,,,,Amadou Cissé Dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0003 6422 1235,,,,,2002-11-01,,,,,089532473,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2840878,Amadou Lamine-Guèye,Amadou Lamine-Guèye,Amadou Lamine-Guèye,Lamine Guèye,Lamine Guèye,male,1891-09-20,Lamine,247950007,,,https://upload.wikimedia.org/wikipedia/commons/d/d8/LamineGuèye.jpg,,,,,Lamine Guèye,,,,Amadou Lamine-Guèye,Lamine Guèye,Lamine Guèye,Amadou Lamine-Guèye,,,,,,,,,,Amadou Lamine-Guèye,,,,,,,,,,,,,,,,,,,,,,,,,,라미네 기예,,,,,,,,,,Amadou Lamine-Guèye,,Amadou Lamine-Guèye,,,,,,Amadou Lamine-Guèye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,라미네 기예,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0001 1061 4522,,n85371939,,,1968-06-10,,,,,070797803,4314,,biography/Lamine-Gueye,senateur-4eme-republique/lamine_gueye_amadou0208r4,,,,,,,Amadou Lamine-Guèye,Lamine Guèye,,,,,,,,politician,,,,,276267,,Amadou Lamine-Guèye,Amadou Lamine-Guèye,,,,,,,,,,,,,,,,,,,,,,,
Q2841351,Amath Dansokho,Amath Dansokho,Amath Dansokho,Amath Dansokho,Amath Dansokho,male,1937-01-13,,,,,https://upload.wikimedia.org/wikipedia/commons/2/20/Amath_Dansokho_2.jpg,Amath Dansokho,Amath Dansokho,Amath Dansokho,Amath Dansokho,Amath Dansokho,,,,Amath Dansokho,Amath Dansokho,Amath Dansokho,,,,,,,,,,,,,,,,,,,,,,,,,Амат Дансокхо,,,,,,,,,,,,,,,,,,,,,,,,Amath Dansokho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Amath Dansokho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amath Dansokho,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q284311,Aïda Mbodj,Aïda Mbodj,Aïda Mbodj,Aida Mbodj,Aida Mbodj,female,1955-04,Aida,,,/m/0h52z40,https://upload.wikimedia.org/wikipedia/commons/1/14/Aïda_mbodj_h.jpg,Aïda Mbodj,Aïda Mbodj,Aïda Mbodj,Aïda Mbodj,Aida Mbodj,,,,Aïda Mbodj,Aïda Mbodj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aida Mbodj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Aïda Mbodj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2843389,Aminata Mbengue Ndiaye,Aminata Mbengue Ndiaye,Aminata Mbengue Ndiaye,Aminata Mbengue Ndiaye,Aminata Mbengue Ndiaye,female,,Aminata,,,,https://upload.wikimedia.org/wikipedia/commons/7/70/Aminata_Mbengue_Ndiaye.jpg,Aminata Mbengue Ndiaye,Aminata Mbengue Ndiaye,Aminata Mbengue Ndiaye,Aminata Mbengue Ndiaye,,,,,Aminata Mbengue Ndiaye,Aminata Mbengue Ndiaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aminata Mbengue Ndiaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Aminata Mbengue Ndiaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2843396,Aminata Tall,Aminata Tall,Aminata Tall,Aminata Tall,,female,1949,Aminata,,,,,Aminata Tall,Aminata Tall,Aminata Tall,Aminata Tall,,,,,,Aminata Tall,,Aminata Tall,,,,,,,,Tall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aminata Tall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2874643,Awa Diop,Awa Diop,Awa Diop,Awa Diop,,female,1948-05-01,Awa,,,,,Awa Diop,Awa Diop,Awa Diop,Awa Diop,,,,,,Awa Diop,,,,,,,,,,Diop,Awa Diop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awa Diop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2877741,Babacar Sèye,Babacar Sèye,Babacar Sèye,Babacar Sèye,,male,"",,214270701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babacar Sèye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 3173 7508,,n96069520,,,1993-05-15,,,,,,,,,,1846891,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2912002,Boubacar Guèye,Boubacar Guèye,Boubacar Guèye,Boubacar Guèye,,male,1913-12-15,Boubacar,,,,https://upload.wikimedia.org/wikipedia/commons/8/8b/Boubacar_Gueye.JPG,Boubacar Guèye,Boubacar Guèye,Boubacar Guèye,Boubacar Guèye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boubacar Guèye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-11-22,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2939995,Caroline Faye Diop,Caroline Faye Diop,Caroline Faye Diop,Caroline Faye Diop,Caroline Faye Diop,female,1923-07-11,Caroline,,,,,Caroline Faye Diop,Caroline Faye Diop,Caroline Faye Diop,Caroline Faye Diop,Caroline Faye Diop,,,,,Caroline Faye Diop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caroline Faye Diop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-07-29,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
