id,image,name,email,identifier__scotparl
2080,http://scottishparliament.thirdlight.com/file/9853504141,Johann Lamont,Johann.Lamont.msp@parliament.scot,2080
2085,"",John Farquhar Munro,,2085
4947,http://scottishparliament.thirdlight.com/file/35783690556,John Finnie,John.Finnie.msp@parliament.scot,4947
2100,"",John Home Robertson,,2100
4016,"",John Lamont,,4016
5110,http://scottishparliament.thirdlight.com/file/35820937486,John Mason,John.Mason.msp@parliament.scot,5110
2090,"",John McAllion,,2090
3815,"",John Park,,3815
2853,"",John Pentland,,2853
2345,http://scottishparliament.thirdlight.com/file/35786761546,John Scott,John.Scott.msp@parliament.scot,2345
2686,"",John Swinburne,,2686
2098,http://scottishparliament.thirdlight.com/file/35943496226,John Swinney,John.Swinney.msp@parliament.scot,2098
2610,"",John Wilson,,2610
2099,"",John Young,,2099
1803,"",Karen Gillon,,1803
1805,"",Karen Whitefield,,1805
5621,http://scottishparliament.thirdlight.com/file/35942002221,Kate Forbes,Kate.Forbes.msp@parliament.scot,5621
1807,"",Kate Maclean,,1807
1811,"",Kay Ullrich,,1811
2103,http://scottishparliament.thirdlight.com/file/35960260789,Keith Brown,Keith.Brown.msp@parliament.scot,2103
2105,"",Keith Harding,,2105
2106,"",Keith Raffan,,2106
2108,http://scottishparliament.thirdlight.com/file/35921454568,Ken Macintosh,Ken.Macintosh.msp@parliament.scot,2108
2110,http://scottishparliament.thirdlight.com/file/35855484389,Kenneth Gibson,Kenneth.Gibson.msp@parliament.scot,2110
2112,"",Kenny MacAskill,,2112
5106,http://scottishparliament.thirdlight.com/file/35818497490,Kevin Stewart,Kevin.Stewart.msp@parliament.scot,5106
3812,http://scottishparliament.thirdlight.com/file/35781781656,Kezia Dugdale,Kezia.Dugdale.msp@parliament.scot,3812
5035,"",Lesley Brennan,,5035
2117,http://scottishparliament.thirdlight.com/file/35942002807,Lewis Macdonald,Lewis.Macdonald.msp@parliament.scot,2117
5651,http://scottishparliament.thirdlight.com/file/35783687854,Liam Kerr,Liam.Kerr.msp@parliament.scot,5651
3896,http://scottishparliament.thirdlight.com/file/35855661618,Liam McArthur,Liam.McArthur.msp@parliament.scot,3896
1814,http://scottishparliament.thirdlight.com/file/35942002662,Linda Fabiani,Linda.Fabiani.msp@parliament.scot,1814
4014,http://scottishparliament.thirdlight.com/file/35818225410,Liz Smith,Elizabeth.Smith.msp@parliament.scot,4014
2118,"",Lloyd Quinan,,2118
2122,"",Lyndsay McIntosh,,2122
5587,http://scottishparliament.thirdlight.com/file/35921454674,Mairi Gougeon,Mairi.Gougeon.msp@parliament.scot,5587
2123,"",Malcolm Chisholm,,2123
5109,"",Marco Biagi,,5109
5669,http://scottishparliament.thirdlight.com/file/35783691275,Maree Todd,Maree.Todd.msp@parliament.scot,5669
5108,"",Margaret Burgess,,5108
1820,"",Margaret Curran,,1820
1821,"",Margaret Ewing,,1821
1823,"",Margaret Jamieson,,1823
5080,"",Margaret McCulloch,,5080
3824,"",Margaret McDougall,Margaret.McDougall.msp@scottish.parliament.uk,3824
3061,http://scottishparliament.thirdlight.com/file/35783809913,Margaret Mitchell,Margaret.Mitchell.msp@parliament.scot,3061
1826,"",Margaret Smith,,1826
1828,"",Margo MacDonald,,1828
1832,"",Marilyn Livingstone,,1832
2126,"",Mark Ballard,,2126
5042,http://scottishparliament.thirdlight.com/file/35855660595,Mark Griffin,Mark.Griffin.msp@parliament.scot,5042
4964,http://scottishparliament.thirdlight.com/file/51456142156,Mark McDonald,Mark.McDonald.msp@parliament.scot,4964
2127,http://scottishparliament.thirdlight.com/file/35781781662,Mark Ruskell,Mark.Ruskell.msp@parliament.scot,2127
1831,"",Marlyn Glen,,1831
5059,http://scottishparliament.thirdlight.com/file/35818225238,Mary Fee,Mary.Fee.msp@parliament.scot,5059
1837,"",Mary Mulligan,,1837
1839,"",Mary Scanlon,,1839
1840,"",Maureen Macmillan,,1840
1841,http://scottishparliament.thirdlight.com/file/35820938288,Maureen Watt,Maureen.Watt.msp@parliament.scot,1841
5700,http://scottishparliament.thirdlight.com/file/35783689572,Maurice Corry,Maurice.Corry.msp@parliament.scot,5700
3983,http://scottishparliament.thirdlight.com/file/35783687661,Maurice Golden,Maurice.Golden.msp@parliament.scot,3983
2133,http://scottishparliament.thirdlight.com/file/35855660631,Michael Matheson,Michael.Matheson.msp@parliament.scot,2133
2134,"",Michael McMahon,,2134
2135,http://scottishparliament.thirdlight.com/file/35819641476,Michael Russell,Michael.Russell.msp@parliament.scot,2135
5797,http://scottishparliament.thirdlight.com/file/42332640174,Michelle Ballantyne,Michelle.Ballantyne.msp@parliament.scot,5797
4948,"",Mike MacKenzie,,4948
2252,"",Mike Pringle,,2252
2140,http://scottishparliament.thirdlight.com/file/35783809943,Mike Rumbles,Mike.Rumbles.msp@parliament.scot,2140
2142,"",Mike Watson,,2142
4987,http://scottishparliament.thirdlight.com/file/35783685351,Miles Briggs,Miles.Briggs.msp@parliament.scot,4987
5580,http://scottishparliament.thirdlight.com/file/35783687362,Monica Lennon,Monica.Lennon.msp@parliament.scot,5580
2394,http://scottishparliament.thirdlight.com/file/35800892126,Murdo Fraser,Murdo.Fraser.msp@parliament.scot,2394
2148,"",Murray Tosh,,2148
1845,"",Nanette Milne,,1845
5060,http://scottishparliament.thirdlight.com/file/35960261503,Neil Bibby,Neil.Bibby.msp@parliament.scot,5060
5054,http://scottishparliament.thirdlight.com/file/35817927315,Neil Findlay,Neil.Findlay.msp@parliament.scot,5054
2152,"",Nick Johnston,,2152
2154,"",Nicol Stephen,,2154
1848,http://scottishparliament.thirdlight.com/file/9853640645,Nicola Sturgeon,Nicola.Sturgeon.msp@parliament.scot,1848
3743,"",Nigel Don,,3743
1850,"",Nora Radcliffe,,1850
5709,http://scottishparliament.thirdlight.com/file/35781571941,Oliver Mundell,Oliver.Mundell.msp@parliament.scot,5709
1853,"",Patricia Ferguson,,1853
2892,http://scottishparliament.thirdlight.com/file/35783690519,Patrick Harvie,Patrick.Harvie.msp@parliament.scot,2892
2159,"",Paul Martin,,2159
4952,http://scottishparliament.thirdlight.com/file/35818225376,Paul Wheelhouse,Paul.Wheelhouse.msp@parliament.scot,4952
1857,http://scottishparliament.thirdlight.com/file/35960261831,Pauline McNeill,Pauline.McNeill.msp@parliament.scot,1857
5679,http://scottishparliament.thirdlight.com/file/35783689357,Peter Chapman,Peter.Chapman.msp@parliament.scot,5679
2167,"",Peter Peacock,,2167
2172,"",Phil Gallie,,2172
5769,http://scottishparliament.thirdlight.com/file/35781571479,Rachael Hamilton,Rachael.Hamilton.msp@parliament.scot,5769
1860,http://scottishparliament.thirdlight.com/file/41869411513,Rhoda Grant,Rhoda.Grant.msp@parliament.scot,1860
1862,"",Rhona Brankin,,1862
2603,"",Richard Baker,,2603
5579,http://scottishparliament.thirdlight.com/file/35942063441,Richard Leonard,Richard.Leonard.msp@parliament.scot,5579
2180,http://scottishparliament.thirdlight.com/file/9853506741,Richard Lochhead,Richard.Lochhead.msp@parliament.scot,2180
4938,http://scottishparliament.thirdlight.com/file/35960260779,Richard Lyle,Richard.Lyle.msp@parliament.scot,4938
2182,"",Richard Simpson,,2182
2675,"",Rob Gibson,,2675
2185,"",Robert Brown,,2185
2188,"",Robin Harper,,2188
2673,"",Roderick Campbell,,2673
5622,http://scottishparliament.thirdlight.com/file/35783687929,Rona Mackay,Rona.Mackay.msp@parliament.scot,5622
1863,http://scottishparliament.thirdlight.com/file/35942247222,Roseanna Cunningham,Roseanna.Cunningham.msp@parliament.scot,1863
2665,"",Rosemary Byrne,,2665
2201,"",Rosie Kane,,2201
2202,"",Ross Finnie,,2202
5757,http://scottishparliament.thirdlight.com/file/35783687836,Ross Greer,Ross.Greer.msp@parliament.scot,5757
3985,"",Ross Thomson,,3985
4976,http://scottishparliament.thirdlight.com/file/35783689179,Ruth Davidson,Ruth.Davidson.msp@parliament.scot,4976
5598,http://scottishparliament.thirdlight.com/file/51788159101,Ruth Maguire,Ruth.Maguire.msp@parliament.scot,5598
2205,"",Sam Galbraith,,2205
1865,http://scottishparliament.thirdlight.com/file/35922877182,Sandra White,Sandra.White.msp@parliament.scot,1865
1866,"",Sarah Boyack,,1866
2207,"",Scott Barrie,,2207
1869,"",Shiona Baird,,1869
3750,http://scottishparliament.thirdlight.com/file/35783690940,Shirley-Anne Somerville,Shirley-Anne.Somerville.msp@parliament.scot,3750
1870,http://scottishparliament.thirdlight.com/file/35820938944,Shona Robison,Shona.Robison.msp@parliament.scot,1870
5041,"",Siobhan McMahon,,5041
2263,"",Sir David Steel,,2263
3749,"",Stefan Tymkewycz,,3749
2876,"",Stewart Maxwell,,2876
2215,http://scottishparliament.thirdlight.com/file/35820478663,Stewart Stevenson,msp@stewartstevenson.net,2215
3763,http://scottishparliament.thirdlight.com/file/35820938765,Stuart McMillan,Stuart.McMillan.msp@parliament.scot,3763
1871,"",Susan Deacon,,1871
1873,"",Sylvia Jackson,,1873
2223,http://scottishparliament.thirdlight.com/file/35820938602,Tavish Scott,Tavish.Scott.msp@parliament.scot,2223
1988,"",Ted Brocklebank,,1988
5868,http://scottishparliament.thirdlight.com/file/35783688599,Tom Arthur,Tom.Arthur.msp@parliament.scot,5868
5929,http://scottishparliament.thirdlight.com/file/42819976812,Tom Mason,Tom.Mason.msp@parliament.scot,5929
2228,"",Tom McCabe,,2228
2225,"",Tommy Sheridan,,2225
1876,"",Tricia Marwick,,1876
1854,"",Trish Godman,,1854
1877,"",Wendy Alexander,,1877
3907,http://scottishparliament.thirdlight.com/file/36076831535,Willie Coffey,Willie.Coffey.msp@parliament.scot,3907
5009,http://scottishparliament.thirdlight.com/file/35783687229,Willie Rennie,Willie.Rennie.msp@parliament.scot,5009
1878,"",Winnie Ewing,,1878
