id,name,state,area,area_id,wikipedia,wikipedia__en,group_id,group,term,source,coalition,coalition_id,name__en,image,gender,identifier__isni,identifier__viaf,identifier__gnd,identifier__lcauth,identifier__sudoc,birth_date,death_date,identifier__freebase,given_name,identifier__nta,identifier__oxforddnb,identifier__munzinger,family_name,identifier__musicbrainz,identifier__nla,identifier__nndb,identifier__npg,identifier__cantic,identifier__fifa,website,identifier__bnf
zulkiflee_muhammad,Zulkiflee Muhammad,Kelantan,"Bachok, Kelantan",P019-1,,,PMIP,Pan-Malayan Islamic Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
hussain_rahimi_saman,Hussain Rahimi Saman,Kelantan,"Kota Bharu Hulu, Kelantan",P020-1,,,PMIP,Pan-Malayan Islamic Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
mohamed_hanifah_abdul_ghani,Mohamed Hanifah Abdul Ghani,Kelantan,"Pasir Mas Hulu, Kelantan",P021-1,,,PMIP,Pan-Malayan Islamic Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
asri_muda,Mohamad Asri Muda,Kelantan,"Pasir Puteh, Kelantan",P022-1,http://en.wikipedia.org/wiki/Asri_Muda,Asri Muda,PMIP,Pan-Malayan Islamic Party,1,,,,Asri Muda,,male,,118200425,,,,1923-10-10,1992-08-28,,Mohamad,,,,,,,,,,,,
othman_abdullah,Othman Abdullah,Kelantan,"Tanah Merah, Kelantan",P023-1,,,PMIP,Pan-Malayan Islamic Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tengku_indra_petra_sultan_ibrahim,Tengku Indra Petra Sultan Ibrahim,Kelantan,"Ulu Kelantan, Kelantan",P024-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
burhanuddin_al-helmy,Burhanuddin al-Helmy,Trengganu,"Besut, Trengganu",P025-1,http://en.wikipedia.org/wiki/Burhanuddin_al-Helmy,Burhanuddin al-Helmy,PMIP,Pan-Malayan Islamic Party,1,,,,Burhanuddin al-Helmy,,male,,48086079,,,,,1969-11-06,/m/0cc8g8v,,,,,,,,,,,,,
hasan_adli_mohd_arshad,Hasan Adli Mohd Arshad,Trengganu,"Kuala Trengganu Utara, Trengganu",P026-1,,,PMIP,Pan-Malayan Islamic Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ismail_kassim_(terengganu_politician),Ismail Kassim,Trengganu,"Kuala Trengganu Selatan, Trengganu",P027-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
khadijah_sidek,Che Khadijah Mohd Sidik,Trengganu,"Dungun, Trengganu",P028-1,,,PMIP,Pan-Malayan Islamic Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
wan_yahya_wan_mohamed,Wan Yahya Wan Mohamed,Trengganu,"Kemaman, Trengganu",P029-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
harun_pilus,Harun Pilus,Trengganu,"Trengganu Tengah, Trengganu",P030-1,,,PMIP,Pan-Malayan Islamic Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tan_cheng_bee,Tan Cheng Bee,Penang,"Bagan, Penang",P031-1,,,MCA,Malaysian Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
ibrahim_abdul_rahman,Ibrahim Abdul Rahman,Penang,"Seberang Tengah, Penang",P032-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
veerappen_veerathan,Veerappen Veerathan,Penang,"Seberang Selatan, Penang",P033-1,,,Lab,Labour Party of Malaya,1,,Malayan Peoples' Socialist Front,Socialist Front,,,,,,,,,,,,,,,,,,,,,,,,
geh_chong_keat,Geh Chong Keat,Penang,"Penang Utara, Penang",P034-1,,,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
ismail_idris,Ismail Idris,Penang,"Penang Selatan, Penang",P035-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
tan_phock_kin,Tan Phock Kin,Penang,"Tanjong, Penang",P036-1,,,Lab,Labour Party of Malaya,1,,Malayan Peoples' Socialist Front,Socialist Front,,,,,,,,,,,,,,,,,,,,,,,,
lim_kean_siew,Lim Kean Siew,Penang,"Dato' Kramat, Penang",P037-1,,,Lab,Labour Party of Malaya,1,,Malayan Peoples' Socialist Front,Socialist Front,,,,,,,,,,,,,,,,,,,,,,,,
ahmad_saaid,Ahmad Saaid,Penang,"Seberang Utara, Penang",P038-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
mohamed_nor_mohd_dahan,Mohamed Nor Mohd Dahan,Perak,"Ulu Perak, Perak",P039-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
tajudin_ali,Tajudin Ali,Perak,"Larut Utara, Perak",P040-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
abdul_rauf_abdul_rahman,Abdul Rauf Abdul Rahman,Perak,"Krian Laut, Perak",P041-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
ahmad_yusof,Ahmad Yusof,Perak,"Krian Darat, Perak",P042-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
lim_swee_aun,Lim Swee Aun,Perak,"Larut Selatan, Perak",P043-1,http://en.wikipedia.org/wiki/Lim_Swee_Aun,Lim Swee Aun,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,Lim Swee Aun,,male,,,,,,1915-09-01,1977-08-13,,,,,,,,,,,,,,
mohamed_abbas_ahmad,Mohamed Abbas Ahmad,Perak,"Hilir Perak, Perak",P044-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
abdullah_abdul_raof,Abdullah Abdul Raof,Perak,"Kuala Kangsar, Perak",P045-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
v._t._sambanthan,V. T. Sambanthan,Perak,"Sungei Siput, Perak",P046-1,http://en.wikipedia.org/wiki/V._T._Sambanthan,V. T. Sambanthan,MIC,Malayan Indian Congress,1,,Alliance Party,Alliance,V. T. Sambanthan,,male,,267478829,,,147322952,1919-06-16,1979-05-18,,V.,,,,,,,,,,,,
hussein_mohd_noordin,Hussein Mohd Noordin,Perak,"Parit, Perak",P047-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
yeoh_tat_beng,Yeoh Tat Beng,Perak,"Bruas, Perak",P048-1,,,IND,Independent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
yong_woo_ming,Yong Woo Ming,Perak,"Sitiawan, Perak",P049-1,,,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
d._r._seenivasagam,D. R. Seenivasagam,Perak,"Ipoh, Perak",P050-1,http://en.wikipedia.org/wiki/D._R._Seenivasagam,D. R. Seenivasagam,PPP,People's Progressive Party,1,,,,D. R. Seenivasagam,,male,,,,,,1925-01-01,1969-01-01,,D.,,,,,,,,,,,,
s._p._seenivasagam,S. P. Seenivasagam,Perak,"Menglembu, Perak",P051-1,,,PPP,People's Progressive Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
chan_swee_ho,Chan Swee Ho,Perak,"Ulu Kinta, Perak",P052-1,,,PPP,People's Progressive Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
khong_kok_yat,Khong Kok Yat,Perak,"Batu Gajah, Perak",P053-1,,,PPP,People's Progressive Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
chan_yoon_onn,Chan Yoon Onn,Perak,"Kampar, Perak",P054-1,,,PPP,People's Progressive Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lee_seck_fun,Lee Seck Fun,Perak,"Tanjong Malim, Perak",P055-1,,,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
too_joon_hing,Too Joon Hing,Perak,"Telok Anson, Perak",P056-1,,,IND,Independent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
yahya_ahmad,Yahya Ahmad,Perak,"Bagan Datoh, Perak",P057-1,http://en.wikipedia.org/wiki/Yahya_Ahmad,Yahya Ahmad,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
abdul_hamid_khan_sakhawat_ali_khan,Abdul Hamid Khan Sakhawat Ali Khan,Perak,"Batang Padang, Perak",P058-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
hussein_hassan,Hussein Hassan,Pahang,"Raub, Pahang",P059-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
chan_siang_sun,Chan Siang Sun,Pahang,"Bentong, Pahang",P060-1,,,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
abdul_rahman_talib,Abdul Rahman Talib,Pahang,"Kuantan, Pahang",P061-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
abdul_razak_hussein,Abdul Razak Hussein,Pahang,"Pekan, Pahang",P062-1,http://en.wikipedia.org/wiki/Abdul_Razak_Hussein,Abdul Razak Hussein,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,Abdul Razak Hussein,https://upload.wikimedia.org/wikipedia/commons/e/e4/Tun_Abdul_Razak_(MY_2nd_PM).jpg,male,0000 0000 8254 9312,67569269,130279307,n82237241,131016539,1922-03-11,1976-01-14,/m/01_t6g,Abdul,72382791.0,101094674,,,,,,,,,,
mohamed_yusof_mahmud,Mohamed Yusof Mahmud,Pahang,"Temerloh, Pahang",P063-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
abdul_razak_hussin,Abdul Razak Hussin,Pahang,"Lipis, Pahang",P064-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
mohamed_dahari_mohd_ali,Mohamed Dahari Mohd Ali,Selangor,"Kuala Selangor, Selangor",P065-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
ng_ann_teck,Ng Ann Teck,Selangor,"Batu, Selangor",P066-1,,,Lab,Labour Party of Malaya,1,,Malayan Peoples' Socialist Front,Socialist Front,,,,,,,,,,,,,,,,,,,,,,,,
hamzah_alang,Hamzah Alang,Selangor,"Kapar, Selangor",P067-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
liu_yoong_peng,Liu Yoong Peng,Selangor,"Rawang, Selangor",P068-1,,,Lab,Labour Party of Malaya,1,,Malayan Peoples' Socialist Front,Socialist Front,,,,,,,,,,,,,,,,,,,,,,,,
zakaria_mohd_taib,Zakaria Mohd Taib,Selangor,"Langat, Selangor",P069-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
ahmad_boestamam,Ahmad Boestamam,Selangor,"Setapak, Selangor",P070-1,http://en.wikipedia.org/wiki/Ahmad_Boestamam,Ahmad Boestamam,Ra'ayat,Parti Rakyat Malaysia,1,,Malayan Peoples' Socialist Front,Socialist Front,,,,,,,,,,,,,,,,,,,,,,,,
v._david,V. David,Selangor,"Bungsar, Selangor",P071-1,http://en.wikipedia.org/wiki/V._David,V. David,Lab,Labour Party of Malaya,1,,Malayan Peoples' Socialist Front,Socialist Front,David V.,,male,,,,,,1932-08-26,2005-07-10,,David,,,,,,,,,,,,
cheah_theam_swee,Cheah Theam Swee,Selangor,"Bukit Bintang, Selangor",P072-1,,,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
karam_singh_veriah,Karam Singh Veriah,Selangor,"Damansara, Selangor",P073-1,,,Ra'ayat,Parti Rakyat Malaysia,1,,Malayan Peoples' Socialist Front,Socialist Front,,,,,,,,,,,,,,,,,,,,,,,,
v._manickavasagam,V. Manickavasagam,Selangor,"Klang, Selangor",P074-1,http://en.wikipedia.org/wiki/V._Manickavasagam,V. Manickavasagam,MIC,Malayan Indian Congress,1,,Alliance Party,Alliance,V. Manickavasagam,,male,,,,,,,1979-10-12,,V.,,,,,,,,,,,,
abdul_aziz_ishak,Abdul Aziz Ishak,Selangor,"Kuala Langat, Selangor",P075-1,http://en.wikipedia.org/wiki/Abdul_Aziz_Ishak,Abdul Aziz Ishak,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
lee_siok_yew,Lee Siok Yew,Selangor,"Sepang, Selangor",P076-1,,,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
syed_hashim_syed_ajam,Syed Hashim Syed Ajam,Selangor,"Sabak Bernam, Selangor",P077-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
omar_ong_yoke_lin,Omar Ong Yoke Lin,Selangor,"Ulu Selangor, Selangor",P078-1,http://en.wikipedia.org/wiki/Omar_Ong_Yoke_Lin,Omar Ong Yoke Lin,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
bahaman_samsudin,Bahaman Samsudin,Negri Sembilan,"Kuala Pilah, Negri Sembilan",P079-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
chin_see_yin,Chin See Yin,Negri Sembilan,"Seremban Timor, Negri Sembilan",P080-1,,,IND,Independent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
redza_mohd_said,Redza Mohd Said,Negri Sembilan,"Rembau-Tampin, Negri Sembilan",P081-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
t._mahima_singh,T. Mahima Singh,Negri Sembilan,"Port Dickson, Negri Sembilan",P082-1,,,MIC,Malayan Indian Congress,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
mohamed_ujang,Mohamed Ujang,Negri Sembilan,"Jelebu-Jempol, Negri Sembilan",P083-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
quek_kai_dong,Quek Kai Dong,Negri Sembilan,"Seremban Barat, Negri Sembilan",P084-1,,,IND,Independent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tan_siew_sin,Tan Siew Sin,Malacca,"Malacca Tengah, Malacca",P085-1,http://en.wikipedia.org/wiki/Tan_Siew_Sin,Tan Siew Sin,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,Tan Siew Sin,,male,,112484206,,n50009243,,1916-05-21,1988-03-17,,Tan,,,,,,,,,,,,
tan_kee_gak,Tan Kee Gak,Malacca,"Bandar Malacca, Malacca",P086-1,,,MP,Malayan Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdul_ghani_ishak,Abdul Ghani Ishak,Malacca,"Malacca Utara, Malacca",P087-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
hassan_mansor,Hassan Mansor,Malacca,"Malacca Selatan, Malacca",P088-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
abdul_aziz_ishak,Abdul Aziz Ishak,Johore,"Muar Dalam, Johore",P089-1,http://en.wikipedia.org/wiki/Abdul_Aziz_Ishak,Abdul Aziz Ishak,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
teoh_chze_chong,Teoh Chze Chong,Johore,"Segamat Selatan, Johore",P090-1,,,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
seah_teng_ngiab,Seah Teng Ngiab,Johore,"Muar Pantai, Johore",P091-1,,,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
awang_hassan,Awang Hassan,Johore,"Muar Selatan, Johore",P092-1,http://en.wikipedia.org/wiki/Awang_Hassan,Awang Hassan,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,Awang Hassan,,male,,,,,,1910-11-01,1998-10-23,,,,,,,,,,,,,,
kang_kok_seng,Kang Kok Seng,Johore,"Batu Pahat, Johore",P093-1,,,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
syed_esa_alwee,Syed Esa Alwee,Johore,"Batu Pahat Dalam, Johore",P094-1,http://en.wikipedia.org/wiki/Syed_Esa_Alwee,Syed Esa Alwee,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,Syed Esa Alwee,,male,,,,,,,,,,,,,,,,,,,,,
lee_san_choon,Lee San Choon,Johore,"Kluang Utara, Johore",P095-1,http://en.wikipedia.org/wiki/Lee_San_Choon,Lee San Choon,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,Lee San Choon,,male,,,,,,1935-03-24,,,,,,,,,,,,,,,
syed_jaafar_albar,Syed Jaafar Albar,Johore,"Johore Tenggara, Johore",P096-1,http://en.wikipedia.org/wiki/Syed_Jaafar_Albar,Syed Jaafar Albar,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,Syed Jaafar Albar,,male,,,,,,1914-01-01,1977-01-14,,,,,,,,,,,,,,
sardon_jubir,Sardon Jubir,Johore,"Pontian Utara, Johore",P097-1,http://en.wikipedia.org/wiki/Sardon_Jubir,Sardon Jubir,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,Sardon Haji Jubir,,male,,73020679,,,,1917-03-19,1985-12-14,/m/047fp13,,,,,,,,,,,,,
zainon_munshi_sulaiman,Zainon Munshi Sulaiman,Johore,"Pontian Selatan, Johore",P098-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
chan_chong_wen,Chan Chong Wen,Johore,"Kluang Selatan, Johore",P099-1,,,MCA,Malaysian Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
mohamad_noah_omar,Mohamad Noah Omar,Johore,"Johore Bahru Timor, Johore",P100-1,http://en.wikipedia.org/wiki/Mohamad_Noah_Omar,Mohamad Noah Omar,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,Mohamad Noah Omar,,male,,,,,,1898-08-13,1991-09-06,,Mohamad,,,,,,,,,,,,
ahmad_mohamed_shah,Ahmad Mohamed Shah,Johore,"Johore Bahru Barat, Johore",P101-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
ismail_abdul_rahman,Ismail Abdul Rahman,Johore,"Johore Timor, Johore",P102-1,http://en.wikipedia.org/wiki/Ismail_Abdul_Rahman,Ismail Abdul Rahman,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,Ismail Abdul Rahman,,male,0000 0000 6686 3643,23347431,,,123388333,1915-11-04,1973-08-02,/m/09np5k,Ismail,,,,,,,,,,,,
abdullah_mohd_salleh,Abdullah Mohd Salleh,Johore,"Segamat Utara, Johore",P103-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
ahmad_arshad,Ahmad Arshad,Johore,"Muar Utara, Johore",P104-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
othman_abdullah,Othman Abdullah,Perlis,"Perlis Utara, Perlis",P001-2,,,UMNO,United Malays National Organisation,2,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
mokhtar_ismail,Mokhtar Ismail,Perlis,"Perlis Selatan, Perlis",P002-2,,,UMNO,United Malays National Organisation,2,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
fatimah_hashim,Fatimah Hashim,Kedah,"Jitra-Padang Terap, Kedah",P003-2,http://en.wikipedia.org/wiki/Fatimah_Hashim,Fatimah Hashim,UMNO,United Malays National Organisation,2,,Alliance Party,Alliance,Fatimah Hashim,,female,,53840705,1018184392,,,1924-12-25,2010-01-09,/m/02z17xs,,,,,,,,,,,,,
senu_abdul_rahman,Senu Abdul Rahman,Kedah,"Kubang Pasu Barat, Kedah",P004-2,http://en.wikipedia.org/wiki/Senu_Abdul_Rahman,Senu Abdul Rahman,UMNO,United Malays National Organisation,2,,Alliance Party,Alliance,Senu Abdul Rahman,,male,,72529680,,,,1919-01-01,1995-01-01,,,,,,,,,,,,,,
abdul_khalid_awang_osman,Abdul Khalid Awang Osman,Kedah,"Kota Star Utara, Kedah",P005-2,,,UMNO,United Malays National Organisation,2,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
lim_pee_hung,Lim Pee Hung,Kedah,"Alor Star, Kedah",P006-2,,,MCA,Malaysian Chinese Association,2,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
tunku_abdul_rahman,"Tunku Abdul Rahman
Sultan Abdul Hamid Halim Shah",Kedah,"Kuala Kedah, Kedah",P007-2,http://en.wikipedia.org/wiki/Tunku_Abdul_Rahman,Tunku Abdul Rahman,UMNO,United Malays National Organisation,2,,Alliance Party,Alliance,Tunku Abdul Rahman,https://upload.wikimedia.org/wikipedia/commons/5/5a/Tunku_abd_rahman.jpg,male,0000 0000 8363 1019,20929510,118787705,n50034818,138970831,1903-02-08,1990-12-06,/m/01_t7m,Abdul,,101039072,,,,,271/000174746,mp141027,,,,
mahathir_mohamad,Mahathir Mohamad,Kedah,"Kota Star Selatan, Kedah",P008-2,http://en.wikipedia.org/wiki/Mahathir_Mohamad,Mahathir Mohamad,UMNO,United Malays National Organisation,2,,Alliance Party,Alliance,Mahathir Mohamad,https://upload.wikimedia.org/wikipedia/commons/c/c0/Mahathir_Mohamad_addressing_the_United_Nations_General_Assembly_(September_25_2003).jpg,male,,98026483,118930060,n81054017,92036813.0,1925-07-10,,/m/01lydh,,,,,,5ef869f6-d103-4aa0-a0f6-575017e10696,,,,,,,
