id,name,name__ar,wikipedia__ar,gender,given_name,birth_date,original_wikiname,name__en,occupation,name__nl,wikipedia__en,death_date,name__ru,family_name,name__de,name__fr,wikipedia__fr,image,name__es,twitter,identifier__google_knowledge,identifier__ISNI,name__fa,wikipedia__fa,wikipedia__ru,identifier__freebase,name__ja,name__hu,name__bn,name__ast,identifier__LCAuth,name__arz
Q16117893,,عبد الرحمن علي العشبي,عبد الرحمن علي العشبي,male,Abd al-Rahman,1960,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16117917,,عبد الرحمن محمد عبد الله الأكوع,عبد الرحمن محمد عبد الله الأكوع,male,Abd al-Rahman,1952,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16117998,,محسن علي عمر باصره,محسن علي عمر باصره,male,,1964-09-14,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118003,Hamoud hammoud Yahya atef,حمود حمود يحيى عاطف,حمود حمود يحيى عاطف,male,,1944-01-01,,Hamoud hammoud Yahya atef,politician,,,,,,,,,,Hamoud hammoud Yahya atef,,,,,,,,,,,Hamoud hammoud Yahya atef,,
Q16118032,,محسن محمد أحمد الأنسي,محسن محمد أحمد الأنسي,male,,1948,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118086,,عبد السلام أحمد الدهبلي,عبد السلام أحمد الدهبلي,male,Abdus Salam,1966,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118097,Hameed Abdullah sghaier Al-jabarti,حميد عبد الله صغير الجبرتي,حميد عبد الله صغير الجبرتي,male,,1962,,Hameed Abdullah sghaier Al-jabarti,politician,,,,,,,,,,Hameed Abdullah sghaier Al-jabarti,,,,,,,,,,,Hameed Abdullah sghaier Al-jabarti,,
Q16118105,,حميد محمد علي أحمد شعبين,حميد محمد علي أحمد شعبين,male,,1968,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118142,,عبد السلام صالح هشول زابية,عبد السلام صالح هشول زابية,male,Abdus Salam,1969,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118166,Abdul Aziz Jubari,عبد العزيز جباري,عبد العزيز جباري,male,Abdelaziz,1963-01-01,,Abdul Aziz Jubari,politician,,,,,,,,,,Abdul Aziz Jubari,,,,,,,,,,,Abdul Aziz Jubari,,
Q16118177,Abdul-Aziz Ahmed crew,عبد العزيز أحمد كرو,عبد العزيز أحمد كرو,male,Abdel Aziz,1949,,Abdul-Aziz Ahmed crew,politician,,,,,,,,,,Abdul-Aziz Ahmed crew,,,,,,,,,,,Abdul-Aziz Ahmed crew,,
Q16118316,,عبد العزيز عبد الواحد علي الواحدي,عبد العزيز عبد الواحد علي الواحدي,male,Abdelaziz,,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118333,,عبد العزيز قاسم محمد الجنيد,عبد العزيز قاسم محمد الجنيد,male,Abdelaziz,1962,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118339,,محمد أحمد سعيد الزويدي,محمد أحمد سعيد الزويدي,male,Mohammed,1958,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118385,,محمد أحمد محمد ورق,محمد أحمد محمد ورق,male,Mohammed,1969,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118457,Mohamed Ismail Ahmed Al-arhabi,محمد إسماعيل أحمد الأرحبي,محمد إسماعيل أحمد الأرحبي,male,Mohammed,1951,,Mohamed Ismail Ahmed Al-arhabi,politician,,,,,,,,,,Mohamed Ismail Ahmed Al-arhabi,,,,,,,,,,,Mohamed Ismail Ahmed Al-arhabi,,
Q16118471,,عبد القادر عبد الله الدعيس,عبد القادر عبد الله الدعيس,male,Abdul Qadir,1961,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118550,,عبد الكريم أحمد جدبان علي,عبد الكريم أحمد جدبان علي,male,Abdul Karim,1965-01-01,,,politician,,,2013,,,,,,,,,,,,,,,,,,,,
Q16118557,Abdelkrim Ahmed Yahya Al-sanini,عبد الكريم أحمد يحيى السنيني,عبد الكريم أحمد يحيى السنيني,male,Abdul Karim,1962,,Abdelkrim Ahmed Yahya Al-sanini,politician,,,,,,,,,,Abdelkrim Ahmed Yahya Al-sanini,,,,,,,,,,,Abdelkrim Ahmed Yahya Al-sanini,,
Q16118560,Mohamed Al-haj Saleh Al-salhi,محمد الحاج صالح الصالحي,محمد الحاج صالح الصالحي,male,Mohammed,1949,,Mohamed Al-haj Saleh Al-salhi,politician,,,,,,,,,,Mohamed Al-haj Saleh Al-salhi,,,,,,,,,,,Mohamed Al-haj Saleh Al-salhi,,
Q16118663,,عبد الكريم شرف محسن شيبان,عبد الكريم شرف محسن شيبان,male,Abdul Karim,1960,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118704,,عبد الكريم محسن حسين الأكوع,عبد الكريم محسن حسين الأكوع,male,Abdul Karim,1955,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118714,,أحمد أحمد محسن العقاري,أحمد أحمد محسن العقاري,male,Ahmad,1950,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118718,,عبد الكريم محمد مشعوف الأسلمي,عبد الكريم محمد مشعوف الأسلمي,male,Abdul Karim,1968,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118724,,أحمد أحمد محسن النويرة,أحمد أحمد محسن النويرة,male,Ahmad,1967-07-17,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118749,Mansar Abdullah Yahya Mansar,منصر عبد الله يحيى منصر,منصر عبد الله يحيى منصر,male,,1962,,Mansar Abdullah Yahya Mansar,politician,,,,,,,,,,Mansar Abdullah Yahya Mansar,,,,,,,,,,,Mansar Abdullah Yahya Mansar,,
Q16118796,,عبد الله أحمد علي العديني,عبد الله أحمد علي العديني,male,Abdullah,1956,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118797,,منصور عزيز حمود الزنداني,منصور عزيز حمود الزنداني,male,,1956,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118805,,عبد الله أحمد محمد القحيزه,عبد الله أحمد محمد القحيزه,male,Abdullah,1951,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118806,,منصور علي عبد الواحد الشهاري,منصور علي عبد الواحد الشهاري,male,,1967,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118814,,منصور علي عبده واصل,منصور علي عبده واصل,male,,1957,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118821,,سعيد سالم سعد باحقيبة,سعيد سالم سعد باحقيبة,male,Sa'id,1957-07-01,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16118824,,منصور علي يحيى الحنق,منصور علي يحيى الحنق,male,,1958,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119017,,محمد امين علي محسن باشا,محمد امين علي محسن باشا,male,Mohammed,1970,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119026,,عبد الله بن علي الغادر,عبد الله بن علي الغادر,male,Abdullah,1968-04-16,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119100,,محمد بكير عمر صلاح,محمد بكير عمر صلاح,male,Mohammed,1955,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119139,,خالد صالح شائف الردفاني,خالد صالح شائف الردفاني,male,,1964,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119147,Khaled abdilbari gillan,خالد عبد الباري جيلان,خالد عبد الباري جيلان,male,,1973,,Khaled abdilbari gillan,politician,,,,,,,,,,Khaled abdilbari gillan,,,,,,,,,,,Khaled abdilbari gillan,,
Q16119148,,عبد الله حسين عبد الله البشيري,عبد الله حسين عبد الله البشيري,male,Abdullah,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119159,Abdullah Hamoud Al-haj Al-katib,عبد الله حمود الحاج الكاتب,عبد الله حمود الحاج الكاتب,male,Abdullah,1969,,Abdullah Hamoud Al-haj Al-katib,politician,,,,,,,,,,Abdullah Hamoud Al-haj Al-katib,,,,,,,,,,,Abdullah Hamoud Al-haj Al-katib,,
Q16119227,Khaled Muhammed Kassem Al-Ansi,خالد محمد قاسم العنسي,خالد محمد قاسم العنسي,male,,1968,,Khaled Muhammed Kassem Al-Ansi,politician,,,,,,,,,,Khaled Muhammed Kassem Al-Ansi,,,,,,,,,,,Khaled Muhammed Kassem Al-Ansi,,
Q16119231,,مهدي صالح غالب الجعدي,مهدي صالح غالب الجعدي,male,,1955,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119244,Abdullah Abdullah Yahya Badr El Din,عبد الله عبد الله يحيى بدر الدين,عبد الله عبد الله يحيى بدر الدين,male,Abdullah,1960,,Abdullah Abdullah Yahya Badr El Din,politician,,,,,,,,,,,,,,,,,,,,,Abdullah Abdullah Yahya Badr El Din,,
Q16119245,,مهدي علي عبد السلام عبد الله,مهدي علي عبد السلام عبد الله,male,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119247,,خالد يحيى علي معصار,خالد يحيى علي معصار,male,,1965,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119271,,عبد الله علي حسن معيلي,عبد الله علي حسن معيلي,male,Abdullah,1958,,,politician,,,2017-10-26,,,,,,,,,,,,,,,,,,,,
Q16119275,,أحمد حسن عبد الهادي باحويرث,أحمد حسن عبد الهادي باحويرث,male,Ahmad,1952,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119281,,عبد الله علي صالح الخلاقي,عبد الله علي صالح الخلاقي,male,Abdullah,1964,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119357,,عبد الله محسن أحمد العجر,عبد الله محسن أحمد العجر,male,Abdullah,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119383,,عبد الله محمد صالح المقطري,عبد الله محمد صالح المقطري,male,Abdullah,1952,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119389,,أحمد سعيد عبيد الصويل,أحمد سعيد عبيد الصويل,male,Ahmad,1958,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119420,Sultan Al-brakani,سلطان البركاني,سلطان البركاني,male,,1956,,Sultan Al-brakani,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119426,,أحمد سيف حاشد هاشم,أحمد سيف حاشد هاشم,male,Ahmad,1962,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119428,,سلطان العتواني,سلطان العتواني,male,,1952-01-01,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119486,,محمد بن ناجي الشايف,محمد بن ناجي الشايف,male,Mohammed,1964,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119504,Abdul-Malik Ahmed Hassan Al-wazir,عبد الملك أحمد حسن الوزير,عبد الملك أحمد حسن الوزير,male,Abdul Malik,1930,,Abdul-Malik Ahmed Hassan Al-wazir,politician,,,,,,,,,,Abdul-Malik Ahmed Hassan Al-wazir,,,,,,,,,,,Abdul-Malik Ahmed Hassan Al-wazir,,
Q16119505,,أحمد عباس أحمد قايد البرطي,أحمد عباس أحمد قايد البرطي,male,Ahmad,1975,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119522,,أحمد عبد الرب حسن الدخين,أحمد عبد الرب حسن الدخين,male,Ahmad,1958-07-21,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119540,,أحمد عبد الرزاق الرقيحي,أحمد عبد الرزاق الرقيحي,male,Ahmad,1929,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119546,,عبد الملك عبد الله حسن القصوص,عبد الملك عبد الله حسن القصوص,male,Abdul Malik,1963-09,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119547,,أحمد عبد الله محمد العزاني,أحمد عبد الله محمد العزاني,male,Ahmad,1955,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119575,Mohamed Thabet Mohamed Al-asali,محمد ثابت محمد العسلي,محمد ثابت محمد العسلي,male,Mohammed,1966,,Mohamed Thabet Mohamed Al-asali,politician,,,,,,,,,,Mohamed Thabet Mohamed Al-asali,,,,,,,,,,,Mohamed Thabet Mohamed Al-asali,,
Q16119627,Abdul-Wahed Saeed Al-Makhlafi,عبد الواحد سعيد المخلافي,عبد الواحد سعيد المخلافي,male,Abdul Wahid,1946,,Abdul-Wahed Saeed Al-Makhlafi,politician,,,,,,,,,,Abdul-Wahed Saeed Al-Makhlafi,,,,,,,,,,,Abdul-Wahed Saeed Al-Makhlafi,,
Q16119633,,أحمد علي عبد الله السنيدار,أحمد علي عبد الله السنيدار,male,Ahmad,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119653,,عبد الواسع هائل سعيد انعم,عبد الواسع هائل سعيد انعم,male,,1924-01-01,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119660,,عبد الولي عبده حسن الجابري,عبد الولي عبده حسن الجابري,male,,1969,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119718,,أحمد عيضة أحمد القرشي,أحمد عيضة أحمد القرشي,male,Ahmad,1975,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119723,,عبد الوهاب محمود عبد الحميد,عبد الوهاب محمود عبد الحميد,male,Abdul Wahhab,1942-11-13,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,
Q16119731,,عبد الوهاب محمود علي معوضة,عبد الوهاب محمود علي معوضة,male,Abdul Wahhab,1956,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119747,Abdulrabbo Ahmed Salem Al-amri,عبد ربه أحمد سالم العمري,عبد ربه أحمد سالم العمري,male,Abd Rabbo,1954,,Abdulrabbo Ahmed Salem Al-amri,politician,,,,,,,,,,Abdulrabbo Ahmed Salem Al-amri,,,,,,,,,,,Abdulrabbo Ahmed Salem Al-amri,,
Q16119812,,أحمد محمد أحمد الضبيبي,أحمد محمد أحمد الضبيبي,male,Ahmad,1951,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119825,,أحمد محمد إسماعيل النزيلي,أحمد محمد إسماعيل النزيلي,male,Ahmad,1965,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119892,,أحمد محمد حسين عبد الله الخولاني,أحمد محمد حسين عبد الله الخولاني,male,Ahmad,1959,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119900,Abdh Mohsen Mohamed mahdi,عبده محسن محمد مهدي,عبده محسن محمد مهدي,male,,1957,,Abdh Mohsen Mohamed mahdi,politician,,,,,,,,,,Abdh Mohsen Mohamed mahdi,,,,,,,,,,,Abdh Mohsen Mohamed mahdi,,
Q16119908,Mohammed Rashad Al-Alimi,محمد رشاد العليمي,محمد رشاد العليمي,male,Mohammed,1973,,Mohammed Rashad Al-Alimi,politician,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/ce/MRashad.jpg,Muhammed Rashad Al-Alimi,,,,,,,,,,,Muhammed Rashad Al-Alimi,,محمد رشاد العليمي
Q16119911,Abdu al-Hudhaifi,عبده محمد حسين الحذيفي,عبده محمد حسين الحذيفي,male,,1954,,Abdu al-Hudhaifi,politician,Abdu al-Hudhaifi,Abdu al-Hudhaifi,,,,,Abd Mohammed Hussein al-Houdheifi,Abd Mohammed Hussein al-Houdheifi,,Abdu al-Hudhaifi,,,,,,,,,,,,,
Q16119920,,أحمد محمد عبد الله الأصبحي,أحمد محمد عبد الله الأصبحي,male,Ahmad,1956,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119922,,عبده محمد ردمان رافع,عبده محمد ردمان رافع,male,,1952,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119932,Abdo Mohammed Abdullah Beshr,عبده محمد عبد الله بشر,عبده محمد عبد الله بشر,male,,1968-01-01,,Abdo Mohammed Abdullah Beshr,politician,,,,,,,,,,Abdo Mohammed Abdullah Beshr,,,,,,,,,,,Abdo Mohammed Abdullah Beshr,,
Q16119938,,أحمد محمد عبد الله رزق الزهيري,أحمد محمد عبد الله رزق الزهيري,male,Ahmad,1961,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119943,,أحمد محمد عبد الله صوفان,أحمد محمد عبد الله صوفان,male,Ahmad,1959,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119948,,عبده مهدي حسن العدله,عبده مهدي حسن العدله,male,,1958,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119962,,أحمد محمد علي هارب الشمري,أحمد محمد علي (سياسي يمني),male,Ahmad,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16119968,Suleiman Ali Ahmed elmohamady,سليمان علي أحمد المحمدي,سليمان علي أحمد المحمدي,male,,1948,,Suleiman Ali Ahmed elmohamady,politician,,,,,,,,,,Suleiman Ali Ahmed elmohamady,,,,,,,,,,,Suleiman Ali Ahmed elmohamady,,
Q16119990,,أحمد محمد يحيى قبوع,أحمد محمد يحيى قبوع,male,Ahmad,,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120012,,محمد سالم سعيد الجوهي,محمد سالم سعيد الجوهي,male,Mohammed,1961-01-01,,,politician,,,2019-01-10,,,,,,,,,,,,,,,,,,,,
Q16120025,,أحمد ناصر محمد حسين شايع,أحمد ناصر محمد حسين شايع,male,Ahmad,1970,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120043,,أحمد هادي محمد الشقذه الصريمي,أحمد هادي محمد الشقذه الصريمي,male,Ahmad,1939,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120101,Ahmed Yahya Al-haj Mohamed Ali,أحمد يحيى الحاج محمد علي,أحمد يحيى الحاج محمد علي,male,Ahmad,1955,,Ahmed Yahya Al-haj Mohamed Ali,politician,,,,,,,,,,,,,,,,,,,,,Ahmed Yahya Al-haj Mohamed Ali,,
Q16120138,,محمد سيف الشميري,محمد سيف الشميري,male,Mohammed,1962,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120238,Sheikh of all himyar Tribes,محمد صالح عفيف الحميري,محمد صالح عفيف الحميري,male,Mohammed,1946,,Sheikh of all himyar Tribes,politician,,,,,,,,,,,,,,,,,,,,,Sheikh of all himyar Tribes,,
Q16120246,,محمد صالح علي البرعي,محمد صالح علي البرعي,male,Mohammed,1958,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120256,,محمد صالح علي القباطي,محمد صالح علي القباطي,male,Mohammed,1957,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120263,Othman Hussein Fayed Majali,عثمان حسين فايد مجلي,عثمان حسين فايد مجلي,male,Osman,1970,,Othman Hussein Fayed Majali,politician,,,,,,,,,,Othman Hussein Fayed Majali,,,,,,,,,,,Othman Hussein Fayed Majali,,
Q16120268,,محمد صالح علي الناحية,محمد صالح علي الناحية,male,Mohammed,1958-01-01,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120277,,محمد صبار علي الجماعي,محمد صبار علي الجماعي,male,Mohammed,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120346,,سنان عبد الولي حسين العجي,سنان عبد الولي حسين العجي,male,,1962,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120421,,محمد عبد الإله محمد القاضي,محمد عبد الإله محمد القاضي,male,Mohammed,1968-09-26,,,politician,,,2015-01-09,,,,,,,,,,,,,,,,,,,,
Q16120453,,محمد عبد الحافظ جبران العيسائي,محمد عبد الحافظ جبران العيسائي,male,Mohammed,1966,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120473,Adnan Ali sghaier schami,عدنان علي صغير شامي,عدنان علي صغير شامي,male,Adnan,1975,,Adnan Ali sghaier schami,politician,,,,,,,,,,Adnan Ali sghaier schami,,,,,,,,,,,Adnan Ali sghaier schami,,
Q16120624,Muhammed Abdullah Saeed Al-Jabri,محمد عبد الله سعيد الجبري,محمد عبد الله سعيد الجبري,male,Mohammed,1952,,Muhammed Abdullah Saeed Al-Jabri,politician,,,,,,,,,,Muhammed Abdullah Saeed Al-Jabri,,,,,,,,,,,Muhammed Abdullah Saeed Al-Jabri,,
Q16120649,Mohamed Abdul-Malik Ahmed Bin malek,محمد عبد الملك أحمد بن مالك,محمد عبد الملك أحمد بن مالك,male,Mohammed,1962,,Mohamed Abdul-Malik Ahmed Bin malek,politician,,,,,,,,,,,,,,,,,,,,,Mohamed Abdul-Malik Ahmed Bin malek,,
Q16120650,Suhail Mohamed Abdul-Razzaq,سهيل محمد عبد الرزاق,سهيل محمد عبد الرزاق,male,,1968-06-13,,Suhail Mohamed Abdul-Razzaq,politician,,,,,,,,,,Suhail Mohamed Abdul-Razzaq,,,,,,,,,,,Suhail Mohamed Abdul-Razzaq,,
Q16120697,,محمد عبد الولي النهمي,محمد عبد الولي النهمي,male,Mohammed,1969,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120705,,محمد عبد الوهاب حسن الزبيري,محمد عبد الوهاب حسن الزبيري,male,Mohammed,1956,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120720,,محمد عبده سعيد انعم,محمد عبده سعيد انعم,male,Mohammed,1946,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120796,,محمد علي أبو بكر المشهور,محمد علي أبو بكر المشهور,male,Mohammed,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120837,Mohamed Ali Bin yaser,محمد علي بن ياسر,محمد علي بن ياسر,male,Mohammed,1964,,Mohamed Ali Bin yaser,politician,,,,,,,,,,Mohamed Ali Bin yaser,,,,,,,,,,,Mohamed Ali Bin yaser,,
Q16120852,,محمد علي سالم الشدادي,محمد علي سالم الشدادي,male,Mohammed,1954,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120872,,محمد علي صالح الحاشدي,محمد علي صالح الحاشدي,male,Mohammed,1940-12-11,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120880,,محمد علي قاسم قوارة,محمد علي قاسم قوارة,male,Mohammed,1949,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120888,Azzam Abdullah sa'd salah,عزام عبد الله سعد صلاح,عزام عبد الله سعد صلاح,male,,1966,,Azzam Abdullah sa'd salah,politician,,,,,,,,,,Azzam Abdullah sa'd salah,,,,,,,,,,,Azzam Abdullah sa'd salah,,
Q16120889,,محمد علي محمد المقرني,محمد علي محمد المقرني,male,Mohammed,1963,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16120912,,محمد علي يحيى مزريه,محمد علي يحيى مزريه,male,Mohammed,1955,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121067,,محمد قاسم محمد النقيب,محمد قاسم محمد النقيب,male,Mohammed,1955,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121094,,ناجي أحمد عتيق الشيخ,ناجي أحمد عتيق الشيخ,male,,1955,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121123,,ناجي صالح ناجي القوسي,ناجي صالح ناجي القوسي,male,,1945,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121142,Naji Mansour Ali rageh sa'd,ناجي منصور علي راجح سعد,ناجي منصور علي راجح سعد,male,,1949,,Naji Mansour Ali rageh sa'd,politician,,,,,,,,,,,,,,,,,,,,,Naji Mansour Ali rageh sa'd,,
Q16121202,,محمد محمد أحمد الرزوم,محمد محمد أحمد الرزوم,male,Mohammed,1949,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121218,Muhammed Muhammed Ahmed Mansour,محمد محمد أحمد منصور,محمد محمد أحمد منصور,male,Mohammed,1942-01-01,,Muhammed Muhammed Ahmed Mansour,politician,,,,,,,,,,Muhammed Muhammed Ahmed Mansour,,,,,,,,,,,Muhammed Muhammed Ahmed Mansour,,
Q16121255,,محمد محمد عبد الله شرده,محمد محمد عبد الله شرده,male,Mohammed,1973,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121322,,محمد مشلي زيد علي الرضي,محمد مشلي زيد علي الرضي,male,Mohammed,1962,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121412,,محمد منصور صالح البكري,محمد منصور صالح البكري,male,Mohammed,1957,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121419,,محمد مهدي عبد الله صالح الكويتي,محمد مهدي عبد الله صالح الكويتي,male,Mohammed,1947,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121455,,محمد ناصر الحزمي,محمد ناصر الحزمي,male,Mohammed,1965,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121474,,الخضر محمد ناصر العزاني,الخضر محمد ناصر العزاني,male,,1960-05-05,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16121476,,محمد ناصر غانم شرفات الحميري,محمد ناصر غانم شرفات الحميري,male,Mohammed,1957,,,politician,,,,,,,,,,,,,,,,,,,,,,,
