id,name__en,name__es,name__de,name__nl,name__fr,name__hu,name,wikipedia__en,gender,occupation,original_wikiname,name__et,name__ru,name__ca,name__oc,name__nb,name__da,name__nn,name__sv,name__it,name__cy,name__zh_hant,name__zh_cn,name__ja,wikipedia__de,wikipedia__et,wikipedia__fr,wikipedia__it,wikipedia__oc,wikipedia__ru,birth_date,death_date,identifier__freebase,identifier__ISNI,identifier__VIAF,identifier__BNF,identifier__SUDOC,family_name,given_name,name__el,name__en_ca,name__en_gb,name__pl,name__tr,name__fi,wikipedia__el,wikipedia__es,wikipedia__pl,wikipedia__tr,image,website,wikipedia__ja,wikipedia__nl,wikipedia__sv,identifier__LCAuth,identifier__IMDB,identifier__AlloCine,identifier__moviemeter,identifier__FAST,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,name__fa,name__id,name__ka,name__ms,name__pt,wikipedia__fa,wikipedia__id,wikipedia__ka,wikipedia__ms,wikipedia__pt,name__gl,wikipedia__fi,wikipedia__gl,identifier__GND,identifier__NTA,name__eo,name__ml,name__vi,name__ko,name__ar,name__io,name__de_ch,name__lb,name__an,name__la,name__zh,name__be,name__eu,name__cs,wikipedia__an,wikipedia__ar,wikipedia__be,wikipedia__ca,wikipedia__cs,wikipedia__enwikinews,wikipedia__eo,wikipedia__eu,wikipedia__io,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__ml,wikipedia__vi,wikipedia__zh,identifier__Munzinger,identifier__Britannica,identifier__senatDOTfr,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__is,name__yo,name__mg,wikipedia__is,wikipedia__mg,wikipedia__yo,name__af,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lt,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__sycomore,name__rw,name__sr_ec,name__be_tarask,name__sr,name__arz,wikipedia__arz,wikipedia__be_x_old,wikipedia__bm,wikipedia__br,wikipedia__commons,wikipedia__no,wikipedia__plwikiquote,wikipedia__rw,wikipedia__sr,identifier__snac,name__he,name__uk,wikipedia__uk,wikipedia__he,wikipedia__hr,wikipedia__nn,identifier__NNDB,wikipedia__ruwikinews,identifier__GTAA,identifier__allmovie,wikipedia__cawikiquote,identifier__bigenc_ru
Q16944559,Mamadou Djigué,,Mamadou Djigué,,Mamadou Djigué,,Mamadou Djigué,Mamadou Djigué,male,,Mamadou Djigué,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mamadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17091097,Fatoumata Nafo-Traoré,,,Fatoumata Nafo-Traoré,Fatoumata Nafo-Traoré,,Fatoumata Nafo-Traoré,Fatoumata Nafo-Traoré,female,physician,Fatoumata Nafo-Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fatoumata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17125492,Mamadou Camara,,,Mamadou Camara,Mamadou Camara,,Mamadou Camara,Mamadou Camara (politician),male,politician,Mamadou Camara (politician),,,,,,,,,,,,,,,,Mahamadou Camara,,,,1977-08-17,,,,,,,,Mamadou,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/87/Mahamadou_Camara_(Homme_de_média).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18358774,Ousmane Kone,,Ousmane Kone,Ousmane Kone,Ousmane Kone,,Ousmane Kone,Ousmane Kone,male,politician,Ousmane Kone,,,,,,,,,,,,,,,,,,,,1952-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18977723,Ibrahim Ag Mohamed Assaleh,,,,Ibrahim Ag Mohamed Assaleh,,Ibrahim Ag Mohamed Assaleh,Ibrahim Ag Mohamed Assaleh,male,,Ibrahim Ag Mohamed Assaleh,,,,,,,,,Ibrahim Ag Mohamed Assaleh,,,,,,,,,,,,,,,,,,,Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1940224,Cheick Oumar Sissoko,Cheick Oumar Sissoko,Cheick Oumar Sissoko,Cheick Oumar Sissoko,Cheick Oumar Sissoko,Cheick Oumar Sissoko,Cheick Oumar Sissoko,Cheick Oumar Sissoko,male,politician,Cheick Oumar Sissoko,,Шейк Умар Сиссоко,,,Cheick Oumar Sissoko,Cheick Oumar Sissoko,Cheick Oumar Sissoko,Cheick Oumar Sissoko,Cheick Oumar Sissoko,,,,シェイク・ウマール・シソコ,,,Cheick Oumar Sissoko,Cheick Oumar Sissoko,,,1945,,/m/05q4yd,0000 0001 1937 8749,95073062,14137717v,143328271,,,,,,,,,,,,,,,シェイク・ウマール・シソコ,Cheick Oumar Sissoko,Cheick Oumar Sissoko,no97011794,nm0803084,10765,1908,387984,1035359,133872,248094,248403,7dd7620d41034d5194d7670e0d13130d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2066240,Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,,Mandé Sidibé,Mandé Sidibé,male,economist,Mandé Sidibé,Mandé Sidibé,"Сидибе, Манде",Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,芒代·西迪貝,芒代·西迪贝,マンデ・シディベ,Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,Mandé Sidibé,"Сидибе, Манде",1940-01-20,2009-08-25,/m/0bdq8v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22278552,Karim Keïta,,,Karim Keïta,,,Karim Keïta,Karim Keïta,male,,Karim Keïta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23023240,Issaka Sidibé,,,Issaka Sidibé,,,Issaka Sidibé,Issaka Sidibé,male,,Issaka Sidibé,,,,,,,,,,,,,,,,,,,,1946-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2304068,Soumana Makadji,,Soumana Makadji,Soumana Makadji,Soumana Makadji,,Soumana Makadji,Soumana Makadji,male,politician,Soumana Makadji,,,,,,,,,Soumana Makadji,,,,,Soumana Makadji,,Soumana Makadji,,,,1954,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/59/Soumana_Makadji_-_2013_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Soumana Makadji,,,,,,,,,,,,,,,,,
Q2304078,Soumana Sacko,Soumana Sacko,Soumana Sacko,Soumana Sacko,Soumana Sacko,Soumana Sacko,Soumana Sacko,Soumana Sacko,male,economist,Soumana Sacko,,,,,,,,,,,蘇馬納·薩科,苏马纳·萨科,,Soumana Sacko,,Soumana Sako,,,,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2398472,Soumeylou Boubèye Maïga,,Soumeylou Boubèye Maïga,Soumeylou Boubèye Maïga,Soumeylou Boubèye Maïga,,Soumeylou Boubèye Maïga,Soumeylou Boubèye Maïga,male,politician,Soumeylou Boubèye Maïga,,,,,,,,,,,,,,,,Soumeylou Boubèye Maïga,,,,1954-06-08,,,,,,,,,,,,,Soumeylou Boubèye Maïga,,,,,Soumeylou Boubèye Maïga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26845654,Abdoulaye Idrissa Maïga,,,Abdoulaye Idrissa Maïga,Abdoulaye Idrissa Maïga,,Abdoulaye Idrissa Maïga,Abdoulaye Idrissa Maïga,male,politician,Abdoulaye Idrissa Maïga,,,,,,,,,,,,,,,,Abdoulaye Idrissa Maïga,,,,1958-03-11,,,,,,,,,,,,Abdoulaye Idrissa Maïga,Abdoulaye Idrissa Maïga,,,,Abdoulaye Idrissa Maïga,Abdoulaye Idrissa Maïga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdoulaye Idrissa Maïga,,,,,,,,,,,,,,,Abdoulaye Idrissa Maïga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2824050,Adama Samassékou,,Adama Samassékou,Adama Samassékou,Adama Samassékou,,Adama Samassékou,Adama Samassékou,male,politician,Adama Samassékou,,,,,,,,,,,,,,,,Adama Samassékou,,,,,,,,,,,Samassékou,Adama,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/96/Adama_Samassékou_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Adama Samassékou,,,,,,,,,,,,,,,,,
Q2827332,Aguibou Koné,,Aguibou Koné,Aguibou Koné,Aguibou Koné,,Aguibou Koné,Aguibou Koné,male,politician,Aguibou Koné,,,,,,,,,,,,,,,,Aguibou Koné,,,,1968-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2827467,Ahmadou Touré,,Ahmadou Touré,Ahmadou Touré,Ahmadou Touré,,Ahmadou Touré,Ahmadou Touré,male,notary,Ahmadou Touré,,,,,,,,,,,,,,,,Ahmadou Touré,,,,1958,,,,,,,,,,Ahmadou Touré,Ahmadou Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q293119,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,female,politician,Cissé Mariam Kaïdama Sidibé,Mariam Kaïdama Sidibé Cissé,,,,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,,西塞·瑪麗婭姆·凱達瑪·西迪貝,西塞·玛丽娅姆·凯达玛·西迪贝,シセ・マリアム・カイダマ・シディベ,Cissé Mariam Kaïdama Sidibé,Mariam Kaïdama Sidibé Cissé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,,,1948-01-04,,/m/0gkxslh,,,,,,Mariam,Σισέ Μαριάμ Καϊνταμά Σιντιμπέ,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,,Σισέ Μαριάμ Καϊνταμά Σιντιμπέ,,Cissé Mariam Kaïdama Sidibé,Cissé Mariam Kaïdama Sidibé,,,,,Cissé Mariam Kaïdama Sidibé,,,,,,,,,,,,,სისე მარიამ კაიდამა სიდიბე,,,,,სისე მარიამ კაიდამა სიდიბე,,,,,,,,,,,,,,Cissé Mariam Kaïdama Sidibé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cissé Mariam Kaïdama Sidibé,,,,Cissé Mariam Kaïdama Sidibé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,סיסה מאריאם קאידמה סידיבה,,,,,,,,,,,
Q2964323,Choguel Kokalla Maïga,,Choguel Kokalla Maïga,Choguel Kokalla Maïga,Choguel Kokalla Maïga,,Choguel Kokalla Maïga,Choguel Kokalla Maïga,male,politician,Choguel Kokalla Maïga,,,,,,,,,,,,,,,,Choguel Kokalla Maïga,,,,1958-04-02,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Choguel_Kokalla_Maïga_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30004980,Abdel Karim Konate,,,Abdel Karim Konate,,,Abdel Karim Konate,Abdel Karim Konate,male,,Abdel Karim Konate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30005089,Konimba Sidibe,,,Konimba Sidibe,,,Konimba Sidibe,Konimba Sidibe,male,,Konimba Sidibe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30005153,Boubou Cisse,,,Boubou Cisse,,,Boubou Cisse,Boubou Cisse,male,,Boubou Cisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30005188,Assetou Foune Samake Migan,,,Assetou Foune Samake Migan,,,Assetou Foune Samake Migan,Assetou Foune Samake Migan,female,,Assetou Foune Samake Migan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
