id,name__fr,name__en,name__ro,name,wikipedia__ro,gender,birth_date,given_name,name__nl,name__de,name__it,wikipedia__en,name__ru,name__mo,wikipedia__ru,wikipedia__commons,name__es,name__uk,wikipedia__fr,wikipedia__uk,death_date,name__pl,wikipedia__pl,image,identifier__freebase,name__az,name__tr,wikipedia__az,wikipedia__de,wikipedia__nl,wikipedia__tr,name__et,name__sv,name__cs,name__lmo,name__de_ch,name__en_ca,name__en_gb,name__lb,name__oc,name__ca,name__hu,name__fi,name__he,name__sr,name__la,name__sk,name__nb,name__da,name__nn,name__zh,name__mk,wikipedia__cs,wikipedia__da,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__sr,wikipedia__sv,wikipedia__zh,name__el,wikipedia__el,identifier__ISNI,identifier__VIAF,identifier__NTA,name__pt,wikipedia__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__gd,name__be,name__ko,name__gl,name__id,name__ja,name__sh,name__eo,name__sr_el,name__sr_ec,name__be_tarask,name__cy,name__bg,name__io,name__ka,name__lt,name__jv,name__eu,name__ar,name__lv,name__sco,wikipedia__ar,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__cy,wikipedia__eo,wikipedia__eu,wikipedia__gd,wikipedia__gl,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__lt,wikipedia__lv,wikipedia__mo,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__sco,wikipedia__sh,identifier__GND,identifier__LCAuth,identifier__SUDOC,name__pt_br,name__yo,name__vi,name__is,wikipedia__is,wikipedia__plwikiquote,wikipedia__vi,wikipedia__yo,identifier__BNF,wikipedia__nds,name__nds,original_wikiname,wikipedia__fa,name__fa,identifier__Britannica,name__ady,identifier__FAST,last_seen,wikipedia__hy,name__hy,facebook,identifier__PACE,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gsw,name__hr,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,occupation,wikipedia__gag,name__gag,name__xmf,wikipedia__ruwikinews,wikipedia__xmf,name__tt,wikipedia__tt,website,name__sl,name__ceb,wikipedia__uz,twitter,name__uz
Q15071201,Monica Babuc,Monica Babuc,Monica Babuc,Monica Babuc,Monica Babuc,female,1964-03-29,Monica,Monica Babuc,Monica Babuc,,Monica Babuc,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/58/Monica_Babuc_(01).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monica Babuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historian,,,,,,,,,,,,,
Q15715802,Gheorghe Brega,Gheorghe Brega,Gheorghe Brega,Gheorghe Brega,Gheorghe Brega,male,1951-09-25,Gheorghe,Gheorghe Brega,Gheorghe Brega,Gheorghe Brega,Gheorghe Brega,"Брега, Георгий",,"Брега, Георгий",,,Георгій Брега,Gheorghe Brega,Георгій Брега,,Gheorghe Brega,Gheorghe Brega,https://upload.wikimedia.org/wikipedia/commons/c/c4/Gheorghe_Brega_(01).png,,,Gheorghe Brega,,Gheorghe Brega,,Gheorghe Brega,,,,,,,,,,,,,,,Georgius Brega,,,Gheorghe Brega,,,,,,,,,,,Gheorghe Brega,Georgius Brega,,,,,,,,,,,,,,格奧爾基·佈雷加,,格奧爾基·布雷加,,,,,,,,ゲオルゲ・ブレガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gheorghe Brega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Георге Брега,,,,,,,
Q16215199,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,male,1975-11-27,Andrian,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,"Канду, Андриан",,"Канду, Андриан Ильич",Category:Andrian Candu,Andrian Candu,Андріан Канду,,Андріан Канду,,Andrian Candu,,https://upload.wikimedia.org/wikipedia/commons/c/c4/Andrian_Candu.jpg,,,Andrian Candu,,,,,Andrian Candu,Andrian Candu,Andrian Candu,,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,,Андријан Канду,,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,,,,,,,,,,,,,,Андријан Канду,,,,,,,,Andrian Candu,,,,,,,,Andrian Candu,Андрыян Ільіч Канду,,Andrian Candu,Andrian Candu,,,Andrian Candu,Andrian Candu,,,Andrian Candu,,Andrian Candu,,,,Andrian Candu,,,Andrian Candu,,,Андрыян Ільіч Канду,,,,,,,,,,,,,,,,,,,,,,,,,Andrian Candu,,Andrian Candu,Andrian Candu,,,,,,,Andrian Candu,Andrian Candu,,,,,,,,,,,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,,Andrian Candu,Andrian Candu,Andrian Candu,,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,,,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,,Andrian Candu,Andrian Candu,,,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,,Andrian Candu,Andrian Candu,Andrian Candu,Andrian Candu,politician,,,,,,,,http://www.candu.md,Andrian Candu,,,,
Q17336477,Ion Ceban,Ion Ceban,Ion Ceban,Ion Ceban,Ion Ceban,male,1980-06-30,Ion,,Ion Ceban,,,"Чебан, Ион Васильевич",,"Чебан, Ион Васильевич",,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ee/Ion_Ceban_(01).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ion Ceban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q18076592,Constantin Țuțu,Constantin Țuțu,Constantin Țuțu,Constantin Țuțu,Constantin Țuțu,male,1987-02-09,Constantin,Constantin Țuțu,Constantin Țuțu,,Constantin Țuțu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Constantin Țuțu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kickboxer,,,,,,,,,,,,,
Q18537388,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,male,1973,Anatolie,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,,,,,Anatolie Zagorodnîi,,,,,Anatolie Zagorodnîi,,https://upload.wikimedia.org/wikipedia/commons/3/3d/Anatolie_Zagorodnîi_(2015-11-20).png,,,Anatolie Zagorodnîi,,,,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,,,,,,,,,,,,,,,,,,,,,Anatolie Zagorodnîi,,,,,,,,Anatolie Zagorodnîi,,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,,Anatolie Zagorodnîi,,Anatolie Zagorodnîi,,,,Anatolie Zagorodnîi,,,Anatolie Zagorodnîi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anatolie Zagorodnîi,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,,,,,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,,,,,,,,,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,Anatolie Zagorodnîi,,,,,,,,,,Anatolie Zagorodnîi,,,,
Q18539959,Elena Bodnarenco,Elena Bodnarenco,Elena Bodnarenco,Elena Bodnarenco,Elena Bodnarenco,female,1965,Elena,,,Elena Bondarenco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elena Bodnarenco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18541933,,Victor Mîndru,Victor Mîndru,Victor Mîndru,Victor Mîndru,male,1959,Victor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victor Mîndru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18541963,,,Gheorghe Mocanu,Gheorghe Mocanu,Gheorghe Mocanu,male,1938-03-31,Gheorghe,,,Gheorghe Mocanu,,,,,,,,,,1993-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gheorghe Mocanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,painter,,,,,,,,,,,,,
Q18544109,Violeta Ivanov,Violeta Ivanov,Violeta Ivanov,Violeta Ivanov,Violeta Ivanov,female,1967-09-15,Violeta,Violeta Ivanov,,,Violeta Ivanov,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7a/Violeta_Ivanov_(2015).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Violeta Ivanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q18549566,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,male,1970-11-14,Chiril,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Кирилл Лучинский,,,,Chiril Lucinschi,,,,,Chiril Lucinschi,,https://upload.wikimedia.org/wikipedia/commons/4/4c/Chiril_Lucinschi_(crop).jpg,,,Chiril Lucinschi,,,,,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,,Chiril Lucinschi,,,,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,,,,,,,,,,,,,,,,,,,,,,Chiril Lucinschi,,,,,,,,Chiril Lucinschi,,,Chiril Lucinschi,Chiril Lucinschi,,,,Chiril Lucinschi,,Кірыл Лучынскі,Chiril Lucinschi,,Chiril Lucinschi,,,,Chiril Lucinschi,,,Chiril Lucinschi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiril Lucinschi,,Chiril Lucinschi,Chiril Lucinschi,,,,,,,Chiril Lucinschi,Chiril Lucinschi,,,,,,,,,,,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,,,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,,Chiril Lucinschi,Chiril Lucinschi,,,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,Chiril Lucinschi,politician,,,,,,,,,Chiril Lucinschi,Chiril Lucinschi,,,
Q18549693,,,Victor Roșca,Victor Roșca,Victor Roșca,male,1926-12-17,Victor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81364992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166240966,,,,,,,,,,,,Victor Roșca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q189435,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,male,1941-05-25,Vladimir,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Владимир Николаевич Воронин,Владимир Воронин,"Воронин, Владимир Николаевич",Vladimir Voronin,Vladimir Voronin,Воронін Володимир Миколайович,Vladimir Voronin,Воронін Володимир Миколайович,,Vladimir Voronin,Vladimir Voronin,https://upload.wikimedia.org/wikipedia/commons/5/57/Vladimir_Voronin_2006.jpg,/m/0227nq,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin (president),Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,,,,,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,ולדימיר וורונין,Владимир Вороњин,,,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,弗拉迪米尔·沃罗宁,,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,ולדימיר וורונין,,Vladimir Voronin,,Vladimir Voronin,,Владимир Вороњин,Vladimir Voronin,弗拉迪米尔·沃罗宁,Βλαντιμίρ Βορόνιν,Βλαντιμίρ Βορόνιν,0000 0003 5633 0829,185803063,,Vladimir Voronin,Vladimir Voronin,弗拉迪米尔·沃罗宁,弗拉迪米爾·沃羅寧,弗拉迪米爾·沃羅寧,弗拉迪米尔·沃罗宁,弗拉迪米尔·沃罗宁,弗拉迪米爾·沃羅寧,Vladimir Voronin,Уладзімір Мікалаевіч Варонін,블라디미르 보로닌,Vladimir Voronin,Vladimir Voronin,ウラジーミル・ヴォローニン,Vladimir Voronin,Vladimir Voronin,Vladimir Voronjin,Владимир Вороњин,Уладзімер Варонін,Vladimir Voronin,Владимир Воронин,Vladimir Voronin,ვლადიმერ ვორონინი,Vladimiras Voroninas,Vladimir Voronin,Vladimir Voronin,فلاديمير فورونين,Vladimirs Voroņins,Vladimir Voronin,فلاديمير فورونين,Уладзімер Варонін,Уладзімір Варонін,Владимир Воронин,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,ウラジーミル・ヴォローニン,Vladimir Voronin,ვლადიმერ ვორონინი,블라디미르 보로닌,Vladimiras Voroninas,Vladimirs Voroņins,Владимир Воронин,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,Vladimir Voronin,101647797X,no2011120845,161194060,,,,,,,,,,,,Vladimir Voronin,ولادیمیر ورونین,ولادیمیر ورونین,biography/Vladimir-Voronin,,1796926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,
