id,name,position,party,term,source,email,image,sort_name,party_id
535,Vlad Batrîncea,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/535/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=7vyrW7aZXnM%3d&tabid=87&mid=476&language=en-US,Batrîncea Vlad,12
674,Valerian Bejan,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/674/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=242TbwAkNcA%3d&tabid=87&mid=476&language=en-US,Bejan Valerian,10
651,Roman Boțan,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/651/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=wST7SaEt4dI%3d&tabid=87&mid=476&language=en-US,Boțan Roman,10
25,Elena Bodnarenco,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/25/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=HA6Ey%2bLqMZE%3d&tabid=87&mid=476&language=en-US,Bodnarenco Elena,8
537,Vasile Bolea,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/537/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=9dUNU6fkzNM%3d&tabid=87&mid=476&language=en-US,Bolea Vasile,12
538,Constantin Botnari,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/538/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=Oq1RJVpOPus%3d&tabid=87&mid=476&language=en-US,Botnari Constantin,9
330,Valentina Buliga,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/330/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=xeGo2qLII3M%3d&tabid=87&mid=476&language=en-US,Buliga Valentina,9
304,Andrian Candu,President of the Parliament,Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/304/language/en-US/Default.aspx,Luminita.Bolohan@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=JpGIXDd%2figA%3d&tabid=87&mid=476&language=en-US,Candu Andrian,9
539,Demian Caraseni,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/539/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=sljbt4vhHTU%3d&tabid=87&mid=476&language=en-US,Caraseni Demian,9
540,Lilian Carp,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/540/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=P6KZDMxbMnA%3d&tabid=87&mid=476&language=en-US,Carp Lilian,10
541,Eugen Carpov,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/541/language/en-US/Default.aspx,Eugen.Carpov@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=5d56vG4chZY%3d&tabid=87&mid=476&language=en-US,Carpov Eugen,-1
600,Ion Casian,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/600/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=tRAWhiwfBWM%3d&tabid=87&mid=476&language=en-US,Casian Ion,10
669,Iurie Cazacu,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/669/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=T%2fdD3BTt37g%3d&tabid=87&mid=476&language=en-US,Cazacu Iurie,9
601,Vladimir Cernat,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/601/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=0Yoiii7wYnM%3d&tabid=87&mid=476&language=en-US,Cernat Vladimir,10
305,Maria Ciobanu,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/305/language/en-US/Default.aspx,Maria.Ciobanu@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=8inQBaGsrR4%3d&tabid=87&mid=476&language=en-US,Ciobanu Maria,11
277,Grigore Cobzac,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/277/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=7DyK2DqQoeM%3d&tabid=87&mid=476&language=en-US,Cobzac Grigore,11
649,Petru Cosoi,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/649/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=JPs2QBKjA3I%3d&tabid=87&mid=476&language=en-US,Cosoi Petru,10
544,Ştefan Creangă,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/544/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=d2HNeXR3vUo%3d&tabid=87&mid=476&language=en-US,Creangă Ştefan,11
78,Tudor Deliu,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/78/language/en-US/Default.aspx,Tudor.Deliu@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=2FSaujMwbGg%3d&tabid=87&mid=476&language=en-US,Deliu Tudor,11
23,Dumitru Diacov,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/23/language/en-US/Default.aspx,Dumitru.Diacov@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=R4NMyBMNncA%3d&tabid=87&mid=476&language=en-US,Diacov Dumitru,9
545,Iurie Dîrda,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/545/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=IHpBjJvQm6A%3d&tabid=87&mid=476&language=en-US,Dîrda Iurie,10
34,Igor Dodon,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/34/language/en-US/Default.aspx,Igor.Dodon@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=j0jn5%2fflyLs%3d&tabid=87&mid=476&language=en-US,Dodon Igor,12
546,Alla Dolinţă,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/546/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=C7xHvImmtkU%3d&tabid=87&mid=476&language=en-US,Dolinţă Alla,12
67,Oxana Domenti,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/67/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=ANJ5g32jEkg%3d&tabid=87&mid=476&language=en-US,Domenti Oxana,8
654,Corneliu Dudnic,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/654/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=aWu5jPgKe%2fc%3d&tabid=87&mid=476&language=en-US,Dudnic Corneliu,9
547,Nicolai Dudoglo,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/547/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=AFztv5b0C%2bM%3d&tabid=87&mid=476&language=en-US,Dudoglo Nicolai,9
331,Vladimir Filat,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/331/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=ExWKbJ7%2btt0%3d&tabid=87&mid=476&language=en-US,Filat Vladimir,11
548,Corneliu Furculiţă,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/548/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=E1HgncAVuP4%3d&tabid=87&mid=476&language=en-US,Furculiţă Corneliu,12
549,Fiodor Gagauz,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/549/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=VvumSfxe%2fCY%3d&tabid=87&mid=476&language=en-US,Gagauz Fiodor,12
85,Valeriu Ghileţchi,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/85/language/en-US/Default.aspx,Valeriu.Ghiletchi@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=n5txEeRxaNQ%3d&tabid=87&mid=476&language=en-US,Ghileţchi Valeriu,11
10,Mihai Ghimpu,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/10/language/en-US/Default.aspx,Mihai.Ghimpu@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=zt2iojlVhkk%3d&tabid=87&mid=476&language=en-US,Ghimpu Mihai,10
593,Aliona Goța,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/593/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=aWu5jPgKe%2fc%3d&tabid=87&mid=476&language=en-US,Goța Aliona,11
551,Vladimir Golovatiuc,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/551/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=na1K36uDhpY%3d&tabid=87&mid=476&language=en-US,Golovatiuc Vladimir,12
552,Boris Golovin,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/552/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=ChGydPGyRLY%3d&tabid=87&mid=476&language=en-US,Golovin Boris,-1
310,Anatolie Gorilă,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/310/language/en-US/Default.aspx,Anatolie.Gorila@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=CcW1r01Ce8o%3d&tabid=87&mid=476&language=en-US,Gorilă Anatolie,-1
648,Octavian Grama,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/648/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=5N0viG8%2b%2fGk%3d&tabid=87&mid=476&language=en-US,Grama Octavian,11
106,Zinaida Greceanîi,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/106/language/en-US/Default.aspx,Zinaida.Greceanii@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=1%2b%2fTTX6xueA%3d&tabid=87&mid=476&language=en-US,Greceanîi Zinaida,12
611,Elena Gudumac,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/611/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=eyEtY2fkV6g%3d&tabid=87&mid=476&language=en-US,Gudumac Elena,-1
653,Artur Gutium,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/653/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=4IUsbN3E5r0%3d&tabid=87&mid=476&language=en-US,Gutium Artur,10
332,Vladimir Hotineanu,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/332/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=ouBnNrmhyc0%3d&tabid=87&mid=476&language=en-US,Hotineanu Vladimir,11
554,Elena Hrenova,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/554/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=4xubjHFRmW0%3d&tabid=87&mid=476&language=en-US,Hrenova Elena,12
99,Violeta Ivanov,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/99/language/en-US/Default.aspx,Svetlana.Stepanov@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=5P9VhEnH3yA%3d&tabid=87&mid=476&language=en-US,Ivanov Violeta,-1
311,Nicolae Juravschi,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/311/language/en-US/Default.aspx,Nicolae.Juravschi@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=%2b8H0mXLh6lU%3d&tabid=87&mid=476&language=en-US,Juravschi Nicolae,-1
555,Anatolie Labuneţ,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/555/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=c0eVRlrb8cI%3d&tabid=87&mid=476&language=en-US,Labuneţ Anatolie,12
334,Iurie Leancă,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/334/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=5cMIcmZ%2birI%3d&tabid=87&mid=476&language=en-US,Leancă Iurie,-1
668,Adrian Lebedinschi,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/668/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=m00oBW14Q68%3d&tabid=87&mid=476&language=en-US,Lebedinschi Adrian,12
556,Oleg Lipskii,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/556/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=owqY%2ftRUX7s%3d&tabid=87&mid=476&language=en-US,Lipskii Oleg,12
312,Chiril Lucinschi,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/312/language/en-US/Default.aspx,Valeriu.Bodiu@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=k85hR0MtIC4%3d&tabid=87&mid=476&language=en-US,Lucinschi Chiril,11
52,Marian Lupu,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/52/language/en-US/Default.aspx,Natalia.Rosca@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=onyrioVN3TI%3d&tabid=87&mid=476&language=en-US,Lupu Marian,9
557,Lidia Lupu,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/557/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=%2b7W0ennPdh0%3d&tabid=87&mid=476&language=en-US,Lupu Lidia,-1
558,Corneliu Mihalache,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/558/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=zNJseVII7fo%3d&tabid=87&mid=476&language=en-US,Mihalache Corneliu,-1
97,Victor Mîndru,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/97/language/en-US/Default.aspx,Victor.Mindru@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=qX4PDHMI%2fWI%3d&tabid=87&mid=476&language=en-US,Mîndru Victor,-1
559,Ghenadi Mitriuc,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/559/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=GSmVIxbPa%2fg%3d&tabid=87&mid=476&language=en-US,Mitriuc Ghenadi,12
314,Gheorghe Mocanu,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/314/language/en-US/Default.aspx,Gheorghe.Mocanu@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=DmMP89n04xs%3d&tabid=87&mid=476&language=en-US,Mocanu Gheorghe,11
560,Radu Mudreac,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/560/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=%2fMNdLrPqGIo%3d&tabid=87&mid=476&language=en-US,Mudreac Radu,12
561,Andrei Neguţa,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/561/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=fTI%2bw4LZlN4%3d&tabid=87&mid=476&language=en-US,Neguţa Andrei,12
569,Alexandr Nesterovschi,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/569/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=NnGylbGrV6M%3d&tabid=87&mid=476&language=en-US,Nesterovschi Alexandr,12
596,Eugeniu Nichiforciuc,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/596/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=bg5GHrCNPc0%3d&tabid=87&mid=476&language=en-US,Nichiforciuc Eugeniu,9
562,Grigore Novac,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/562/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=W6effZyzk0M%3d&tabid=87&mid=476&language=en-US,Novac Grigore,12
563,Vladimir Odnostalco,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/563/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=sg1edNPQm%2fk%3d&tabid=87&mid=476&language=en-US,Odnostalco Vladimir,12
626,Corneliu Padnevici,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/626/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=8sBSRnr%2b7IA%3d&tabid=87&mid=476&language=en-US,Padnevici Corneliu,9
49,Liliana Palihovici,Deputy Chairman of the Parliament,Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/49/language/en-US/Default.aspx,Alina.Bulgac@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=gF8mlpQTCVs%3d&tabid=87&mid=476&language=en-US,Palihovici Liliana,11
315,Vasilii Panciuc,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/315/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=j8wrg9%2fDYmo%3d&tabid=87&mid=476&language=en-US,Panciuc Vasilii,8
564,Vadim Pistrinciuc,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/564/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=HpUtytvClkU%3d&tabid=87&mid=476&language=en-US,Pistrinciuc Vadim,11
318,Nae-Simion Pleşca,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/318/language/en-US/Default.aspx,Nae-Simion.Plesca@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=M0pyNFvYQmo%3d&tabid=87&mid=476&language=en-US,Pleşca Nae-Simion,11
69,Petru Porcescu,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/69/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=L38GR6GUVhU%3d&tabid=87&mid=476&language=en-US,Porcescu Petru,-1
292,Maria Postoico,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/292/language/en-US/Default.aspx,Vasile.Esanu@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=jtYFX3nzivs%3d&tabid=87&mid=476&language=en-US,Postoico Maria,8
335,Marcel Răducan,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/335/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=UixYBywuBJk%3d&tabid=87&mid=476&language=en-US,Răducan Marcel,9
565,Marina Radvan,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/565/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=oiTtK4DcivM%3d&tabid=87&mid=476&language=en-US,Radvan Marina,12
