id,name__fr,name__ru,name__en,name__sv,name__es,name__nl,name__nb,name__da,name__nn,name__de,name__fi,name__fit,name,wikipedia__en,wikipedia__fr,wikipedia__ru,wikipedia__sv,image,gender,birth_date,identifier__freebase,given_name,website,original_wikiname,identifier__VIAF,name__uk,name__he,wikipedia__uk,name__zh,wikipedia__zh,identifier__BNF,identifier__SUDOC,identifier__ISNI,twitter,name__ta,name__en_ca,name__it,name__en_gb,name__af,name__ar,name__az,name__be,name__bg,name__br,name__ca,name__cs,name__cy,name__el,name__eo,name__et,name__eu,name__fa,name__ga,name__gd,name__hi,name__hr,name__hu,name__id,name__ie,name__io,name__is,name__iu,name__ja,name__ka,name__ko,name__kw,name__la,name__lb,name__lv,name__mn,name__mr,name__ms,name__my,name__oc,name__pdc,name__pl,name__pnb,name__pt,name__pt_br,name__qu,name__ro,name__sh,name__sk,name__sr,name__tl,name__tr,name__ur,name__uz,name__vi,name__yi,name__yo,name__zh_hans,name__pam,name__war,name__zh_hant,name__sq,name__sco,name__an,name__bs,name__gl,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__sl,name__vec,name__wa,name__fo,name__kl,name__gsw,name__be_tarask,name__ne,name__pa,name__th,name__mg,name__hy,name__ast,wikipedia__af,wikipedia__ar,wikipedia__ast,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__cy,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__ga,wikipedia__gd,wikipedia__gl,wikipedia__he,wikipedia__hewikiquote,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__iu,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__kw,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__mg,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__my,wikipedia__ne,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pam,wikipedia__pa,wikipedia__pdc,wikipedia__pl,wikipedia__pnb,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__ta,wikipedia__th,wikipedia__tl,wikipedia__tr,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__war,wikipedia__yi,wikipedia__yo,wikipedia__zhwikiquote,identifier__GND,identifier__LCAuth,identifier__IMDB,identifier__NLA,family_name,identifier__Munzinger,identifier__FAST,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,identifier__NNDB,name__ceb,identifier__MusicBrainz,identifier__discogs,identifier__NTA,name__yue,wikipedia__zh_yue,death_date,name__vmf,facebook,name__mk,name__de_ch,name__zh_yue,name__azb,name__xmf,name__bcl,name__ckb,wikipedia__azb,wikipedia__bcl,wikipedia__ckb,wikipedia__lt,wikipedia__ukwikiquote,wikipedia__xmf,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sr_el,name__sw,name__vls,name__vo,name__wo,name__zu,name__ml,wikipedia__ml,name__ty,identifier__AlloCine,identifier__SFDb,identifier__Britannica,identifier__TED,identifier__CSPAN,identifier__LAC,identifier__elonet,identifier__PORT,last_seen,instagram,identifier__allmovie,identifier__SCOPE,identifier__kinopoisk,wikipedia__frwikinews,identifier__filmportal_de,identifier__CSFD,identifier__senate_nl,honorific_prefix,wikipedia__trwikiquote,name__kn,identifier__PACE,wikipedia__sl,identifier__wikitree,identifier__politifact,identifier__google_knowledge,occupation,wikipedia__bi,name__bi,wikipedia__mai,wikipedia__plwikiquote,name__mai,wikipedia__lmo,identifier__snac,wikipedia__eowikinews,identifier__quora,wikipedia__lad,wikipedia__itwikiquote,name__lad,identifier__youtube,identifier__persee,name__ext,email
Q16194082,Pamela Goldsmith-Jones,,Pamela Goldsmith-Jones,,,Pamela Goldsmith-Jones,,,,,,,Pamela Goldsmith-Jones,Pamela Goldsmith-Jones,,,,,female,1961,,Pamela,,Pamela Goldsmith-Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q16195363,Hunter Tootoo,,Hunter Tootoo,,,Hunter Tootoo,,,,Hunter Tootoo,,,Hunter Tootoo,Hunter Tootoo,Hunter Tootoo,,,https://upload.wikimedia.org/wikipedia/commons/9/93/Hunter_Tootoo_2015.jpg,male,1963-08-18,,Hunter,,Hunter Tootoo,,,,,,,,,,,,,Hunter Tootoo,,,,,,,,,,,,,,,هانتر توتو,,,,,,,,,,ᕼᐊᑐᓐ ᑐᑐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,هانتر توتو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curler,,,,,,,,,,,,,,,,
Q16196303,Bernard Trottier,,Bernard Trottier,,,Bernard Trottier,,,,Bernard Trottier,,,Bernard Trottier,Bernard Trottier,,,,https://upload.wikimedia.org/wikipedia/commons/3/39/MP_Bernard_Trottier_announcing_the_official_opening_of_Mimico_Waterfront_Park.JPG,male,1965-03-13,,Bernard,,Bernard Trottier,,,,,本納德·特羅捷,,,,,,,,Bernard Trottier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q16211070,Ahmed Hussen,,Ahmed Hussen,,Ahmed Hussen,Ahmed Hussen,,,,Ahmed Hussen,,,Ahmed Hussen,Ahmed Hussen,Ahmed Hussen,,,https://upload.wikimedia.org/wikipedia/commons/f/f5/Ahmed_Hussen.jpg,male,1976,,Ahmed,,Ahmed Hussen,,,,,艾哈默得·胡塞因,艾哈默得·胡塞因,,,,,,,Ahmed Hussen,,,أحمد حسين,,,,,Ahmed Hussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed Hussen,,,,,,,,,,,,,,,,,,,,أحمد حسين (سياسي),,,,,,,Ahmed Hussen,Category:Ahmed Hussen,,,,,,,,,,,Ahmed Hussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,
Q16211870,Kellie Leitch,,Kellie Leitch,,,Kellie Leitch,,,,Kellie Leitch,,,Kellie Leitch,Kellie Leitch,Kellie Leitch,,,https://upload.wikimedia.org/wikipedia/commons/f/fd/KellieLeitch2014.jpg,female,1970-07-30,/m/080g252,Kellie,http://kellieleitch.ca/,Kellie Leitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q16215273,Mark Gerretsen,,Mark Gerretsen,,,Mark Gerretsen,,,,Mark Gerretsen,,,Mark Gerretsen,Mark Gerretsen,,,,,male,1975-06-05,,Mark,,Mark Gerretsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q1685302,Jean-Yves Duclos,,Jean-Yves Duclos,,Jean-Yves Duclos,Jean-Yves Duclos,,,,Jean-Yves Duclos,,,Jean-Yves Duclos,Jean-Yves Duclos,Jean-Yves Duclos,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Jean-Yves_Duclos.jpg,male,1965,,Jean-Yves,,Jean-Yves Duclos,43025904,,,,,,,179907182,,,,,,,,,,,,,,,,,,,,جین وس داکلوس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Jean-Yves Duclos,,,,,Jean-Yves Duclos,,,,,,Jean-Yves Duclos,,,جین وس داکلوس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171224299,no93033152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,
Q17174697,Mario Beaulieu,,Mario Beaulieu,,,Mario Beaulieu,,,,Mario Beaulieu,,,Mario Beaulieu,Mario Beaulieu (politician),Mario Beaulieu (bloquiste),,,,male,1959,,Mario,,Mario Beaulieu (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17305669,John Barlow,,John Barlow,,,John Barlow,,,,John Barlow,,,John Barlow,John Barlow (Canadian politician),,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/BarlowMP.jpg,male,1971,,John,,John Barlow (Canadian politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q17305769,Arnold Chan,,Arnold Chan,,,Arnold Chan,,,,Arnold Chan,,,Arnold Chan,Arnold Chan,,,,https://upload.wikimedia.org/wikipedia/commons/a/aa/ArnoldChan.jpg,male,1967-06-10,/m/0111bw51,Arnold,http://arnoldchan.liberal.ca/,Arnold Chan,,,,,陳家諾,陳家諾,,,,,,,Arnold Chan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,
