name,wikiname,party,state,district,area,term,source,party_id,start_date,end_date,id
Gerry Ritz,Gerry Ritz,Conservative,Saskatchewan,Battlefords—Lloydminster,Saskatchewan (Battlefords—Lloydminster),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,gerry-ritz
Ginette Petitpas Taylor,Ginette Petitpas Taylor,Liberal,New Brunswick,Moncton—Riverview—Dieppe,New Brunswick (Moncton—Riverview—Dieppe),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,ginette-petitpas-taylor
Glen Motz,Glen Motz,Conservative,Alberta,Medicine Hat—Cardston—Warner,Alberta (Medicine Hat—Cardston—Warner),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,glen-motz
Gord Brown,Gord Brown,Conservative,Ontario,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario (Leeds—Grenville—Thousand Islands and Rideau Lakes),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,gord-brown
Gord Johns,Gord Johns,NDP,British Columbia,Courtenay—Alberni,British Columbia (Courtenay—Alberni),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,gord-johns
Greg Fergus,Greg Fergus,Liberal,Quebec,Hull—Aylmer,Quebec (Hull—Aylmer),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,greg-fergus
Gudie Hutchings,Gudie Hutchings,Liberal,Newfoundland and Labrador,Long Range Mountains,Newfoundland and Labrador (Long Range Mountains),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,gudie-hutchings
Guy Caron,Guy Caron,NDP,Quebec,Rimouski-Neigette—Témiscouata—Les Basques,Quebec (Rimouski-Neigette—Témiscouata—Les Basques),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,guy-caron
Guy Lauzon,Guy Lauzon,Conservative,Ontario,Stormont—Dundas—South Glengarry,Ontario (Stormont—Dundas—South Glengarry),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,guy-lauzon
Gérard Deltell,Gérard Deltell,Conservative,Quebec,Louis-Saint-Laurent,Quebec (Louis-Saint-Laurent),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,gérard-deltell
Harjit Sajjan,Harjit Sajjan,Liberal,British Columbia,Vancouver South,British Columbia (Vancouver South),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,harjit-sajjan
Harold Albrecht,Harold Albrecht,Conservative,Ontario,Kitchener—Conestoga,Ontario (Kitchener—Conestoga),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,harold-albrecht
Hedy Fry,Hedy Fry,Liberal,British Columbia,Vancouver Centre,British Columbia (Vancouver Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,hedy-fry
Hélène Laverdière,Hélène Laverdière,NDP,Quebec,Laurier—Sainte-Marie,Quebec (Laurier—Sainte-Marie),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,hélène-laverdière
Iqra Khalid,Iqra Khalid,Liberal,Ontario,Mississauga—Erin Mills,Ontario (Mississauga—Erin Mills),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,iqra-khalid
Irene Mathyssen,Irene Mathyssen,NDP,Ontario,London—Fanshawe,Ontario (London—Fanshawe),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,irene-mathyssen
Jacques Gourde,Jacques Gourde,Conservative,Quebec,Lévis—Lotbinière,Quebec (Lévis—Lotbinière),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,jacques-gourde
James Bezan,James Bezan,Conservative,Manitoba,Selkirk—Interlake—Eastman,Manitoba (Selkirk—Interlake—Eastman),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,james-bezan
James Maloney,James Maloney (lawyer),Liberal,Ontario,Etobicoke—Lakeshore,Ontario (Etobicoke—Lakeshore),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,james-maloney
Jamie Schmale,Jamie Schmale,Conservative,Ontario,Haliburton—Kawartha Lakes—Brock,Ontario (Haliburton—Kawartha Lakes—Brock),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,jamie-schmale
Jane Philpott,Jane Philpott,Liberal,Ontario,Markham—Stouffville,Ontario (Markham—Stouffville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,jane-philpott
Jason Kenney,Jason Kenney,Conservative,Alberta,Calgary Midnapore,Alberta (Calgary Midnapore),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,2016-09-23,,jason-kenney
Jati Sidhu,Jati Sidhu,Liberal,British Columbia,Mission—Matsqui—Fraser Canyon,British Columbia (Mission—Matsqui—Fraser Canyon),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,jati-sidhu
Jean Rioux,Jean Rioux,Liberal,Quebec,Saint-Jean,Quebec (Saint-Jean),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,jean-rioux
Jean-Claude Poissant,Jean-Claude Poissant,Liberal,Quebec,La Prairie,Quebec (La Prairie),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,jean-claude-poissant
Jean-Yves Duclos,Jean-Yves Duclos,Liberal,Quebec,Québec,Quebec (Québec),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,jean-yves-duclos
Jennifer O'Connell,Jennifer O'Connell,Liberal,Ontario,Pickering—Uxbridge,Ontario (Pickering—Uxbridge),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,jennifer-o'connell
Jenny Kwan,Jenny Kwan,NDP,British Columbia,Vancouver East,British Columbia (Vancouver East),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,jenny-kwan
Jim Carr,Jim Carr,Liberal,Manitoba,Winnipeg South Centre,Manitoba (Winnipeg South Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,jim-carr
Jim Eglinski,Jim Eglinski,Conservative,Alberta,Yellowhead,Alberta (Yellowhead),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,jim-eglinski
Jim Hillyer,Jim Hillyer (politician),Conservative,Alberta,Medicine Hat—Cardston—Warner,Alberta (Medicine Hat—Cardston—Warner),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,2016-03-23,,jim-hillyer
Jody Wilson-Raybould,Jody Wilson-Raybould,Liberal,British Columbia,Vancouver Granville,British Columbia (Vancouver Granville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,jody-wilson-raybould
Joe Peschisolido,Joe Peschisolido,Liberal,British Columbia,Steveston—Richmond East,British Columbia (Steveston—Richmond East),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,joe-peschisolido
John Aldag,John Aldag,Liberal,British Columbia,Cloverdale—Langley City,British Columbia (Cloverdale—Langley City),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,john-aldag
John Barlow,John Barlow (Canadian politician),Conservative,Alberta,Foothills,Alberta (Foothills),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,john-barlow
John Brassard,John Brassard,Conservative,Ontario,Barrie—Innisfil,Ontario (Barrie—Innisfil),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,john-brassard
John McCallum,John McCallum,Liberal,Ontario,Markham—Thornhill,Ontario (Markham—Thornhill),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,2017-01-31,,john-mccallum
John McKay,John McKay (politician),Liberal,Ontario,Scarborough—Guildwood,Ontario (Scarborough—Guildwood),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,john-mckay
John Nater,John Nater,Conservative,Ontario,Perth—Wellington,Ontario (Perth—Wellington),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,john-nater
John Oliver,John Oliver (Ontario politician),Liberal,Ontario,Oakville,Ontario (Oakville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,john-oliver
Jonathan Wilkinson,Jonathan Wilkinson (politician),Liberal,British Columbia,North Vancouver,British Columbia (North Vancouver),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,jonathan-wilkinson
Joyce Murray,Joyce Murray,Liberal,British Columbia,Vancouver Quadra,British Columbia (Vancouver Quadra),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,joyce-murray
Joël Godin,Joël Godin,Conservative,Quebec,Portneuf—Jacques-Cartier,Quebec (Portneuf—Jacques-Cartier),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,joël-godin
Joël Lightbound,Joël Lightbound,Liberal,Quebec,Louis-Hébert,Quebec (Louis-Hébert),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,joël-lightbound
Judy Foote,Judy Foote,Liberal,Newfoundland and Labrador,Bonavista—Burin—Trinity,Newfoundland and Labrador (Bonavista—Burin—Trinity),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,judy-foote
Judy Sgro,Judy Sgro,Liberal,Ontario,Humber River—Black Creek,Ontario (Humber River—Black Creek),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,judy-sgro
Julie Dabrusin,Julie Dabrusin,Liberal,Ontario,Toronto—Danforth,Ontario (Toronto—Danforth),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,julie-dabrusin
Julie Dzerowicz,Julie Dzerowicz,Liberal,Ontario,Davenport,Ontario (Davenport),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,julie-dzerowicz
Justin Trudeau,Justin Trudeau,Liberal,Quebec,Papineau,Quebec (Papineau),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,justin-trudeau
Kamal Khera,Kamal Khera,Liberal,Ontario,Brampton West,Ontario (Brampton West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,kamal-khera
Karen Ludwig,Karen Ludwig,Liberal,New Brunswick,New Brunswick Southwest,New Brunswick (New Brunswick Southwest),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,karen-ludwig
Karen McCrimmon,Karen McCrimmon,Liberal,Ontario,Kanata—Carleton,Ontario (Kanata—Carleton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,karen-mccrimmon
Karen Vecchio,Karen Vecchio,Conservative,Ontario,Elgin—Middlesex—London,Ontario (Elgin—Middlesex—London),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,karen-vecchio
Karina Gould,Karina Gould,Liberal,Ontario,Burlington,Ontario (Burlington),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,karina-gould
Karine Trudel,Karine Trudel,NDP,Quebec,Jonquière,Quebec (Jonquière),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,karine-trudel
Kate Young,Kate Young (politician),Liberal,Ontario,London West,Ontario (London West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,kate-young
Kellie Leitch,Kellie Leitch,Conservative,Ontario,Simcoe—Grey,Ontario (Simcoe—Grey),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,kellie-leitch
Kelly Block,Kelly Block,Conservative,Saskatchewan,Carlton Trail—Eagle Creek,Saskatchewan (Carlton Trail—Eagle Creek),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,kelly-block
Kelly McCauley,Kelly McCauley,Conservative,Alberta,Edmonton West,Alberta (Edmonton West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,kelly-mccauley
Ken Hardie,Ken Hardie,Liberal,British Columbia,Fleetwood—Port Kells,British Columbia (Fleetwood—Port Kells),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,ken-hardie
Ken McDonald,Ken McDonald (politician),Liberal,Newfoundland and Labrador,Avalon,Newfoundland and Labrador (Avalon),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,ken-mcdonald
Kennedy Stewart,Kennedy Stewart (Canadian politician),NDP,British Columbia,Burnaby South,British Columbia (Burnaby South),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,kennedy-stewart
Kent Hehr,Kent Hehr,Liberal,Alberta,Calgary Centre,Alberta (Calgary Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,kent-hehr
Kerry Diotte,Kerry Diotte,Conservative,Alberta,Edmonton Griesbach,Alberta (Edmonton Griesbach),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,kerry-diotte
Kevin Lamoureux,Kevin Lamoureux,Liberal,Manitoba,Winnipeg North,Manitoba (Winnipeg North),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,kevin-lamoureux
Kevin Sorenson,Kevin Sorenson,Conservative,Alberta,Battle River—Crowfoot,Alberta (Battle River—Crowfoot),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,kevin-sorenson
Kevin Waugh,Kevin Waugh,Conservative,Saskatchewan,Saskatoon—Grasswood,Saskatchewan (Saskatoon—Grasswood),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,kevin-waugh
Kim Rudd,Kim Rudd,Liberal,Ontario,Northumberland—Peterborough South,Ontario (Northumberland—Peterborough South),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,kim-rudd
Kirsty Duncan,Kirsty Duncan,Liberal,Ontario,Etobicoke North,Ontario (Etobicoke North),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,kirsty-duncan
Kyle Peterson,Kyle Peterson (politician),Liberal,Ontario,Newmarket—Aurora,Ontario (Newmarket—Aurora),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,kyle-peterson
Larry Maguire,Larry Maguire,Conservative,Manitoba,Brandon—Souris,Manitoba (Brandon—Souris),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,larry-maguire
Larry Miller,Larry Miller (Canadian politician),Conservative,Ontario,Bruce—Grey—Owen Sound,Ontario (Bruce—Grey—Owen Sound),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,larry-miller
Lawrence MacAulay,Lawrence MacAulay,Liberal,Prince Edward Island,Cardigan,Prince Edward Island (Cardigan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,lawrence-macaulay
Len Webber,Len Webber,Conservative,Alberta,Calgary Confederation,Alberta (Calgary Confederation),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,len-webber
Leona Alleslev,Leona Alleslev,Liberal,Ontario,Aurora—Oak Ridges—Richmond Hill,Ontario (Aurora—Oak Ridges—Richmond Hill),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,leona-alleslev
Linda Duncan,Linda Duncan,NDP,Alberta,Edmonton Strathcona,Alberta (Edmonton Strathcona),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,linda-duncan
Linda Lapointe,Linda Lapointe,Liberal,Quebec,Rivière-des-Mille-Îles,Quebec (Rivière-des-Mille-Îles),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,linda-lapointe
Lisa Raitt,Lisa Raitt,Conservative,Ontario,Milton,Ontario (Milton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,lisa-raitt
Lloyd Longfield,Lloyd Longfield,Liberal,Ontario,Guelph,Ontario (Guelph),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,lloyd-longfield
Louis Plamondon,Louis Plamondon,Bloc Québécois,Quebec,Bécancour—Nicolet—Saurel,Quebec (Bécancour—Nicolet—Saurel),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,bloc_québécois,,,louis-plamondon
Luc Berthold,Luc Berthold,Conservative,Quebec,Mégantic—L'Érable,Quebec (Mégantic—L'Érable),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,luc-berthold
Luc Thériault,Luc Thériault,Bloc Québécois,Quebec,Montcalm,Quebec (Montcalm),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,bloc_québécois,,,luc-thériault
Majid Jowhari,Majid Jowhari,Liberal,Ontario,Richmond Hill,Ontario (Richmond Hill),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,majid-jowhari
Marc Garneau,Marc Garneau,Liberal,Quebec,Notre-Dame-de-Grâce—Westmount,Quebec (Notre-Dame-de-Grâce—Westmount),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,marc-garneau
Marc Miller,Marc Miller (politician),Liberal,Quebec,Ville-Marie—Le Sud-Ouest—Île-des-Sœurs,Quebec (Ville-Marie—Le Sud-Ouest—Île-des-Sœurs),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,marc-miller
Marc Serré,Marc Serré,Liberal,Ontario,Nickel Belt,Ontario (Nickel Belt),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,marc-serré
Marco Mendicino,Marco Mendicino,Liberal,Ontario,Eglinton—Lawrence,Ontario (Eglinton—Lawrence),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,marco-mendicino
Marie-Claude Bibeau,Marie-Claude Bibeau,Liberal,Quebec,Compton—Stanstead,Quebec (Compton—Stanstead),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,marie-claude-bibeau
Marilyn Gladu,Marilyn Gladu,Conservative,Ontario,Sarnia—Lambton,Ontario (Sarnia—Lambton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,marilyn-gladu
Marilène Gill,Marilène Gill,Bloc Québécois,Quebec,Manicouagan,Quebec (Manicouagan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,bloc_québécois,,,marilène-gill
Mario Beaulieu,Mario Beaulieu (politician),Bloc Québécois,Quebec,La Pointe-de-l'Île,Quebec (La Pointe-de-l'Île),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,bloc_québécois,,,mario-beaulieu
Marjolaine Boutin-Sweet,Marjolaine Boutin-Sweet,NDP,Quebec,Hochelaga,Quebec (Hochelaga),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,marjolaine-boutin-sweet
Mark Eyking,Mark Eyking,Liberal,Nova Scotia,Sydney—Victoria,Nova Scotia (Sydney—Victoria),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,mark-eyking
Mark Gerretsen,Mark Gerretsen,Liberal,Ontario,Kingston and the Islands,Ontario (Kingston and the Islands),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,mark-gerretsen
Mark Holland,Mark Holland,Liberal,Ontario,Ajax,Ontario (Ajax),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,mark-holland
Mark Strahl,Mark Strahl,Conservative,British Columbia,Chilliwack—Hope,British Columbia (Chilliwack—Hope),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,mark-strahl
Mark Warawa,Mark Warawa,Conservative,British Columbia,Langley—Aldergrove,British Columbia (Langley—Aldergrove),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,mark-warawa
Martin Shields,Martin Shields,Conservative,Alberta,Bow River,Alberta (Bow River),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,martin-shields
Marwan Tabbara,Marwan Tabbara,Liberal,Ontario,Kitchener South—Hespeler,Ontario (Kitchener South—Hespeler),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,marwan-tabbara
Mary Ng,Mary Ng,Liberal,Ontario,Markham—Thornhill,Ontario (Markham—Thornhill),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,mary-ng
MaryAnn Mihychuk,MaryAnn Mihychuk,Liberal,Manitoba,Kildonan—St. Paul,Manitoba (Kildonan—St. Paul),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,maryann-mihychuk
Maryam Monsef,Maryam Monsef,Liberal,Ontario,Peterborough—Kawartha,Ontario (Peterborough—Kawartha),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,maryam-monsef
Matt DeCourcey,Matt DeCourcey,Liberal,New Brunswick,Fredericton,New Brunswick (Fredericton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,matt-decourcey
Matt Jeneroux,Matt Jeneroux,Conservative,Alberta,Edmonton Riverbend,Alberta (Edmonton Riverbend),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,matt-jeneroux
Matthew Dubé,Matthew Dubé,NDP,Quebec,Beloeil—Chambly,Quebec (Beloeil—Chambly),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,matthew-dubé
Mauril Bélanger,Mauril Bélanger,Liberal,Ontario,Ottawa—Vanier,Ontario (Ottawa—Vanier),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,2016-08-16,,mauril-bélanger
Maxime Bernier,Maxime Bernier,Conservative,Quebec,Beauce,Quebec (Beauce),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,maxime-bernier
Mel Arnold,Mel Arnold,Conservative,British Columbia,North Okanagan—Shuswap,British Columbia (North Okanagan—Shuswap),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,mel-arnold
Michael Chong,Michael Chong,Conservative,Ontario,Wellington—Halton Hills,Ontario (Wellington—Halton Hills),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,michael-chong
Michael Cooper,Michael Cooper (politician),Conservative,Alberta,St. Albert—Edmonton,Alberta (St. Albert—Edmonton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,michael-cooper
Michael Levitt,Michael Levitt (politician),Liberal,Ontario,York Centre,Ontario (York Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,michael-levitt
Michael McLeod,Michael McLeod (politician),Liberal,The North,Northwest Territories,The North (Northwest Territories),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,michael-mcleod
Michel Boudrias,Michel Boudrias,Bloc Québécois,Quebec,Terrebonne,Quebec (Terrebonne),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,bloc_québécois,,,michel-boudrias
Michel Picard,Michel Picard (politician),Liberal,Quebec,Montarville,Quebec (Montarville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,michel-picard
Michelle Rempel,Michelle Rempel,Conservative,Alberta,Calgary Nose Hill,Alberta (Calgary Nose Hill),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,michelle-rempel
Mike Bossio,Mike Bossio,Liberal,Ontario,Hastings—Lennox and Addington,Ontario (Hastings—Lennox and Addington),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,mike-bossio
Mike Lake,Mike Lake (politician),Conservative,Alberta,Edmonton—Wetaskiwin,Alberta (Edmonton—Wetaskiwin),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,mike-lake
Mona Fortier,Mona Fortier,Liberal,Ontario,Ottawa—Vanier,Ontario (Ottawa—Vanier),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,mona-fortier
Monique Pauzé,Monique Pauzé,Bloc Québécois,Quebec,Repentigny,Quebec (Repentigny),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,bloc_québécois,,,monique-pauzé
Murray Rankin,Murray Rankin,NDP,British Columbia,Victoria,British Columbia (Victoria),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,murray-rankin
Mélanie Joly,Mélanie Joly,Liberal,Quebec,Ahuntsic-Cartierville,Quebec (Ahuntsic-Cartierville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,mélanie-joly
