id,name__en,name__de,name__fr,name,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__sr,name__sh,name__hr,name__en_ca,name__en_gb,name__ru,name__nl,name__pt,name__nb,name__da,name__nn,name__sv,name__cy,name__gl,wikipedia__hr,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__sr,death_date,identifier__Munzinger,name__sl,name__bg,name__el,name__sr_el,name__sr_ec,name__es,name__mk,wikipedia__bg,wikipedia__commons,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fr,wikipedia__mk,wikipedia__sl,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__freebase,identifier__FAST,family_name,name__it,name__hu,wikipedia__it,name__pl,name__bs,name__uk,wikipedia__bs,wikipedia__no,wikipedia__pl,wikipedia__sv,wikipedia__uk,name__cs,name__ie,wikipedia__cs,wikipedia__ie,name__sq,wikipedia__nl,wikipedia__sq,name__fa,wikipedia__fa,name__ka,wikipedia__bswikiquote,wikipedia__da,wikipedia__ka,wikipedia__srwikiquote,name__az,wikipedia__az,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__ml,name__sk,name__tr,name__ro,name__ca,name__fi,name__lmo,name__lt,name__zh,name__id,name__ja,name__vi,name__sco,wikipedia__ca,wikipedia__elwikiquote,wikipedia__eu,wikipedia__fi,wikipedia__hu,wikipedia__id,wikipedia__ja,wikipedia__lmo,wikipedia__lt,wikipedia__ml,wikipedia__plwikiquote,wikipedia__ro,wikipedia__sco,wikipedia__sk,wikipedia__tr,wikipedia__vi,wikipedia__zh,identifier__NDL,identifier__SBN_it,identifier__NLA,identifier__OLID,identifier__NKC,identifier__SELIBR,identifier__NLI,identifier__BNE,identifier__PTBNP,identifier__NTA,identifier__BAV,identifier__NUKAT,identifier__CANTIC,identifier__NLAtrove,name__ko,name__he,name__yo,name__oc,name__ms,name__et,name__br,name__ar,name__eo,name__io,name__de_ch,name__pt_br,name__be,name__la,name__lv,wikipedia__ar,wikipedia__be,wikipedia__br,wikipedia__enwikisource,wikipedia__eo,wikipedia__et,wikipedia__gl,wikipedia__he,wikipedia__io,wikipedia__ko,wikipedia__la,wikipedia__lv,wikipedia__ms,wikipedia__nn,wikipedia__oc,wikipedia__simple,wikipedia__yo,identifier__GNC,identifier__GTAA,name__kk,name__lb,name__qu,wikipedia__kk,wikipedia__lb,wikipedia__qu,wikipedia__ruwikinews,wikipedia__ptwikiquote,identifier__PACE,wikipedia__hsb,name__hsb,identifier__bigenc_ru,wikipedia__hy,name__hy,occupation,wikipedia__itwikiquote,identifier__nlg
Q23836550,Branimir Gvozdenović,,,Branimir Gvozdenović,Branimir Gvozdenović,male,1961,,Branimir Gvozdenović,,,,,,,Branimir Gvozdenović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q23836551,Tarzan Milošević,,,Tarzan Milošević,Tarzan Milošević,male,1954-07-28,,Tarzan Milošević,,,,,,,Tarzan Milošević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q2404727,Andrija Radović,,,Andrija Radović,Andrija Radović,male,1872,Andrija,Andrija Radović,Андрија Радовић,,Andrija Radović,,,"Радович, Андрия",Andrija Radović,,Andrija Radović,Andrija Radović,Andrija Radović,Andrija Radović,,,Andrija Radović,,"Радович, Андрия",,Андрија Радовић,1947,,,,,Andrija Radović,Андрија Радовић,Andrija Radović,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/43/Andrija_Radovic.jpg,0000 0000 3182 8004,64385252,,n88080579,,074242946,/m/03h42gw,234122,,Andrija Radović,Andrija Radović,Andrija Radović,Andrija Radović,,,,,Andrija Radović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrija Radović,,,,,,,,,,,Andrija Radović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrija Radović,,,,,,,,,,,,,,,Andrija Radović,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q2616671,Pavle Bulatović,,Pavle Bulatović,Pavle Bulatović,Pavle Bulatović,male,1948-12-13,Pavle,Pavle Bulatović,Павле Булатовић,,,,,"Булатович, Павле",Pavle Bulatović,Pavle Bulatović,,,,,,Pavle Bulatovic,,Pavle Bulatović,"Булатович, Павле",,Павле Булатовић,2000-02-07,,,,,Pavle Bulatović,Павле Булатовић,,,,,,,,Pavle Bulatović,,,,,,,,,,/m/027nck0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pavle Bulatovic,,,,,,,,,,,,,,,,,,,,,,,,,,,political commissar,,
Q2631716,Ranko Krivokapić,Ranko Krivokapić,Ranko Krivokapić,Ranko Krivokapić,Ranko Krivokapić,male,1961-08-17,,Ranko Krivokapić,Ранко Кривокапић,,Ranko Krivokapić,,,"Кривокапич, Ранко",Ranko Krivokapić,Ranko Krivokapić,,,,,,,Ranko Krivokapić,Ranko Krivokapić,"Кривокапич, Ранко",,Ранко Кривокапић,,,,,,Ranko Krivokapić,Ранко Кривокапић,Ranko Krivokapić,,,Category:Ranko Krivokapić,,,,Ranko Krivokapić,,,https://upload.wikimedia.org/wikipedia/commons/9/9b/Ranko_Krivokapić_Senate_of_Poland.jpg,,,,,,,/m/0dbl2n,,,Ranko Krivokapić,Ranko Krivokapić,Ranko Krivokapić,Ranko Krivokapić,,Ранко Кривокапич,,,Ranko Krivokapić,,Ранко Кривокапич,Ranko Krivokapić,Ranko Krivokapić,Ranko Krivokapić,Ranko Krivokapić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5163,,,,,,politician,,
Q27941657,Duško Marković,Duško Marković,Duško Marković,Duško Marković,Duško Marković,male,1958-07-06,Duško,Duško Marković,,,,,,,Duško Marković,Duško Marković,,,,,,,,,,,,,,,,,,,Duško Marković,,,Category:Duško Marković,,,,Duško Marković,,,,,305498056,,,,,,,Marković,Duško Marković,,Duško Marković,Duško Marković,,Душко Маркович,,,Duško Marković,,Душко Маркович,,,,,,Duško Marković,,,,,,,,,,,,,,,,,,,,,,,,,,杜什科·马尔科维奇,,,,,,,,,,,,,,,,,,,,,杜什科·马尔科维奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duško Marković,,,,,,,,,,,,Duško Marković,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q2802891,Đorđije Pajković,,Đorđije Pajković,Đorđije Pajković,Đorđije Pajković,male,1917,,Đorđije Pajković,Ђорђије Ђоко Пајковић,,,,,,Đorđije Pajković,,,,,,,,,,,,Ђорђије Ђоко Пајковић,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xhorxhije Pajkoviq,Đorđije Pajković,Xhorxhije Pajkoviq,,,,,,,,,,,,,,,,,,,,,,,,,,,ジョルジェ・パイコヴィッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political commissar,,
Q280605,Zoran Žižić,Zoran Žižić,Zoran Žižić,Zoran Žižić,Zoran Žižić,male,1951-03-04,Zoran,Zoran Žižić,Зоран Жижић,Zoran Žižić,Zoran Žižić,Zoran Žižić,Zoran Žižić,Зоран Жижич,Zoran Žižić,Zoran Žižić,Zoran Žižić,Zoran Žižić,Zoran Žižić,Zoran Žižić,Zoran Žižić,Zoran Žižić,Zoran Žižić,Zoran Žižić,"Жижич, Зоран",Zoran Žižić,Зоран Жижић,2013-01-04,00000023522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐蘭·日基奇,,佐兰·日基奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2908712,Bogoljub Šijaković,,Bogoljub Šijaković,Bogoljub Šijaković,Bogoljub Šijaković,male,1955-08-06,Bogoljub,Bogoljub Šijaković,Богољуб Шијаковић,,,,,,Bogoljub Šijaković,,,,,,,,,,,,Богољуб Шијаковић,,,,,,,,,,,,,,,Bogoljub Šijaković,,,,0000 0001 0921 2550,85233805,,,13483904h,09826110X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philosopher,,
Q3121438,Miomir Mugoša,Miomir Mugoša,Miomir Mugoša,Miomir Mugoša,Miomir Mugoša,male,1950-07-23,,Miomir Mugoša,Миомир Мугоша,,,,,,Miomir Mugoša,,,,,,,,,,,,Миомир Мугоша,,,,,,Miomir Mugoša,Миомир Мугоша,Miomir Mugoša,,,,,,Miomir Mugoša,Miomir Mugoša,,,,,,,,,,/m/06g5n5,,,Miomir Mugoša,Miomir Mugoša,Miomir Mugoša,,,,,,,,,Miomir Mugoša,,Miomir Mugoša,,,,,,,,,,,,Miomir Muqoşa,Miomir Muqoşa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q317399,Veljko Vlahović,,Veljko Vlahović,Veljko Vlahović,Veljko Vlahović,male,1914-09-02,Veljko,Veljko Vlahović,Вељко Влаховић,Veljko Vlahović,Veljko Vlahović,,,,Veljko Vlahović,Veljko Vlahović,,,,,,,Veljko Vlahović,Veljko Vlahović,,Veljko Vlahović,Вељко Влаховић,1975-03-07,,Veljko Vlahović,,,Veljko Vlahović,Вељко Влаховић,Veljko Vlahović,,,,,,Veljko Vlahović,Veljko Vlahović,,Veljko Vlahović,https://upload.wikimedia.org/wikipedia/commons/f/fe/Veljko_Vlahovič.jpg,0000 0000 8847 2280,79065621,,n80159067,12138244b,029840015,/m/05m_8x,65064,,,,,,,,,,,,,Veljko Vlahović,,Veljko Vlahović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political commissar,,
Q3446101,Radivoje Brajović,,,Radivoje Brajović,Radivoje Brajović,male,1935-01-11,,Radivoje Brajović,Радивоје Брајовић,,Radivoje Brajović,,,,Radivoje Brajović,,,,,,,,Radivoje Brajović,,,,Радивоје Брајовић,,,,,,Radivoje Brajović,Радивоје Брајовић,,,,,,,,,,,,,,,,,,/m/0dm8gp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,拉迪沃耶·布拉約維奇,,拉迪沃耶·布拉约维奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political commissar,,
Q3446233,Gavro Vuković,,,Gavro Vuković,Gavro Vuković,male,1852,,Gavro Vuković,Гавро Вуковић,,Gavro Vuković,,,,Gavro Vuković,,,,,,,,Gavro Vuković,,,,Гавро Вуковић,1928,,,,,Gavro Vuković,Гавро Вуковић,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/Gavro_Miljanov_Vukovic_vojvoda.png,0000 0000 2812 2676,10004170,,,13516811z,123496624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,
Q3485241,Andrija Popović,,,Andrija Popović,Andrija Popović,male,1959-09-22,Andrija,Andrija Popović,Andrija Popović,,Andrija Popović,,,,Andrija Popović,,Andrija Popović,Andrija Popović,Andrija Popović,Andrija Popović,,,Andrija Popović,,,,Andrija Popović,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d8/Andrija_Popovic.jpg,,,,,,,,,,Andrija Popović,,Andrija Popović,Andrija Popović,Andrija Popović,Андрія Попович,Andrija Popović,Andrija Popović,Andrija Popović,Andrija Popović,Андрія Попович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q3488739,Radoje Kontić,Radoje Kontić,Radoje Kontić,Radoje Kontić,Radoje Kontić,male,1937-05-31,Radoje,Radoje Kontić,Радоје Контић,,,,,,Radoje Kontić,Radoje Kontić,,,,,,,,Radoje Kontić,,,Радоје Контић,,,,,,Radoje Kontić,Радоје Контић,,,,,,,,,,,,,,,,,,/m/0dm7c6,,,,,,Radoje Kontić,,,,,Radoje Kontić,,,Radoje Kontić,,Radoje Kontić,,,,,رادویه کونتیچ,رادویه کونتیچ,,,,,,,,,,,,,,,,,,,,,,,拉多耶·孔季奇,,ラドイェ・コンティッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q3491730,Božina Ivanović,,,Božina Ivanović,Božina Ivanović,male,1931,,Božina Ivanović,Божина Ивановић,,,,,,Božina Ivanović,,,,,,Božina Ivanović,,,,,,Божина Ивановић,2002-10-10,,,,,Božina Ivanović,Божина Ивановић,,,,,,,,,,,,,38343636,,,,,/m/0dp9v9,,,,,,,,,,,,,,Božina Ivanović,,Božina Ivanović,,,,,,,,,,,,,,,博日娜·諾維奇,,博日娜·诺维奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anthropologist,,
