id,name,executive,constituency,start_date,party_name,party_id,email,img,source,term
22,Ugyen Wangdi,"",Dramedtse Ngatshang,2013-07-13,Druk Phuensum Tshogpa,DPT,ugyenw2012@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/ugyen-wangdi.jpg,http://www.nab.gov.bt/member/member_detail/22,2
23,Rinzin Jamtsho,"",Kengkhar Weringla,2013-07-13,Druk Phuensum Tshogpa,DPT,rgamtsho@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/rinzin-gamtsho.jpg,http://www.nab.gov.bt/member/member_detail/23,2
24,Kezang Wangmo,"",Dokar Sharpa,2013-07-13,People's Democratic Party,PDP,kezangd@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/kezang-wangmo.jpg,http://www.nab.gov.bt/member/member_detail/24,2
25,Khandu Wangchuk,"",Lamgong Wangchang,2013-07-13,Druk Phuensum Tshogpa,DPT,kwangchuk@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/khando-wangchuk.jpg,http://www.nab.gov.bt/member/member_detail/25,2
27,Zangley Dukpa,"",Khar Yurung,2013-07-13,Druk Phuensum Tshogpa,DPT,zdukpa@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/zangley-dukpa.jpg,http://www.nab.gov.bt/member/member_detail/27,2
26,Dechen Zangmo,"",Nanong Shumar,2013-11-09,Druk Phuensum Tshogpa,DPT,dzangmo@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/dechen-zangmo.jpg,http://www.nab.gov.bt/member/member_detail/26,2
28,Choida Jamtsho,"",Nganglam,2013-07-13,Druk Phuensum Tshogpa,DPT,jamtshoc@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/choida-jamtsho.jpg,http://www.nab.gov.bt/member/member_detail/28,2
29,Dophu Dukpa,"",Kabisa Talog,2013-07-13,People's Democratic Party,PDP,ddukpa@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/dophu-dukpa.jpg,http://www.nab.gov.bt/member/member_detail/29,2
30,Pelzang Wangchuk,"",Jomotshangkha Martshala,2013-07-13,People's Democratic Party,PDP,pwangchuk@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/pelzang-wangchuk.jpg,http://www.nab.gov.bt/member/member_detail/30,2
31,Tek Bahadur Subba,"",Dophuchen Tading,2013-07-13,People's Democratic Party,PDP,tksubba@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/tek-bahadur-subha.jpg,http://www.nab.gov.bt/member/member_detail/31,2
32,Ritu Raj Chhetri,"",Tashichhoeling,2013-07-13,People's Democratic Party,PDP,rrchhetri@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/ritu-raj-chhetri.jpg,http://www.nab.gov.bt/member/member_detail/32,2
33,Madan Kumar Chhetri,"",Ugyentse Yoeseltse,2013-07-13,People's Democratic Party,PDP,mkchhetri@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/madan-kumar-chhetri.jpg,http://www.nab.gov.bt/member/member_detail/33,2
34,Gopal Gurung,"",Gelegphu,2013-07-13,People's Democratic Party,PDP,ggurung@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/gopal-gurung.jpg,http://www.nab.gov.bt/member/member_detail/34,2
35,Kinga Tshering,"",North Thimphu,2013-07-13,Druk Phuensum Tshogpa,DPT,ktshering@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/kinga-tshering.jpg,http://www.nab.gov.bt/member/member_detail/35,2
36,Yeshey Zimba,"",South Thimphu,2013-07-13,Druk Phuensum Tshogpa,DPT,yzimba@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/yeshey-zimba.jpg,http://www.nab.gov.bt/member/member_detail/36,2
37,Wangdi Norbu,"",Bartsham Shongphu,2013-07-13,Druk Phuensum Tshogpa,DPT,wnorbu@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/wangdi-norbu.jpg,http://www.nab.gov.bt/member/member_detail/37,2
38,Jigme Wangchuk,"",Radhi Sagteng,2013-07-13,Druk Phuensum Tshogpa,DPT,jwangchuk@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/jigme-wangchuk.jpg,http://www.nab.gov.bt/member/member_detail/38,2
39,Karma Tenzin,"",Wamrong,2013-07-13,People's Democratic Party,PDP,ktenzin@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/karma-tenzin.jpg,http://www.nab.gov.bt/member/member_detail/39,2
40,Dupthob,"",Boomdeling Jamkhar,2013-07-13,Druk Phuensum Tshogpa,DPT,dupthob@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/dupthob.jpg,http://www.nab.gov.bt/member/member_detail/40,2
41,Sonam Dondup Dorjee,"",Khamdang Ramjar,2013-07-13,People's Democratic Party,PDP,sddorjee@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/sonam-dondup-dorjee.jpg,http://www.nab.gov.bt/member/member_detail/41,2
42,Nidup Zangpo,"",Nubi Tangsibji,2013-07-13,Druk Phuensum Tshogpa,DPT,nzangpo@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/nidup-zangpo.jpg,http://www.nab.gov.bt/member/member_detail/42,2
43,Yogesh Tamang,"",Kilkhorthang Mendrelgang,2013-07-13,People's Democratic Party,PDP,ytamang@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/yogesh-tamang.jpg,http://www.nab.gov.bt/member/member_detail/43,2
44,Novin Darlami,"",Sergithang Tsirang Toed,2013-07-13,People's Democratic Party,PDP,ndarlami@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/novim-darlami.jpg,http://www.nab.gov.bt/member/member_detail/44,2
45,Kuenga,"",Nyishog Saephu,2013-07-13,People's Democratic Party,PDP,kuenga@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/Kuenga.JPG,http://www.nab.gov.bt/member/member_detail/45,2
46,Lekey Dorji,"",Bardo Trong,2013-07-13,People's Democratic Party,PDP,lekeydorji@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lekey-dorji.jpg,http://www.nab.gov.bt/member/member_detail/46,2
47,Dorji Wangdi,"",Panbang,2013-07-13,Druk Phuensum Tshogpa,DPT,dwangdi@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/dorji-wangdi.jpg,http://www.nab.gov.bt/member/member_detail/47,2
