id,name__fr,name__en,name,wikipedia__fr,gender,birth_date,death_date,given_name,original_wikiname,name__it,name__nl,name__hu,name__pt,name__es,name__de,wikipedia__en,wikipedia__pt,name__el,name__ty,name__nb,name__da,name__nn,name__sv,name__tr,name__pl,name__ko,wikipedia__el,wikipedia__ko,wikipedia__pl,wikipedia__tr,wikipedia__ty,image,family_name,identifier__sycomore,twitter,facebook,name__vi,name__ca,name__lt,name__fi,wikipedia__ca,wikipedia__es,wikipedia__fi,wikipedia__lt,wikipedia__no,wikipedia__vi,identifier__freebase,name__cy,name__ru,wikipedia__nl,wikipedia__ru,name__ja,name__en_ca,name__en_gb,wikipedia__de,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__EuroparlMEP,identifier__senatDOTfr,identifier__FAST,name__zh,website,name__et,name__hr,name__la,wikipedia__commons,wikipedia__et,wikipedia__hr,wikipedia__it,wikipedia__la,wikipedia__sv,name__sh,wikipedia__sh,wikipedia__ar,name__ar,name__zh_hant,name__zh_cn,wikipedia__zh,occupation,identifier__persee,name__nds,name__li,name__lb,name__gsw,identifier__assemblee_nationale
Q16685221,Émile Le Caill,Émile Le Caill,Émile Le Caill,Émile Le Caill,male,1919,1985-10-13,Émile,Émile Le Caill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17350905,Maina Sage,Maina Sage,Maina Sage,Maina Sage,female,1975-05-10,,Maina,Maina Sage,Maina Sage,Maina Sage,,,,Maina Sage,,,,,,,,,,Maina Sage,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/13/Maina_Sage.jpg,Sage,,MainaSage,MainaSageDeputee,,Maina Sage,Maina Sage,,,,,,,,,,,,,,,,,,,,,,,,,,,http://mainasage.fr/,,,,Category:Maina Sage,,,,,,,,,,,,,politician,,Maina Sage,Maina Sage,Maina Sage,Maina Sage,702052
Q18214789,Joëlle Frébault,Joëlle Frébault,Joëlle Frébault,Joëlle Frébault,female,,,Joëlle,Joëlle Frebault,,Joëlle Frébault,,,,,,,,Joëlle Frebault,,,,,,,,,,,,Joëlle Frebault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q18214955,Teura Iriti,Teura Iriti,Teura Iriti,Teura Iriti,female,1965-01-07,,Teura,Teura Iriti,Teura Iriti,Teura Iriti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senateur/iriti_teura14044w,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q18215076,Nuihau Laurey,Nuihau Laurey,Nuihau Laurey,Nuihau Laurey,male,1964,,,Nuihau Laurey,,Nuihau Laurey,,,,,Nuihau Laurey,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/ff/Nuihau_Laurey.jpg,,,,,,,,,,,,,,,,,,,,,,,,,107066099,,,16181055b,136503055,,,,尼奧·洛雷,,,,,,,,,,,,,,,,,,politician,,,,,,
Q18414743,Marcel Tuihani,Marcel Tuihani,Marcel Tuihani,Marcel Tuihani,male,1971,,Marcel,Marcel Tuihani,Marcel Tuihani,Marcel Tuihani,,,,,Marcel Tuihani,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/67/Tuihani_Marcel.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬塞爾·圖亞尼,,,,,,,,,,,,,,,,,,politician,,,,,,
Q19887794,Lana Tetuanui,Lana Tetuanui,Lana Tetuanui,Lana Tetuanui,female,1970-02-23,,,Lana Tetuanui,,Lana Tetuanui,,,,,,,,Lana Tetuanui,,,,,,,,,,,,Lana Tetuanui,https://upload.wikimedia.org/wikipedia/commons/4/4d/Lana_Tetuanui.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q20089164,Nicole Sanquer,Nicole Sanquer,Nicole Sanquer,Nicole Sanquer,female,1972-06-16,,Nicole,Nicole Sanquer,,Nicole Sanquer,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Nicole_Sanquer.JPG,Sanquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Nicole Sanquer,,,,,,,,,,,,,politician,,,,,,721110
Q20089174,René Temeharo,René Temeharo,René Temeharo,René Temeharo,male,,,René,René Temeharo,,René Temeharo,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b3/René_Temeharo.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q20089187,Tea Frogier,Tea Frogier,Tea Frogier,Tea Frogier,female,,,,Tea Frogier,Tea Frogier,Tea Frogier,,Tea Frogier,Tea Frogier,Tea Frogier,,,,,,,,,,Tea Frogier,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/94/Tea_Frogier.JPG,,,,,,Tea Frogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q20731589,Heremoana Maamaatuaiahutapu,Heremoana Maamaatuaiahutapu,Heremoana Maamaatuaiahutapu,Heremoana Maamaatuaiahutapu,male,,,,Heremoana Maamaatuaiahutapu,,Heremoana Maamaatuaiahutapu,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/85/Heremoana_Maamaatuaiahutapu.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q2109562,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,male,1949-08-07,,Gaston,Gaston Tong Sang,,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Γκαστόν Τονγκ Σανγκ,,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,,Gaston Tong Sang,,Γκαστόν Τονγκ Σανγκ,,Gaston Tong Sang,,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Gaston_Tong_Sang_Marché_Papeete.JPG,,,,,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,Gaston Tong Sang,/m/027bgnx,,,,,,,,,,,,,,,,,,伽斯頓·唐生,,,,,,,,,,,,,,,,,,politician,,,,,,
Q25703320,,,Thomas Moutame,,,,,,Thomas Moutame,,,,,,,,,,Thomas Moutame,,,,,,,,,,,,Thomas Moutame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703322,,,Béatrice Lucas,,,,,,Béatrice Lucas,,,,,,,,,,Béatrice Lucas,,,,,,,,,,,,Béatrice Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703323,,,Jacquie Graffe,,,,,,Jacquie Graffe,,,,,,,,,,Jacquie Graffe,,,,,,,,,,,,Jacquie Graffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703324,,,Jean Temauri,,,,,,Jean Temauri,,,,,,,,,,Jean Temauri,,,,,,,,,,,,Jean Temauri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703325,,,Virginie Bruant,,,,,,Virginie Bruant,,,,,,,,,,Virginie Bruant,,,,,,,,,,,,Virginie Bruant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703326,,,Charles Fong Loi,,,,,,Charles Fong Loi,,,,,,,,,,Charles Fong Loi,,,,,,,,,,,,Charles Fong Loi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703327,,,Minarii Galenon,,,,,,Minarii Galenon,,,,,,,,,,Minarii Galenon,,,,,,,,,,,,Minarii Galenon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703328,,,Evans Haumani,,,,,,Evans Haumani,,,,,,,,,,Evans Haumani,,,,,,,,,,,,Evans Haumani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703329,,,Vaiata Perry Friedman,,,,,,Vaiata Perry Friedman,,,,,,,,,,Vaiata Perry Friedman,,,,,,,,,,,,Vaiata Perry Friedman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703330,,,Sylvana Puhetini,,,,,,Sylvana Puhetini,,,,,,,,,,Sylvana Puhetini,,,,,,,,,,,,Sylvana Puhetini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703331,,,Alice Tinorua Rikjaart,,,,,,Alice Tinorua Rikjaart,,,,,,,,,,Alice Tinorua Rikjaart,,,,,,,,,,,,Alice Tinorua Rikjaart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703332,,,Sandra Manutahi Levy-Agami,,,,,,Sandra Manutahi Levy-Agami,,,,,,,,,,Sandra Manutahi Levy-Agami,,,,,,,,,,,,Sandra Manutahi Levy-Agami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703333,,,John Toromona,,,,,,John Toromona,,,,,,,,,,John Toromona,,,,,,,,,,,,John Toromona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703334,,,Valentina Cross,,,,,,Valentina Cross,,,,,,,,,,Valentina Cross,,,,,,,,,,,,Valentina Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703335,,,Juliette Matehau-Nuupure,,female,,,Juliette,Juliette Matehau-Nuupure,,,,,,,,,,Juliette Matehau-Nuupure,,,,,,,,,,,,Juliette Matehau-Nuupure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703336,,,Loïs Salmon-Amaru,,,,,,Loïs Salmon-Amaru,,,,,,,,,,Loïs Salmon-Amaru,,,,,,,,,,,,Loïs Salmon-Amaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703337,,,Putaì Taae,,,,,,Putaì Taae,,,,,,,,,,Putaì Taae,,,,,,,,,,,,Putaì Taae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703338,,,Eliane Tevahitua,,,,,,Eliane Tevahitua,,,,,,,,,,Eliane Tevahitua,,,,,,,,,,,,Eliane Tevahitua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703339,,,Patricia Amaru,,,,,,Patricia Amaru,,,,,,,,,,Patricia Amaru,,,,,,,,,,,,Patricia Amaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703340,,,Justine Teura,,,,,,Justine Teura,,,,,,,,,,Justine Teura,,,,,,,,,,,,Justine Teura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703341,,,Teapehu Teahe,,,,,,Teapehu Teahe,,,,,,,,,,Teapehu Teahe,,,,,,,,,,,,Teapehu Teahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703342,,,Jacques Raioha,,,,,,Jacques Raioha,,,,,,,,,,Jacques Raioha,,,,,,,,,,,,Jacques Raioha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703343,,,Monique Richeton,,,,,,Monique Richeton,,,,,,,,,,Monique Richeton,,,,,,,,,,,,Monique Richeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703344,,,Gilda Vaiho-Faatoa,,,,,,Gilda Vaiho-Faatoa,,,,,,,,,,Gilda Vaiho-Faatoa,,,,,,,,,,,,Gilda Vaiho-Faatoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703345,,,Moehau Teriitahi,,,,,,Moehau Teriitahi,,,,,,,,,,Moehau Teriitahi,,,,,,,,,,,,Moehau Teriitahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703346,,,Joseph Ah-Scha,,,,,,Joseph Ah-Scha,,,,,,,,,,Joseph Ah-Scha,,,,,,,,,,,,Joseph Ah-Scha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703348,,,Jeanine Tata,,,,,,Jeanine Tata,,,,,,,,,,Jeanine Tata,,,,,,,,,,,,Jeanine Tata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703349,,,Chantal Flores-Tahiata,,,,,,Chantal Flores-Tahiata,,,,,,,,,,Chantal Flores-Tahiata,,,,,,,,,,,,Chantal Flores-Tahiata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703351,,,Fernand Tahiata,,,,,,Fernand Tahiata,,,,,,,,,,Fernand Tahiata,,,,,,,,,,,,Fernand Tahiata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25703354,,,Yolande Viriamu,,,,,,Yolande Viriamu,,,,,,,,,,Yolande Viriamu,,,,,,,,,,,,Yolande Viriamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2662888,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,male,1948-10-20,2009-03-02,Alexandre,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,,,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,,Alexandre Léontieff,,,,,,,,,7772,,,,Alexandre Léontieff,Alexandre Léontieff,,Alexandre Léontieff,,,,Alexandre Léontieff,,/m/05p43sz,Alexandre Léontieff,"Леонтьефф, Александр",,"Леонтьев, Александр Максимович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,亞歷山大·里昂惕夫,亚历山大·里昂惕夫,,politician,,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,Alexandre Léontieff,
Q2747180,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,male,1931-06-24,,Gaston,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,Γκαστόν Φλος,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,,Γκαστόν Φλος,,Gaston Flosse,Gaston Flosse,Gaston Flosse,https://upload.wikimedia.org/wikipedia/commons/5/53/Gaston_Flosse.JPG,,3037,,,,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,,Gaston Flosse,,Gaston Flosse,,/m/036pbd,,"Флоссе, Глоссе",,"Флосс, Гастон",,,,Gaston Flosse,0000 0003 6103 6587,223438490,1038661943,nb2005007080,129029270,061635677,1686,senateur/flosse_gaston98052v,1614998,伽斯頓·復洛斯,,,,,Category:Gaston Flosse,,,,,,,,,,,,,politician,,Gaston Flosse,Gaston Flosse,Gaston Flosse,Gaston Flosse,
Q27940966,Maco Tevane,Maco Tevane,Maco Tevane,Maco Tevane,male,1937-08-13,2013-08-21,,Maco Tevane,Maco Tevane,Maco Tevane,,Maco Tevane,Maco Tevane,Maco Tevane,,,,,,,,,,Maco Tevane,,,,,,,,,,,,,Maco Tevane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q27941569,Mateata Maamaatuaiahutapu,Mateata Maamaatuaiahutapu,Mateata Maamaatuaiahutapu,Mateata Maamaatuaiahutapu,female,1968,,,Mateata Maamaatuaiahutapu,Mateata Maamaatuaiahutapu,Mateata Maamaatuaiahutapu,,Mateata Maamaatuaiahutapu,Mateata Maamaatuaiahutapu,Mateata Maamaatuaiahutapu,,,,,,,,,,Mateata Maamaatuaiahutapu,,,,,,,,,,,,,Mateata Maamaatuaiahutapu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28493627,Vice-président du Gouvernement de la Polynésie française,,Vice-président du Gouvernement de la Polynésie française,Vice-président de la Polynésie française,,,,,Vice-président de la Polynésie française,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2857395,Antonio Perez,Antonio Perez,Antonio Perez,Antonio Perez,male,1967,,Antonio,Antonio Perez,Antonio Perez,Antonio Perez,Antonio Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Антонио Перес,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q2857540,Antony Géros,Antony Géros,Antony Géros,Antony Géros,male,1956-07-22,,Antony,Antony Géros,,Antony Géros,Antony Géros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q2862180,Armelle Merceron,Armelle Merceron,Armelle Merceron,Armelle Merceron,female,1950-05-03,,Armelle,Armelle Merceron,Armelle Merceron,Armelle Merceron,Armelle Merceron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q2910995,Boris Léontieff,Boris Léontieff,Boris Léontieff,Boris Léontieff,male,,2002-05-23,Boris,Boris Léontieff,,,Boris Léontieff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boris Léontieff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q2926971,Bruno Sandras,Bruno Sandras,Bruno Sandras,Bruno Sandras,male,1961-08-04,,Bruno,Bruno Sandras,Bruno Sandras,Bruno Sandras,Bruno Sandras,,Bruno Sandras,Bruno Sandras,Bruno Sandras,,,,Bruno Sandras,Bruno Sandras,Bruno Sandras,Bruno Sandras,,Bruno Sandras,,,,,,,,,17377,,,,Bruno Sandras,Bruno Sandras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Bruno Sandras,Bruno Sandras,Bruno Sandras,Bruno Sandras,337621
Q2929487,Béatrice Vernaudon-Coppenrath,Béatrice Vernaudon,Béatrice Vernaudon,Béatrice Vernaudon-Coppenrath,female,1953,,Béatrice,Béatrice Vernaudon,Béatrice Vernaudon-Coppenrath,Béatrice Vernaudon,Béatrice Vernaudon,,Béatrice Vernaudon,Béatrice Vernaudon,Béatrice Vernaudon,,,,Béatrice Vernaudon-Coppenrath,Béatrice Vernaudon-Coppenrath,Béatrice Vernaudon-Coppenrath,Béatrice Vernaudon-Coppenrath,,Béatrice Vernaudon-Coppenrath,,,,,,,,,10614,,,,Béatrice Vernaudon-Coppenrath,Béatrice Vernaudon-Coppenrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Béatrice Vernaudon-Coppenrath,Béatrice Vernaudon-Coppenrath,Béatrice Vernaudon-Coppenrath,Béatrice Vernaudon-Coppenrath,
Q30350575,Moetai Brotherson,Moetai Brotherson,Moetai Brotherson,Moetai Brotherson,male,1969-10-22,,Moetai,Moetai Brotherson,Moetai Brotherson,Moetai Brotherson,,,Moetai Brotherson,Moetai Brotherson,Moetai Brotherson,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/95/Moetai-Charles_Brotherson.jpg,Brotherson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Moetai Brotherson,,,,,,,,,,,,,politician,,,,,,721118
Q3054661,Enrique Braun-Ortega,Enrique Braun-Ortega,Enrique Braun-Ortega,Enrique Braun-Ortega,male,1948-10-31,,Enrique,Enrique Braun-Ortega,Enrique Braun-Ortega,,Enrique Braun-Ortega,,,,,,,,Enrique Braun-Ortega,Enrique Braun-Ortega,Enrique Braun-Ortega,Enrique Braun-Ortega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,
Q30729250,Patrick Howell,,Patrick Howell,Patrick Howell,,,,,Patrick Howell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
