id,name__en,name__de,name__pl,name,wikipedia__en,wikipedia__pl,gender,given_name,original_wikiname,name__pt,name__ru,name__fr,name__es,name__tr,name__yo,name__oc,name__ms,name__fi,name__uk,name__it,name__et,name__id,name__el,name__io,name__lt,name__da,name__sv,name__ko,name__ca,name__nl,name__nb,name__zh,name__hr,name__qu,name__he,name__mr,name__nn,wikipedia__ca,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ko,wikipedia__lt,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__qu,wikipedia__ru,wikipedia__ruwikinews,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,wikipedia__zh,image,identifier__VIAF,identifier__GND,birth_date,identifier__freebase,identifier__Munzinger,name__hi,name__gl,name__ja,name__ar,name__fa,wikipedia__ar,wikipedia__fa,wikipedia__gl,wikipedia__hi,wikipedia__ja,identifier__LCAuth,wikipedia__commons,name__la,wikipedia__la,name__hu,last_seen,name__zh_hant,name__zh_cn,identifier__NNDB,occupation,wikipedia__az,name__az,identifier__Britannica,name__sl,identifier__NTA,identifier__FIFA,identifier__ISNI,family_name,name__cs
Q24953679,Michael Espat,,Michael Espat,Michael Espat,,Michael Espat,male,Michael,,,,,,,,,,,,,,,,,,,,,,Michael Espat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q24953680,Jose Abelardo Mai,,Jose Abelardo Mai,Jose Abelardo Mai,,Jose Abelardo Mai,male,,,,,,,,,,,,,,,,,,,,,,,Jose Abelardo Mai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25354502,Mark King,,Mark King,Mark King,,Mark King (polityk),male,Mark,,,,,,,,,,,,,,,,,,,,,,Mark King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,مارك كينغ,,,,,,,,,,,,,,,,politician,,,,,,,,King,Mark King
Q27983601,Omar Figueroa,,,Omar Figueroa,Omar Figueroa (politician),,male,,,,,,,,,,,,,,,,,,,,,,,Omar Figueroa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q28777204,Laura Tucker-Longsworth,,,Laura Tucker-Longsworth,Laura Tucker-Longsworth,,female,Laura,,,,,,,,,,,,,,,,,,,,,,Laura Tucker-Longsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,Laura Tucker-Longsworth,,,,,
Q335215,Said Musa,Said Musa,Said Musa,Said Musa,Said Musa,Said Musa,male,Sa'id,,Said Musa,"Муса, Саид",Said Musa,Said Musa,Said Musa,,,,Said Musa,Саїд Муса,Said Musa,,Said Musa,Σαΐντ Μούσα,,Said Musa,,Said Musa,,,Said Musa,Said Musa,薩伊德·慕沙,,,סעיד מוסה,सैद मुसा,,,,Said Musa,Σαΐντ Μούσα,Said Musa,,Said Musa,Said Musa,סעיד מוסה,,Said Musa,,Said Musa,,Said Musa,सैद मुसा,,Said Musa,Said Musa,,Said Musa,,"Муса, Саид",,Said Musa,Said Musa,Said Musa,Саїд Муса,,,https://upload.wikimedia.org/wikipedia/commons/1/12/Said_Musa.jpg,171264784,130250414,1944-03-19,/m/01fvk_,00000022746,सईद मूसा,Said Musa,サイド・ムサ,سعيد موسى,سعید موسی,سعيد موسى (رئيس وزراء),سعید موسی,Said Musa,सईद मूसा,サイド・ムサ,n2011036593,,,,Said Musa,,賽義德·穆薩,赛义德·穆萨,720/000162234,politician,,,biography/Said-Musa,Said Musa,291078788,,0000 0001 2037 9909,,
Q4773030,Anthony Martinez,Anthony Martinez,Anthony Martinez,Anthony Martinez,Anthony Martinez (politician),Anthony Martinez (polityk),male,Anthony,,,,,,,,,,,,,,,,,,,,,,Anthony Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963-07-15,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q5289506,Dolores Balderamos-García,,Dolores Balderamos,Dolores Balderamos-García,Dolores Balderamos-García,Dolores Balderamos,female,Dolores,,,,Dolores Balderamos-García,Dolores Balderamos-García,,,,,,,,,,,,,,,,,Dolores Balderamos-García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q5338849,Edmond Castro,Edmond Castro,Edmond Castro,Edmond Castro,Edmond Castro,Edmond Castro,male,Edmond,,,,Edmond Castro,,,,,,,,Edmond Castro,,,,,,,,,,Edmond Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q5368083,Elvin Penner,Elvin Penner,Elvin Penner,Elvin Penner,Elvin Penner,Elvin Penner,male,Elvin,,,,Elvin Penner,,,,,,,,Elvin Penner,,,,,,,,,,Elvin Penner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,Elvin Penner,,,,,
Q5396111,Erwin Contreras,Erwin Contreras,Erwin Contreras,Erwin Contreras,Erwin Contreras,Erwin Contreras,male,Erwin,,,,,,,,,,,,,,,,,,,,,,Erwin Contreras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966-07-09,,,,,,,,,,,,,,,,,,,,,,politician,,,,Erwin Contreras,,,,,
Q5480967,Francis Fonseca,Francis Fonseca,Francis Fonseca,Francis Fonseca,Francis Fonseca,Francis Fonseca,male,Francis,,,,,,,,,,,,,,,,,,,,,,Francis Fonseca,,弗朗西斯·豐塞卡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967-03-11,,,,,,,,,,,,,,,,,,,,,,politician,,,,Francis Fonseca,,,,Fonseca,
Q5526559,Gaspar Vega,Gaspar Vega,Gaspar Vega,Gaspar Vega,Gaspar Vega,Gaspar Vega,male,Gaspar,,,,Gaspar Vega,Gaspar Vega,,,,,,,Gaspar Vega,,,,,,,,,,Gaspar Vega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaspar Vega,,,,,politician,,,,,,,,,
Q57701,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,male,Dean,,Dean Barrow,Дин Барроу,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,Дін Берроу,Dean Barrow,Dean Barrow,Dean Barrow,Ντιν Μπάροου,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,딘 벨로우,Dean Barrow,Dean Barrow,Dean Barrow,迪安·奥利弗·巴罗,Dean Barrow,Dean Barrow,דין בארו,डीन बॅरो,Dean Barrow,Dean Oliver Barrow,Dean Barrow,Dean Barrow,Ντιν Μπάροου,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,דין בארו,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,딘 배로,Dean Barrow,डीन बॅरो,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,"Барроу, Дин",Категория:Дин Барроу,Dean Barrow,Dean Barrow,Dean Barrow,Дін Берроу,Dean Barrow,迪安·奥利弗·巴罗,"https://upload.wikimedia.org/wikipedia/commons/0/01/Belizean_Prime_Minister,_Dean_Barrow_in_London,_27_June_2013_(cropped).jpg",240180017,1021420417,1951-03-02,/m/08fq2h,00000026644,,,ディーン・バーロウ,دين بارو,دین بارو,دين بارو,دین بارو,,,ディーン・バーロウ,,Category:Dean Barrow,Dean Barrow,Dean Barrow,Dean Barrow,,,,,politician,Din Barrou,Din Barrou,biography/Dean-Barrow,Dean Barrow,,,0000 0003 6980 1829,,
Q58325,Wilfred Elrington,Wilfred Elrington,Wilfred Elrington,Wilfred Elrington,Wilfred Elrington,Wilfred Elrington,male,Wilfred,,,,Wilfred Elrington,Wilfred Elrington,,,Wilfred Elrington,,,,,,,,,,,,,Wilfred Elrington,Wilfred Elrington,,,,,,,,,,Wilfred Elrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7b/Wilfred_Peter_Elrington_(cropped).jpg,,,"",/m/05zzfxn,,,,ウィルフレッド・エルリントン,ويلفريد إرينغتون,,,,,,,,Category:Wilfred Elrington,Vilfridus Elrington,Vilfridus Elrington,Wilfred Elrington,,,,,politician,,,,Wilfred Elrington,,,,Elrington,
Q58896015,Tracy Taegar-Panton,,,Tracy Taegar-Panton,,,female,,,,,,,,,,,,,,,,,,,,,,,Tracy Taegar-Panton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q58896029,Beverly Williams,,,Beverly Williams,,,female,,,,,,,,,,,,,,,,,,,,,,,Beverly Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q58896037,Elodio Aragon Jr.,,,Elodio Aragon Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,Elodio Aragon Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q58896048,Angel Campos,,,Angel Campos,,,,,,,,,,,,,,,,,,,,,,,,,,Angel Campos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q58896056,Frank Mena,,,Frank Mena,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Mena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q58896061,Kareem Musa,,,Kareem Musa,,,male,,,,,,,,,,,,,,,,,,,,,,,Kareem Musa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q58896069,Cordel Hyde,,,Cordel Hyde,,,male,,,,,,,,,,,,,,,,,,,,,,,Cordel Hyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q58896079,Orlando Habet,,,Orlando Habet,,,male,,,,,,,,,,,,,,,,,,,,,,,Orlando Habet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q6256510,John Saldivar,John Saldivar,John B. Saldivar,John Saldivar,John Saldivar (politician),John B. Saldivar,male,John,,,,John Saldivar,,,,,,,,,,,,,,,,,,John Saldivar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q6266369,Johnny Briceño,Johnny Briceño,John Briceño,Johnny Briceño,Johnny Briceño,Juan Antonio Briceño,male,John,,,,Johnny Briceño,Johnny Briceño,,,,,,,,,,,,,,,,,Johnny Briceño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960-07-17,,,,,,,,,,,,,,,,,Johnny Briceño,,,,,politician,,,,Johnny Briceño,,,,,
Q6285230,Joseph Mahmud,Joseph Mahmud,Joseph Mahmud,Joseph Mahmud,Joseph Mahmud,Joseph Mahmud,male,Joseph,,,,Joseph Mahmud,,,,,,,,,,,,,,,,,,Joseph Mahmud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,Mahmud,
Q6830297,Michael Finnegan,Michael Finnegan,Michael Finnegan,Michael Finnegan,Michael Finnegan (Belizean politician),Michael Finnegan,male,Michael,,,,Michael Finnegan,,,,,,,,,,,,,,,,,,Michael Finnegan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,,,,,マイケル・フィネガン,,,,,,,,,,,,,,,,,politician,,,,Michael Finnegan,,,,,
Q7121680,Pablo Marin,Pablo Marin,Pablo Marin,Pablo Marin,Pablo Marin,Pablo Marin,male,Pablo,,,,,,,,,,,,Pablo Marin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,Marin,
Q7146470,Patrick Faber,Patrick Faber,Patrick Faber,Patrick Faber,Patrick Faber (politician),Patrick Faber (polityk),male,Patrick,,,,Patrick Faber,,,,,,,,,,,,,,,,,,Patrick Faber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-03-21,,,,,,,,,,,,,,,,,,,,,,politician,,,,Patrick Faber,,,,,
Q7312920,Rene Montero,Rene Montero,Rene Montero,Rene Montero,Rene Montero,Rene Montero,male,Rene,,,,,,,,,,,,Rene Montero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q7357499,Rodwell Ferguson,Rodwell Ferguson,Rodwell Ferguson,Rodwell Ferguson,Rodwell Ferguson,Rodwell Ferguson,male,,,,,,,,,,,,,,,,,,,,,,,Rodwell Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,Ferguson,
