id,name,name__de,name__en,name__fr,name__nl,name__sl,wikipedia__de,gender,identifier__LCAuth,identifier__VIAF,identifier__ISNI,birth_date,given_name,identifier__NTA,original_wikiname,name__es,name__hu,name__zh,wikipedia__commons,wikipedia__en,wikipedia__fr,occupation,image,name__it,name__pl,name__pt,name__nb,name__da,name__nn,name__sv,name__cy,name__he,name__eo,name__ru,name__ja,wikipedia__es,wikipedia__it,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__zh,identifier__GND,death_date,identifier__freebase,identifier__CANTIC,identifier__FAST,identifier__snac,identifier__SELIBR,identifier__BNE,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__yo,name__fi,name__uk,name__gl,name__id,name__el,name__ar,wikipedia__ar,wikipedia__el,wikipedia__fi,wikipedia__gl,wikipedia__id,wikipedia__nl,wikipedia__no,wikipedia__uk,wikipedia__yo,identifier__senatDOTfr,family_name,name__ca,wikipedia__ca,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__la,wikipedia__la,wikipedia__simple,identifier__NUKAT,wikipedia__frwikiquote
Q434742,Paramanga Ernest Yonli,Paramanga Ernest Yonli,Paramanga Ernest Yonli,Paramanga Ernest Yonli,Paramanga Ernest Yonli,Paramanga Ernest Yonli,Paramanga Ernest Yonli,male,,190954368,0000 0003 5686 6105,1956-12-31,Ernest,074573179,,Ernest Paramanga Yonli,Ernest Paramanga Yonli,帕拉曼加·厄恩斯特·约恩利,,Paramanga Ernest Yonli,Paramanga Ernest Yonli,diplomat,https://upload.wikimedia.org/wikipedia/commons/e/e3/Paramanga_Ernest_Yonli.JPG,Paramanga Ernest Yonli,Paramanga Ernest Yonli,,Paramanga Ernest Yonli,Paramanga Ernest Yonli,Paramanga Ernest Yonli,Paramanga Ernest Yonli,,,,,,Ernest Paramanga Yonli,Paramanga Ernest Yonli,Paramanga Ernest Yonli,,,,帕拉曼加·厄恩斯特·约恩利,173196306,,/m/0230wg,,,,,,帕拉曼加·厄恩斯特·约恩利,帕拉曼加·厄恩斯特·約恩利,帕拉曼加·厄恩斯特·約恩利,帕拉曼加·厄恩斯特·约恩利,帕拉曼加·厄恩斯特·约恩利,帕拉曼加·厄恩斯特·約恩利,Paramanga Ernest Yonli,Ernest Yonli,Ернест Йонлі Параманга,Paramanga Ernest Yonli,Paramanga Ernest Yonli,Παραμάνγκα Ερνέστ Γιονλί,بارامانغا إرنيست يونلي,بارامانغا إرنيست يونلي,Παραμάνγκα Ερνέστ Γιονλί,Ernest Yonli,Paramanga Ernest Yonli,Paramanga Ernest Yonli,Paramanga Ernest Yonli,Paramanga Ernest Yonli,Ернест Йонлі Параманга,Paramanga Ernest Yonli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4665186,Abdoulkader Cissé,Abdoulkader Cissé,Abdoulkader Cissé,Abdoulkader Cissé,Abdoulkader Cissé,Abdoulkader Cissé,,male,,,,1955-08-05,,,,,,,,Abdoulkader Cissé,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdoulkader Cissé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4937668,Bognessan Arsène Yé,Bognessan Arsène Yé,Bognessan Arsène Yé,Bognessan Arsène Yé,Bognessan Arsène Yé,Bognessan Arsène Yé,,male,,,,1957-10-10,,,,,,,,Bognessan Arsène Yé,,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bognessan Arsène Yé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5643911,Hama Arba Diallo,Hama Arba Diallo,Hama Arba Diallo,Hama Arba Diallo,Hama Arba Diallo,Hama Arba Diallo,,male,,,,1939-03-23,,,,Hama Arba Diallo,Hama Arba Diallo,,,Hama Arba Diallo,,diplomat,,,,,,,,,Hama Arba Diallo,,,Хама Диалло,,Hama Arba Diallo,,,,"Диалло, Хама",,,,2014-09-30,,,,,,,阿马·阿尔巴·迪亚洛,阿馬·阿爾巴·迪亞洛,,,,,,,,,,,حماة أربا ديالو,حماة أربا ديالو,,,,,,,,,,,,,,,Hama Arba Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58205,Youssouf Ouédraogo,Youssouf Ouédraogo,Youssouf Ouédraogo,Youssouf Ouédraogo,Youssouf Ouédraogo,Youssouf Ouédraogo,Youssouf Ouédraogo,male,,,,1952-12-25,Youssouf,,,Youssouf Ouédraogo,Youssouf Ouédraogo,尤素福·韋德拉奧果,Category:Youssouf Ouédraogo,Youssouf Ouédraogo,Youssouf Ouédraogo,economist,https://upload.wikimedia.org/wikipedia/commons/4/4d/Ouedraogo.jpg,Youssouf Ouédraogo,,,,,,,,,,,詩編 第130篇,,Youssouf Ouédraogo,,,,,尤素福·韋德拉奧果,,2017-11-18,/m/03kwmj,,,,,,,,,,,,Youssouf Ouédraogo,,Юссуф Уедраого,,,,,,,,,,,,Юссуф Уедраого,Youssouf Ouédraogo,,,Youssouf Ouédraogo,,,,Youssouf Ouédraogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Youssouf Ouédraogo,,,,,,,,,,,,,,,,,,,,,,,,Iosephus Ouédraogo,Iosephus Ouédraogo,Youssouf Ouédraogo,,
Q6285972,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,,male,,,,1919,Joseph,,,Joseph Ouédraogo,Joseph Ouédraogo,,,Joseph Ouédraogo,,politician,,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,,Joseph Ouédraogo,,,,,,,,,,,1988,,,,,,,,,,,,,,Joseph Ouédraogo,,Joseph Ouédraogo,Joseph Ouédraogo,,,,,,,,,,,,senateur-communaute/ouedraogo_joseph0121sc,,Joseph Ouédraogo,,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,Joseph Ouédraogo,,,,,
Q6363125,Kanidoua Naboho,Kanidoua Naboho,Kanidoua Naboho,Kanidoua Naboho,,Kanidoua Naboho,,male,,,,1952,,,,Kanidoua Naboho,,,,Kanidoua Naboho,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kanidoua Naboho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6732984,Mahama Sawadogo,Mahama Sawadogo,Mahama Sawadogo,Mahama Sawadogo,Mahama Sawadogo,Mahama Sawadogo,,male,,,,1954,Mahama,,,Mahama Sawadogo,,,,Mahama Sawadogo,,politician,,,,,,,,,,,,,,,,,,,,,,2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahama Sawadogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7110235,Oubkiri Marc Yao,Oubkiri Marc Yao,Oubkiri Marc Yao,Oubkiri Marc Yao,Oubkiri Marc Yao,Oubkiri Marc Yao,,male,,,,,,,,Oubkiri Marc Yao,Oubkiri Marc Yao,,,Oubkiri Marc Yao,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oubkiri Marc Yao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q722327,Bénéwendé Stanislas Sankara,Bénéwendé Stanislas Sankara,Bénéwendé Stanislas Sankara,Bénéwendé Stanislas Sankara,Bénéwendé Stanislas Sankara,Bénéwendé Stanislas Sankara,Bénéwendé Stanislas Sankara,male,,,,1959-02-23,,,,Bénéwendé Stanislas Sankara,Bénéwendé Stanislas Sankara,本納溫德·斯塔尼斯拉斯·桑卡拉,Category:Bénéwendé Stanislas Sankara,Bénéwendé Stanislas Sankara,Bénéwendé Stanislas Sankara,politician,,,,,,,,Bénéwendé Stanislas Sankara,,,,,,Bénéwendé Stanislas Sankara,,,,,Bénéwendé Stanislas Sankara,,,,/m/0920f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bénéwendé Stanislas Sankara,Bénéwendé Stanislas Sankara,,,Bénéwendé Stanislas Sankara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q730034,Ali Lankoandé,Ali Lankoandé,Ali Lankoandé,Ali Lankoandé,Ali Lankoandé,Ali Lankoandé,Ali Lankoandé,male,,,,1930-11-10,Ali,,,Ali Lankoandé,Ali Lankoandé,,,Ali Lankoandé,,politician,,,,,,,,,,,,,,,,,,,,,,2014-05-28,/m/09c3vf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali Lankoandé,Ali Lankoandé,,,Ali Lankoandé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q739752,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,male,n80136275,73855509,0000 0001 1029 4020,1922-06-21,Joseph,068519877,,Joseph Ki-Zerbo,Joseph Ki-Zerbo,约瑟夫·基-泽尔博,,Joseph Ki-Zerbo,Joseph Ki-Zerbo,politician,https://upload.wikimedia.org/wikipedia/commons/1/19/JosephKizerbo.jpg,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,יוסף קי-זרבו,Joseph Ki-Zerbo,"Ки-Зербо, Жозеф",ジョゼフ・キゼルボ,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,Joseph Ki-Zerbo,"Ки-Зербо, Жозеф",Joseph Ki-Zerbo,约瑟夫·基-泽尔博,125007671,2006-12-04,/m/071q9v,,62584,w64g55tm,,,,,,,,,,,,,,,,,,,,,Joseph Ki-Zerbo,,,,,,,,,,Joseph Ki-Zerbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n98096752,Joseph Ki-Zerbo
Q741331,Ali Barraud,Ali Barraud,Ali Barraud,Ali Barraud,Ali Barraud,Ali Barraud,Ali Barraud,male,,,,1918-01-31,Ali,,,Ali Barraud,Ali Barraud,,,Ali Barraud,Ali Barraud N'Goni,politician,,,,Ali Barraud N'Goni,Ali Barraud,Ali Barraud,Ali Barraud,Ali Barraud,Ali Barraud,,,,,Ali Barraud,,,,,,,,2015-10-11,/m/02wwpkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7459009,Seydou Bouda,Seydou Bouda,Seydou Bouda,Seydou Bouda,Seydou Bouda,Seydou Bouda,,male,,,,1958-12-31,,,,Seydou Bouda,,卜達,,Seydou Bouda,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seydou Bouda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7565025,Soungalo Ouattara,Soungalo Ouattara,Soungalo Ouattara,Soungalo Ouattara,Soungalo Ouattara,Soungalo Ouattara,Soungalo Ouattara,male,no2007120300,37235735,0000 0000 5133 3850,1956-12-31,,306086204,,Soungalo Ouattara,,瓦森羅,,Soungalo Ouattara,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soungalo Ouattara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8059112,Youssouf Sambo Bâ,Youssouf Sambo Bâ,Youssouf Sambo Bâ,Youssouf Sambo Bâ,Youssouf Sambo Bâ,Youssouf Sambo Bâ,,male,,,,1942-05-10,Youssouf,,,,,,,Youssouf Sambo Bâ,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Youssouf Sambo Bâ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q822574,Bernard Lédéa Ouédraogo,Bernard Lédéa Ouédraogo,Bernard Lédéa Ouédraogo,Bernard Lédéa Ouédraogo,Bernard Lédéa Ouédraogo,Bernard Lédéa Ouédraogo,Bernard Lédéa Ouédraogo,male,n91009158,51730415,0000 0000 7975 2280,1930,Bernard,084482079,,,,,,,Bernard Lédéa Ouédraogo,politician,,,,,,,,,,,,,,,,,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernard Lédéa Ouédraogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
