id,name__en,name__de,name__nl,name__fr,name,wikipedia__en,gender,original_wikiname,name__yo,name__la,name__id,name__pl,name__ja,name__es,name__tr,name__it,wikipedia__de,wikipedia__es,wikipedia__fr,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__la,wikipedia__nl,wikipedia__pl,wikipedia__tr,wikipedia__yo,birth_date,identifier__freebase,given_name,name__ko,name__fi,name__nb,name__da,name__nn,name__sv,wikipedia__fi,wikipedia__ko,wikipedia__plwikiquote,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__Munzinger,name__lb,name__zh,name__gl,name__et,name__br,name__el,name__sh,name__pt,name__sk,name__ru,name__ee,name__sr,name__ro,name__uk,name__mg,name__cs,name__ka,name__hr,name__lt,name__zh_cn,name__zh_hans,name__zh_hant,name__en_ca,name__en_gb,name__ca,name__oc,name__fa,name__sco,name__ar,wikipedia__ar,wikipedia__br,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__ee,wikipedia__el,wikipedia__et,wikipedia__fa,wikipedia__gl,wikipedia__hr,wikipedia__ka,wikipedia__lb,wikipedia__lt,wikipedia__mg,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__sk,wikipedia__sr,wikipedia__sv,wikipedia__uk,wikipedia__zh,name__hu,name__ms,wikipedia__hu,wikipedia__ms,death_date,name__cy,identifier__NTA,identifier__sycomore,identifier__FAST,family_name,identifier__Britannica,identifier__PACE,identifier__GTAA,name__de_ch,wikipedia__he,name__he,occupation,identifier__persee,name__an,name__ast,name__ext,name__nds,name__li,name__gsw
Q269076,Komlan Mally,Komlan Mally,Komlan Mally,Komlan Mally,Komlan Mally,Komlan Mally,male,Komlan Mally,,,Komlan Mally,Komlan Mally,,Komlan Mally,Komlan Mally,Komlan Mally,Komlan Mally,Komlan Mally,Komlan Mally,Komlan Mally,Komlan Mally,,,,Komlan Mally,Komlan Mally,,1960-12-12,/m/03d7lrm,,,,,,,,,,,,,,,,,,,,科姆兰·马利,,,,Κομλάν Μαλί,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Κομλάν Μαλί,,,,,,,,,,,,,,,,,,,,科姆兰·马利,Komlan Mally,Komlan Mally,Komlan Mally,Komlan Mally,,,,,,,,,,,,,politician,,,,,,,
Q27756289,,,Robert Dussey,Robert Dussey,Robert Dussey,,male,Robert Dussey,,,,,,,,,,,Robert Dussey,,,,,,,,,1972-01-04,,Robert,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/21/Robert_Dussey_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28033350,,,,Kako Nubukpo,Kako Nubukpo,,male,Kako Nubukpo,,,,,,,,,,,Kako Nubukpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2827048,Agokoli,,,Agokoli,Agokoli,,male,Agokoli,,,,,,,,,,,Agokoli,,,,,,,,,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720,,,,,,,,,,,,,,,,,,,
Q2839506,Alpha Nibomdé,,,Alpha Nibomdé,Alpha Nibomdé,,male,Alpha Nibomdé,,,,,,,,,,,Alpha Nibomdé,,,,,,,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3036936,Dopévi Dagbé,,,Dopévi Dagbé,Dopévi Dagbé,,female,Dopévi Dagbé,,,,,,,,,,,Dopévi Dagbé,,,,,,,,,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3049641,Ekoué Amaïzo,,Ekoué Amaïzo,Ekoué Amaïzo,Ekoué Amaïzo,,male,Ekoué Amaïzo,,,,,,,,,,,Ekoué Amaïzo,,,,,,,,,1960-02-10,,,,,,,,,,,,,,103221374,139043497,,13335817v,066904021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q305669,Bonfoh Abass,Abass Bonfoh,Abass Bonfoh,Abbas Bonfoh,Bonfoh Abass,Bonfoh Abass,male,Abbas Bonfoh,Bonfoh Abbass,Abass Bonfoh,Bonfoh Abbass,Bonfoh Abbass,ボンフォー・アッバス,Bonfoh Abass,Abass Bonfoh,Bonfoh Abass,Abass Bonfoh,Bonfoh Abass,Abbas Bonfoh,Bonfoh Abbass,Bonfoh Abass,ボンフォー・アッバス,Abass Bonfoh,Abass Bonfoh,Bonfoh Abbass,Abass Bonfoh,Bonfoh Abbass,1948-11-23,/m/059bgk,Abbas,,,Bonfoh Abass,,,,,,,,,,,,,,,,邦福·阿巴斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonfoh Abass,,,,,,,,,,,,,,,,politician,,,,,,,
Q3084013,François Boko,,,François Boko,François Boko,,male,François Boko,,,,,,,,,,,François Boko,,,,,,,,,1965-01-29,,François,,,,,,,,,,,0000 0003 8718 4510,280060538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,
Q3084503,Gilchrist Olympio,Gilchrist Olympio,Gilchrist Olympio,Gilchrist Olympio,Gilchrist Olympio,Gilchrist Olympio,male,Gilchrist Olympio,,,,Gilchrist Olympio,,Gilchrist Olympio,,,,Gilchrist Olympio,Gilchrist Olympio,,,,,Gilchrist Olympio,Gilchrist Olympio,,,1936-12-26,/m/06xz86,,,,,,,,,,,,0000 0000 8013 1959,120938785,,,16210806t,070671524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,
Q3169278,Jean-Pierre Fabre,,Jean-Pierre Fabre,Jean-Pierre Fabre,Jean-Pierre Fabre,Jean-Pierre Fabre,male,Jean-Pierre Fabre,,,,Jean-Pierre Fabre,ジャン＝ピエール・ファーブル,Jean-Pierre Fabre,,,,,Jean-Pierre Fabre,,,,,,Jean-Pierre Fabre,,,1952-06-02,/m/0b75b6x,Jean-Pierre,,,Jean-Pierre Fabre,Jean-Pierre Fabre,Jean-Pierre Fabre,Jean-Pierre Fabre,,,,https://upload.wikimedia.org/wikipedia/commons/1/14/JeanPierreFabre.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3191841,Kafui Adjamagbo-Johnson,,Kafui Adjamagbo-Johnson,Kafui Adjamagbo-Johnson,Kafui Adjamagbo-Johnson,,female,Kafui Adjamagbo-Johnson,,,,,,,,,,,Kafui Adjamagbo-Johnson,,,,,,,,,1958-12-26,,,,,,,,,,,,,0000 0000 8074 0957,122346725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123294940,,,,,,,,,,jurist,,,,,,,
Q3317434,Mlapa III,,Mlapa III,Mlapa III,Mlapa III,,male,Mlapa III,,,,,,Mlapa III,,Mlapa III,,Mlapa III,Mlapa III,,Mlapa III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sovereign,,,,,,,
Q3340500,Nicolas Lawson,Nicolas Lawson,Nicolas Lawson,Nicolas Lawson,Nicolas Lawson,Nicolas Lawson,male,Nicolas Lawson,,,,,,Nicolas Lawson,,,,,Nicolas Lawson,,,,,,,,,1953-03-11,,Nicolas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,,
Q4414,Faure Gnassingbé,Faure Gnassingbé,Faure Eyadéma,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,male,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,フォール・ニャシンベ,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,フォール・ニャシンベ,Faure Gnassingbé,Faure Eyadéma,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,1966-06-06,/m/054224,,포르 냐싱베,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,포르 냐싱베,,https://upload.wikimedia.org/wikipedia/commons/4/47/Faure_Gnassingbé_29112006.jpg,,51429300,1024263339,no2005096177,166163266,119784637,00000025359,Faure Gnassingbé,福雷·纳辛贝,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Φόρε Γκνασίνγκμπε,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Фор Эссозимна Гнассингбе,Faure Gnassingbé,Фор Насингбе,Faure Eyadéma,Фор Гнассінгбе,Faure Gnassingbé,Faure Gnassingbé,ფორ გნასინგბე,Faure Gnassingbé,Faure Gnassingbé,福雷·纳辛贝,福雷·纳辛贝,福雷·纳辛贝,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,فاوره گناسینگبه,Faure Gnassingbé,فور غناسينغبي,فور غناسينغبي,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Φωρ Γκνασινγκμπέ,Faure Gnassingbé,فاوره گناسینگبه,Faure Gnassingbé,Faure Gnassingbé,ფორ გნასინგბე,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,,Faure Gnassingbé,Faure Gnassingbé,"Гнассингбе, Фор Эссозимна",Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,Фор Насингбе,Faure Gnassingbé,Фор Гнассінгбе,福雷·纳辛贝,Faure Gnassingbé,,,,,,,,1625130,,biography/Faure-Gnassingbe,,,Faure Gnassingbé,פאורה גנאסינגבה,פאורה גנאסינגבה,politician,,Faure Gnassingbé,Faure Gnassingbé,Faure Gnassingbé,,,
Q461208,Emmanuel Bob-Akitani,Emmanuel Bob-Akitani,Emmanuel Akitani-Bob,Emmanuel Bob Akitani,Emmanuel Bob-Akitani,Emmanuel Bob-Akitani,male,Emmanuel Bob Akitani,,,,,,Emmanuel Bob-Akitani,Emmanuel Bob-Akitani,,Emmanuel Bob-Akitani,,Emmanuel Bob Akitani,,,,,Emmanuel Akitani-Bob,,Emmanuel Bob-Akitani,,1930-07-18,/m/080fdq,Emmanuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emmanuel Bob Akitani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emmanuel Bob Akitani,,,,,,,,,,,,,Emmanuel Bob-Akitani,,,,2011-05-16,Emmanuel Bob-Akitani,,,,,,,,,,,politician,,,,,,,
Q4683147,Adjaratou Abdoulaye,Adjaratou Abdoulaye,Adjaratou Abdoulaye,Adjaratou Abdoulaye,Adjaratou Abdoulaye,Adjaratou Abdoulaye,female,Adjaratou Abdoulaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q510104,Isabelle Ameganvi,Isabelle Ameganvi,Isabelle Ameganvi,Isabelle Ameganvi,Isabelle Ameganvi,Isabelle Ameganvi,female,Isabelle Ameganvi,,,,,,Isabelle Ameganvi,,,Isabelle Ameganvi,,Isabelle Ameganvi,,,,,,,,,"",/m/0ds1d58,Isabelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isabelle Ameganvi,,,,,,,,,,,,,,,,politician,,,,,,,
Q5208960,Dahuku Péré,Dahuku Péré,Dahuku Péré,Dahuku Péré,Dahuku Péré,Dahuku Péré,male,Dahuku Péré,,,,,,,,,,,Dahuku Péré,,,,,,,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q5211860,Dama Dramani,Dama Dramani,Dama Dramani,Dama Dramani,Dama Dramani,Dama Dramani,male,Dama Dramani,,,,,,,,Dama Dramani,,,,,,,,,,,,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5386909,Eric Kpadé,Eric Kpadé,Eric Kpadé,Eric Kpadé,Eric Kpadé,Eric Kpadé,male,Eric Kpadé,,,,,,,,,,,,,,,,,,,,1958-09-23,,Eric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q5516944,Gahoun Georges Hégbor,Gahoun Georges Hégbor,Gahoun Georges Hégbor,Gahoun Georges Hégbor,Gahoun Georges Hégbor,Gahoun Georges Hégbor,male,Gahoun Georges Hégbor,,,,,,,,,,,,,,,,,,,,1940-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q6425680,Koffi Agbényéga Voule-Frititi,,,Koffi Agbényéga Voule-Frititi,Koffi Agbényéga Voule-Frititi,Koffi Agbényéga Voule-Frititi,male,Koffi Agbényéga Voule-Frititi,,,,,,,,,,,,,,,,,,,,1934-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6428317,Komi Klassou,Komi Klassou,Komi Sélom Klassou,Komi Sélom Klassou,Komi Klassou,Komi Sélom Klassou,male,Komi Sélom Klassou,,,,Komi Sélom Klassou,コミ・セロム・クラス,Komi Sélom Klassou,Komi Sélom Klassou,Komi Sélom Klassou,Komi Sélom Klassou,Komi Sélom Klassou,Komi Sélom Klassou,,Komi Sélom Klassou,,,,Komi Sélom Klassou,Komi Sélom Klassou,,1960-02-10,,,,,Komi Sélom Klassou,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Komi_Sélom_Klassou_2017.jpg,,,,,,,,,科米·塞隆·克拉蘇,,,,Κόμι Σελόμ Κλασού,,Komi Sélom Klassou,,,,,,,,,,,,科米·塞隆·克拉苏,,科米·塞隆·克拉蘇,,,,,,,,,,,,,,Κόμι Σελόμ Κλασού,,,,,,,,,Komi Sélom Klassou,,Komi Sélom Klassou,,,,,,,,,科米·塞隆·克拉蘇,Komi Sélom Klassou,,,,,,,,,,,,,,,,politician,,,,,,,
Q6435718,Kpatcha Gnassingbé,Kpatcha Gnassingbé,Kpatcha Gnassingbé,Kpatcha Gnassingbé,Kpatcha Gnassingbé,Kpatcha Gnassingbé,male,Kpatcha Gnassingbé,,,,,,,,,,,,,,,,,,,,1970-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6689635,Loumonvi Fombo,Loumonvi Fombo,Loumonvi Fombo,Loumonvi Fombo,Loumonvi Fombo,Loumonvi Fombo,male,Loumonvi Fombo,,,,,,,,Loumonvi Fombo,,,,,,,,,,,,1951-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q7257109,Ptomsoouwé Batchassi,Ptomsoouwé Batchassi,Ptomsoouwé Batchassi,Ptomsoouwé Batchassi,Ptomsoouwé Batchassi,Ptomsoouwé Batchassi,male,Ptomsoouwé Batchassi,,,,,,,,,,,,,,,,,,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q747770,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,male,Yawovi Agboyibo,,,,Yawovi Agboyibo,,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,,Yawovi Agboyibo,,,,Yawovi Agboyibo,Yawovi Agboyibo,,1943-12-31,/m/0h4dr_,,,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,Yawovi Agboyibo,,,,,59246576,,n99005540,135436479,050751247,,,亚沃维·阿博伊博,,,,Γιαγοβί Αγκμπογιμπό,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Γιαγοβί Αγκμπογιμπό,,,,,,,,,,,,,,,,,,,,亚沃维·阿博伊博,Yawovi Agboyibo,,,,,,,,,,,,,,,,politician,,,,,,,
Q7558266,Solitoki Esso,Solitoki Esso,Solitoki Esso,Solitoki Esso,Solitoki Esso,Solitoki Esso,male,Solitoki Esso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q961159,Edem Kodjo,Edem Kodjo,Edem Kodjo,Edem Kodjo,Edem Kodjo,Edem Kodjo,male,Edem Kodjo,,,Edem Kodjo,Édouard Kodjo,,Edem Kodjo,,Edem Kodjo,Edem Kodjo,Edem Kodjo,Edem Kodjo,Edem Kodjo,Edem Kodjo,,,Edem Kodjo,Edem Kodjo,,,1938-05-23,/m/05fwcs,Édouard,에당 코조,Edem Kodjo,Edem Kodjo,Edem Kodjo,Edem Kodjo,Edem Kodjo,Edem Kodjo,에당 코조,Édouard Kodjo,https://upload.wikimedia.org/wikipedia/commons/6/6b/Edem_Kodjo-Festival_international_de_géographie_2011.jpg,0000 0000 8142 9028,64013530,17035041X,n85122947,119300981,027209091,00000015379,,,,,,,,,,,,,,,,,,,,埃德姆·科乔,,埃德姆·科喬,,,,,,,إديم كوجو,إديم كوجو,,,,,,,,,,,,,,,,,,,,,,,,,,,Edem Kodjo,,,,,,,,,,,,119965,,,,politician,,,,,,,
