id,name__fr,name__it,name__en,name,wikipedia__fr,image,gender,birth_date,given_name,original_wikiname,name__nl,name__de,name__ar,wikipedia__ar,wikipedia__en,identifier__freebase,wikipedia__commons,name__pl,wikipedia__pl,name__es,name__hu,name__sv,wikipedia__sv,name__zh_hans,name__zh_hant,name__zh_hk,name__nb,name__ru,name__uk,name__et,name__zh,name__id,name__tr,name__ca,name__kab,wikipedia__ca,wikipedia__de,wikipedia__es,wikipedia__et,wikipedia__hu,wikipedia__id,wikipedia__it,wikipedia__kab,wikipedia__nl,wikipedia__no,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__zh,name__cs,wikipedia__cswikiquote,website,twitter,identifier__IMDB,identifier__VIAF,identifier__BNF,name__ja,name__eu,identifier__allmovie,identifier__kinopoisk,wikipedia__fawikiquote,identifier__google_knowledge,occupation,name__fa,facebook,wikipedia__arwikinews,name__mg,wikipedia__mg,family_name,identifier__GND,identifier__LCAuth,name__bn,identifier__ISNI,weblog,name__sl,wikipedia__fa,death_date,identifier__Munzinger
Q25453450,Sayida Ounissi,,Sayida Ounissi,Sayida Ounissi,Sayida Ounissi,"https://upload.wikimedia.org/wikipedia/commons/9/9b/Sayda_Ounissi,_member_of_Ennahdha.jpg",female,1987-02-03,,Sayida Ounissi,Sayida Ounissi,Sayida Ounissi,سيدة الونيسي,سيدة الونيسي,Sayida Ounissi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SaidaOunissi,,,,,,,,,,politician,,,,,,,,,,,,Sayida Ounissi,,,
Q26505513,Mohsen Hassan,,Mohsen Hassan,Mohsen Hassan,Mohsen Hassan,,male,1970-10-10,Mohsen,محسن حسن,Mohsen Hassan,,محسن حسن,محسن حسن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,Hassan,,,,,,Mohsen Hassan,,,
Q27758476,Khaled Chouket,,Khaled Chouket,Khaled Chouket,Khaled Chouket,,male,"",Khaled,Khaled Chouket,Khaled Chouket,Khaled Chouket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q28045699,Karima Taggaz,,Karima Taggaz,Karima Taggaz,Karima Taggaz,https://upload.wikimedia.org/wikipedia/commons/e/ee/Karima_Taggaz_photo2_كريمة_التقاز.jpg,female,1982,Karima,Karima Taggaz,Karima Taggaz,Karima Taggaz,كريمة التقاز,كريمة التقاز,,,Category:Karima Taggaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Karima Taggaz,,,
Q28055867,Aroua Ben Abbas,,Aroua Ben Abbas,Aroua Ben Abbas,,https://upload.wikimedia.org/wikipedia/commons/5/57/PortraitArouaBenAbbas_Sep2014.jpg,female,1963,,أروى بن عباس,Aroua Ben Abbas,Aroua Ben Abbas,أروى بن عباس,أروى بن عباس,,,Category:Aroua Ben Abbas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Aroua Ben Abbas,,,
Q28055870,Badreddine Abdelkefi,,Badreddine Abdelkefi,Badreddine Abdelkefi,,,male,1959-07-07,,بدر الدين عبد الكافي,Badreddine Abdelkafi,Badreddine Abdelkefi,بدر الدين عبد الكافي,بدر الدين عبد الكافي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Badreddine Abdelkafi,,,
Q281184,Ali Larayedh,Ali Laarayedh,Ali Laarayedh,Ali Larayedh,Ali Larayedh,https://upload.wikimedia.org/wikipedia/commons/1/13/AliLariath2012.jpg,male,1955-08-15,Ali,علي العريض,Ali Laarayedh,Ali Larajedh,علي العريض,علي العريض,Ali Laarayedh,/m/0j_5w9l,Category:Ali Larayedh,Ali Larajedh,Ali al-Urajjid,Ali Laarayedh,Ali Larajed,Ali Laarayedh,Ali Laarayedh,阿里·拉哈耶德,阿里·拉哈耶德,阿里·拉哈耶德,ʿAlī al-ʿArayyiḍ,Али Лараед,Алі Лараед,‘Alī al-‘Arayyiḑ,阿里·拉哈耶德,Ali Laarayedh,Ali el-Ureyd,Ali Laarayedh,Ɛli Leɛrayyeḍ,Ali Laarayedh,Ali Larayedh,Ali Laarayedh,‘Alī al-‘Arayyiḑ,Ali Larajed,Ali Laarayedh,Ali Laarayedh,Ɛli Leɛrayyeḍ,Ali Laarayedh,ʿAlī al-ʿArayyiḍ,"Лараед, Али",Ali el-Ureyd,Алі Лараед,阿里·拉哈耶德,,,,,,,,アリー・ラライエド,Ali Laarayedh,,,علی العریض,,politician,علی العریض,,تصنيف:علي العريض,,,,,,,,,Ali Laarayedh,,,00000029485
Q2821016,Abdelfattah Mourou,Abd al-Fattah Muru,Abdelfattah Mourou,Abdelfattah Mourou,Abdelfattah Mourou,https://upload.wikimedia.org/wikipedia/commons/a/ad/Abdelfattah_Mourou.jpg,male,1948-06-01,Abdel Fattah,عبد الفتاح مورو,Abdelfattah Mourou,Abdelfattah Mourou,عبد الفتاح مورو,عبد الفتاح مورو,Abdelfattah Mourou,/m/0wzxfxy,Category:Abdelfattah Mourou,,,Abdelfattah Mourou,Abdelfattah Mourou,,,,,,,,,,,,,,,,Abdelfattah Mourou,,,,,Abd al-Fattah Muru,,,,,,,,Abdal Fatáh Múrú,Abdal Fatáh Múrú,,,,4668147872007275170002,,,,,,,,politician,,,,,,,,,,0000 0004 5976 3336,,Abdelfattah Mourou,,,
Q2821154,Abdellatif Mekki,Abdellatif Mekki,Abdellatif Mekki,Abdellatif Mekki,Abdellatif Mekki,https://upload.wikimedia.org/wikipedia/commons/3/34/AbdellatifMekkiJanvier2013.jpg,male,1962-08-27,Abdul Latif,عبد اللطيف المكي,Abdellatif Mekki,Abdellatif Mekki,عبد اللطيف المكي,عبد اللطيف المكي,Abdellatif Mekki,,Category:Abdellatif Mekki,,,Abdellatif Mekki,Abdellatif Mekki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Abdellatif Mekki,,,
Q2821275,Abderrazak Cheraït,,Abderrazak Cherait,Abderrazak Cheraït,Abderrazak Cheraït,,male,1937,,Abderrazak Cheraït,Abderrazak Chraiet,Abderrazak Cherait,عبد الرزاق شريط,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Abderrazak Cheraït,,,
Q2836146,Ali Ben Salem,Ali Ben Salem,Ali Ben Salem,Ali Ben Salem,Ali Ben Salem,,male,1931,Ali,Ali Ben Salem,Ali Ben Salem,Ali Ben Salem,علي بين سالم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activist,,,,,,,,,,,,Ali Ben Salem,,,
Q2836158,Ali Bennour,,Ali Bennor,Ali Bennour,Ali Bennour,"https://upload.wikimedia.org/wikipedia/commons/b/ba/Ali_Bennour,_Sayada,_23_mars_2017.jpg",male,1953,Ali,علي بنور,,Ali Bennour,علي بنور,علي بنور,,,Category:Ali Bennour,,,,Ali Bennor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p739896,,,,actor,,,,,,,,,,,,Ali Bennor,,,
Q2842788,Amer Larayedh,,Amer Larayedh,Amer Larayedh,Amer Larayedh,https://upload.wikimedia.org/wikipedia/commons/c/c5/Amer_Laarayedh.jpg,male,1965-03-24,Amer,عامر العريض,,Amer Larayedh,عامر العريض,عامر العريض,,,Category:Amer Larayedh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Amer Larayedh,,,
Q28465976,Jamila Debbech,,Jamila Debbech,Jamila Debbech,,https://upload.wikimedia.org/wikipedia/commons/a/ae/PortraitJamilaDebbechKsiksiSep2014.jpg,female,,Jamila,جميلة دبش,Jamila Debbech,Jamila Debbech,جميلة دبش,جميلة دبش,,,Category:Jamila Debbech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JamilaKsiksi,,,,,,,,,,politician,,jamila.debbechksiksi,,,,,,,,,,Jamila Debbech,,,
Q28653580,Riadh Mouakher,,Riadh Mouakher,Riadh Mouakher,Riadh Mouakher,,male,1963-07-31,Riadh,رياض المؤخر,Riadh Mouakher,Riadh Mouakher,رياض المؤخر,رياض المؤخر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMouakhar,,,,,,,,,,politician,,,,,,,,,,,,Riadh Mouakher,,,
Q28716311,Habib Khedher,,Habib Khedher,Habib Khedher,,https://upload.wikimedia.org/wikipedia/commons/7/7a/Habib_Khedher.jpg,male,1971-01-08,Habib,الحبيب خضر,,Habib Khedher,الحبيب خضر,الحبيب خضر,,,Category:Habib Khedher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Khedher,,,,,,Habib Khedher,,,
Q2947600,Chahida Ben Fraj Bouraoui,,Chahida Ben Fraj Bouraoui,Chahida Ben Fraj Bouraoui,Chahida Ben Fraj Bouraoui,https://upload.wikimedia.org/wikipedia/commons/c/cf/ChahidaFraj-Mai-2017-1.png,female,1960-09-01,,Chahida Ben Fraj Bouraoui,Chahida Ben Fraj Bouraoui,Chahida Ben Fraj Bouraoui,شهيدة بن فرج بوراوي,شهيدة بن فرج بوراوي,Chahida Ben Fraj Bouraoui,,Category:Chahida Fraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,engineer,,,,Chahida Ben Fraj Bouraoui,Chahida Ben Fraj Bouraoui,,,,,,,Chahida Ben Fraj Bouraoui,,,
