id,name__en,name__de,name__it,name__nl,name__fr,name,wikipedia__en,gender,occupation,death_date,original_wikiname,name__yo,wikipedia__yo,birth_date,given_name,name__new,wikipedia__new,identifier__VIAF,image,identifier__LCAuth,identifier__FAST,identifier__freebase,name__es,name__nb,name__tr,name__ru,name__da,name__nn,name__sv,name__hu,wikipedia__de,wikipedia__no,wikipedia__ru,wikipedia__tr,name__zh_hant,name__zh_cn,name__cy,name__gl,wikipedia__it,wikipedia__sv,wikipedia__fr,identifier__NPG,identifier__hansard,name__ca,wikipedia__ca,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__NTA,website,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fi,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pl,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__simple,wikipedia__commons,identifier__nass,wikipedia__ha,name__ha,wikipedia__ig,name__ig,name__sl,identifier__rush,family_name,wikipedia__vi,identifier__GTAA,wikipedia__id,twitter,identifier__google_knowledge,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__fi,name__ja,name__zh_hans,name__zh,name__he,name__ar,wikipedia__ar,identifier__PACE
Q17385635,Beni Lar,Beni Lar,Beni Lar,Beni Lar,Beni Lar,Beni Lar,Beni Lar,female,politician,,Beni Lar,,,,Beni,,,,,,,/m/011c8ynf,Beni Lar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beni Lar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,,,,,Beni Lar,,,,,,,,,,,,,拉兒,,,,
Q17403017,Mohammed Wakil,Mohammed Wakil,,,Mohammed Wakil,Mohammed Wakil,Mohammed Wakil,male,,,Mohammed Wakil,,,1965-02-06,Mohammed,,,,,,,,Mohammed Wakil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammed Wakil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammed Wakil,,,,,,,,,,,,,,,,,
Q18098561,Aminu Bello Masari,Aminu Bello Masari,Aminu Bello Masari,Aminu Bello Masari,Aminu Bello Masari,Aminu Bello Masari,Aminu Bello Masari,male,politician,,Aminu Bello Masari,,,1950-05,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Aminu_B_Masari.jpg,,,,Aminu Bello Masari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aminu Bello Masari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aminu Bello Masari,Aminu Bello Masari,,,Aminu Bello Masari,,,,,,,,,,,,,,,,,
Q18129932,Khadija Bukar Abba Ibrahim,Khadija Bukar Abba Ibrahim,,Khadija Bukar Abba Ibrahim,Khadija Bukar Abba Ibrahim,Khadija Bukar Abba Ibrahim,Khadija Bukar Abba Ibrahim,female,politician,,Khadija Bukar Abba Ibrahim,,,1967-01-06,Khadija,,,,,,,,Khadija Bukar Abba Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khadija Bukar Abba Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khadija Bukar Abba Ibrahim,,,,,,,,,608,Khadija Bukar Ibrahim,Khadija Bukar Ibrahim,,,Khadija Bukar Abba Ibrahim,,,Khadija Bukar Abba Ibrahim,,,,,,,,,,,,,,
Q18618880,Usman Shehu Bawa,,,,Usman Shehu Bawa,Usman Shehu Bawa,Usman Shehu Bawa,male,politician,,Usman Shehu Bawa,,,1973-04-17,Usman,,,,,,,,Usman Shehu Bawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Usman Shehu Bawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,,,,,Usman Shehu Bawa,,,,,,,,,,,,,,,,,
Q19518229,Saviour Friday Udoh,,,Saviour Friday Udoh,Saviour Friday Udoh,Saviour Friday Udoh,Saviour Friday Udoh,male,legislator,,Saviour Friday Udoh,,,1957-06-05,,,,,,,,,Saviour Friday Udoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saviour Friday Udoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saviour Friday Udoh,,,,,,,,,,,,,,,,,
Q19560093,Binta Garba,,Binta Masi Garba,Binta Masi Garba,Binta Masi Garba,Binta Garba,Binta Masi Garba,female,politician,,Binta Masi Garba,,,1967-04-17,Binta,,,,,,,,Binta Garba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Binta Masi Garba,,,,,,,,,740,,,,,Binta Masi Garba,,,Binta Masi Garba,,,,,,,,,,,,,,
Q19604976,Raphael Nomiye,,,Raphael Nomiye,Raphael Nomiye,Raphael Nomiye,Raphael Nomiye,male,politician,2013-11,Raphael Nomiye,,,1963-02,Raphael,,,,,,,,Raphael Nomiye,,,,,,,,,,,,,,Raphael Nomiye,,,,,,,,,,,,,,,,Raphael Nomiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raphael Nomiye,,,,,,,,,,,,,,,,,
Q19895375,Osinakachukwu Ideozu,,,Osinakachukwu Ideozu,Osinakachukwu Ideozu,Osinakachukwu Ideozu,Osinakachukwu Ideozu,male,politician,,Osinakachukwu Ideozu,,,1965,,,,,,,,,Osinakachukwu Ideozu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osinakachukwu Ideozu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,,,,,Osinakachukwu Ideozu,,,,,,,,,,,,,,,,,
Q19957516,Dogara Yakubu,,,Yakubu Dogara,Yakubu Dogara,Dogara Yakubu,Yakubu Dogara,male,lawyer,,Yakubu Dogara,,,1967-12-26,,,,,,,,,Dogara Yakubu,,,,,,,,,,,,雅庫布·多格拉,雅库布·多格拉,,,,,,,,,,,,,,http://yakubudogara.com.ng/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,,,,,Yakubu Dogara,,,,,,,,,,,,雅库布·多格拉,,,,,
Q20155621,Ben Murray-Bruce,,,Ben Murray-Bruce,Ben Murray-Bruce,Ben Murray-Bruce,Ben Murray-Bruce,male,politician,,,Ben Murray-Bruce,Ben Murray-Bruce,1956-02-17,Ben,,,,,,,,Ben Murray-Bruce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ben Murray-Bruce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,,,,,Ben Murray-Bruce,,,,,,benmurraybruce,/g/11btwqtj5t,,,,,,,,,,
Q20604335,Gilbert E. Nnaji,,,Gilbert E. Nnaji,Gilbert E. Nnaji,Gilbert E. Nnaji,,male,politician,,,Gilbert E. Nnaji,Gilbert E. Nnaji,,Gilbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilbert E. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873,,,,,Gilbert E. Nnaji,,,,,,,,,,,,,,,,,
Q20676277,Clifford Ohiagu,,,Clifford Ohiagu,Clifford Ohiagu,Clifford Ohiagu,Clifford Ohiagu,male,politician,,Clifford Ohiagu,,,,Clifford,,,,,,,,Clifford Ohiagu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clifford Ohiagu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clifford Ohiagu,,,,,,,,,,,,,,,,,
Q20676550,Boniface S. Emerengwa,,,Boniface S. Emerengwa,Boniface S. Emerengwa,Boniface S. Emerengwa,Boniface S. Emerengwa,male,politician,,Boniface S. Emerengwa,,,,Boniface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boniface S. Emerengwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,,,,,Boniface S. Emerengwa,,,,,,,,,,,,,,,,,
Q20685008,Tajudeen Obasa,,,Tajudeen Obasa,Tajudeen Obasa,Tajudeen Obasa,Tajudeen Obasa,male,politician,,Tajudeen Obasa,,,1970-08-29,,,,,,,,,Tajudeen Obasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tajudeen Obasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619,,,,,Tajudeen Obasa,,,,,,,,,,,,,,,,,
Q20740791,Alhassan Doguwa,,,Alhassan Doguwa,Alhassan Doguwa,Alhassan Doguwa,Alhassan Doguwa,male,politician,,Alhassan Doguwa,,,1965-08-14,,,,,,,,,Alhassan Doguwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alhassan Doguwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alhassan Doguwa,,,,,,,,,,,,,,,,,
Q20774324,Olaka Nwogu,,,Olaka Nwogu,Olaka Nwogu,Olaka Nwogu,Olaka Nwogu,male,politician,,Olaka Nwogu,,,1965-01-26,,,,,,,,,Olaka Nwogu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olaka Nwogu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,,,,,Olaka Nwogu,,,,,,,,,,,,,,,,,
Q20982174,Macebuh Chinonyerem,,,Macebuh Chinonyerem,,Macebuh Chinonyerem,Macebuh Chinonyerem,male,politician,,Macebuh Chinonyerem,,,,,,,,,,,,Macebuh Chinonyerem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20982195,Njoku Nnamdi,,,Njoku Nnamdi,,Njoku Nnamdi,Njoku Nnamdi,male,politician,,Njoku Nnamdi,,,,,,,,,,,,Njoku Nnamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20982197,Nwakanwa Chimaobi,,,Nwakanwa Chimaobi,,Nwakanwa Chimaobi,Nwakanwa Chimaobi,male,politician,,Nwakanwa Chimaobi,,,,,,,,,,,,Nwakanwa Chimaobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20982201,Iheanacho Obioma,,,Iheanacho Obioma,,Iheanacho Obioma,Iheanacho Obioma,male,politician,,Iheanacho Obioma,,,,,,,,,,,,Iheanacho Obioma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20982202,Mao Arukwe Ohuabunwa,,,Mao Arukwe Ohuabunwa,Mao Arukwe Ohuabunwa,Mao Arukwe Ohuabunwa,Mao Ohuabunwa,male,politician,,Mao Ohuabunwa,,,1957-05-24,,,,,,,,,Mao Arukwe Ohuabunwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mao Arukwe Ohuabunwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mao Arukwe Ohuabunwa,,,,,,,,,,,,,,,,,
Q20982219,Uchechukwu N. Maduako,,,Uchechukwu N. Maduako,,Uchechukwu N. Maduako,Uchechukwu N. Maduako,male,politician,,Uchechukwu N. Maduako,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20982221,Ifeanyi Ugwuanyi,,,Ifeanyi Ugwuanyi,Ifeanyi Ugwuanyi,Ifeanyi Ugwuanyi,Ifeanyi Ugwuanyi,male,politician,,Ifeanyi Ugwuanyi,,,1964-03,Ifeanyi,,,,,,,,Ifeanyi Ugwuanyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ifeanyi Ugwuanyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ifeanyi Ugwuanyi,Ifeanyi Ugwuanyi,,,Ifeanyi Ugwuanyi,,,,,,,,,,,,,,,,,
Q21063207,Dino Melaiye,,,Dino Melaiye,Dino Melaiye,Dino Melaiye,Dino Melaye,male,politician,,,,,1974-01-01,Dino,,,,,,,,Dino Melaiye,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dinomelaye.com/,,,Dino Melaiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,Dino Melaye,Dino Melaye,,,Dino Melaiye,,,,,,,,,,,,,,,,,
Q22005748,Kayode Oladele,,,Kayode Oladele,Kayode Oladele,Kayode Oladele,Kayode Oladele,male,politician,,Kayode Oladele,,,1963,,,,,,,,,Kayode Oladele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kayode Oladele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,,,,,Kayode Oladele,,,,,,,,,,,,,,,,,
Q22087359,Chukwuemeka Ujam,,,Chukwuemeka Ujam,Chukwuemeka Ujam,Chukwuemeka Ujam,Chukwuemeka Ujam,male,politician,,Chukwuemeka Ujam,,,1974-03-16,,,,,,,,,Chukwuemeka Ujam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chukwuemeka Ujam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,,,,,Chukwuemeka Ujam,,,,,,,,,,,,,,,,,
Q22279489,Omosede G. Igbinedion,,,Omosede G. Igbinedion,,Omosede G. Igbinedion,Omosede G. Igbinedion,female,lawyer,,Omosede G. Igbinedion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omosede G. Igbinedion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,,,,,,,,,,,,,,,,,,,,,,
Q22704987,Fatimat Olufunke Raji-Rasaki,,,Fatimat Olufunke Raji-Rasaki,Fatimat Olufunke Raji-Rasaki,Fatimat Olufunke Raji-Rasaki,Fatimat Olufunke Raji-Rasaki,female,politician,,,,,1957-01-01,,,,,,,,,Fatimat Olufunke Raji-Rasaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fatimat Olufunke Raji-Rasaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,,,Fatimat Olufunke Raji-Rasaki,Fatimat Olufunke Raji-Rasaki,Fatimat Olufunke Raji-Rasaki,,,,,,,,,,,,,,,,,
Q22806954,Rose Okoji Oko,,,Rose Okoji Oko,Rose Okoji Oko,Rose Okoji Oko,Rose Okoji Oko,female,politician,,Rose Okoji Oko,,,1956-09-27,Rose,,,,,,,,Rose Okoji Oko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rose Okoji Oko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,,,,,Rose Okoji Oko,,,,,,,,,,,,,,,,,
Q22807281,Uche Ekwunife,,,Uche Ekwunife,Uche Ekwunife,Uche Ekwunife,Uche Ekwunife,female,politician,,,,,1970-12,,,,,,,,,Uche Ekwunife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uche Ekwunife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,Uche Ekwunife,Uche Ekwunife,Uche Ekwunife,,,,,,,,,,,,,,,,,
Q23304614,Yusuf Sulaimon Lasun,,,Sulaimon Lasun Yussuff,Yusuf Sulaimon Lasun,Yusuf Sulaimon Lasun,Yusuf Sulaimon Lasun,male,politician,,Yusuf Sulaimon Lasun,,,1960-10-04,Yusuf,,,,https://upload.wikimedia.org/wikipedia/commons/b/bb/YussuffLasun.jpg,,,,Yusuf Sulaimon Lasun,,,,,,,,,,,,尤瑟夫·蘇萊曼·勒桑,尤瑟夫·苏莱曼·勒桑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,,,,,Yusuf Sulaimon Lasun,,,,,,,,,,,,尤瑟夫·苏莱曼·勒桑,,,,,
Q23409635,Chinyere Igwe,,,Chinyere Igwe,Chinyere Igwe,Chinyere Igwe,Chinyere Igwe,male,politician,,Chinyere Igwe,,,1965-09-18,,,,,,,,,Chinyere Igwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinyere Igwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinyere Igwe,,,,,,,,,,,,,,,,,
Q23414656,Adekoya Adesegun Abdel-Majid,,,Adekoya Adesegun Abdel-Majid,Adekoya Adesegun Abdel-Majid,Adekoya Adesegun Abdel-Majid,Adekoya Adesegun Abdel-Majid,male,politician,,Adekoya Adesegun Abdel-Majid,,,1961-03-21,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a6/Hon._Adekoya_adesegun.jpg,,,,Adekoya Adesegun Abdel-Majid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adekoya Adesegun Abdel-Majid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,,,,,Adekoya Adesegun Abdel-Majid,,,,,,,,,,,,,,,,,
